"","Localisation","HumanName","BrainRegion"
"2059","Postsynaptic","AARSD1","Brain"
"2070","Postsynaptic","HSPB1","Brain"
"2075","Postsynaptic","SNAP29","Brain"
"2079","Postsynaptic","CRKL","Brain"
"2100","Postsynaptic","CD59","Brain"
"2102","Postsynaptic","NRGN","Brain"
"2103","Postsynaptic","STXBP3","Brain"
"2108","Postsynaptic","TBCB","Brain"
"2115","Postsynaptic","APP","Brain"
"2119","Postsynaptic","HNRNPUL1","Brain"
"2139","Postsynaptic","TBC1D17","Brain"
"2152","Postsynaptic","COPB2","Brain"
"2160","Postsynaptic","P4HB","Brain"
"2172","Postsynaptic","HAGH","Brain"
"2183","Postsynaptic","PPME1","Brain"
"2215","Postsynaptic","NFU1","Brain"
"2217","Postsynaptic","KAZN","Brain"
"2227","Postsynaptic","HGS","Brain"
"2228","Postsynaptic","PTGES2","Brain"
"2229","Postsynaptic","ACADSB","Brain"
"2235","Postsynaptic","PPP3R1","Brain"
"2239","Postsynaptic","CHMP6","Brain"
"2240","Postsynaptic","TPP1","Brain"
"2242","Postsynaptic","PDP1","Brain"
"2244","Postsynaptic","VTA1","Brain"
"2254","Postsynaptic","TOP2B","Brain"
"2258","Postsynaptic","C3","Brain"
"2264","Postsynaptic","PSIP1","Brain"
"2267","Postsynaptic","ATXN10","Brain"
"2270","Postsynaptic","ICA1","Brain"
"2276","Postsynaptic","PRUNE2","Brain"
"2277","Postsynaptic","CDK5RAP3","Brain"
"2282","Postsynaptic","BLVRB","Brain"
"2287","Postsynaptic","SNX9","Brain"
"2289","Postsynaptic","AHCY","Brain"
"2293","Postsynaptic","SUGT1","Brain"
"2295","Postsynaptic","PSMD5","Brain"
"2298","Postsynaptic","EIF5","Brain"
"2304","Postsynaptic","TXNDC5","Brain"
"2307","Postsynaptic","ERP44","Brain"
"2312","Postsynaptic","GAPDH","Brain"
"2332","Postsynaptic","PMVK","Brain"
"2356","Postsynaptic","LRPAP1","Brain"
"2365","Postsynaptic","PSAP","Brain"
"2370","Postsynaptic","GCLM","Brain"
"2377","Postsynaptic","ANXA4","Brain"
"2384","Postsynaptic","TPR","Brain"
"2387","Postsynaptic","STK24","Brain"
"2389","Postsynaptic","DNAJA4","Brain"
"2393","Postsynaptic","TPD52L2","Brain"
"2424","Postsynaptic","ABHD14B","Brain"
"2438","Postsynaptic","SRP14","Brain"
"2447","Postsynaptic","S100A13","Brain"
"2453","Postsynaptic","DTX3","Brain"
"2464","Postsynaptic","EIF2AK2","Brain"
"2472","Postsynaptic","ASS1","Brain"
"2486","Postsynaptic","ANKMY2","Brain"
"2487","Postsynaptic","LGALS1","Brain"
"2500","Postsynaptic","NCK2","Brain"
"2501","Postsynaptic","IGBP1","Brain"
"2506","Postsynaptic","GLRX5","Brain"
"2519","Postsynaptic","COMT","Brain"
"2537","Postsynaptic","YWHAQ","Brain"
"2544","Postsynaptic","PNPT1","Brain"
"2545","Postsynaptic","GYS1","Brain"
"2548","Postsynaptic","GSR","Brain"
"2566","Postsynaptic","GOPC","Brain"
"2568","Postsynaptic","NIT1","Brain"
"2587","Postsynaptic","DRG2","Brain"
"2621","Postsynaptic","TGM2","Brain"
"2622","Postsynaptic","DCXR","Brain"
"2627","Postsynaptic","DDHD2","Brain"
"2630","Postsynaptic","COL6A3","Brain"
"2633","Postsynaptic","GRSF1","Brain"
"2636","Postsynaptic","LZTFL1","Brain"
"2669","Postsynaptic","NAGK","Brain"
"2670","Postsynaptic","MRPL46","Brain"
"2674","Postsynaptic","PDLIM5","Brain"
"2680","Postsynaptic","NMT1","Brain"
"2682","Postsynaptic","PFKFB2","Brain"
"2712","Postsynaptic","RANBP1","Brain"
"2720","Postsynaptic","TRIM25","Brain"
"2723","Postsynaptic","PTRHD1","Brain"
"2736","Postsynaptic","VPS4B","Brain"
"23521","Postsynaptic","DLG4","Cerebral cortex"
"23530","Postsynaptic","BAIAP2","Cerebral cortex"
"23543","Postsynaptic","CNP","Cerebral cortex"
"23544","Postsynaptic","CIT","Cerebral cortex"
"23567","Postsynaptic","GAPDH","Cerebral cortex"
"23569","Postsynaptic","STXBP1","Cerebral cortex"
"23572","Postsynaptic","DNM1","Cerebral cortex"
