"","Localisation","HumanName","BrainRegion"
"32370","Postsynaptic","NCAN","Frontal lobe"
"32375","Postsynaptic","DNM3","Frontal lobe"
"32392","Postsynaptic","PPIB","Frontal lobe"
"32413","Postsynaptic","CHCHD6","Frontal lobe"
"32422","Postsynaptic","DNAJC6","Frontal lobe"
"32425","Postsynaptic","RAB10","Frontal lobe"
"32440","Postsynaptic","SV2A","Frontal lobe"
"32443","Postsynaptic","ENO1","Frontal lobe"
"32451","Postsynaptic","PCBP2","Frontal lobe"
"32456","Postsynaptic","CCT5","Frontal lobe"
"32478","Postsynaptic","VSNL1","Frontal lobe"
"32481","Postsynaptic","ENO2","Frontal lobe"
"32483","Postsynaptic","DECR1","Frontal lobe"
"32487","Postsynaptic","CSNK2A1","Frontal lobe"
"32488","Postsynaptic","VIM","Frontal lobe"
"32491","Postsynaptic","CLIP2","Frontal lobe"
"32502","Postsynaptic","DNAJB6","Frontal lobe"
"32504","Postsynaptic","RPL14","Frontal lobe"
"32511","Postsynaptic","IGSF8","Frontal lobe"
"32516","Postsynaptic","PRDX5","Frontal lobe"
"32520","Postsynaptic","GPI","Frontal lobe"
"32524","Postsynaptic","DCTN2","Frontal lobe"
"32546","Postsynaptic","CORO1A","Frontal lobe"
"32553","Postsynaptic","RAP1A","Frontal lobe"
"32556","Postsynaptic","HNRNPK","Frontal lobe"
"32576","Postsynaptic","APOE","Frontal lobe"
"32598","Postsynaptic","COX5B","Frontal lobe"
"32599","Postsynaptic","CDC42BPB","Frontal lobe"
"32614","Postsynaptic","EEF1D","Frontal lobe"
"32623","Postsynaptic","LETM1","Frontal lobe"
"32633","Postsynaptic","PRKAR2A","Frontal lobe"
"32634","Postsynaptic","FARSA","Frontal lobe"
"32645","Postsynaptic","OXCT1","Frontal lobe"
"32651","Postsynaptic","HSP90B1","Frontal lobe"
"32653","Postsynaptic","PRDX6","Frontal lobe"
"32655","Postsynaptic","ENPP6","Frontal lobe"
"32656","Postsynaptic","SH3GLB2","Frontal lobe"
"32666","Postsynaptic","ATP6V1G2","Frontal lobe"
"32667","Postsynaptic","TOM1L2","Frontal lobe"
"32682","Postsynaptic","NDUFS6","Frontal lobe"
"32699","Postsynaptic","PARK7","Frontal lobe"
"32711","Postsynaptic","SIRT2","Frontal lobe"
"32714","Postsynaptic","NDUFB7","Frontal lobe"
"32719","Postsynaptic","AK1","Frontal lobe"
"32735","Postsynaptic","MDH1","Frontal lobe"
"32743","Postsynaptic","SNCA","Frontal lobe"
"32744","Postsynaptic","CRYM","Frontal lobe"
"32751","Postsynaptic","PRDX3","Frontal lobe"
"32771","Postsynaptic","STIP1","Frontal lobe"
"32772","Postsynaptic","PLXNA4","Frontal lobe"
"32779","Postsynaptic","PEBP1","Frontal lobe"
"32783","Postsynaptic","HPCAL1","Frontal lobe"
"32785","Postsynaptic","SCRN1","Frontal lobe"
"32792","Postsynaptic","STX7","Frontal lobe"
"32799","Postsynaptic","QDPR","Frontal lobe"
"32816","Postsynaptic","AHSA1","Frontal lobe"
"32817","Postsynaptic","DNAJB2","Frontal lobe"
"32824","Postsynaptic","SLC4A1","Frontal lobe"
"32827","Postsynaptic","ARHGAP1","Frontal lobe"
"32834","Postsynaptic","SDHB","Frontal lobe"
"32840","Postsynaptic","SRPK2","Frontal lobe"
"32841","Postsynaptic","PPP1R12A","Frontal lobe"
"32844","Postsynaptic","ARHGEF12","Frontal lobe"
"32845","Postsynaptic","DDAH1","Frontal lobe"
"32848","Postsynaptic","PHLDB1","Frontal lobe"
"32861","Postsynaptic","NAP1L4","Frontal lobe"
"32864","Postsynaptic","IMPA1","Frontal lobe"
"32884","Postsynaptic","GOT1","Frontal lobe"
"32909","Postsynaptic","PARP1","Frontal lobe"
"32921","Postsynaptic","ANXA1","Frontal lobe"
"32925","Postsynaptic","ANXA11","Frontal lobe"
"32935","Postsynaptic","HSDL2","Frontal lobe"
"32937","Postsynaptic","MTPN","Frontal lobe"
"32951","Postsynaptic","SNX2","Frontal lobe"
"32952","Postsynaptic","LAP3","Frontal lobe"
"32958","Postsynaptic","GSTP1","Frontal lobe"
"32971","Postsynaptic","SOD1","Frontal lobe"
"32972","Postsynaptic","CA2","Frontal lobe"
"32990","Postsynaptic","ANXA2","Frontal lobe"
"32996","Postsynaptic","HMOX2","Frontal lobe"
"33001","Postsynaptic","AARSD1","Frontal lobe"
"33002","Postsynaptic","CAT","Frontal lobe"
"33004","Postsynaptic","TALDO1","Frontal lobe"
"33006","Postsynaptic","HSPB1","Frontal lobe"
"33013","Postsynaptic","MECR","Frontal lobe"
"33017","Postsynaptic","ECHS1","Frontal lobe"
"33026","Postsynaptic","TOMM20","Frontal lobe"
"33030","Postsynaptic","TBC1D17","Frontal lobe"
"33033","Postsynaptic","TST","Frontal lobe"
"33034","Postsynaptic","P4HB","Frontal lobe"
"33035","Postsynaptic","SCAMP3","Frontal lobe"
"33043","Postsynaptic","HAGH","Frontal lobe"
"33050","Postsynaptic","AGRN","Frontal lobe"
"33062","Postsynaptic","ANXA3","Frontal lobe"
"33066","Postsynaptic","TPP1","Frontal lobe"
"33074","Postsynaptic","C3","Frontal lobe"
"33075","Postsynaptic","GRHPR","Frontal lobe"
"33081","Postsynaptic","PGD","Frontal lobe"
"33083","Postsynaptic","BLVRB","Frontal lobe"
"33085","Postsynaptic","AHCY","Frontal lobe"
"33089","Postsynaptic","TF","Frontal lobe"
"33096","Postsynaptic","ERP44","Frontal lobe"
"33099","Postsynaptic","RAB2B","Frontal lobe"
"33101","Postsynaptic","GAPDH","Frontal lobe"
"33105","Postsynaptic","CTSD","Frontal lobe"
"33109","Postsynaptic","ST13","Frontal lobe"
"33110","Postsynaptic","ALDH1A1","Frontal lobe"
"33125","Postsynaptic","RHOC","Frontal lobe"
"33149","Postsynaptic","CA1","Frontal lobe"
"33164","Postsynaptic","PCYT2","Frontal lobe"
"33171","Postsynaptic","LGALS1","Frontal lobe"
"33185","Postsynaptic","PON2","Frontal lobe"
"33186","Postsynaptic","COMT","Frontal lobe"
"33197","Postsynaptic","YWHAQ","Frontal lobe"
"33201","Postsynaptic","ERP29","Frontal lobe"
"33207","Postsynaptic","GNPDA1","Frontal lobe"
"33209","Postsynaptic","CFH","Frontal lobe"
"33226","Postsynaptic","TXNRD1","Frontal lobe"
"33235","Postsynaptic","SERPINB6","Frontal lobe"
"33237","Postsynaptic","CDC37","Frontal lobe"
"33249","Postsynaptic","PTGDS","Frontal lobe"
"33259","Postsynaptic","MAVS","Frontal lobe"
"33272","Postsynaptic","FAS","Frontal lobe"
"33286","Postsynaptic","ANKRD54","Frontal lobe"
"33300","Postsynaptic","DLG4","Occipital lobe"
"33309","Postsynaptic","BAIAP2","Occipital lobe"
"33320","Postsynaptic","CNP","Occipital lobe"
"33321","Postsynaptic","CIT","Occipital lobe"
"33344","Postsynaptic","STXBP1","Occipital lobe"
"33346","Postsynaptic","DNM1","Occipital lobe"
"33348","Postsynaptic","ADD1","Occipital lobe"
"33358","Postsynaptic","IMMT","Occipital lobe"
"33359","Postsynaptic","MAP2","Occipital lobe"
"33364","Postsynaptic","PPP1R9B","Occipital lobe"
"33392","Postsynaptic","AP2B1","Occipital lobe"
"33393","Postsynaptic","MYH9","Occipital lobe"
"33397","Postsynaptic","NFASC","Occipital lobe"
"33399","Postsynaptic","DBN1","Occipital lobe"
"33401","Postsynaptic","WASF1","Occipital lobe"
"33406","Postsynaptic","YWHAQ","Occipital lobe"
"33450","Postsynaptic","BCAN","Occipital lobe"
"33454","Postsynaptic","PRDX2","Occipital lobe"
"33459","Postsynaptic","DCTN1","Occipital lobe"
"33472","Postsynaptic","GIT1","Occipital lobe"
"33473","Postsynaptic","MINK1","Occipital lobe"
"33474","Postsynaptic","DNAJA2","Occipital lobe"
"33478","Postsynaptic","MAPT","Occipital lobe"
"33519","Postsynaptic","ERC2","Occipital lobe"
"33522","Postsynaptic","NCAN","Occipital lobe"
"33526","Postsynaptic","DNM3","Occipital lobe"
"33540","Postsynaptic","PPIB","Occipital lobe"
"33561","Postsynaptic","CHCHD6","Occipital lobe"
"33570","Postsynaptic","DNAJC6","Occipital lobe"
"33572","Postsynaptic","RAB10","Occipital lobe"
"33598","Postsynaptic","PCBP2","Occipital lobe"
"33604","Postsynaptic","CCT5","Occipital lobe"
"33628","Postsynaptic","VSNL1","Occipital lobe"
"33631","Postsynaptic","ENO2","Occipital lobe"
"33634","Postsynaptic","DECR1","Occipital lobe"
"33639","Postsynaptic","CLIP2","Occipital lobe"
"33666","Postsynaptic","IGSF8","Occipital lobe"
"33672","Postsynaptic","PRDX5","Occipital lobe"
"33676","Postsynaptic","GPI","Occipital lobe"
"33680","Postsynaptic","DCTN2","Occipital lobe"
"33703","Postsynaptic","MAP2K1","Occipital lobe"
"33711","Postsynaptic","CORO1A","Occipital lobe"
"33717","Postsynaptic","RAP1A","Occipital lobe"
"33719","Postsynaptic","HNRNPK","Occipital lobe"
"33731","Postsynaptic","PRKAR1A","Occipital lobe"
"33770","Postsynaptic","COX5B","Occipital lobe"
"33771","Postsynaptic","CDC42BPB","Occipital lobe"
"33787","Postsynaptic","LRRC59","Occipital lobe"
"33789","Postsynaptic","SRC","Occipital lobe"
"33790","Postsynaptic","EEF1D","Occipital lobe"
"33803","Postsynaptic","RAPGEF2","Occipital lobe"
"33813","Postsynaptic","PRKAR2A","Occipital lobe"
"33814","Postsynaptic","FARSA","Occipital lobe"
"33820","Postsynaptic","CSNK1D","Occipital lobe"
"33821","Postsynaptic","DBNL","Occipital lobe"
"33833","Postsynaptic","OXCT1","Occipital lobe"
"33837","Postsynaptic","PRDX6","Occipital lobe"
"33841","Postsynaptic","ENPP6","Occipital lobe"
"33842","Postsynaptic","SH3GLB2","Occipital lobe"
"33853","Postsynaptic","ATP6V1G2","Occipital lobe"
"33883","Postsynaptic","NDUFS6","Occipital lobe"
"33898","Postsynaptic","BCR","Occipital lobe"
"33899","Postsynaptic","EHD3","Occipital lobe"
"33923","Postsynaptic","AK1","Occipital lobe"
"33946","Postsynaptic","SNCA","Occipital lobe"
"33949","Postsynaptic","CRYM","Occipital lobe"
"33961","Postsynaptic","PRDX3","Occipital lobe"
"33979","Postsynaptic","SLC27A4","Occipital lobe"
"33986","Postsynaptic","NEDD4L","Occipital lobe"
"33987","Postsynaptic","CEP170","Occipital lobe"
"33988","Postsynaptic","MYCBP2","Occipital lobe"
"33999","Postsynaptic","C1QBP","Occipital lobe"
"34012","Postsynaptic","QDPR","Occipital lobe"
"34019","Postsynaptic","BRSK2","Occipital lobe"
"34025","Postsynaptic","AHSA1","Occipital lobe"
"34029","Postsynaptic","DNAJB2","Occipital lobe"
"34037","Postsynaptic","SLC4A1","Occipital lobe"
"34043","Postsynaptic","ARHGAP1","Occipital lobe"
"34047","Postsynaptic","NSFL1C","Occipital lobe"
"34064","Postsynaptic","LARP1","Occipital lobe"
"34069","Postsynaptic","COX6B1","Occipital lobe"
"34074","Postsynaptic","MPRIP","Occipital lobe"
"34079","Postsynaptic","ARHGEF12","Occipital lobe"
"34081","Postsynaptic","BAG6","Occipital lobe"
"34108","Postsynaptic","SSBP1","Occipital lobe"
"34116","Postsynaptic","USO1","Occipital lobe"
"34135","Postsynaptic","NDUFA5","Occipital lobe"
"34139","Postsynaptic","LONP1","Occipital lobe"
"34154","Postsynaptic","IST1","Occipital lobe"
"34166","Postsynaptic","ANXA11","Occipital lobe"
"34167","Postsynaptic","ESYT2","Occipital lobe"
"34177","Postsynaptic","PSMD1","Occipital lobe"
"34180","Postsynaptic","ARF6","Occipital lobe"
"34186","Postsynaptic","ACOT13","Occipital lobe"
"34193","Postsynaptic","EIF4E","Occipital lobe"
"34196","Postsynaptic","PRKRA","Occipital lobe"
"34199","Postsynaptic","TWF2","Occipital lobe"
"34239","Postsynaptic","RABEP1","Occipital lobe"
"34240","Postsynaptic","SEC31A","Occipital lobe"
"34246","Postsynaptic","NT5E","Occipital lobe"
"34261","Postsynaptic","CD59","Occipital lobe"
"34266","Postsynaptic","TBCB","Occipital lobe"
"34290","Postsynaptic","TBC1D17","Occipital lobe"
"34296","Postsynaptic","COPB2","Occipital lobe"
"34344","Postsynaptic","RAB2B","Occipital lobe"
"34363","Postsynaptic","PMVK","Occipital lobe"
"34390","Postsynaptic","GCLM","Occipital lobe"
"34395","Postsynaptic","ANXA4","Occipital lobe"
"34416","Postsynaptic","PNPT1","Occipital lobe"
"34417","Postsynaptic","GYS1","Occipital lobe"
"34421","Postsynaptic","NUDC","Occipital lobe"
"34426","Postsynaptic","CIAPIN1","Occipital lobe"
"34439","Postsynaptic","GOPC","Occipital lobe"
"34441","Postsynaptic","NIT1","Occipital lobe"
"34491","Postsynaptic","PSMD9","Occipital lobe"
"34505","Postsynaptic","DLG4","Temporal lobe"
"34514","Postsynaptic","BAIAP2","Temporal lobe"
"34525","Postsynaptic","CNP","Temporal lobe"
"34526","Postsynaptic","CIT","Temporal lobe"
"34549","Postsynaptic","STXBP1","Temporal lobe"
"34551","Postsynaptic","DNM1","Temporal lobe"
"34553","Postsynaptic","ADD1","Temporal lobe"
"34563","Postsynaptic","IMMT","Temporal lobe"
"34564","Postsynaptic","MAP2","Temporal lobe"
"34569","Postsynaptic","PPP1R9B","Temporal lobe"
"34597","Postsynaptic","AP2B1","Temporal lobe"
"34598","Postsynaptic","MYH9","Temporal lobe"
"34602","Postsynaptic","NFASC","Temporal lobe"
"34604","Postsynaptic","DBN1","Temporal lobe"
"34606","Postsynaptic","WASF1","Temporal lobe"
"34611","Postsynaptic","YWHAQ","Temporal lobe"
"34655","Postsynaptic","BCAN","Temporal lobe"
"34659","Postsynaptic","PRDX2","Temporal lobe"
"34664","Postsynaptic","DCTN1","Temporal lobe"
"34677","Postsynaptic","GIT1","Temporal lobe"
"34678","Postsynaptic","MINK1","Temporal lobe"
"34679","Postsynaptic","DNAJA2","Temporal lobe"
"34683","Postsynaptic","MAPT","Temporal lobe"
"34724","Postsynaptic","ERC2","Temporal lobe"
"34727","Postsynaptic","NCAN","Temporal lobe"
"34731","Postsynaptic","DNM3","Temporal lobe"
"34745","Postsynaptic","PPIB","Temporal lobe"
"34766","Postsynaptic","CHCHD6","Temporal lobe"
"34775","Postsynaptic","DNAJC6","Temporal lobe"
"34777","Postsynaptic","RAB10","Temporal lobe"
"34803","Postsynaptic","PCBP2","Temporal lobe"
"34809","Postsynaptic","CCT5","Temporal lobe"
"34833","Postsynaptic","VSNL1","Temporal lobe"
"34836","Postsynaptic","ENO2","Temporal lobe"
"34839","Postsynaptic","DECR1","Temporal lobe"
"34844","Postsynaptic","CLIP2","Temporal lobe"
"34871","Postsynaptic","IGSF8","Temporal lobe"
"34877","Postsynaptic","PRDX5","Temporal lobe"
"34881","Postsynaptic","GPI","Temporal lobe"
"34885","Postsynaptic","DCTN2","Temporal lobe"
"34908","Postsynaptic","MAP2K1","Temporal lobe"
"34916","Postsynaptic","CORO1A","Temporal lobe"
"34922","Postsynaptic","RAP1A","Temporal lobe"
"34924","Postsynaptic","HNRNPK","Temporal lobe"
"34936","Postsynaptic","PRKAR1A","Temporal lobe"
"34975","Postsynaptic","COX5B","Temporal lobe"
"34976","Postsynaptic","CDC42BPB","Temporal lobe"
"34992","Postsynaptic","LRRC59","Temporal lobe"
"34994","Postsynaptic","SRC","Temporal lobe"
"34995","Postsynaptic","EEF1D","Temporal lobe"
"35008","Postsynaptic","RAPGEF2","Temporal lobe"
"35018","Postsynaptic","PRKAR2A","Temporal lobe"
"35019","Postsynaptic","FARSA","Temporal lobe"
"35025","Postsynaptic","CSNK1D","Temporal lobe"
"35026","Postsynaptic","DBNL","Temporal lobe"
"35038","Postsynaptic","OXCT1","Temporal lobe"
"35042","Postsynaptic","PRDX6","Temporal lobe"
"35046","Postsynaptic","ENPP6","Temporal lobe"
"35047","Postsynaptic","SH3GLB2","Temporal lobe"
"35058","Postsynaptic","ATP6V1G2","Temporal lobe"
"35088","Postsynaptic","NDUFS6","Temporal lobe"
"35103","Postsynaptic","BCR","Temporal lobe"
"35104","Postsynaptic","EHD3","Temporal lobe"
"35128","Postsynaptic","AK1","Temporal lobe"
"35151","Postsynaptic","SNCA","Temporal lobe"
"35154","Postsynaptic","CRYM","Temporal lobe"
"35166","Postsynaptic","PRDX3","Temporal lobe"
"35184","Postsynaptic","SLC27A4","Temporal lobe"
"35191","Postsynaptic","NEDD4L","Temporal lobe"
"35192","Postsynaptic","CEP170","Temporal lobe"
"35193","Postsynaptic","MYCBP2","Temporal lobe"
"35204","Postsynaptic","C1QBP","Temporal lobe"
"35217","Postsynaptic","QDPR","Temporal lobe"
"35224","Postsynaptic","BRSK2","Temporal lobe"
"35230","Postsynaptic","AHSA1","Temporal lobe"
"35234","Postsynaptic","DNAJB2","Temporal lobe"
"35242","Postsynaptic","SLC4A1","Temporal lobe"
"35248","Postsynaptic","ARHGAP1","Temporal lobe"
"35252","Postsynaptic","NSFL1C","Temporal lobe"
"35269","Postsynaptic","LARP1","Temporal lobe"
"35274","Postsynaptic","COX6B1","Temporal lobe"
"35279","Postsynaptic","MPRIP","Temporal lobe"
"35284","Postsynaptic","ARHGEF12","Temporal lobe"
"35286","Postsynaptic","BAG6","Temporal lobe"
"35313","Postsynaptic","SSBP1","Temporal lobe"
"35321","Postsynaptic","USO1","Temporal lobe"
"35340","Postsynaptic","NDUFA5","Temporal lobe"
"35344","Postsynaptic","LONP1","Temporal lobe"
"35359","Postsynaptic","IST1","Temporal lobe"
"35371","Postsynaptic","ANXA11","Temporal lobe"
"35372","Postsynaptic","ESYT2","Temporal lobe"
"35382","Postsynaptic","PSMD1","Temporal lobe"
"35385","Postsynaptic","ARF6","Temporal lobe"
"35391","Postsynaptic","ACOT13","Temporal lobe"
"35398","Postsynaptic","EIF4E","Temporal lobe"
"35401","Postsynaptic","PRKRA","Temporal lobe"
"35404","Postsynaptic","TWF2","Temporal lobe"
"35444","Postsynaptic","RABEP1","Temporal lobe"
"35445","Postsynaptic","SEC31A","Temporal lobe"
"35451","Postsynaptic","NT5E","Temporal lobe"
"35466","Postsynaptic","CD59","Temporal lobe"
"35471","Postsynaptic","TBCB","Temporal lobe"
"35495","Postsynaptic","TBC1D17","Temporal lobe"
"35501","Postsynaptic","COPB2","Temporal lobe"
"35549","Postsynaptic","RAB2B","Temporal lobe"
"35568","Postsynaptic","PMVK","Temporal lobe"
"35595","Postsynaptic","GCLM","Temporal lobe"
"35600","Postsynaptic","ANXA4","Temporal lobe"
"35621","Postsynaptic","PNPT1","Temporal lobe"
"35622","Postsynaptic","GYS1","Temporal lobe"
"35626","Postsynaptic","NUDC","Temporal lobe"
"35631","Postsynaptic","CIAPIN1","Temporal lobe"
"35644","Postsynaptic","GOPC","Temporal lobe"
"35646","Postsynaptic","NIT1","Temporal lobe"
"35696","Postsynaptic","PSMD9","Temporal lobe"
"35710","Postsynaptic","DLG4","Parietal lobe"
"35719","Postsynaptic","BAIAP2","Parietal lobe"
"35730","Postsynaptic","CNP","Parietal lobe"
"35731","Postsynaptic","CIT","Parietal lobe"
"35754","Postsynaptic","STXBP1","Parietal lobe"
"35756","Postsynaptic","DNM1","Parietal lobe"
"35758","Postsynaptic","ADD1","Parietal lobe"
"35768","Postsynaptic","IMMT","Parietal lobe"
"35769","Postsynaptic","MAP2","Parietal lobe"
"35774","Postsynaptic","PPP1R9B","Parietal lobe"
"35802","Postsynaptic","AP2B1","Parietal lobe"
"35803","Postsynaptic","MYH9","Parietal lobe"
"35807","Postsynaptic","NFASC","Parietal lobe"
"35809","Postsynaptic","DBN1","Parietal lobe"
"35811","Postsynaptic","WASF1","Parietal lobe"
"35816","Postsynaptic","YWHAQ","Parietal lobe"
"35860","Postsynaptic","BCAN","Parietal lobe"
"35864","Postsynaptic","PRDX2","Parietal lobe"
"35869","Postsynaptic","DCTN1","Parietal lobe"
"35882","Postsynaptic","GIT1","Parietal lobe"
"35883","Postsynaptic","MINK1","Parietal lobe"
"35884","Postsynaptic","DNAJA2","Parietal lobe"
"35888","Postsynaptic","MAPT","Parietal lobe"
"35929","Postsynaptic","ERC2","Parietal lobe"
"35932","Postsynaptic","NCAN","Parietal lobe"
"35936","Postsynaptic","DNM3","Parietal lobe"
"35950","Postsynaptic","PPIB","Parietal lobe"
"35971","Postsynaptic","CHCHD6","Parietal lobe"
"35980","Postsynaptic","DNAJC6","Parietal lobe"
"35982","Postsynaptic","RAB10","Parietal lobe"
"36008","Postsynaptic","PCBP2","Parietal lobe"
"36014","Postsynaptic","CCT5","Parietal lobe"
"36038","Postsynaptic","VSNL1","Parietal lobe"
"36041","Postsynaptic","ENO2","Parietal lobe"
"36044","Postsynaptic","DECR1","Parietal lobe"
"36049","Postsynaptic","CLIP2","Parietal lobe"
"36076","Postsynaptic","IGSF8","Parietal lobe"
"36082","Postsynaptic","PRDX5","Parietal lobe"
"36086","Postsynaptic","GPI","Parietal lobe"
"36090","Postsynaptic","DCTN2","Parietal lobe"
"36113","Postsynaptic","MAP2K1","Parietal lobe"
"36121","Postsynaptic","CORO1A","Parietal lobe"
"36127","Postsynaptic","RAP1A","Parietal lobe"
"36129","Postsynaptic","HNRNPK","Parietal lobe"
"36141","Postsynaptic","PRKAR1A","Parietal lobe"
"36180","Postsynaptic","COX5B","Parietal lobe"
"36181","Postsynaptic","CDC42BPB","Parietal lobe"
"36197","Postsynaptic","LRRC59","Parietal lobe"
"36199","Postsynaptic","SRC","Parietal lobe"
"36200","Postsynaptic","EEF1D","Parietal lobe"
"36213","Postsynaptic","RAPGEF2","Parietal lobe"
"36223","Postsynaptic","PRKAR2A","Parietal lobe"
"36224","Postsynaptic","FARSA","Parietal lobe"
"36230","Postsynaptic","CSNK1D","Parietal lobe"
"36231","Postsynaptic","DBNL","Parietal lobe"
"36243","Postsynaptic","OXCT1","Parietal lobe"
"36247","Postsynaptic","PRDX6","Parietal lobe"
"36251","Postsynaptic","ENPP6","Parietal lobe"
"36252","Postsynaptic","SH3GLB2","Parietal lobe"
"36263","Postsynaptic","ATP6V1G2","Parietal lobe"
"36293","Postsynaptic","NDUFS6","Parietal lobe"
"36308","Postsynaptic","BCR","Parietal lobe"
"36309","Postsynaptic","EHD3","Parietal lobe"
"36333","Postsynaptic","AK1","Parietal lobe"
"36356","Postsynaptic","SNCA","Parietal lobe"
"36359","Postsynaptic","CRYM","Parietal lobe"
"36371","Postsynaptic","PRDX3","Parietal lobe"
"36389","Postsynaptic","SLC27A4","Parietal lobe"
"36396","Postsynaptic","NEDD4L","Parietal lobe"
"36397","Postsynaptic","CEP170","Parietal lobe"
"36398","Postsynaptic","MYCBP2","Parietal lobe"
"36409","Postsynaptic","C1QBP","Parietal lobe"
"36422","Postsynaptic","QDPR","Parietal lobe"
"36429","Postsynaptic","BRSK2","Parietal lobe"
"36435","Postsynaptic","AHSA1","Parietal lobe"
"36439","Postsynaptic","DNAJB2","Parietal lobe"
"36447","Postsynaptic","SLC4A1","Parietal lobe"
"36453","Postsynaptic","ARHGAP1","Parietal lobe"
"36457","Postsynaptic","NSFL1C","Parietal lobe"
"36474","Postsynaptic","LARP1","Parietal lobe"
"36479","Postsynaptic","COX6B1","Parietal lobe"
"36484","Postsynaptic","MPRIP","Parietal lobe"
"36489","Postsynaptic","ARHGEF12","Parietal lobe"
"36491","Postsynaptic","BAG6","Parietal lobe"
"36518","Postsynaptic","SSBP1","Parietal lobe"
"36526","Postsynaptic","USO1","Parietal lobe"
"36545","Postsynaptic","NDUFA5","Parietal lobe"
"36549","Postsynaptic","LONP1","Parietal lobe"
"36564","Postsynaptic","IST1","Parietal lobe"
"36576","Postsynaptic","ANXA11","Parietal lobe"
"36577","Postsynaptic","ESYT2","Parietal lobe"
"36587","Postsynaptic","PSMD1","Parietal lobe"
"36590","Postsynaptic","ARF6","Parietal lobe"
"36596","Postsynaptic","ACOT13","Parietal lobe"
"36603","Postsynaptic","EIF4E","Parietal lobe"
"36606","Postsynaptic","PRKRA","Parietal lobe"
"36609","Postsynaptic","TWF2","Parietal lobe"
"36649","Postsynaptic","RABEP1","Parietal lobe"
"36650","Postsynaptic","SEC31A","Parietal lobe"
"36656","Postsynaptic","NT5E","Parietal lobe"
"36671","Postsynaptic","CD59","Parietal lobe"
"36676","Postsynaptic","TBCB","Parietal lobe"
"36700","Postsynaptic","TBC1D17","Parietal lobe"
"36706","Postsynaptic","COPB2","Parietal lobe"
"36754","Postsynaptic","RAB2B","Parietal lobe"
"36773","Postsynaptic","PMVK","Parietal lobe"
"36800","Postsynaptic","GCLM","Parietal lobe"
"36805","Postsynaptic","ANXA4","Parietal lobe"
"36826","Postsynaptic","PNPT1","Parietal lobe"
"36827","Postsynaptic","GYS1","Parietal lobe"
"36831","Postsynaptic","NUDC","Parietal lobe"
"36836","Postsynaptic","CIAPIN1","Parietal lobe"
"36849","Postsynaptic","GOPC","Parietal lobe"
"36851","Postsynaptic","NIT1","Parietal lobe"
"36901","Postsynaptic","PSMD9","Parietal lobe"
"54920","Synaptosome","PSMD1","Hippocampus"
"54934","Synaptosome","AP2B1","Hippocampus"
"54943","Synaptosome","STXBP3","Hippocampus"
"54951","Synaptosome","YES1","Hippocampus"
"54958","Synaptosome","STAM","Hippocampus"
"54962","Synaptosome","DNPEP","Hippocampus"
"54963","Synaptosome","SIRT2","Hippocampus"
"54978","Synaptosome","ARF6","Hippocampus"
"54985","Synaptosome","SNCA","Hippocampus"
"54991","Synaptosome","PCBP2","Hippocampus"
"54998","Synaptosome","SLC4A1","Hippocampus"
"55000","Synaptosome","BCR","Hippocampus"
"55022","Synaptosome","CSNK1D","Hippocampus"
"55026","Synaptosome","DNAJB6","Hippocampus"
"55032","Synaptosome","TBCB","Hippocampus"
"55034","Synaptosome","CRYM","Hippocampus"
"55036","Synaptosome","PRDX5","Hippocampus"
"55037","Synaptosome","PACS2","Hippocampus"
"55038","Synaptosome","PEBP1","Hippocampus"
"55043","Synaptosome","DBNL","Hippocampus"
"55044","Synaptosome","SNX2","Hippocampus"
"55048","Synaptosome","DCTN1","Hippocampus"
"55051","Synaptosome","CACYBP","Hippocampus"
"55058","Synaptosome","CLIP2","Hippocampus"
"55070","Synaptosome","DUSP3","Hippocampus"
"55077","Synaptosome","PRKAR2A","Hippocampus"
"55078","Synaptosome","FARSA","Hippocampus"
"55079","Synaptosome","ARFIP1","Hippocampus"
"55089","Synaptosome","HNRNPK","Hippocampus"
"55092","Synaptosome","MYH9","Hippocampus"
"55093","Synaptosome","TPP1","Hippocampus"
"55097","Synaptosome","AARSD1","Hippocampus"
"55100","Synaptosome","TDRKH","Hippocampus"
"55130","Synaptosome","APP","Hippocampus"
"55138","Synaptosome","LAP3","Hippocampus"
"55139","Synaptosome","ANXA11","Hippocampus"
"55146","Synaptosome","SLC9A3R1","Hippocampus"
"55147","Synaptosome","CST3","Hippocampus"
"55149","Synaptosome","CAT","Hippocampus"
"55155","Synaptosome","PDP1","Hippocampus"
"55172","Synaptosome","EIF4B","Hippocampus"
"55183","Synaptosome","CTSD","Hippocampus"
"55186","Synaptosome","CCT5","Hippocampus"
"55188","Synaptosome","VTA1","Hippocampus"
"55191","Synaptosome","NDUFS6","Hippocampus"
"55201","Synaptosome","MAP2K1","Hippocampus"
"55205","Synaptosome","ESYT2","Hippocampus"
"55206","Synaptosome","ABHD14B","Hippocampus"
"55225","Synaptosome","LARP1","Hippocampus"
"55228","Synaptosome","ACOT13","Hippocampus"
"55251","Synaptosome","DNM1","Hippocampus"
"55256","Synaptosome","AK1","Hippocampus"
"55267","Synaptosome","DTD1","Hippocampus"
"55302","Synaptosome","RABEP1","Hippocampus"
"55316","Synaptosome","GPI","Hippocampus"
"55334","Synaptosome","ADD1","Hippocampus"
"55339","Synaptosome","SCP2","Hippocampus"
