"","Localisation","HumanName","BrainRegion"
"879","Postsynaptic","SYNJ1","Brain"
"880","Postsynaptic","CDH2","Brain"
"881","Postsynaptic","CNKSR2","Brain"
"882","Postsynaptic","YWHAE","Brain"
"883","Postsynaptic","SLC1A3","Brain"
"884","Postsynaptic","PPIA","Brain"
"885","Postsynaptic","YWHAG","Brain"
"886","Postsynaptic","NCKAP1","Brain"
"887","Postsynaptic","DLGAP2","Brain"
"888","Postsynaptic","PRKCB","Brain"
"889","Postsynaptic","PPP3CA","Brain"
"890","Postsynaptic","MAPK1","Brain"
"891","Postsynaptic","GRIA4","Brain"
"892","Postsynaptic","RPS3","Brain"
"893","Postsynaptic","UQCRC2","Brain"
"894","Postsynaptic","SUCLG1","Brain"
"895","Postsynaptic","ACAT1","Brain"
"896","Postsynaptic","NIPSNAP1","Brain"
"897","Postsynaptic","GNAZ","Brain"
"898","Postsynaptic","BCAN","Brain"
"899","Postsynaptic","NDUFS1","Brain"
"900","Postsynaptic","SLC25A12","Brain"
"901","Postsynaptic","PFKM","Brain"
"902","Postsynaptic","PRDX2","Brain"
"903","Postsynaptic","RPL12","Brain"
"904","Postsynaptic","DLGAP4","Brain"
"905","Postsynaptic","DDX3X","Brain"
"906","Postsynaptic","KIF2A","Brain"
"907","Postsynaptic","SPTAN1","Brain"
"908","Postsynaptic","ARPC2","Brain"
"909","Postsynaptic","TPPP","Brain"
"910","Postsynaptic","DCTN1","Brain"
"911","Postsynaptic","EEF1A1","Brain"
"912","Postsynaptic","GPHN","Brain"
"913","Postsynaptic","RAPGEF4","Brain"
"914","Postsynaptic","AGAP2","Brain"
"915","Postsynaptic","EEF2","Brain"
"916","Postsynaptic","PTPRS","Brain"
"917","Postsynaptic","DMXL2","Brain"
"918","Postsynaptic","ANK3","Brain"
"919","Postsynaptic","CLASP2","Brain"
"920","Postsynaptic","CNTNAP1","Brain"
"921","Postsynaptic","HSPA9","Brain"
"922","Postsynaptic","ABI1","Brain"
"923","Postsynaptic","GIT1","Brain"
"924","Postsynaptic","MINK1","Brain"
"925","Postsynaptic","DNAJA2","Brain"
"926","Postsynaptic","EPB41L1","Brain"
"927","Postsynaptic","UNC13A","Brain"
"928","Postsynaptic","MTCH2","Brain"
"929","Postsynaptic","ADGRL1","Brain"
"930","Postsynaptic","TPI1","Brain"
"931","Postsynaptic","MAPT","Brain"
"932","Postsynaptic","06-Sep","Brain"
"933","Postsynaptic","RPS8","Brain"
"934","Postsynaptic","CNTN2","Brain"
"935","Postsynaptic","08-Sep","Brain"
"936","Postsynaptic","ATP6V0A1","Brain"
"937","Postsynaptic","ATP6V1E1","Brain"
"938","Postsynaptic","RHOG","Brain"
"939","Postsynaptic","ACTR2","Brain"
"940","Postsynaptic","HK1","Brain"
"941","Postsynaptic","MARK2","Brain"
"942","Postsynaptic","CKB","Brain"
"943","Postsynaptic","HAPLN1","Brain"
"944","Postsynaptic","PRDX1","Brain"
"945","Postsynaptic","TPM3","Brain"
"946","Postsynaptic","HSPA12A","Brain"
"947","Postsynaptic","DYNLL2","Brain"
"948","Postsynaptic","THY1","Brain"
"949","Postsynaptic","GABRA1","Brain"
"950","Postsynaptic","SUCLA2","Brain"
"951","Postsynaptic","STX1B","Brain"
"952","Postsynaptic","STX1A","Brain"
"953","Postsynaptic","AP1B1","Brain"
"954","Postsynaptic","DNAJA1","Brain"
"955","Postsynaptic","TAGLN3","Brain"
"956","Postsynaptic","PHACTR1","Brain"
"957","Postsynaptic","RAB3A","Brain"
"958","Postsynaptic","BEGAIN","Brain"
"959","Postsynaptic","HSPD1","Brain"
"960","Postsynaptic","SORBS2","Brain"
"961","Postsynaptic","PCBP1","Brain"
"962","Postsynaptic","GABBR2","Brain"
"963","Postsynaptic","SLC12A5","Brain"
"964","Postsynaptic","PLCB1","Brain"
"965","Postsynaptic","CAMKV","Brain"
"966","Postsynaptic","TJP1","Brain"
"967","Postsynaptic","CACNA2D1","Brain"
"968","Postsynaptic","GSK3B","Brain"
"969","Postsynaptic","11-Sep","Brain"
"970","Postsynaptic","OGT","Brain"
"971","Postsynaptic","PDE2A","Brain"
"972","Postsynaptic","NAPB","Brain"
"973","Postsynaptic","PPFIA3","Brain"
"974","Postsynaptic","02-Sep","Brain"
"975","Postsynaptic","03-Sep","Brain"
"976","Postsynaptic","ERC2","Brain"
"977","Postsynaptic","ARPC3","Brain"
"978","Postsynaptic","MPP2","Brain"
"979","Postsynaptic","NCAN","Brain"
"980","Postsynaptic","SYNE1","Brain"
"981","Postsynaptic","NRXN1","Brain"
"982","Postsynaptic","ARC","Brain"
"983","Postsynaptic","WDR7","Brain"
"984","Postsynaptic","DNM3","Brain"
"985","Postsynaptic","RTN1","Brain"
"986","Postsynaptic","DLGAP3","Brain"
"987","Postsynaptic","ADAM22","Brain"
"988","Postsynaptic","GNB2","Brain"
"989","Postsynaptic","GOT2","Brain"
"990","Postsynaptic","JUP","Brain"
"991","Postsynaptic","RPLP0","Brain"
"992","Postsynaptic","RPL7A","Brain"
"993","Postsynaptic","VAMP2","Brain"
"994","Postsynaptic","NEGR1","Brain"
