"","baseMean","LFC_2_1","lfcSE","stat","pvalue","FDR_2_1","Ensembl_ID","Gene_name"
"ENSG00000001561",955.709352390784,0.291216263006883,0.0760539640071252,3.82907408980812,0.000128626282170329,0.0236545146386863,"ENSG00000001561","ENPP4"
"ENSG00000002587",42.8643563945076,-0.433457007047463,0.133903989907771,-3.23707312490102,0.00120762462623936,0.0807822812206768,"ENSG00000002587","HS3ST1"
"ENSG00000004799",818.131809353879,0.632859734104656,0.153552778704356,4.12144761849695,3.7649908368613e-05,0.0108632968370472,"ENSG00000004799","PDK4"
"ENSG00000004939",44.72245562547,2.23473469658915,0.41359537996963,5.4031906660883,6.54658069164987e-08,0.000219114055749521,"ENSG00000004939","SLC4A1"
"ENSG00000007312",2564.91632365628,-0.304057129988732,0.095777135982235,-3.17463167874564,0.00150026802185428,0.0884048779779271,"ENSG00000007312","CD79B"
"ENSG00000007402",698.268125362003,0.345839338751596,0.101332727002094,3.41290863261233,0.000642734870601293,0.0587768746421455,"ENSG00000007402","CACNA2D2"
"ENSG00000010810",8940.35370231391,0.130987712536339,0.0372749791578672,3.51409217377639,0.00044125966870937,0.0496365721723054,"ENSG00000010810","FYN"
"ENSG00000012124",3201.41445066894,-0.366613323228438,0.116763800180519,-3.13978581256903,0.00169071399600626,0.0949466400106198,"ENSG00000012124","CD22"
"ENSG00000020633",9768.32660629488,0.195804862562864,0.0571888024850185,3.42383218487847,0.000617447372141792,0.0582711023840228,"ENSG00000020633","RUNX3"
"ENSG00000027075",6316.19900017294,0.201353242939664,0.0529763363337065,3.80081479533253,0.000144221069678284,0.0251410375111051,"ENSG00000027075","PRKCH"
"ENSG00000027869",793.841910987864,0.269874337044759,0.0846938963752254,3.18646736772052,0.0014402173369159,0.0870203542268781,"ENSG00000027869","SH2D2A"
"ENSG00000035664",173.418990466421,0.353621644096899,0.101279823370643,3.49153101109573,0.000480260710534672,0.0524103525362248,"ENSG00000035664","DAPK2"
"ENSG00000040933",4367.8853531203,0.108384868862941,0.0285019611969623,3.80271617500104,0.000143118288519891,0.0251410375111051,"ENSG00000040933","INPP4A"
"ENSG00000047365",4103.20914195035,0.212104191717412,0.0529263254755319,4.00753669958571,6.13553298644885e-05,0.0142142710923852,"ENSG00000047365","ARAP2"
"ENSG00000048028",1811.00085510218,0.21882559169429,0.0561275642842034,3.89871882888523,9.67029850041878e-05,0.0192657673100605,"ENSG00000048028","USP28"
"ENSG00000048462",142.714280141199,-0.658314850777683,0.201552913972777,-3.26621351089272,0.00108996034236557,0.076964077339611,"ENSG00000048462","TNFRSF17"
"ENSG00000050730",55.5676066794161,0.379388174428856,0.117034717203672,3.24167207383958,0.00118830671595469,0.0798647104076374,"ENSG00000050730","TNIP3"
"ENSG00000057704",516.717889853305,0.254730041447632,0.0742096472035215,3.432573136334,0.000597882602888804,0.0582398435682482,"ENSG00000057704","TMCC3"
"ENSG00000058091",380.023579061284,-0.284127133989964,0.0835220836691231,-3.40182047080564,0.0006693859518033,0.0598846217516405,"ENSG00000058091","CDK14"
"ENSG00000058668",6723.26047463346,0.236528208317617,0.0523527719952073,4.51796914095151,6.24355807658591e-06,0.00401869016967943,"ENSG00000058668","ATP2B4"
"ENSG00000060140",132.725446320702,0.349432081778689,0.111653899002114,3.12960035342853,0.00175044270815325,0.0960447826916215,"ENSG00000060140","STYK1"
"ENSG00000060237",7078.10138935266,0.131347468600658,0.0311790121092179,4.21268859130486,2.52348862984514e-05,0.00828050631773695,"ENSG00000060237","WNK1"
"ENSG00000061273",3649.12141822069,-0.158519351130934,0.0421146462503736,-3.76399578874601,0.000167219700424932,0.0266516351105831,"ENSG00000061273","HDAC7"
"ENSG00000064012",5416.30540909936,0.17711713145146,0.0528118744601152,3.35373688705602,0.000797281360612259,0.0657266185706707,"ENSG00000064012","CASP8"
"ENSG00000066926",578.996769436247,0.107170367048289,0.0336381492907983,3.18597691334956,0.00144266109053032,0.0870203542268781,"ENSG00000066926","FECH"
"ENSG00000069702",3018.63858721162,0.359460288185496,0.084851954887534,4.23632300118411,2.27209869832502e-05,0.00792157744093108,"ENSG00000069702","TGFBR3"
"ENSG00000069974",4313.41440196618,0.200422785343824,0.0575501378263326,3.48257698267611,0.000496612411896517,0.0526403319905744,"ENSG00000069974","RAB27A"
"ENSG00000072694",1318.71090152876,-0.329432743356183,0.0866220669856812,-3.80310416063656,0.000142894238471865,0.0251410375111051,"ENSG00000072694","FCGR2B"
"ENSG00000072736",5103.9966045711,0.109163491840772,0.034314572668478,3.18125750524213,0.00146637226722316,0.0870203542268781,"ENSG00000072736","NFATC3"
"ENSG00000073861",2489.83914934122,0.342873508710958,0.0807731655240811,4.2448937897418,2.18696984312486e-05,0.00792157744093108,"ENSG00000073861","TBX21"
"ENSG00000074582",618.710431582192,-0.139933938397201,0.0416677639152707,-3.35832608348626,0.000784160489115441,0.0649649791353807,"ENSG00000074582","BCS1L"
"ENSG00000075945",477.03989042857,0.127231057839182,0.0375963690204085,3.38413153063044,0.000714037880324386,0.061862217574406,"ENSG00000075945","KIFAP3"
"ENSG00000076555",564.601631572278,-0.174621323158672,0.053573703928126,-3.25945959220856,0.00111624680193099,0.0780322484068093,"ENSG00000076555","ACACB"
"ENSG00000077585",415.301933668076,0.227419176609658,0.0589678518736263,3.85666374785093,0.00011494510773881,0.0216135548090897,"ENSG00000077585","GPR137B"
"ENSG00000077984",4899.83718566259,0.357937540249296,0.0860101096659403,4.16157521062944,3.16059867712992e-05,0.00979492941884615,"ENSG00000077984","CST7"
"ENSG00000078304",8421.49207545082,0.166845077960741,0.0395578856289771,4.21774509198043,2.46757544915586e-05,0.00825897502832468,"ENSG00000078304","PPP2R5C"
"ENSG00000078487",210.259929034148,-0.164910773471072,0.0526359772898413,-3.13304287223522,0.0017300417030902,0.0955519732713351,"ENSG00000078487","ZCWPW1"
"ENSG00000078747",2811.97355941751,0.164279012514809,0.0378997516897684,4.33456698765544,1.46047311636261e-05,0.0059612238054459,"ENSG00000078747","ITCH"
"ENSG00000080493",230.874210493572,0.397360666692773,0.0950121209469859,4.18221025625235,2.88688802795332e-05,0.00911548512222618,"ENSG00000080493","SLC4A4"
"ENSG00000081237",49427.0997617597,0.116255613351006,0.0338774826750277,3.43164852200492,0.000599924528660948,0.0582398435682482,"ENSG00000081237","PTPRC"
"ENSG00000082458",559.175411638138,0.198012739614735,0.0595010935155241,3.3278840423844,0.000875082823283689,0.0697329239785539,"ENSG00000082458","DLG3"
"ENSG00000082701",2226.02818507398,0.0830111453849176,0.0253909113052831,3.26932516863408,0.00107804335106712,0.0767307717091436,"ENSG00000082701","GSK3B"
"ENSG00000083454",1329.94470437147,-0.290545166648888,0.0923458413281695,-3.14627234394213,0.00165365943200958,0.0941292197097969,"ENSG00000083454","P2RX5"
"ENSG00000088179",2515.39900550786,0.197353643614323,0.0524839297718253,3.76026803770833,0.0001697313968438,0.0267967445866132,"ENSG00000088179","PTPN4"
"ENSG00000092068",37.4908246629135,-0.976682535882575,0.221807341568664,-4.40329219481776,1.06620409332376e-05,0.00495636819493696,"ENSG00000092068","SLC7A8"
"ENSG00000095059",1621.72860232821,-0.091793301728208,0.028419573841356,-3.22993237831846,0.00123819499893339,0.0819019498306334,"ENSG00000095059","DHPS"
"ENSG00000095585",599.658160685815,-0.28910753292021,0.0896758483144983,-3.22391745775622,0.00126449842095346,0.0823400041815417,"ENSG00000095585","BLNK"
"ENSG00000099219",866.913768450564,0.139680200456371,0.0443310556852059,3.15084308950903,0.00162799925716901,0.0933033135915186,"ENSG00000099219","ERMP1"
"ENSG00000099958",288.568402302215,-0.479815898994778,0.111254061904807,-4.3127944344659,1.61203988964267e-05,0.00642321132218335,"ENSG00000099958","DERL3"
"ENSG00000100027",903.643309886148,0.207215257078266,0.0609635329566559,3.3990034210385,0.000676318703977296,0.0598846217516405,"ENSG00000100027","YPEL1"
