"","baseMean","LFC_2_1","lfcSE","stat","pvalue","FDR_2_1","Ensembl_ID","Gene_name"
"ENSG00000001561",932.152497821286,0.348758277070049,0.0692795523690285,5.03407232212375,4.8016838094561e-07,0.000461681898279204,"ENSG00000001561","ENPP4"
"ENSG00000002587",44.8468809862873,-0.433231489604092,0.129344381437226,-3.34944189140793,0.000809745387133417,0.0380983016160234,"ENSG00000002587","HS3ST1"
"ENSG00000003402",10113.0921021954,0.114554324401611,0.029267751964455,3.91401172665171,9.07752240766111e-05,0.0101488811569374,"ENSG00000003402","CFLAR"
"ENSG00000004700",2417.14178711028,0.111195364472948,0.0376954345697522,2.94983638581458,0.00317942251891464,0.0817453759566449,"ENSG00000004700","RECQL"
"ENSG00000004799",790.627212732064,0.690312048378038,0.146391669098117,4.7155145687653,2.41100640123701e-06,0.000965909439495578,"ENSG00000004799","PDK4"
"ENSG00000005379",1674.26224500296,0.256977947028762,0.0850533014411183,3.02137533375663,0.00251629233994839,0.0711988365493265,"ENSG00000005379","TSPOAP1"
"ENSG00000005471",137.790798518011,-0.325229488062962,0.114061459523486,-2.85135302863623,0.00435336062751368,0.0949151075590568,"ENSG00000005471","ABCB4"
"ENSG00000005844",22274.6689206311,0.142498566413384,0.0449386431004653,3.17095836860967,0.00151936916325694,0.0534140201269304,"ENSG00000005844","ITGAL"
"ENSG00000005884",167.530576093958,-0.180904427758383,0.0594718945381466,-3.04184739973848,0.00235131064420567,0.0686669061317296,"ENSG00000005884","ITGA3"
"ENSG00000006555",320.158497183741,0.196068641841578,0.0579024748699999,3.38618759011222,0.000708709195691936,0.0346780606441627,"ENSG00000006555","TTC22"
"ENSG00000006638",28.5876540715961,-0.319251767350851,0.111088292249283,-2.87385610928691,0.00405493657297877,0.0915216318056124,"ENSG00000006638","TBXA2R"
"ENSG00000006831",1985.3146333656,0.097845201567037,0.0320406669069603,3.05378167848877,0.00225976467779259,0.0671281738498879,"ENSG00000006831","ADIPOR2"
