"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"LINC00174","LINC00174",NA,NA
"LINC00184","LINC00184",NA,NA
"LINC00189","LINC00189",NA,NA
"LINC00200","LINC00200",NA,NA
"LINC00205","LINC00205",NA,NA
"LINC00207","LINC00207",NA,NA
"LINC00208","LINC00208",NA,NA
"LINC00210","LINC00210",NA,NA
"LINC00211","LINC00211",NA,NA
"LINC00216","LINC00216",NA,NA
"LINC00221","LINC00221",NA,NA
"LINC00222","LINC00222",NA,NA
"LINC00237","LINC00237",NA,NA
"LINC00239","LINC00239",NA,NA
"LINC00240","LINC00240",NA,NA
"LINC00242","LINC00242",NA,NA
"LINC00243","LINC00243",NA,NA
"LINC00244","LINC00244",NA,NA
"LINC00251","LINC00251",NA,NA
"LINC00254","LINC00254",NA,NA
"LINC00261","LINC00261",NA,NA
"LINC00266-2P","LINC00266-2P",NA,NA
"LINC00266-4P","LINC00266-4P",NA,NA
"LINC00269","LINC00269",NA,NA
"LINC00272","LINC00272",NA,NA
"LINC00273","LINC00273",NA,NA
"LINC00276","LINC00276",NA,NA
"LINC00278","LINC00278",NA,NA
"LINC00280","LINC00280",NA,NA
"LINC00290","LINC00290",NA,NA
"LINC00293","LINC00293",NA,NA
"LINC00294","LINC00294",NA,NA
"LINC00297","LINC00297",NA,NA
"LINC00298","LINC00298",NA,NA
"LINC00299","LINC00299",NA,NA
"LINC00301","LINC00301",NA,NA
"LINC00303","LINC00303",NA,NA
"LINC00304","LINC00304",NA,NA
"LINC00305","LINC00305",NA,NA
"LINC00307","LINC00307",NA,NA
"LINC00308","LINC00308",NA,NA
"LINC00309","LINC00309",NA,NA
"LINC00310","LINC00310",NA,NA
"LINC00311","LINC00311",NA,NA
"LINC00313","LINC00313",NA,NA
"LINC00314","LINC00314",NA,NA
"LINC00316","LINC00316",NA,NA
"LINC00317","LINC00317",NA,NA
"LINC00319","LINC00319",NA,NA
"LINC00320","LINC00320",NA,NA
"LINC00323","LINC00323",NA,NA
"LINC00324","LINC00324",NA,NA
"LINC00326","LINC00326",NA,NA
"LINC00327","LINC00327",NA,NA
"LINC00328-2P","LINC00328-2P",NA,NA
"LINC00330","LINC00330",NA,NA
"LINC00334","LINC00334",NA,NA
"LINC00336","LINC00336",NA,NA
"LINC00339","LINC00339",NA,NA
"LINC00343","LINC00343",NA,NA
"LINC00347","LINC00347",NA,NA
"LINC00348","LINC00348",NA,NA
"LINC00350","LINC00350",NA,NA
"LINC00351","LINC00351",NA,NA
"LINC00354","LINC00354",NA,NA
"LINC00355","LINC00355",NA,NA
"LINC00358","LINC00358",NA,NA
"LINC00364","LINC00364",NA,NA
"LINC00365","LINC00365",NA,NA
"LINC00367","LINC00367",NA,NA
"LINC00370","LINC00370",NA,NA
"LINC00373","LINC00373",NA,NA
"LINC00374","LINC00374",NA,NA
"LINC00375","LINC00375",NA,NA
"LINC00376","LINC00376",NA,NA
"LINC00381","LINC00381",NA,NA
"LINC00382","LINC00382",NA,NA
"LINC00383","LINC00383",NA,NA
"LINC00391","LINC00391",NA,NA
"LINC00395","LINC00395",NA,NA
"LINC00396","LINC00396",NA,NA
"LINC00397","LINC00397",NA,NA
"LINC00398","LINC00398",NA,NA
"LINC00399","LINC00399",NA,NA
"LINC00402","LINC00402",NA,NA
"LINC00408","LINC00408",NA,NA
"LINC00410","LINC00410",NA,NA
"LINC00421","LINC00421",NA,NA
"LINC00424","LINC00424",NA,NA
"LINC00426","LINC00426",NA,NA
"LINC00442","LINC00442",NA,NA
"LINC00443","LINC00443",NA,NA
"LINC00445","LINC00445",NA,NA
"LINC00449","LINC00449",NA,NA
"LINC00452","LINC00452",NA,NA
"LINC00454","LINC00454",NA,NA
"LINC00456","LINC00456",NA,NA
"LINC00457","LINC00457",NA,NA
"LINC00458","LINC00458",NA,NA
"LINC00459","LINC00459",NA,NA
"LINC00460","LINC00460",NA,NA
"LINC00461","LINC00461",NA,NA
"LINC00462","LINC00462",NA,NA
"LINC00463","LINC00463",NA,NA
"LINC00466","LINC00466",NA,NA
"LINC00467","LINC00467",NA,NA
"LINC00471","LINC00471",NA,NA
"LINC00472","LINC00472",NA,NA
"LINC00474","LINC00474",NA,NA
"LINC00476","LINC00476",NA,NA
"LINC00477","LINC00477",NA,NA
"LINC00479","LINC00479",NA,NA
"LINC00484","LINC00484",NA,NA
"LINC00485","LINC00485",NA,NA
"LINC00486","LINC00486",NA,NA
"LINC00487","LINC00487",NA,NA
"LINC00488","LINC00488",NA,NA
"LINC00489","LINC00489",NA,NA
"LINC00491","LINC00491",NA,NA
"LINC00492","LINC00492",NA,NA
"LINC00494","LINC00494",NA,NA
"LINC00499","LINC00499",NA,NA
"LINC00501","LINC00501",NA,NA
"LINC00504","LINC00504",NA,NA
"LINC00506","LINC00506",NA,NA
"LINC00507","LINC00507",NA,NA
"LINC00511","LINC00511",NA,NA
"LINC00515","LINC00515",NA,NA
"LINC00517","LINC00517",NA,NA
"LINC00519","LINC00519",NA,NA
"LINC00520","LINC00520",NA,NA
"LINC00523","LINC00523",NA,NA
"LINC00524","LINC00524",NA,NA
"LINC00525","LINC00525",NA,NA
"LINC00528","LINC00528",NA,NA
"LINC00533","LINC00533",NA,NA
"LINC00534","LINC00534",NA,NA
"LINC00536","LINC00536",NA,NA
"LINC00538","LINC00538",NA,NA
"LINC00539","LINC00539",NA,NA
"LINC00540","LINC00540",NA,NA
"LINC00543","LINC00543",NA,NA
"LINC00545","LINC00545",NA,NA
"LINC00547","LINC00547",NA,NA
"LINC00548","LINC00548",NA,NA
"LINC00550","LINC00550",NA,NA
"LINC00551","LINC00551",NA,NA
"LINC00552","LINC00552",NA,NA
"LINC00554","LINC00554",NA,NA
"LINC00557","LINC00557",NA,NA
"LINC00558","LINC00558",NA,NA
"LINC00559","LINC00559",NA,NA
"LINC00560","LINC00560",NA,NA
"LINC00561","LINC00561",NA,NA
"LINC00562","LINC00562",NA,NA
"LINC00563","LINC00563",NA,NA
"LINC00564","LINC00564",NA,NA
"LINC00566","LINC00566",NA,NA
"LINC00567","LINC00567",NA,NA
"LINC00570","LINC00570",NA,NA
"LINC00571","LINC00571",NA,NA
"LINC00572","LINC00572",NA,NA
"LINC00574","LINC00574",NA,NA
"LINC00575","LINC00575",NA,NA
"LINC00578","LINC00578",NA,NA
"LINC00581","LINC00581",NA,NA
"LINC00582","LINC00582",NA,NA
"LINC00583","LINC00583",NA,NA
"LINC00587","LINC00587",NA,NA
"LINC00588","LINC00588",NA,NA
"LINC00589","LINC00589",NA,NA
"LINC00592","LINC00592",NA,NA
"LINC00595","LINC00595",NA,NA
"LINC00601","LINC00601",NA,NA
"LINC00602","LINC00602",NA,NA
"LINC00604","LINC00604",NA,NA
"LINC00605","LINC00605",NA,NA
"LINC00606","LINC00606",NA,NA
"LINC00607","LINC00607",NA,NA
"LINC00609","LINC00609",NA,NA
"LINC00612","LINC00612",NA,NA
"LINC00613","LINC00613",NA,NA
"LINC00615","LINC00615",NA,NA
"LINC00616","LINC00616",NA,NA
"LINC00619","LINC00619",NA,NA
"LINC00620","LINC00620",NA,NA
"LINC00622","LINC00622",NA,NA
"LINC00624","LINC00624",NA,NA
"LINC00626","LINC00626",NA,NA
"LINC00628","LINC00628",NA,NA
"LINC00629","LINC00629",NA,NA
"LINC00632","LINC00632",NA,NA
"LINC00635","LINC00635",NA,NA
"LINC00636","LINC00636",NA,NA
"LINC00638","LINC00638",NA,NA
"LINC00639","LINC00639",NA,NA
"LINC00641","LINC00641",NA,NA
"LINC00642","LINC00642",NA,NA
"LINC00644","LINC00644",NA,NA
"LINC00645","LINC00645",NA,NA
"LINC00648","LINC00648",NA,NA
"LINC00649","LINC00649",NA,NA
"LINC00652","LINC00652",NA,NA
"LINC00654","LINC00654",NA,NA
"LINC00656","LINC00656",NA,NA
"LINC00658","LINC00658",NA,NA
"LINC00659","LINC00659",NA,NA
"LINC00661","LINC00661",NA,NA
"LINC00662","LINC00662",NA,NA
"LINC00664","LINC00664",NA,NA
"LINC00665","LINC00665",NA,NA
"LINC00667","LINC00667",NA,NA
"LINC00668","LINC00668",NA,NA
"LINC00670","LINC00670",NA,NA
"LINC00671","LINC00671",NA,NA
"LINC00672","LINC00672",NA,NA
"LINC00676","LINC00676",NA,NA
"LINC00677","LINC00677",NA,NA
"LINC00678","LINC00678",NA,NA
"LINC00681","LINC00681",NA,NA
"LINC00682","LINC00682",NA,NA
"LINC00687","LINC00687",NA,NA
"LINC00689","LINC00689",NA,NA
"LINC00690","LINC00690",NA,NA
"LINC00691","LINC00691",NA,NA
"LINC00692","LINC00692",NA,NA
"LINC00698","LINC00698",NA,NA
"LINC00703","LINC00703",NA,NA
"LINC00705","LINC00705",NA,NA
"LINC00706","LINC00706",NA,NA
"LINC00707","LINC00707",NA,NA
"LINC00708","LINC00708",NA,NA
"LINC00710","LINC00710",NA,NA
"LINC00836","LINC00836",NA,NA
"LINC00837","LINC00837",NA,NA
"LINC00838","LINC00838",NA,NA
"LINC00839","LINC00839",NA,NA
"LINC00845","LINC00845",NA,NA
"LINC00847","LINC00847",NA,NA
"LINC00850","LINC00850",NA,NA
"LINC00851","LINC00851",NA,NA
"LINC00852","LINC00852",NA,NA
"LINC00853","LINC00853",NA,NA
"LINC00857","LINC00857",NA,NA
"LINC00858","LINC00858",NA,NA
"LINC00861","LINC00861",NA,NA
"LINC00862","LINC00862",NA,NA
"LINC00863","LINC00863",NA,NA
"LINC00865","LINC00865",NA,NA
"LINC00867","LINC00867",NA,NA
"LINC00868","LINC00868",NA,NA
"LINC00869","LINC00869",NA,NA
"LINC00870","LINC00870",NA,NA
"LINC00871","LINC00871",NA,NA
"LINC00877","LINC00877",NA,NA
"LINC00879","LINC00879",NA,NA
"LINC00880","LINC00880",NA,NA
"LINC00885","LINC00885",NA,NA
"LINC00886","LINC00886",NA,NA
"LINC00887","LINC00887",NA,NA
"LINC00888","LINC00888",NA,NA
"LINC00892","LINC00892",NA,NA
"LINC00896","LINC00896",NA,NA
"LINC00898","LINC00898",NA,NA
"LINC00901","LINC00901",NA,NA
"LINC00905","LINC00905",NA,NA
"LINC00906","LINC00906",NA,NA
"LINC00907","LINC00907",NA,NA
"LINC00908","LINC00908",NA,NA
"LINC00910","LINC00910",NA,NA
"LINC00911","LINC00911",NA,NA
"LINC00917","LINC00917",NA,NA
"LINC00919","LINC00919",NA,NA
"LINC00921","LINC00921",NA,NA
"LINC00922","LINC00922",NA,NA
"LINC00923","LINC00923",NA,NA
"LINC00924","LINC00924",NA,NA
"LINC00926","LINC00926",NA,NA
"LINC00927","LINC00927",NA,NA
"LINC00928","LINC00928",NA,NA
"LINC00929","LINC00929",NA,NA
"LINC00933","LINC00933",NA,NA
"LINC00934","LINC00934",NA,NA
"LINC00937","LINC00937",NA,NA
"LINC00939","LINC00939",NA,NA
"LINC00940","LINC00940",NA,NA
"LINC00942","LINC00942",NA,NA
"LINC00943","LINC00943",NA,NA
"LINC00945","LINC00945",NA,NA
"LINC00954","LINC00954",NA,NA
"LINC00958","LINC00958",NA,NA
"LINC00960","LINC00960",NA,NA
"LINC00964","LINC00964",NA,NA
"LINC00967","LINC00967",NA,NA
"LINC00968","LINC00968",NA,NA
"LINC00970","LINC00970",NA,NA
"LINC00971","LINC00971",NA,NA
"LINC00972","LINC00972",NA,NA
"LINC00974","LINC00974",NA,NA
"LINC00987","LINC00987",NA,NA
"LINC00989","LINC00989",NA,NA
"LINC00993","LINC00993",NA,NA
"LINC00994","LINC00994",NA,NA
"LINC00996","LINC00996",NA,NA
"LINC01003","LINC01003",NA,NA
"LINC01005","LINC01005",NA,NA
"LINC01006","LINC01006",NA,NA
"LINC01007","LINC01007",NA,NA
"LINC01010","LINC01010",NA,NA
"LINC01011","LINC01011",NA,NA
"LINC01012","LINC01012",NA,NA
"LINC01013","LINC01013",NA,NA
"LINC01014","LINC01014",NA,NA
"LINC01015","LINC01015",NA,NA
"LINC01016","LINC01016",NA,NA
"LINC01017","LINC01017",NA,NA
"LINC01018","LINC01018",NA,NA
"LINC01019","LINC01019",NA,NA
"LINC01020","LINC01020",NA,NA
"LINC01023","LINC01023",NA,NA
"LINC01028","LINC01028",NA,NA
"LINC01029","LINC01029",NA,NA
"LINC01030","LINC01030",NA,NA
"LINC01031","LINC01031",NA,NA
"LINC01033","LINC01033",NA,NA
"LINC01036","LINC01036",NA,NA
"LINC01038","LINC01038",NA,NA
"LINC01040","LINC01040",NA,NA
"LINC01043","LINC01043",NA,NA
"LINC01044","LINC01044",NA,NA
"LINC01047","LINC01047",NA,NA
"LINC01048","LINC01048",NA,NA
"LINC01053","LINC01053",NA,NA
"LINC01056","LINC01056",NA,NA
"LINC01058","LINC01058",NA,NA
"LINC01060","LINC01060",NA,NA
"LINC01063","LINC01063",NA,NA
"LINC01068","LINC01068",NA,NA
"LINC01070","LINC01070",NA,NA
"LINC01072","LINC01072",NA,NA
"LINC01074","LINC01074",NA,NA
"LINC01082","LINC01082",NA,NA
"LINC01085","LINC01085",NA,NA
"LINC01087","LINC01087",NA,NA
"LINC01088","LINC01088",NA,NA
"LINC01089","LINC01089",NA,NA
"LINC01090","LINC01090",NA,NA
"LINC01091","LINC01091",NA,NA
"LINC01093","LINC01093",NA,NA
"LINC01095","LINC01095",NA,NA
"LINC01097","LINC01097",NA,NA
"LINC01098","LINC01098",NA,NA
"LINC01099","LINC01099",NA,NA
"LINC01101","LINC01101",NA,NA
"LINC01102","LINC01102",NA,NA
"LINC01103","LINC01103",NA,NA
"LINC01104","LINC01104",NA,NA
"LINC01107","LINC01107",NA,NA
"LINC01108","LINC01108",NA,NA
"LINC01109","LINC01109",NA,NA
"LINC01111","LINC01111",NA,NA
"LINC01114","LINC01114",NA,NA
"LINC01115","LINC01115",NA,NA
"LINC01117","LINC01117",NA,NA
"LINC01118","LINC01118",NA,NA
"LINC01119","LINC01119",NA,NA
"LINC01121","LINC01121",NA,NA
"LINC01122","LINC01122",NA,NA
"LINC01123","LINC01123",NA,NA
"LINC01124","LINC01124",NA,NA
"LINC01126","LINC01126",NA,NA
"LINC01128","LINC01128",NA,NA
"LINC01132","LINC01132",NA,NA
"LINC01133","LINC01133",NA,NA
"LINC01134","LINC01134",NA,NA
"LINC01138","LINC01138",NA,NA
"LINC01139","LINC01139",NA,NA
"LINC01140","LINC01140",NA,NA
"LINC01142","LINC01142",NA,NA
"LINC01143","LINC01143",NA,NA
"LINC01144","LINC01144",NA,NA
"LINC01145","LINC01145",NA,NA
"LINC01146","LINC01146",NA,NA
"LINC01148","LINC01148",NA,NA
"LINC01149","LINC01149",NA,NA
"LINC01152","LINC01152",NA,NA
"LINC01153","LINC01153",NA,NA
"LINC01159","LINC01159",NA,NA
"LINC01162","LINC01162",NA,NA
"LINC01163","LINC01163",NA,NA
"LINC01164","LINC01164",NA,NA
"LINC01166","LINC01166",NA,NA
"LINC01167","LINC01167",NA,NA
"LINC01168","LINC01168",NA,NA
"LINC01169","LINC01169",NA,NA
"LINC01173","LINC01173",NA,NA
"LINC01176","LINC01176",NA,NA
"LINC01177","LINC01177",NA,NA
"LINC01179","LINC01179",NA,NA
"LINC01180","LINC01180",NA,NA
"LINC01182","LINC01182",NA,NA
"LINC01184","LINC01184",NA,NA
"LINC01191","LINC01191",NA,NA
"LINC01192","LINC01192",NA,NA
"LINC01193","LINC01193",NA,NA
"LINC01195","LINC01195",NA,NA
"LINC01198","LINC01198",NA,NA
"LINC01201","LINC01201",NA,NA
"LINC01203","LINC01203",NA,NA
"LINC01204","LINC01204",NA,NA
"LINC01205","LINC01205",NA,NA
"LINC01206","LINC01206",NA,NA
"LINC01209","LINC01209",NA,NA
"LINC01210","LINC01210",NA,NA
"LINC01213","LINC01213",NA,NA
"LINC01215","LINC01215",NA,NA
"LINC01216","LINC01216",NA,NA
"LINC01217","LINC01217",NA,NA
"LINC01221","LINC01221",NA,NA
"LINC01224","LINC01224",NA,NA
"LINC01227","LINC01227",NA,NA
"LINC01229","LINC01229",NA,NA
"LINC01231","LINC01231",NA,NA
"LINC01233","LINC01233",NA,NA
"LINC01234","LINC01234",NA,NA
"LINC01235","LINC01235",NA,NA
"LINC01237","LINC01237",NA,NA
"LINC01238","LINC01238",NA,NA
"LINC01239","LINC01239",NA,NA
"LINC01241","LINC01241",NA,NA
"LINC01243","LINC01243",NA,NA
"LINC01247","LINC01247",NA,NA
"LINC01249","LINC01249",NA,NA
"LINC01250","LINC01250",NA,NA
"LINC01251","LINC01251",NA,NA
"LINC01252","LINC01252",NA,NA
"LINC01254","LINC01254",NA,NA
"LINC01255","LINC01255",NA,NA
"LINC01256","LINC01256",NA,NA
"LINC01257","LINC01257",NA,NA
"LINC01258","LINC01258",NA,NA
"LINC01259","LINC01259",NA,NA
"LINC01262","LINC01262",NA,NA
"LINC01264","LINC01264",NA,NA
"LINC01265","LINC01265",NA,NA
"LINC01266","LINC01266",NA,NA
"LINC01267","LINC01267",NA,NA
"LINC01269","LINC01269",NA,NA
"LINC01270","LINC01270",NA,NA
"LINC01271","LINC01271",NA,NA
"LINC01273","LINC01273",NA,NA
"LINC01275","LINC01275",NA,NA
"LINC01276","LINC01276",NA,NA
"LINC01278","LINC01278",NA,NA
"LINC01281","LINC01281",NA,NA
"LINC01282","LINC01282",NA,NA
"LINC01284","LINC01284",NA,NA
"LINC01285","LINC01285",NA,NA
"LINC01287","LINC01287",NA,NA
"LINC01289","LINC01289",NA,NA
"LINC01290","LINC01290",NA,NA
"LINC01291","LINC01291",NA,NA
"LINC01298","LINC01298",NA,NA
"LINC01299","LINC01299",NA,NA
"LINC01300","LINC01300",NA,NA
"LINC01303","LINC01303",NA,NA
"LINC01304","LINC01304",NA,NA
"LINC01305","LINC01305",NA,NA
"LINC01307","LINC01307",NA,NA
"LINC01310","LINC01310",NA,NA
"LINC01315","LINC01315",NA,NA
"LINC01317","LINC01317",NA,NA
"LINC01318","LINC01318",NA,NA
"LINC01324","LINC01324",NA,NA
"LINC01327","LINC01327",NA,NA
"LINC01331","LINC01331",NA,NA
"LINC01333","LINC01333",NA,NA
"LINC01337","LINC01337",NA,NA
"LINC01339","LINC01339",NA,NA
"LINC01340","LINC01340",NA,NA
"LINC01342","LINC01342",NA,NA
"LINC01343","LINC01343",NA,NA
"LINC01345","LINC01345",NA,NA
"LINC01347","LINC01347",NA,NA
"LINC01350","LINC01350",NA,NA
"LINC01352","LINC01352",NA,NA
"LINC01354","LINC01354",NA,NA
"LINC01356","LINC01356",NA,NA
"LINC01359","LINC01359",NA,NA
"LINC01360","LINC01360",NA,NA
"LINC01361","LINC01361",NA,NA
"LINC01362","LINC01362",NA,NA
"LINC01363","LINC01363",NA,NA
"LINC01364","LINC01364",NA,NA
"LINC01365","LINC01365",NA,NA
"LINC01366","LINC01366",NA,NA
"LINC01374","LINC01374",NA,NA
"LINC01375","LINC01375",NA,NA
"LINC01376","LINC01376",NA,NA
"LINC01377","LINC01377",NA,NA
"LINC01381","LINC01381",NA,NA
"LINC01386","LINC01386",NA,NA
"LINC01387","LINC01387",NA,NA
"LINC01391","LINC01391",NA,NA
"LINC01392","LINC01392",NA,NA
"LINC01393","LINC01393",NA,NA
"LINC01395","LINC01395",NA,NA
"LINC01396","LINC01396",NA,NA
"LINC01397","LINC01397",NA,NA
"LINC01398","LINC01398",NA,NA
"LINC01399","LINC01399",NA,NA
"LINC01402","LINC01402",NA,NA
"LINC01405","LINC01405",NA,NA
"LINC01409","LINC01409",NA,NA
"LINC01410","LINC01410",NA,NA
"LINC01411","LINC01411",NA,NA
"LINC01413","LINC01413",NA,NA
"LINC01414","LINC01414",NA,NA
"LINC01416","LINC01416",NA,NA
"LINC01419","LINC01419",NA,NA
"LINC01425","LINC01425",NA,NA
"LINC01426","LINC01426",NA,NA
"LINC01427","LINC01427",NA,NA
"LINC01428","LINC01428",NA,NA
"LINC01429","LINC01429",NA,NA
"LINC01431","LINC01431",NA,NA
"LINC01432","LINC01432",NA,NA
"LINC01433","LINC01433",NA,NA
"LINC01435","LINC01435",NA,NA
"LINC01441","LINC01441",NA,NA
"LINC01442","LINC01442",NA,NA
"LINC01443","LINC01443",NA,NA
"LINC01444","LINC01444",NA,NA
"LINC01445","LINC01445",NA,NA
"LINC01446","LINC01446",NA,NA
"LINC01447","LINC01447",NA,NA
"LINC01448","LINC01448",NA,NA
"LINC01449","LINC01449",NA,NA
"LINC01450","LINC01450",NA,NA
"LINC01451","LINC01451",NA,NA
"LINC01455","LINC01455",NA,NA
"LINC01456","LINC01456",NA,NA
"LINC01460","LINC01460",NA,NA
"LINC01465","LINC01465",NA,NA
"LINC01467","LINC01467",NA,NA
"LINC01470","LINC01470",NA,NA
"LINC01471","LINC01471",NA,NA
"LINC01474","LINC01474",NA,NA
"LINC01475","LINC01475",NA,NA
"LINC01477","LINC01477",NA,NA
"LINC01478","LINC01478",NA,NA
"LINC01479","LINC01479",NA,NA
"LINC01480","LINC01480",NA,NA
"LINC01482","LINC01482",NA,NA
"LINC01483","LINC01483",NA,NA
"LINC01484","LINC01484",NA,NA
"LINC01485","LINC01485",NA,NA
"LINC01486","LINC01486",NA,NA
"LINC01487","LINC01487",NA,NA
"LINC01490","LINC01490",NA,NA
"LINC01492","LINC01492",NA,NA
"LINC01493","LINC01493",NA,NA
"LINC01494","LINC01494",NA,NA
"LINC01495","LINC01495",NA,NA
"LINC01497","LINC01497",NA,NA
"LINC01498","LINC01498",NA,NA
"LINC01499","LINC01499",NA,NA
"LINC01500","LINC01500",NA,NA
"LINC01502","LINC01502",NA,NA
"LINC01503","LINC01503",NA,NA
"LINC01504","LINC01504",NA,NA
"LINC01505","LINC01505",NA,NA
"LINC01506","LINC01506",NA,NA
"LINC01508","LINC01508",NA,NA
"LINC01511","LINC01511",NA,NA
"LINC01514","LINC01514",NA,NA
"LINC01516","LINC01516",NA,NA
"LINC01518","LINC01518",NA,NA
"LINC01519","LINC01519",NA,NA
"LINC01520","LINC01520",NA,NA
"LINC01524","LINC01524",NA,NA
"LINC01525","LINC01525",NA,NA
"LINC01526","LINC01526",NA,NA
"LINC01527","LINC01527",NA,NA
"LINC01529","LINC01529",NA,NA
"LINC01531","LINC01531",NA,NA
"LINC01533","LINC01533",NA,NA
"LINC01535","LINC01535",-0.88035537272349,0.076803539343371
"LINC01537","LINC01537",NA,NA
"LINC01538","LINC01538",NA,NA
"LINC01539","LINC01539",NA,NA
"LINC01541","LINC01541",NA,NA
"LINC01545","LINC01545",NA,NA
"LINC01547","LINC01547",NA,NA
"LINC01550","LINC01550",NA,NA
"LINC01551","LINC01551",NA,NA
"LINC01553","LINC01553",NA,NA
"LINC01554","LINC01554",NA,NA
"LINC01555","LINC01555",NA,NA
"LINC01558","LINC01558",NA,NA
"LINC01559","LINC01559",NA,NA
"LINC01561","LINC01561",NA,NA
"LINC01562","LINC01562",NA,NA
"LINC01563","LINC01563",NA,NA
"LINC01564","LINC01564",NA,NA
"LINC01565","LINC01565",NA,NA
"LINC01566","LINC01566",NA,NA
"LINC01567","LINC01567",NA,NA
"LINC01568","LINC01568",NA,NA
"LINC01572","LINC01572",NA,NA
"LINC01574","LINC01574",NA,NA
"LINC01580","LINC01580",NA,NA
"LINC01581","LINC01581",NA,NA
"LINC01582","LINC01582",NA,NA
"LINC01583","LINC01583",NA,NA
"LINC01584","LINC01584",NA,NA
"LINC01585","LINC01585",NA,NA
"LINC01586","LINC01586",NA,NA
"LINC01587","LINC01587",NA,NA
"LINC01588","LINC01588",NA,NA
"LINC01589","LINC01589",NA,NA
"LINC01591","LINC01591",NA,NA
"LINC01592","LINC01592",NA,NA
"LINC01593","LINC01593",NA,NA
"LINC01596","LINC01596",NA,NA
"LINC01600","LINC01600",NA,NA
"LINC01602","LINC01602",NA,NA
"LINC01603","LINC01603",NA,NA
"LINC01605","LINC01605",NA,NA
"LINC01606","LINC01606",NA,NA
"LINC01607","LINC01607",NA,NA
"LINC01608","LINC01608",NA,NA
"LINC01609","LINC01609",NA,NA
"LINC01611","LINC01611",NA,NA
"LINC01612","LINC01612",NA,NA
"LINC01613","LINC01613",NA,NA
"LINC01615","LINC01615",NA,NA
"LINC01616","LINC01616",NA,NA
"LINC01618","LINC01618",NA,NA
"LINC01619","LINC01619",NA,NA
"LINC01620","LINC01620",NA,NA
"LINC01623","LINC01623",NA,NA
"LINC01624","LINC01624",NA,NA
"LINC01625","LINC01625",NA,NA
"LINC01628","LINC01628",NA,NA
"LINC01629","LINC01629",NA,NA
"LINC01630","LINC01630",NA,NA
"LINC01634","LINC01634",NA,NA
"LINC01635","LINC01635",NA,NA
"LINC01637","LINC01637",NA,NA
"LINC01638","LINC01638",NA,NA
"LINC01639","LINC01639",NA,NA
"LINC01640","LINC01640",NA,NA
"LINC01643","LINC01643",NA,NA
"LINC01644","LINC01644",NA,NA
"LINC01645","LINC01645",NA,NA
"LINC01646","LINC01646",NA,NA
"LINC01647","LINC01647",NA,NA
"LINC01648","LINC01648",NA,NA
"LINC01649","LINC01649",NA,NA
"LINC01651","LINC01651",NA,NA
"LINC01653","LINC01653",NA,NA
"LINC01654","LINC01654",NA,NA
"LINC01656","LINC01656",NA,NA
"LINC01657","LINC01657",NA,NA
"LINC01659","LINC01659",NA,NA
"LINC01664","LINC01664",NA,NA
"LINC01665","LINC01665",NA,NA
"LINC01667","LINC01667",NA,NA
"LINC01670","LINC01670",NA,NA
"LINC01671","LINC01671",NA,NA
"LINC01674","LINC01674",NA,NA
"LINC01676","LINC01676",NA,NA
"LINC01679","LINC01679",NA,NA
"LINC01680","LINC01680",NA,NA
"LINC01681","LINC01681",NA,NA
"LINC01682","LINC01682",NA,NA
"LINC01683","LINC01683",NA,NA
"LINC01684","LINC01684",NA,NA
"LINC01686","LINC01686",NA,NA
"LINC01687","LINC01687",NA,NA
"LINC01688","LINC01688",NA,NA
"LINC01689","LINC01689",NA,NA
"LINC01690","LINC01690",NA,NA
"LINC01692","LINC01692",NA,NA
"LINC01693","LINC01693",NA,NA
"LINC01694","LINC01694",NA,NA
"LINC01695","LINC01695",NA,NA
"LINC01696","LINC01696",NA,NA
"LINC01697","LINC01697",NA,NA
"LINC01699","LINC01699",NA,NA
"LINC01700","LINC01700",NA,NA
"LINC01701","LINC01701",NA,NA
"LINC01704","LINC01704",NA,NA
"LINC01707","LINC01707",NA,NA
"LINC01708","LINC01708",NA,NA
"LINC01711","LINC01711",NA,NA
"LINC01714","LINC01714",NA,NA
"LINC01716","LINC01716",NA,NA
"LINC01717","LINC01717",NA,NA
"LINC01718","LINC01718",NA,NA
"LINC01720","LINC01720",NA,NA
"LINC01721","LINC01721",NA,NA
"LINC01722","LINC01722",NA,NA
"LINC01723","LINC01723",NA,NA
"LINC01726","LINC01726",NA,NA
"LINC01728","LINC01728",NA,NA
"LINC01729","LINC01729",NA,NA
"LINC01730","LINC01730",NA,NA
"LINC01732","LINC01732",NA,NA
"LINC01733","LINC01733",NA,NA
"LINC01734","LINC01734",NA,NA
"LINC01736","LINC01736",NA,NA
"LINC01737","LINC01737",NA,NA
"LINC01738","LINC01738",NA,NA
"LINC01739","LINC01739",NA,NA
"LINC01740","LINC01740",NA,NA
"LINC01741","LINC01741",NA,NA
"LINC01742","LINC01742",NA,NA
"LINC01743","LINC01743",NA,NA
"LINC01744","LINC01744",NA,NA
"LINC01745","LINC01745",NA,NA
"LINC01748","LINC01748",NA,NA
"LINC01749","LINC01749",NA,NA
"LINC01750","LINC01750",NA,NA
"LINC01751","LINC01751",NA,NA
"LINC01753","LINC01753",NA,NA
"LINC01755","LINC01755",NA,NA
"LINC01756","LINC01756",NA,NA
"LINC01757","LINC01757",NA,NA
"LINC01758","LINC01758",NA,NA
"LINC01760","LINC01760",NA,NA
"LINC01761","LINC01761",NA,NA
