"","log2FoldChange","pvalue"
"MED4",-0.061502209194064,0.000231958059835931
"AASDHPPT",-0.0978418754268253,0.000238160633851893
"SPHK1",0.162294974654809,0.000242282608551432
"ANKRD36BP2",-0.319654218545765,0.000239678691020422
"FAM200B",-0.0860357487017307,0.000240290256072345
"IGKV3-15",-0.363892101508116,0.000241511965649391
"DCAF5",0.0467521817395384,0.000246980861589349
"SRPRB",-0.0688449155326909,0.00024652812986249
"COX15",-0.0544660750582629,0.000250107011477601
"SLC30A5",-0.0838794532677618,0.000257318310959135
"C2CD3",0.0665234683255087,0.000254588066447112
"IGHA1",-0.349420611273476,0.000258121075890712
"IGKV3D-15",-0.346883797122342,0.00025671475242289
"PLAGL2",0.10240187856436,0.0002665469530517
"ZCCHC10",-0.0950155879474881,0.000266410746769742
"SPCS2",-0.082084647675424,0.000296336397653944
"MRS2",-0.0673980708478259,0.000281047446375921
"HIVEP3",0.110019489564082,0.0002849303688263
"DTD2",-0.0855114143975646,0.000283026091284325
"SAP130",0.053618722530061,0.000286211902306914
"SRP9",-0.116822841938186,0.000292215430088927
"PEX13",-0.0886179623339957,0.000293846073951621
"KIF13B",0.0746664277325274,0.000294971599622274
"LINC02210",-0.101642938730466,0.000294620047951677
"RPL32P1",0.207725822995608,0.000287567908548971
"EIF3J",-0.0674300786761568,0.000306131014508301
"FGFRL1",0.117457264972095,0.000303666660489361
"RNF144A",-0.085576293580866,0.000306939511365546
"CPAMD8",-0.202850062013889,0.000307191990907293
"MYO18A",0.0667188544662527,0.000301672193830676
"GON4L",0.0546257030078043,0.00031614106220196
"SLC35B3",-0.0804957323926555,0.000317007760214625
"RMC1",0.0430962361460873,0.00032614569063043
"AKAP13",0.0736360344987734,0.000326603099315934
"FANCA",0.10307357842138,0.000327473994012091
"OCIAD1",-0.0554737857690821,0.000334715409670023
"FIP1L1",0.0354824775537404,0.000333559107860977
"FAM219A",0.0445750947580366,0.000339410180092972
"NDFIP1",-0.0781070027803218,0.000342614736594577
"TRANK1",0.0757680102388339,0.000345786165364592
"MKKS",-0.0861262253299954,0.000366045857421405
"RHBDF2",0.0890396550976095,0.000364126593852394
"ZFX",0.0934707025508398,0.000369197648436839
"COX11",-0.108200522570127,0.000374635792878076
"UBE2V2",-0.079984203405723,0.000373908138466322
"TMEM202-AS1",0.152115925362795,0.000375972929202268
"IGIP",-0.166389524284249,0.000380598765778873
"PML",0.0679792719643963,0.000388458192200877
"NUDT5",-0.0521628314712017,0.000389699758202349
"ARHGEF7",0.059932108648738,0.000395483765721238
"NUP42",-0.0771196922833658,0.00039865430861366
"UTRN",0.0723276205230129,0.000399133435719173
