"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","0.15","-2.80 – 3.16","0.920"
"3","sub data[, 2]1","-6.76 *","-12.53 – -1.65","0.014"
"4","sub data[, 3]","-0.01","-0.05 – 0.03","0.631"
"5","sub data[, 2]1 × subdata[, 3]","0.10 **","0.03 – 0.17","0.005"
"6","Observations","122",NA,NA
"7","R2 Tjur","0.022",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
