"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","0.31","-4.30 – 4.99","0.896"
"3","sub data[, 2]","-0.01","-0.06 – 0.04","0.710"
"4","sub data[, 3]1","-9.12 *","-16.93 – -1.98","0.016"
"5","sub data[, 2] × subdata[, 3]1","0.10 **","0.03 – 0.19","0.008"
"6","Observations","122",NA,NA
"7","R2 Tjur","0.017",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
