"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.06","-0.77 – 0.66","0.877"
"3","sub data[, 2]","-0.16","-0.54 – 0.20","0.386"
"4","sub data[, 3]1","3.16 *","0.98 – 6.10","0.012"
"5","sub data[, 2] × subdata[, 3]1","-1.17","-2.59 – -0.14","0.051"
"6","Observations","151",NA,NA
"7","R2 Tjur","0.032",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
