"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","1.67","-5.90 – 9.32","0.663"
"3","sub data[, 2]1","-11.56 *","-22.52 – -1.26","0.032"
"4","sub data[, 3]","-2.40","-10.67 – 5.71","0.561"
"5","sub data[, 2]1 × subdata[, 3]","13.20 *","2.24 – 24.91","0.021"
"6","Observations","122",NA,NA
"7","R2 Tjur","0.002",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
