"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-2.56","-6.73 – 1.09","0.191"
"3","sub data[, 2]Other","15.32","-164.53 – NA","0.986"
"4","sub data[, 2]TAF-TDF","6.64 **","1.88 – 11.83","0.008"
"5","sub data[, 3]","0.02","-0.02 – 0.07","0.325"
"6","sub data[, 2]TAF-TDF ×sub data[, 3]","-0.07 *","-0.13 – -0.01","0.016"
"7","Observations","148",NA,NA
"8","R2 Tjur","0.011",NA,NA
"9","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
