"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.63","-1.58 – 0.29","0.177"
"3","sub data[, 2]1","-0.74","-2.51 – 0.87","0.391"
"4","sub data[, 3]","0.04","-0.35 – 0.40","0.849"
"5","sub data[, 2]1 × subdata[, 3]","0.79 *","0.10 – 1.63","0.044"
"6","Observations","122",NA,NA
"7","R2 Tjur","0.037",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
