"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-2.00 **","-3.43 – -0.76","0.003"
"3","sub data[, 2]1","3.25 *","0.85 – 6.06","0.012"
"4","sub data[, 3]","0.04 **","0.01 – 0.08","0.010"
"5","sub data[, 2]1 × subdata[, 3]","-0.06 *","-0.13 – -0.00","0.044"
"6","Observations","145",NA,NA
"7","R2 Tjur","0.026",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
