"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.77","-1.78 – 0.18","0.120"
"3","sub data[, 2]","0.00","-0.01 – 0.01","0.604"
"4","sub data[, 3]1","-0.83","-2.42 – 0.66","0.287"
"5","sub data[, 2] × subdata[, 3]1","0.02 *","0.00 – 0.03","0.017"
"6","Observations","118",NA,NA
"7","R2 Tjur","0.070",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
