"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-5.62","-14.38 – -1.31","0.066"
"3","sub data[, 2]1","6.22 *","1.82 – 14.99","0.043"
"4","sub data[, 3]","1.54","-0.17 – 4.48","0.151"
"5","sub data[, 2]1 × subdata[, 3]","-1.91","-4.86 – -0.15","0.080"
"6","Observations","149",NA,NA
"7","R2 Tjur","0.042",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
