"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.25","-3.87 – 3.39","0.892"
"3","sub data[, 2]Other","15.22","-164.64 – NA","0.986"
"4","sub data[, 2]TAF-TDF","-4.40","-9.47 – 0.49","0.081"
"5","sub data[, 3]","-0.00","-0.05 – 0.04","0.817"
"6","sub data[, 2]TAF-TDF ×sub data[, 3]","0.06 *","0.00 – 0.12","0.046"
"7","Observations","148",NA,NA
"8","R2 Tjur","0.014",NA,NA
"9","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
