"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-0.58","-1.44 – 0.22","0.167"
"3","sub data[, 2]1","0.03","-1.00 – 1.08","0.962"
"4","sub data[, 3]1","-0.20","-1.50 – 1.06","0.759"
"5","sub data[, 2]1 × subdata[, 3]1","1.74 *","0.17 – 3.37","0.032"
"6","Observations","122",NA,NA
"7","R2 Tjur","0.014",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
