"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-4.74 **","-7.73 – -2.03","0.001"
"3","sub data[, 2]1","15.21 **","6.54 – 26.54","0.003"
"4","sub data[, 3]","0.03 **","0.01 – 0.05","0.002"
"5","sub data[, 2]1 × subdata[, 3]","-0.09 **","-0.16 – -0.04","0.004"
"6","Observations","151",NA,NA
"7","R2 Tjur","0.046",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
