"","NULL.V1","NULL.V2","NULL.V3","NULL.V4"
"1","Predictors","Log-Odds","CI","p"
"2","(Intercept)","-5.67 *","-11.33 – -0.52","0.038"
"3","sub data[, 2]","0.06","-0.00 – 0.14","0.065"
"4","sub data[, 3]1","8.38 *","1.77 – 15.42","0.015"
"5","sub data[, 2] × subdata[, 3]1","-0.09 *","-0.18 – -0.01","0.028"
"6","Observations","158",NA,NA
"7","R2 Tjur","0.076",NA,NA
"8","* p<0.05   ** p<0.01   *** p<0.001",NA,NA,NA
