Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6A.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
26.5650447745618	26.5254789310095	26.5046687232132	26.5046372871319	26.4617324318686	26.4900262097926	26.4357860300849	26.5135599212006	26.5323441390635	26.3836424468206	26.5073078836744	26.4408248178687
26.3401781251665	26.3109356384895	26.3336171144291	26.3263147963157	26.1045182101605	26.3735058559878	26.1472711350356	26.2647074877523	26.2371506956996	26.0690129152696	26.2047009525819	26.162228204748
26.0203055204257	25.9606986090053	25.8815304079027	25.9592013143188	25.9811195808467	26.0123207673948	25.9046913268461	26.0321957159821	25.9964558484212	25.738459765985	25.9959854703001	25.8361830258838
26.3676248350349	26.3695118256801	26.4279724423198	26.3409911594686	26.2612958913242	26.3855576605834	26.2265299534671	26.3579878120567	26.3884941918223	26.2049172784486	26.3500234479776	26.2634790237358
22.5917408356386	22.2375506890793	22.0652700888685	22.4826976922116	22.4250753874216	22.5576822899186	22.2829284015191	22.5297649667713	22.6914699663853	22.501014127139	22.3463835273326	22.3433227022838
22.5917408356386	22.2375506890793	22.0652700888685	22.4826976922116	22.4250753874216	22.5576822899186	22.2829284015191	22.5297649667713	22.6914699663853	22.501014127139	22.3463835273326	22.3433227022838
20.7203409825365	20.4525910873003	20.2839215549815	20.2970143453476	20.142073887456	20.7483096817948	20.2734319295451	20.4037072243922	20.8639233351974	20.3225047741741	20.4920144248643	20.2479161353141
20.7203409825365	20.4525910873003	20.2839215549815	20.2970143453476	20.142073887456	20.7483096817948	20.2734319295451	20.4037072243922	20.8639233351974	20.3225047741741	20.4920144248643	20.2479161353141
24.8533843089453	24.8398614301757	24.8571933959925	24.7492247266521	24.701529458729	24.8231785316326	24.6808291644173	24.7763443385087	24.793772948866	24.5841941084141	24.6985997514569	24.6535796222959
23.7211651724273	23.7187706911365	23.7396143936173	23.8217793099473	23.6442987052948	23.7874094414387	23.7487733276858	23.7297436486694	23.6813077318543	23.4584851027697	23.6996243562333	23.5068034318338
24.4512379755086	24.4165323738844	24.3894038494146	24.3050233707439	24.2163948249014	24.4070550248352	24.2346935800959	24.3111421516634	24.3576827241012	24.133036692507	24.2872636168038	24.1855961138624
23.8469725406551	23.8940961134751	23.8545955733808	23.8207419779974	23.6847239168994	23.9380328836493	23.7268320852525	23.8631519877872	23.8339477056912	23.7612473614269	23.833691251326	23.7931178059122
23.6528813188383	23.7583785418045	23.8043966955362	23.9640596514887	24.2316411125385	23.8750191385494	24.0225551485343	23.8661819507426	24.2696188355052	25.1341265265436	24.2446701528175	24.2257489881159
24.1677112381785	24.2727354694364	24.1744945079723	24.0212190008865	23.8998418217762	24.1602938674821	23.964350798557	23.9856450749598	24.0932087282547	23.9767942309339	24.2052625246071	24.0413507730194
22.9845337298405	22.9674449011085	22.852231878625	22.947537992317	22.8807105658223	23.4066386778223	22.8831992642232	23.2371968866956	23.110853177325	23.1979895966651	22.9954792216622	22.924163547104
22.6650809985221	22.6731869536577	22.5897637899597	22.6351554648212	22.6239515069895	22.5550942780749	22.6018115194209	22.607752539468	22.3842173584942	22.4850710265485	22.4672175532175	22.5379023228945
23.1289865861366	23.1118826055995	23.081770933005	23.1093455636786	23.2334113892974	23.0200599901157	23.1847235056372	23.1081160083939	23.1073946292729	23.0729856423241	23.0989777100215	23.1057227307917
23.6750250244958	23.6811582496325	23.7216736815743	23.6843403982684	23.5587887205038	23.7806741052203	23.5387279914413	23.7910582514277	23.6818909311134	23.3625866563575	23.6430424394982	23.4436064330987
23.4642113617565	23.4290787493711	23.2769108092183	23.2550745581475	23.2912746864745	23.4318492484734	23.2728115648286	23.3396897135263	23.4569885784923	23.3057195692704	23.3784485423725	23.3631473043489
23.5236511006936	23.5157182768038	23.4526531036108	23.5356345215896	23.6569672698852	23.9099770732601	23.5037387771611	23.855443250642	23.5993607705878	23.9641769030282	23.678528565432	23.7191474799057
21.0227449948344	21.0693740149343	21.2608197382454	21.1716216646424	21.095592082328	21.0413052943383	21.1174417729192	21.0688159237658	20.9879394771031	20.9032033038089	21.0777547031764	21.0014403570621
22.5973807138858	22.4487565264131	22.4995846421304	22.5516843761544	22.4832653385708	22.471419670483	22.401631886857	22.5588345256555	22.519545646776	22.4505546081801	22.5295294360774	22.4635777170141
22.7369486440834	22.7445069205512	22.7416547651108	22.5996145027541	22.2302781828331	22.7752604251682	22.4177047955614	22.505263206459	22.6815607707754	22.0274417864443	22.5454515451202	22.2669744624231
21.9298573034962	21.8521428152677	21.8489615052295	21.7540006930924	21.6000222441185	21.8316305317414	21.7796159119006	21.614270649834	21.6777231494256	21.4999100547546	21.6144903783613	21.6316764790989
20.9490385117922	20.9415710081704	21.0194987345849	21.4943002221606	21.4391995763109	20.9784642318902	21.3730132329526	21.5001380411147	20.8604497746574	21.365021152992	21.2905464205796	21.0979944555672
22.0128054790493	21.8842455028793	21.9542371226074	22.2005960575966	22.1593346067114	22.0233268542325	22.104501687606	22.2570325507642	21.9728396698279	21.960350079842	22.071732638581	22.0298459427349
22.6432961359281	22.5243467275171	22.5254309528776	22.545412869697	22.3947129025669	22.4207169249291	22.3741266172722	22.5182424254988	22.3595587800609	22.2214811090417	22.4689405723842	22.3008437492507
20.9838419283204	20.9969573125637	21.185354632912	21.1507868047734	20.6467017619772	20.9112509599207	20.8751634914	20.8934184899208	20.644471209952	20.3744630075717	20.7315876983614	20.5477427427421
18.3870965651707	18.1593298047845	18.2427009309257	18.4549179253738	18.5249966327118	18.2469063435902	18.4452548836135	18.5410272433485	18.2795494202488	18.1995210684859	18.446070616698	18.280321588607
23.9968643180072	23.9282134070348	24.0113340587755	24.0230771603522	23.7733903854554	23.9374090204514	23.8236015386496	23.9417296449675	23.904497676433	23.5115508234015	23.8641590051303	23.682891561905
