Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6A.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189	26.5178261300189
26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631	26.268583424631
25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041	25.9723339431041
26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546	26.3577704571546
22.574951046696	22.3366151369984	22.1811472283428	22.4962763107504	22.3815861702908	22.5991488531838	22.0655820638213	22.574951046696	22.7358261783807	22.5553989987354	22.3815861702908	22.3140193370208
22.574951046696	22.3366151369984	22.1811472283428	22.4962763107504	22.3815861702908	22.5991488531838	22.0655820638213	22.574951046696	22.7358261783807	22.5553989987354	22.3815861702908	22.3140193370208
20.8215469559613	20.5091929197054	20.314563114487	20.2819444032541	20.1039656107395	20.8544185737443	20.1385230325994	20.4601043660654	20.8427337697482	20.234385896376	20.5765293757408	20.234385896376
20.8215469559613	20.5091929197054	20.314563114487	20.2819444032541	20.1039656107395	20.8544185737443	20.1385230325994	20.4601043660654	20.8427337697482	20.234385896376	20.5765293757408	20.234385896376
24.8258736806794	24.8258736806794	24.8258736806794	24.8258736806794	24.8258736806794	24.8258736806794	24.8258736806794	24.8258736806794	24.8258736806794	24.3792065700047	24.8258736806794	24.8258736806794
23.7496554328288	23.7113062738875	23.7496554328288	23.8529577504084	23.7496554328288	23.6730234604583	23.906716826488	23.6730234604583	23.7496554328288	23.6379455994581	23.7496554328288	23.6379455994581
24.3792065700047	24.3792065700047	24.3792065700047	24.3792065700047	24.2153387625902	24.3792065700047	24.3792065700047	24.3792065700047	24.3792065700047	24.0935056249472	24.3792065700047	24.2153387625902
23.8529577504084	23.8529577504084	23.8529577504084	23.8245914039883	23.8529577504084	23.906716826488	23.8529577504084	23.8245914039883	23.906716826488	23.8245914039883	23.8245914039883	23.8529577504084
23.6379455994581	23.7496554328288	23.8245914039883	23.9657428165196	24.3792065700047	23.7496554328288	24.2153387625902	23.8529577504084	24.2153387625902	24.8258736806794	24.2153387625902	24.3792065700047
24.2153387625902	24.2153387625902	24.2153387625902	24.0935056249472	24.0935056249472	24.0935056249472	24.0935056249472	23.9657428165196	24.0935056249472	23.9657428165196	24.0935056249472	24.0935056249472
23.076924018893	23.076924018893	22.8526153310328	22.9963426456453	22.9288946772201	23.2491513014407	22.9288946772201	23.2491513014407	23.1442119705774	23.1442119705774	23.076924018893	22.9288946772201
22.6751731391794	22.7160210741534	22.6366447399721	22.6751731391794	22.6751731391794	22.5655716358517	22.5843304575403	22.7160210741534	22.4272614983685	22.5238533532956	22.5039024421326	22.5655716358517
23.2491513014407	23.1442119705774	23.076924018893	23.1442119705774	23.2491513014407	23.076924018893	23.3569764790557	23.076924018893	23.076924018893	22.9963426456453	23.1442119705774	23.1442119705774
23.6730234604583	23.6379455994581	23.6730234604583	23.6730234604583	23.6730234604583	23.6379455994581	23.7113062738875	23.7496554328288	23.7886169983294	23.4160972801382	23.6730234604583	23.497430700474
23.3569764790557	23.3569764790557	23.3569764790557	23.3569764790557	23.4160972801382	23.3569764790557	23.497430700474	23.3569764790557	23.497430700474	23.2491513014407	23.4160972801382	23.3569764790557
23.497430700474	23.497430700474	23.497430700474	23.497430700474	23.7886169983294	23.8245914039883	23.6379455994581	23.7886169983294	23.6379455994581	23.906716826488	23.7113062738875	23.7496554328288
21.1529258945569	21.1955082469303	21.4065573235531	21.2445138737421	21.0938525830305	21.1852274422999	21.0020632494152	21.1249792771455	21.0683439672024	20.8380870143712	21.1249792771455	20.96726144195
22.6139672488274	22.5039024421326	22.5238533532956	22.6139672488274	22.4886501793682	22.5238533532956	22.258967235176	22.6366447399721	22.5452263616192	22.4722343475452	22.5843304575403	22.5039024421326
22.8526153310328	22.7556312826079	22.7556312826079	22.6366447399721	22.059819304072	22.8147819127541	22.3247583918035	22.4886501793682	22.6580653550935	21.9808115676167	22.6139672488274	22.1336450702784
22.1145557643264	22.0383082620698	21.9252578785689	21.7579178938529	21.5760535519728	22.0262519120073	21.7579178938529	21.6728951480067	21.6728951480067	21.3701978789986	21.6347917150889	21.6728951480067
21.0401868107307	21.0800688290846	21.0683439672024	21.5760535519728	21.3408735596443	21.1069909095566	21.270731807154	21.5760535519728	20.829080665696	21.2445138737421	21.3408735596443	21.0020632494152
22.1694988681303	22.059819304072	21.9808115676167	22.258967235176	22.0139023829371	22.2390389393293	21.9961092267569	22.3247583918035	22.0139023829371	21.8967847424713	22.1694988681303	21.9808115676167
22.6580653550935	22.5452263616192	22.5655716358517	22.5843304575403	22.2390389393293	22.4886501793682	22.2390389393293	22.5039024421326	22.3733906234758	22.1694988681303	22.5452263616192	22.1694988681303
21.0938525830305	21.1529258945569	21.3082258581792	21.1852274422999	20.6407001110699	21.0401868107307	20.8380870143712	20.9527793313414	20.6458415412447	20.3090758745199	20.7752229818633	20.570616845191
18.466058724452	18.2023292945324	18.30123001448	18.4873530052178	18.466058724452	18.3732545577207	18.492137236628	18.5081523103551	18.3230942168033	18.2181744750064	18.4294205263109	18.2789537304839
24.0935056249472	23.906716826488	24.0935056249472	24.2153387625902	23.906716826488	23.8529577504084	23.9657428165196	23.906716826488	23.9657428165196	23.6730234604583	23.8529577504084	23.7113062738875
23.4160972801382	23.4160972801382	23.4160972801382	23.4160972801382	23.497430700474	23.4160972801382	23.4160972801382	23.4160972801382	23.4160972801382	23.3569764790557	23.3569764790557	23.4160972801382
22.4444510491348	22.6751731391794	22.6580653550935	22.5238533532956	22.6366447399721	22.6580653550935	22.6580653550935	22.5238533532956	22.6751731391794	22.8936168341929	22.6751731391794	22.8147819127541
23.9657428165196	24.0935056249472	23.9657428165196	23.7886169983294	23.8245914039883	23.7886169983294	23.8245914039883	23.7113062738875	23.8529577504084	23.7886169983294	23.9657428165196	23.906716826488
23.7113062738875	23.6730234604583	23.6379455994581	23.6379455994581	23.6379455994581	23.497430700474	23.6730234604583	23.497430700474	23.6730234604583	23.497430700474	23.6379455994581	23.6730234604583
19.0932194764959	19.0718014575789	19.2424504975626	19.2610982739106	18.9273018043074	19.1062832057503	18.9954582353099	19.1888874757434	18.8952709191683	18.6454741100796	18.9954582353099	18.7846100490096
21.7579178938529	21.5760535519728	21.521491726675	21.4576109736422	21.1852274422999	21.6728951480067	21.3701978789986	21.270731807154	21.4576109736422	21.1249792771455	21.3701978789986	21.270731807154
23.7886169983294	23.7886169983294	23.7886169983294	23.7496554328288	23.1442119705774	24.2153387625902	23.1442119705774	24.0935056249472	23.2491513014407	23.8529577504084	23.497430700474	23.9657428165196
22.9288946772201	22.8936168341929	22.9288946772201	22.9288946772201	22.9963426456453	22.9288946772201	22.9963426456453	22.9963426456453	22.9963426456453	22.9288946772201	22.9288946772201	22.9963426456453
