Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fetalbrain	16/325	0.8872597957412233	0.9999909578910761	0	0	0.7574100778601192	0.09059945980900977	IGSF3;NCAN;NEDD4L;PSIP1;PTPRK;MTSS1;CAMSAP1;ROBO1;CXCL10;CACNB3;DAAM1;AKT3;FKBP1B;CEP170;ATXN10;DBN1
Wholebrain	11/240	0.904290446616102	0.9999909578910761	0	0	0.7028909402465314	0.07071411789921497	THTPA;EHD3;MAP2K1;PSRC1;CHCHD6;PDGFA;MAPT;PNMA2;CRYM;BAIAP2;RNF41
AdrenalCortex	4/106	0.9124870582928829	0.9999909578910761	0	0	0.574597738387251	0.05262245171117244	CASP9;APP;AKR1B1;LDLR
TestisLeydigCell	4/107	0.9160838438750479	0.9999909578910761	0	0	0.5689885649247974	0.049870360312511436	BRAP;NPC2;EEF1D;EDDM3B
Amygdala	16/345	0.9312026971451263	0.9999909578910761	0	0	0.7105943589136937	0.05064996186548101	IGSF8;UBE2B;NDUFA5;NCAN;PON2;MINK1;CDC42BPB;BAIAP2;PPM1B;YWHAQ;PRKAR1A;DNAJC6;TAX1BP1;MAPT;GRSF1;WASF1
TestisSeminiferousTubule	2/69	0.9397967848501347	0.9999909578910761	0	0	0.4375139229226999	0.02716594536770588	LAG3;PRKAR2A
pineal day	35/694	0.9423031261535489	0.9999909578910761	0	0	0.7737897107053698	0.04598498090840851	ACHE;PODXL2;MPI;ENO2;CAMSAP1;DNAJB2;ANKMY2;DNPEP;SLITRK2;FAM172A;MAP2;ENSA;AP3S2;EIF4E;RAB11FIP3;WASF3;PDLIM7;MAP3K5;HSDL2;CXADR;SLC16A1;SMAD3;ST13;HSBP1;MTUS1;ACYP1;ERP44;TOM1L2;TF;LACTB2;DLG4;TAX1BP1;ITGB1BP2;EIF4G3;CC2D1A
SkeletalMuscle	20/441	0.960769031345717	0.9999909578910761	0	0	0.6928674849296401	0.027729416519619084	CCDC134;ZBTB17;NRP2;MYBPC2;NDUFB7;XRCC4;UBE2B;ELAC1;RAB27B;DTX3;HNMT;CAMSAP1;MYLPF;OCLN;DNAJA2;PDLIM5;EVI5;FGFR2;PDLIM7;SLC27A4
Appendix	4/127	0.9650402779122551	0.9999909578910761	0	0	0.47595837091337084	0.016937187929272325	CD163;SMAD3;GSTA1;GP6
TestisGermCell	13/314	0.966756796851431	0.9999909578910761	0	0	0.6305237165075738	0.021316946251123865	SRPK2;CETN3;AARSD1;EDDM3B;AP2B1;BACH1;DDA1;ACE2;PRKAR2A;TPR;EIF4G3;APPL2;BRDT
SuperiorCervicalGanglion	28/602	0.9717855476038761	0.9999909578910761	0	0	0.7100357932208031	0.02032131592648039	PTEN;AIF1;FCAR;FGF5;ATXN3;DNPEP;THPO;IL12B;IGFBP7;CD36;PDLIM5;FGF23;SCARF1;TGM2;SRPK2;RAB2B;ST6GAL1;ANGPT1;UBE2B;FUS;RBM19;GP6;ATXN2L;LAT2;ARL2BP;PLXNB2;CHI3L1;CD226
Pituitary	2/84	0.9736505824167572	0.9999909578910761	0	0	0.35719349338033834	0.009538060934245602	DLK1;CHGB
Skin	3/111	0.9756641714893128	0.9999909578910761	0	0	0.40655573025856045	0.010016247814467121	CA1;STAB2;CCL27
CD34+	30/645	0.9756952631958243	0.9999909578910761	0	0	0.7095699872661377	0.01745894942408559	TOP2B;AK2;MTIF3;WDR46;MPO;CRHBP;LARP1;PSTPIP2;TPR;DENR;NUDT15;GUSB;HEXIM1;BRAP;RBM17;TIMM8A;NUDC;SERPINB1;DUT;ANGPT1;CENPF;PIKFYVE;CD40LG;DNAJC9;TBC1D23;FKBP4;GLA;TMEM106A;NUCB2;MDM1
Salivarygland	1/57	0.976718721616491	0.9999909578910761	0	0	0.2616758241758242	0.006164184470715443	CRISP3
AtrioventricularNode	10/269	0.9796599292534068	0.9999909578910761	0	0	0.5636149983976071	0.011582163379543433	PER3;TGFB1;TPMT;GSTA3;EPO;STAB2;CA7;CLTA;SERPINB8;PRKG1
CiliaryGanglion	9/278	0.9934164391887307	0.9999909578910761	0	0	0.4877464366884547	0.003221725213490597	BECN1;GSTA3;SNX15;VTI1A;STAB2;CD59;CD36;PRKG1;PRTFDC1
Testis	11/384	0.999448292374159	0.9999909578910761	0	0	0.4281738894356399	2.3629198802873098E-4	CYB5R2;THTPA;DNPEP;PRKAR1A;DIABLO;PRKAR2A;CHCHD6;CIAPIN1;ASRGL1;CAMSAP1;DDA1
TestisIntersitial	14/568	0.9999909578910761	0.9999909578910761	0	0	0.36415142414621365	3.292711728489456E-6	BRAP;SRPK2;PCYT2;INPP1;CETN3;ICA1;RAB27B;AP2B1;ASRGL1;SERPINB6;SLMAP;LGALS8;PIBF1;BRDT
