Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fetalliver	13/126	0.05845414144830565	0.22824950470290778	0	0	1.696674754217915	4.817729578586513	CPB2;DDX58;ARG1;PROS1;AFM;YOD1;ACADSB;PBLD;COL2A1;TDO2;DAAM1;GAS2;CLEC1B
CD56+ NKCells	58/752	0.07573551598922783	0.2822869232325764	0	0	1.2382198394976072	3.1952362770372407	SPON2;ITGB2;SLA2;ITGAL;GALNT10;LAMP1;ENSA;C19ORF12;IKBKG;NBN;HAVCR2;ILKAP;USP8;USP47;PPP1R12A;DDX58;STX8;AXIN1;PPP2R5A;SERPINB9;CSNK1D;PPM1A;DOK2;BIN2;RAB37;CD226;ITGB1BP1;MAD1L1;MTPN;IQGAP2;STK4;ADD1;SLC9A3R1;DNAJB6;CCL5;INPP5D;STX4;SLAMF6;GBP2;LYAR;TSNAX;SMAD2;RABGAP1L;TGFB1;GZMA;SH2D1A;SUSD1;NFATC3;GZMB;TBCC;USP28;FLI1;GZMH;BATF;PTPRC;TADA3;NMT1;SIGLEC7
Lymphoma burkitts(Daudi)	13/139	0.10639977193496947	0.3764838841919359	0	0	1.5205581968656454	3.406889474246237	NPM1;RNASEH2A;PNPT1;SERPINB9;TIMM10;EIF2S2;CXCL10;CASP8;EEF1D;C1QBP;RPL14;NBN;EIF4B
small intestine	19/220	0.1101904051293471	0.3764838841919359	0	0	1.3941280856862186	3.074812861463865	CCL13;ENPEP;MOCS2;ANXA4;PLAT;PBLD;SULT1A1;FABP1;SCP2;RBP2;ERBB3;ACOX1;GIPC2;GSTA1;CDHR2;ALDH1A1;CES2;RBKS;PRTFDC1
PrefrontalCortex	40/521	0.12793015327321128	0.41961090273613294	0	0	1.2284798033785889	2.526087199122602	IGSF8;DCTN1;STXBP1;PTPRK;DTX3;NRGN;DNAJB2;PPP3R1;PAIP2B;PDZD2;ERC2;WASF1;EDIL3;JAM3;SRPK2;NUDC;RABGAP1L;TSPYL1;ARHGEF12;TSC22D1;EIF1AX;DNAJB14;CDC42BPB;PNMA2;IL17RB;TJAP1;DNM1;CIT;PDP1;BCAN;CLIP2;NFASC;PSRC1;DDAH1;CRYZL1;NMT1;PLXNB3;RAPGEF2;GRSF1;EIF4G3
CD105+ Endothelial	29/370	0.1460755466674856	0.4606998010282238	0	0	1.254774221791257	2.4137230279173507	FEN1;DTYMK;LXN;TXNDC9;TIMM10;PRDX2;CDH1;CDC27;CHAC2;CD36;SNX5;BRAP;DUT;VCAM1;RFC4;RRM2;PKLR;FKBPL;UROS;CACYBP;MYL4;CENPF;BLVRB;DNAJC9;RTN4IP1;FKBP4;GCLM;FXN;METAP2
Heart	32/415	0.1529095108529025	0.4643918477754817	0	0	1.2328969120022517	2.3152681638327035	LGALS3BP;NDUFB7;PKN3;AK1;ICA1;HSPB1;COX5B;OPLAH;RNF5;PRDX2;GYS1;VMO1;RRAS;AP3S2;RILP;GADD45GIP1;FIS1;MECR;DUSP3;GOT1;MRPL24;COX6B1;MYL4;PLA2G15;TOM1L2;DOK1;FABP3;PTP4A3;SMTN;ITGB1BP2;CHMP6;CC2D1A
Hypothalamus	9/97	0.16514732046978933	0.4732166476513688	0	0	1.505574105988798	2.7114145323539245	QDPR;DNM3;CRHBP;PHLDB1;NFASC;CRYZL1;CAPN3;OXT;SIAE
Leukemia chronicMyelogenousK-562	11/124	0.1673571070962158	0.4732166476513688	0	0	1.4333762742242635	2.5623398122968735	MCTS1;RANBP1;CRADD;PSMD5;PKN3;CBS;LONP1;GTPBP2;TFPI;COX5B;CRKL
Spinalcord	9/105	0.22603418900607133	0.6178267832832617	0	0	1.3795171800947867	2.0514372505419067	TF;PSRC1;FNTA;PACS2;CAPN3;TREM2;SCRG1;FGFR2;LHPP
Bonemarrow	5/52	0.2356963122723794	0.6234547614946809	0	0	1.5645836823588541	2.2611537281172716	CEACAM1;RNASE3;AZU1;MPO;FCAR
PancreaticIslet	10/123	0.2586621766703047	0.6628218277176559	0	0	1.3020392458637937	1.7606596619468742	PFKFB2;SCGN;ATRN;CPB1;ANXA4;GP2;PDGFA;REG3G;CGN;SOD2
Trachea	6/72	0.3099288369680521	0.7701262009509174	0	0	1.3367003367003367	1.565827571417987	PIGR;ALDH3A1;COL2A1;YTHDF3;CRISP3;RNASE4
