"SUID","edgeType_all_genes","interaction","name","selected","shared interaction","shared name"
"1584061","black","pp","40012 (pp) 40013","false","pp","40012 (pp) 40013"
"1584063","black","pp","9892 (pp) 10605","false","pp","9892 (pp) 10605"
"1584066","black","pp","9890 (pp) 51055","false","pp","9890 (pp) 51055"
"1584069","black","pp","44249 (pp) 16053","false","pp","44249 (pp) 16053"
"1584072","black","pp","50790 (pp) 51340","false","pp","50790 (pp) 51340"
"1584075","black","pp","9125 (pp) 9128","false","pp","9125 (pp) 9128"
"1584078","black","pp","51346 (pp) 10466","false","pp","51346 (pp) 10466"
"1584081","black","pp","48869 (pp) 30154","false","pp","48869 (pp) 30154"
"1584084","black","pp","9116 (pp) 42278","false","pp","9116 (pp) 42278"
"1584087","black","pp","45595 (pp) 45597","false","pp","45595 (pp) 45597"
"1584090","black","pp","6766 (pp) 6767","false","pp","6766 (pp) 6767"
"1584093","black","pp","7275 (pp) 45137","false","pp","7275 (pp) 45137"
"1584096","black","pp","45637 (pp) 45639","false","pp","45637 (pp) 45639"
"1584098","black","pp","8150 (pp) 16265","false","pp","8150 (pp) 16265"
"1584101","black","pp","9119 (pp) 46128","false","pp","9119 (pp) 46128"
"1584102","black","pp","65007 (pp) 65008","false","pp","65007 (pp) 65008"
"1584105","black","pp","51239 (pp) 46668","false","pp","51239 (pp) 46668"
"1584108","black","pp","42325 (pp) 1932","false","pp","42325 (pp) 1932"
"1584110","black","pp","8150 (pp) 22414","false","pp","8150 (pp) 22414"
"1584113","black","pp","43901 (pp) 50687","false","pp","43901 (pp) 50687"
"1584116","black","pp","7596 (pp) 30168","false","pp","7596 (pp) 30168"
"1584119","black","pp","48511 (pp) 22602","false","pp","48511 (pp) 22602"
"1584122","black","pp","7010 (pp) 6923","false","pp","7010 (pp) 6923"
"1584125","black","pp","30182 (pp) 48666","false","pp","30182 (pp) 48666"
"1584127","black","pp","44267 (pp) 44257","false","pp","44267 (pp) 44257"
"1584129","black","pp","9158 (pp) 9169","false","pp","9158 (pp) 9169"
"1584131","black","pp","7275 (pp) 48731","false","pp","7275 (pp) 48731"
"1584133","black","pp","44237 (pp) 6091","false","pp","44237 (pp) 6091"
"1584136","black","pp","16192 (pp) 48193","false","pp","16192 (pp) 48193"
"1584139","black","pp","1944 (pp) 1568","false","pp","1944 (pp) 1568"
"1584141","black","pp","50927 (pp) 50930","false","pp","50927 (pp) 50930"
"1584144","black","pp","6917 (pp) 8624","false","pp","6917 (pp) 8624"
"1584147","black","pp","51834 (pp) 44415","false","pp","51834 (pp) 44415"
"1584150","black","pp","60548 (pp) 43069","false","pp","60548 (pp) 43069"
"1584152","black","pp","45597 (pp) 10720","false","pp","45597 (pp) 10720"
"1584154","black","pp","9262 (pp) 9394","false","pp","9262 (pp) 9394"
"1584156","black","pp","48519 (pp) 43901","false","pp","48519 (pp) 43901"
"1584159","black","pp","51347 (pp) 33674","false","pp","51347 (pp) 33674"
"1584162","black","pp","32502 (pp) 3006","false","pp","32502 (pp) 3006"
"1584165","black","pp","42058 (pp) 7176","false","pp","42058 (pp) 7176"
"1584168","black","pp","9893 (pp) 9891","false","pp","9893 (pp) 9891"
"1584171","black","pp","6810 (pp) 46907","false","pp","6810 (pp) 46907"
"1584173","black","pp","44267 (pp) 6464","false","pp","44267 (pp) 6464"
"1584176","black","pp","70613 (pp) 10953","false","pp","70613 (pp) 10953"
"1584178","black","pp","30193 (pp) 30195","false","pp","30193 (pp) 30195"
"1584181","black","pp","2688 (pp) 2690","false","pp","2688 (pp) 2690"
"1584184","black","pp","6725 (pp) 42430","false","pp","6725 (pp) 42430"
"1584186","black","pp","51239 (pp) 10717","false","pp","51239 (pp) 10717"
"1584189","black","pp","6793 (pp) 6796","false","pp","6793 (pp) 6796"
"1584192","black","pp","7154 (pp) 7267","false","pp","7154 (pp) 7267"
"1584195","black","pp","9628 (pp) 9314","false","pp","9628 (pp) 9314"
"1584197","black","pp","1934 (pp) 50731","false","pp","1934 (pp) 50731"
"1584199","black","pp","9262 (pp) 9263","false","pp","9262 (pp) 9263"
"1584201","black","pp","70482 (pp) 1666","false","pp","70482 (pp) 1666"
"1584204","black","pp","48513 (pp) 9887","false","pp","48513 (pp) 9887"
"1584207","black","pp","2286 (pp) 2291","false","pp","2286 (pp) 2291"
"1584210","black","pp","50864 (pp) 50871","false","pp","50864 (pp) 50871"
"1584213","black","pp","42434 (pp) 42436","false","pp","42434 (pp) 42436"
"1584215","black","pp","6725 (pp) 19438","false","pp","6725 (pp) 19438"
"1584217","black","pp","40012 (pp) 40017","false","pp","40012 (pp) 40017"
"1584220","black","pp","90046 (pp) 51090","false","pp","90046 (pp) 51090"
"1584222","black","pp","10033 (pp) 71310","false","pp","10033 (pp) 71310"
"1584225","black","pp","33158 (pp) 33160","false","pp","33158 (pp) 33160"
"1584228","black","pp","32946 (pp) 50671","false","pp","32946 (pp) 50671"
"1584230","black","pp","8150 (pp) 23046","false","pp","8150 (pp) 23046"
"1584232","black","pp","16192 (pp) 6897","false","pp","16192 (pp) 6897"
"1584234","black","pp","48513 (pp) 9888","false","pp","48513 (pp) 9888"
"1584236","black","pp","3006 (pp) 48608","false","pp","3006 (pp) 48608"
"1584238","black","pp","51223 (pp) 51222","false","pp","51223 (pp) 51222"
"1584241","black","pp","19318 (pp) 19320","false","pp","19318 (pp) 19320"
"1584244","black","pp","6807 (pp) 33013","false","pp","6807 (pp) 33013"
"1584246","black","pp","9719 (pp) 9725","false","pp","9719 (pp) 9725"
"1584249","black","pp","44085 (pp) 22607","false","pp","44085 (pp) 22607"
"1584252","black","pp","10556 (pp) 6275","false","pp","10556 (pp) 6275"
