,Node_1,Node_2,level
1,10562,45937,L3
3,10627,70302,L3
4,33135,33138,L3
5,65008,42592,L3
6,65007,50789,L3
7,48518,32846,L3
10,44281,6519,L3
11,40008,46620,L3
12,9725,43434,L3
13,31401,1934,L3
14,42221,70482,L3
16,44237,6800,L3
17,45937,42327,L3
21,16044,71763,L3
22,10941,10942,L3
23,10604,51247,L3
24,22402,22403,L3
25,902,48858,L3
26,2376,2252,L3
27,48583,48585,L3
28,6950,9611,L3
30,10033,51789,L3
31,48583,50776,L3
32,9653,32989,L3
33,9056,44282,L3
36,6998,71763,L3
37,48523,45786,L3
39,6952,6954,L3
40,48583,48584,L3
43,8150,16043,L3
45,30030,30031,L3
46,10627,43122,L3
48,2252,43299,L3
49,10799,10800,L3
50,10741,70303,L3
52,31326,45428,L3
55,32879,51270,L3
57,51128,43254,L3
58,30029,30036,L3
61,65007,65009,L3
62,278,87,L3
63,50867,2696,L3
64,45859,79,L3
65,31396,31397,L3
66,9987,6996,L3
68,51240,31652,L3
70,44271,43604,L3
71,9892,31324,L3
72,50794,10941,L3
73,16311,46838,L3
74,50818,30193,L3
77,31323,32268,L3
78,9987,19725,L3
81,9056,9057,L3
84,40012,40013,L3
85,9892,10605,L3
86,9890,51055,L3
87,44249,16053,L3
88,50790,51340,L3
91,48869,30154,L3
93,45595,45597,L3
94,6766,6767,L3
96,45637,45639,L3
97,8150,16265,L3
99,65007,65008,L3
100,51239,46668,L3
101,42325,1932,L3
102,8150,22414,L3
103,43901,50687,L3
104,7596,30168,L3
105,48511,22602,L3
106,7010,6923,L3
108,44267,44257,L3
110,7275,48731,L3
111,44237,6091,L3
112,16192,48193,L3
115,6917,8624,L3
117,60548,43069,L3
118,45597,10720,L3
120,48519,43901,L3
121,51347,33674,L3
122,32502,3006,L3
123,42058,7176,L3
124,9893,9891,L3
125,6810,46907,L3
126,44267,6464,L3
127,70613,10953,L3
130,6725,42430,L3
131,51239,10717,L3
132,6793,6796,L3
133,7154,7267,L3
134,9628,9314,L3
135,1934,50731,L3
137,70482,1666,L3
142,6725,19438,L3
143,40012,40017,L3
144,90046,51090,L3
145,10033,71310,L3
148,8150,23046,L3
149,16192,6897,L3
152,51223,51222,L3
154,6807,33013,L3
155,9719,9725,L3
156,44085,22607,L3
157,10556,6275,L3
159,51052,6275,L3
161,6979,34599,L3
162,3018,43114,L3
163,9889,46890,L3
164,45792,30308,L3
165,90046,90047,L3
166,31328,45740,L3
167,6954,2526,L3
168,34622,43623,L3
170,45935,51054,L3
171,46483,42558,L3
172,48518,48522,L3
173,33036,70727,L3
174,48519,51129,L3
175,51049,51050,L3
176,2682,2683,L3
177,44282,34656,L3
179,48523,10639,L3
180,9893,10604,L3
181,43549,45859,L3
182,48522,10638,L3
183,9891,10557,L3
184,32386,32388,L3
185,16337,34109,L3
186,6917,8629,L3
187,10647,9967,L3
188,35466,70302,L3
189,16044,10324,L3
190,35467,70303,L3
192,33674,45860,L3
193,70887,71310,L3
194,32501,48871,L3
195,6725,19439,L3
196,10035,302,L3
198,51049,51051,L3
199,44283,34404,L3
200,51704,44419,L3
202,51493,51494,L3
203,43408,32872,L3
204,6066,19751,L3
205,50789,23051,L3
206,9605,42330,L3
207,2831,2832,L3
208,6952,42742,L3
209,32502,7275,L3
211,302,42542,L3
212,2694,43030,L3
