"","X","Gene_name","logFC","P.Value","adj.P.Val","Comp"
"879","ARG1","ARG1",0.295372446157617,0.00282860085990961,0.00939647085710239,"group2-group1"
"1348","MNAT1","MNAT1",0.148398485105425,0.0606515716973924,0.131512383426037,"group2-group1"
"1748","SAT1","SAT1",0.115745512390692,0.213552304842164,0.357008123561585,"group2-group1"
"2634","SMS","SMS",-0.0220895598230254,0.787931378920719,0.874382467951884,"group2-group1"
