1	2	3	4	5	6	7	8	9	10	11	12
125767109.633432	111159855.690812	108941882.166587	107848154.543313	112919532.395175	105026069.069437	124392706.066523	114872534.540002	90592772.5037656	107737462.433275	110599023.801744	114196867.002193
10035910.5990579	8797804.56550776	8141881.63525482	8093470.09504686	8920643.45760021	9306974.92703873	8879024.06688866	9699833.96481062	6123870.64845648	8539464.02352352	9320366.77576613	8921520.65641156
9582449.95945847	8555203.4342499	7836400.50925317	7868343.34775699	8647184.83978601	8773407.35160563	8502946.13891499	9406482.20303223	6426523.76252182	8714343.61224413	8869489.13921379	8719329.88916063
45931184.1834825	40637671.7710077	38443302.2961827	36679274.124236	41503315.3579856	34945369.1970145	47903742.3314694	43309186.9313674	30067267.5515966	42144281.4974096	39891691.7311499	42583571.5335416
1972566.80042585	1780867.24218675	1715318.49653807	1769574.13784766	1841881.64190348	2024379.57382031	1804859.2209896	1822587.81149137	1518330.41767179	1809601.05271436	1781278.72808793	1910941.79257806
36234085.1810021	34600370.8098928	32646462.9614471	32075776.6915209	34334272.5034603	32035985.5047478	37593261.8742756	33508365.8157295	26218850.3852847	30990305.7979725	32025986.6697166	32445834.9925662
129315155.713884	135981260.942103	107380589.839386	105756709.235652	118897289.917955	105971746.396842	148370157.955535	112927290.101608	90395498.287034	124286401.067263	123464091.448669	118900157.284316
55185455.4878617	52548865.5056564	51968406.4922084	51035455.6634254	54895779.8989192	45110924.4399502	58080704.0264364	52652944.4503716	39892499.4327309	53001559.7507671	50429751.1715621	46893384.3221114
44367490.5833918	39487425.5204426	40105353.2887664	39334656.7099299	42405015.0917715	36783234.5085016	44143934.2805436	41373274.8198861	29801879.9325357	40744477.6730402	39693790.6798012	38154592.0005294
47476910.231654	41282155.68557	40346707.3746012	41485423.8075124	40975475.6532729	40598834.7035307	45574058.0407882	43923860.1915959	37053498.0090916	41162739.2384357	41807822.2259423	45720177.1609247
19900461.9143793	18300722.210878	16218055.1883513	17545609.8983279	18853984.9657038	19859008.7888583	17261007.8136731	18617966.4311705	14358793.4188888	18400391.5726205	17712591.3139834	17630673.3985729
50738153.2961945	47948418.2896621	44809339.4045055	46403373.9507129	47672140.8203703	43833623.7803941	48937234.1312349	48070246.0591818	37250305.4462961	46245915.1452336	44385766.0535281	44275811.0164997
51861371.2521042	41129788.8820811	39918206.0714982	41929366.6013495	41238956.3034712	46682533.9820203	46464798.3635856	44432338.7791713	36474087.3964283	43442121.3169672	44974304.4909831	42074965.7326545
53921750.6996194	53620969.3948088	48195994.7681216	47555105.9711168	52144288.9277329	47656847.1644678	57053198.3412465	49043291.2795326	41079954.4606649	50562689.136548	47029744.2755341	46353741.5895644
6677889.09260215	6872047.26940752	6210864.8652084	6506350.49161144	6782856.74701027	6208342.71985275	6279866.10676272	6532709.02109818	5000852.85398772	6514835.92023387	6312323.18600933	6391205.12411036
47845271.8899344	45609952.0761635	43938220.5044718	45695458.1838858	46472255.10893	42322363.7807064	43200601.0906908	39420756.0688177	40544231.332468	46883126.1786903	39824731.9399419	42051284.6893068
36302031.9200225	32694783.120571	31563714.1811441	33345752.2603122	32533089.7198242	31930381.6499046	34111230.6764783	32910257.1198248	27747994.2023179	32433134.1126517	32443042.1535146	34256509.6164
49218340.3909257	46582464.9010748	44167975.233594	44053675.0769813	47319670.663895	43609373.2754124	51793743.949681	49131518.1239152	33333018.3552555	47094726.1570259	44978122.2909783	48588284.0906683
35382920.7693724	28034936.2576142	23316406.1337331	22957774.9048994	25979745.9172314	33983393.0655991	38482917.0280933	28257200.8442819	24294524.2020689	27285447.4543926	31148059.1998771	32408450.7335489
46299346.2523367	45176357.3447904	42670336.5185523	45227687.7837772	44094490.1709706	42711907.351461	43142621.8747542	41004619.8889794	36586877.7971278	42811089.1662292	40630104.9422835	42535091.2848493
56925396.1690071	57476599.3136522	53722873.5078258	54714461.603851	55785886.2060409	51666682.8242395	57987538.7686454	52550687.550667	47432575.7703608	60096337.4963849	51414306.5115379	52427809.9350292
28528562.0936068	25574283.7106758	24181251.4907093	25274221.6416967	24464318.7224489	25860430.5800701	26663190.1945572	25938961.0857308	23583397.4211798	25517726.3621498	23654200.8894677	25328711.0864261
52249057.5704455	44090928.5683622	42889422.3441606	42473725.7305984	45315257.3882949	47346356.2272282	46019788.6611276	44899911.6881144	39538470.0902419	45243940.4488423	42791836.2791862	45023371.8160574
37118868.3659454	32170482.0359875	30806181.8531136	31368185.7915389	32716009.024499	32045945.6711335	33368911.9221203	33019492.7893974	27879533.6678144	32776720.2423698	31426325.5525455	31523558.731526
34160268.5758289	33410101.2480432	30572864.2150755	31080502.0235215	33666338.4969277	32664658.6796483	31715228.8969802	32203261.9249084	25607354.5888725	32483738.0050204	30603014.354881	30470221.4943744
29620436.0127765	28484031.4401346	25355947.7163901	25020487.9348336	25817202.4945626	26623455.2072407	29848846.2234292	25818663.9921824	24461762.844123	28601199.3810003	27136792.3674632	26982124.5220841
51651137.7853051	41401367.175004	40037611.3659944	43476663.2517375	42706416.0365837	46085455.0373383	43548870.0271553	42849727.6269144	36853882.2275586	44768251.0213784	44443367.7999819	41576348.6607315
40190344.6361768	42713305.8792694	41786964.3232451	35558469.3371145	42198552.043494	32278186.2743568	43669668.3074657	41100677.9294463	32551074.1182357	39981606.1770112	34236535.8774424	36443413.4224753
