"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC22A18",1.41030569555424e-30,0.306773381512514,0.34,0.09,3.0275032366463e-26,"CD16+ Mono","SLC22A18"
"SNAPC3",1.60244271133278e-30,0.279478022997877,0.33,0.085,3.43996376841808e-26,"CD16+ Mono","SNAPC3"
"SFMBT2",1.71389750458454e-30,0.255791927530943,0.34,0.088,3.67922377309163e-26,"CD16+ Mono","SFMBT2"
"NCOR21",2.42226729662235e-30,0.349507426623011,0.527,0.175,5.19988120565921e-26,"CD16+ Mono","NCOR2"
"LAMTOR21",2.67311246199102e-30,0.501081777024429,0.739,0.299,5.73837052215613e-26,"CD16+ Mono","LAMTOR2"
"HIPK31",2.85289406250814e-30,0.415513289057062,0.562,0.195,6.12430768398623e-26,"CD16+ Mono","HIPK3"
"LPCAT11",3.19464301831587e-30,0.315493024881102,0.429,0.128,6.85794016741867e-26,"CD16+ Mono","LPCAT1"
"SRA11",3.35429101633396e-30,0.409373294520659,0.591,0.214,7.20065652476412e-26,"CD16+ Mono","SRA1"
"ADAM101",3.39523302185555e-30,0.523286409477252,0.67,0.273,7.28854672801731e-26,"CD16+ Mono","ADAM10"
"FOXO31",3.48350854365462e-30,0.413826523110918,0.433,0.135,7.47804779066337e-26,"CD16+ Mono","FOXO3"
"MAN2B11",4.27656153456883e-30,0.503259303257769,0.788,0.353,9.1804946462589e-26,"CD16+ Mono","MAN2B1"
"QKI1",4.47857261109177e-30,0.461094940729504,0.724,0.299,9.61415182423069e-26,"CD16+ Mono","QKI"
"LEPROT1",4.69209134921195e-30,0.347211192732931,0.473,0.151,1.00725124993533e-25,"CD16+ Mono","LEPROT"
"PEA151",4.88143983212845e-30,0.388841110349967,0.419,0.127,1.04789868876301e-25,"CD16+ Mono","PEA15"
"NUP2141",6.06537714680253e-30,0.346072839818868,0.67,0.253,1.3020545121041e-25,"CD16+ Mono","NUP214"
"H2AFZ",8.1176657095955e-30,0.611883601500343,0.966,0.64,1.74261929787887e-25,"CD16+ Mono","H2AFZ"
"TFE3",8.20731040858586e-30,0.311089474493906,0.379,0.108,1.76186332541113e-25,"CD16+ Mono","TFE3"
"ERICH11",9.75978234512473e-30,0.471315540680175,0.754,0.312,2.09513247602793e-25,"CD16+ Mono","ERICH1"
"SLC39A1",1.30908772444448e-29,0.29448891110619,0.389,0.111,2.81021861806496e-25,"CD16+ Mono","SLC39A1"
"RFTN11",2.06785797703894e-29,0.386142404255805,0.502,0.17,4.4390707193095e-25,"CD16+ Mono","RFTN1"
"SERPINB61",2.45183420357703e-29,0.389026829832374,0.586,0.209,5.26335248481881e-25,"CD16+ Mono","SERPINB6"
"AHNAK1",2.59288673806675e-29,0.650509474652861,0.98,0.681,5.5661499606079e-25,"CD16+ Mono","AHNAK"
"CLEC2B1",3.39952423155179e-29,0.615036464264971,0.803,0.404,7.29775866787223e-25,"CD16+ Mono","CLEC2B"
"MEF2A1",3.47326807103493e-29,0.322220460289049,0.557,0.189,7.45606456809069e-25,"CD16+ Mono","MEF2A"
"POLD41",3.6515146150135e-29,0.676013774529472,0.916,0.581,7.83870642404948e-25,"CD16+ Mono","POLD4"
"RASSF51",3.98459384714335e-29,0.554112340449562,0.892,0.443,8.55372761166263e-25,"CD16+ Mono","RASSF5"
"CDC422",4.52012576469948e-29,0.583517811644488,0.975,0.778,9.70335397908037e-25,"CD16+ Mono","CDC42"
"PDXK1",4.64134025800294e-29,0.387346284973529,0.468,0.153,9.96356513185491e-25,"CD16+ Mono","PDXK"
"OXR1",5.11454077304752e-29,0.417857742371348,0.522,0.183,1.09793846775011e-24,"CD16+ Mono","OXR1"
"MGAT11",7.58727391397701e-29,0.495451000508061,0.798,0.367,1.62876009111345e-24,"CD16+ Mono","MGAT1"
"ATP5F1E1",8.67445304169648e-29,0.4399649735312,1,0.973,1.86214483446098e-24,"CD16+ Mono","ATP5F1E"
"SDHB",8.78939398203858e-29,0.42403162558355,0.675,0.268,1.88681920612422e-24,"CD16+ Mono","SDHB"
"CAMK1D1",9.23958336790567e-29,0.399141550622357,0.522,0.181,1.98346136158831e-24,"CD16+ Mono","CAMK1D"
"GNAI31",1.0454299949677e-28,0.481317088288894,0.67,0.273,2.24422457019715e-24,"CD16+ Mono","GNAI3"
"PCGF5",1.07833046557567e-28,0.486781974462757,0.626,0.251,2.31485201045129e-24,"CD16+ Mono","PCGF5"
"AHCY",1.15842157990222e-28,0.344070263363729,0.468,0.152,2.48678360557609e-24,"CD16+ Mono","AHCY"
