"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TCF7",0,1.23085545261473,0.938,0.443,0,"CD4 T","TCF7"
"LEF1",0,1.20048416237592,0.783,0.267,0,"CD4 T","LEF1"
"MAL",0,1.13664261717181,0.71,0.231,0,"CD4 T","MAL"
"CCR7",0,1.01159562659552,0.682,0.274,0,"CD4 T","CCR7"
"LDHB",0,0.98107266438885,0.972,0.709,0,"CD4 T","LDHB"
"NOSIP",0,0.95790527740257,0.881,0.578,0,"CD4 T","NOSIP"
"LTB",0,0.918168168590483,0.992,0.669,0,"CD4 T","LTB"
"CD3E",0,0.846245717779924,0.987,0.52,0,"CD4 T","CD3E"
"FLT3LG",0,0.845937914948997,0.776,0.414,0,"CD4 T","FLT3LG"
"AQP3",0,0.836118857506362,0.63,0.278,0,"CD4 T","AQP3"
"TRABD2A",0,0.828774169907481,0.54,0.185,0,"CD4 T","TRABD2A"
"PRKCQ-AS1",0,0.798213935786276,0.633,0.293,0,"CD4 T","PRKCQ-AS1"
"IL7R",0,0.77952425049105,0.916,0.465,0,"CD4 T","IL7R"
"INPP4B",0,0.765938366317008,0.58,0.243,0,"CD4 T","INPP4B"
"SARAF",0,0.743558099402947,0.986,0.881,0,"CD4 T","SARAF"
"CD6",0,0.738230299017272,0.634,0.288,0,"CD4 T","CD6"
"CD3D",0,0.738160820586496,0.927,0.478,0,"CD4 T","CD3D"
"PCED1B-AS1",0,0.726966781957232,0.862,0.557,0,"CD4 T","PCED1B-AS1"
"CAMK4",0,0.72162787835465,0.636,0.289,0,"CD4 T","CAMK4"
"IFITM1",0,0.720619426598978,0.969,0.588,0,"CD4 T","IFITM1"
"LAT",0,0.707503755788293,0.81,0.437,0,"CD4 T","LAT"
"TLE5",0,0.704755412947372,0.982,0.782,0,"CD4 T","TLE5"
"GIMAP7",0,0.702929118918175,0.902,0.641,0,"CD4 T","GIMAP7"
"C12orf57",0,0.692315871498034,0.937,0.691,0,"CD4 T","C12orf57"
"CD3G",0,0.689694770501919,0.774,0.394,0,"CD4 T","CD3G"
"LCK",0,0.633956360320239,0.838,0.455,0,"CD4 T","LCK"
"RPS25",0,0.630598079087703,1,0.982,0,"CD4 T","RPS25"
"RPL32",0,0.627011612286565,1,0.989,0,"CD4 T","RPL32"
"RPS12",0,0.623861824891935,1,0.989,0,"CD4 T","RPS12"
"NPM1",0,0.618607423218092,0.981,0.877,0,"CD4 T","NPM1"
"RPL5",0,0.615779841467788,1,0.978,0,"CD4 T","RPL5"
"EVL",0,0.609202161897943,0.93,0.669,0,"CD4 T","EVL"
"RPS3A",0,0.607532033299739,1,0.987,0,"CD4 T","RPS3A"
"RPS27",0,0.604143834308589,1,0.987,0,"CD4 T","RPS27"
"RPL30",0,0.603454675647644,1,0.987,0,"CD4 T","RPL30"
"RPS5",0,0.595305757249086,1,0.973,0,"CD4 T","RPS5"
"RPS27A",0,0.592332869950807,1,0.99,0,"CD4 T","RPS27A"
"RPL11",0,0.575944874980588,1,0.988,0,"CD4 T","RPL11"
"EEF1B2",0,0.573139889229136,0.999,0.957,0,"CD4 T","EEF1B2"
"RPL14",0,0.571546352746412,1,0.983,0,"CD4 T","RPL14"
"RPS15A",0,0.56538475570664,1,0.988,0,"CD4 T","RPS15A"
"RPS6",0,0.561144113785459,0.999,0.984,0,"CD4 T","RPS6"
"RPL3",0,0.559317671044878,1,0.982,0,"CD4 T","RPL3"
"RPS3",0,0.554918831240608,1,0.987,0,"CD4 T","RPS3"
"RPL36",0,0.551784842582672,1,0.984,0,"CD4 T","RPL36"
"NOP53",0,0.548485445975573,0.978,0.867,0,"CD4 T","NOP53"
"RPS18",0,0.544123864401072,1,0.989,0,"CD4 T","RPS18"
"RPL13",0,0.539010405979514,1,0.992,0,"CD4 T","RPL13"
"RPL22",0,0.511132490791287,0.999,0.977,0,"CD4 T","RPL22"
"RPL35A",0,0.510119051845609,1,0.989,0,"CD4 T","RPL35A"
"RPSA",0,0.507564654350466,0.998,0.959,0,"CD4 T","RPSA"
"RPS4X",0,0.505915065176689,1,0.983,0,"CD4 T","RPS4X"
"RPL9",0,0.504702009082474,0.999,0.982,0,"CD4 T","RPL9"
"RPS26",0,0.501495609648932,1,0.988,0,"CD4 T","RPS26"
"RPL34",0,0.500062755071597,1,0.988,0,"CD4 T","RPL34"
"RPS29",0,0.493173106898865,0.994,0.949,0,"CD4 T","RPS29"
"RPL10A",0,0.492989670439418,0.999,0.977,0,"CD4 T","RPL10A"
"RPL10",0,0.491605518752657,1,0.991,0,"CD4 T","RPL10"
"RPL4",0,0.491350393626019,0.999,0.973,0,"CD4 T","RPL4"
"EEF1A1",0,0.490441519896945,1,0.993,0,"CD4 T","EEF1A1"
"TPT1",0,0.484942199482995,1,0.994,0,"CD4 T","TPT1"
"RPL21",0,0.484125270146958,1,0.985,0,"CD4 T","RPL21"
"RPS14",0,0.478057578479554,1,0.988,0,"CD4 T","RPS14"
"RPL19",0,0.476955502301121,1,0.987,0,"CD4 T","RPL19"
"RPS13",0,0.465676623180623,1,0.986,0,"CD4 T","RPS13"
"RPL37",0,0.459908767137119,1,0.987,0,"CD4 T","RPL37"
"RPS21",0,0.459898635213945,1,0.983,0,"CD4 T","RPS21"
"RPS8",0,0.459244876993822,1,0.99,0,"CD4 T","RPS8"
"RPL24",0,0.455698057301065,0.999,0.981,0,"CD4 T","RPL24"
"RPS16",0,0.444121847490178,0.999,0.981,0,"CD4 T","RPS16"
"RPL18",0,0.439074960539126,1,0.986,0,"CD4 T","RPL18"
"RPL29",0,0.438893558002013,1,0.988,0,"CD4 T","RPL29"
"RPL39",0,0.432507777623793,1,0.987,0,"CD4 T","RPL39"
"RPS23",0,0.421088083785772,1,0.988,0,"CD4 T","RPS23"
"RPL18A",0,0.41874822708751,1,0.987,0,"CD4 T","RPL18A"
"RPS28",0,0.408746011550903,1,0.988,0,"CD4 T","RPS28"
"RPS15",0,0.39144196493673,1,0.991,0,"CD4 T","RPS15"
"NACA",0,0.373613196018615,0.999,0.982,0,"CD4 T","NACA"
"RPL12",0,0.36720606542915,1,0.989,0,"CD4 T","RPL12"
"RPL6",0,0.365185213795887,1,0.986,0,"CD4 T","RPL6"
"RACK1",0,0.362561220704019,1,0.984,0,"CD4 T","RACK1"
"RPS7",0,0.355114013088729,0.999,0.985,0,"CD4 T","RPS7"
"RPL41",0,0.341451778814797,1,0.992,0,"CD4 T","RPL41"
"RPLP2",0,0.33087669704822,1,0.987,0,"CD4 T","RPLP2"
"RPL28",0,0.314702753689057,1,0.991,0,"CD4 T","RPL28"
"GAS5",4.55578015287302e-308,0.608584728232962,0.928,0.752,9.77989325417252e-304,"CD4 T","GAS5"
"RPL23A",7.82249130942561e-304,0.392900829853305,1,0.978,1.6792542093944e-299,"CD4 T","RPL23A"
"RPL17",8.22543182765306e-300,0.364147144872936,1,0.984,1.76575345044228e-295,"CD4 T","RPL17"
"BCL11B",1.26352277968422e-299,0.731166581641278,0.624,0.287,2.71240435114812e-295,"CD4 T","BCL11B"
"LEPROTL1",1.82504236526708e-299,0.674385206104628,0.788,0.498,3.91781844551885e-295,"CD4 T","LEPROTL1"
"EEF1G",1.56643117069233e-297,0.418860957851149,0.995,0.962,3.36265779412523e-293,"CD4 T","EEF1G"
"CD40LG",5.37092688086267e-294,0.66842279961648,0.39,0.105,1.15297687351479e-289,"CD4 T","CD40LG"
"RPL7A",6.25935348801252e-284,0.319429268759761,1,0.987,1.34369541327165e-279,"CD4 T","RPL7A"
"GIMAP5",1.71989001400314e-281,0.693385537864794,0.675,0.357,3.69208789306054e-277,"CD4 T","GIMAP5"
"PIK3IP1",2.17167165862004e-281,0.733839998768938,0.658,0.355,4.66192754955964e-277,"CD4 T","PIK3IP1"
"RPS2",4.02976578361018e-281,0.313110199547902,1,0.989,8.65069820767598e-277,"CD4 T","RPS2"
"TRAT1",7.95791900990908e-274,0.685141657533582,0.49,0.192,1.70832647385718e-269,"CD4 T","TRAT1"
"ETS1",3.48412703337776e-272,0.64149542232673,0.85,0.546,7.47937550255203e-268,"CD4 T","ETS1"
"RPL38",1.45066412991272e-270,0.43814278387784,0.992,0.95,3.11414068768363e-266,"CD4 T","RPL38"
"LDLRAP1",1.46240648186352e-267,0.658369585574786,0.615,0.311,3.13934799461642e-263,"CD4 T","LDLRAP1"
"TESPA1",7.24167035121299e-267,0.666923594391334,0.535,0.235,1.55456937429489e-262,"CD4 T","TESPA1"
"CD27",4.48073987510048e-260,0.599840063012243,0.742,0.417,9.6188042898782e-256,"CD4 T","CD27"
"CD5",6.74059760883402e-260,0.654631278395124,0.53,0.231,1.4470040886884e-255,"CD4 T","CD5"
"LINC00861",1.37244906259611e-257,0.673105829634644,0.64,0.321,2.94623640267507e-253,"CD4 T","LINC00861"
"TOMM7",1.0874516500157e-252,0.443611988390366,0.987,0.935,2.3344324570887e-248,"CD4 T","TOMM7"
"CD7",1.09208390885191e-252,0.565422446327907,0.785,0.431,2.34437652713239e-248,"CD4 T","CD7"
"RCAN3",6.03648996864097e-252,0.682489843436536,0.589,0.304,1.29585330156816e-247,"CD4 T","RCAN3"
"RPS4Y1",5.84635986974515e-242,0.451494131619328,0.97,0.92,1.25503807323819e-237,"CD4 T","RPS4Y1"
"RPL35",3.69640707893708e-238,0.345902229516882,0.999,0.981,7.93507707635423e-234,"CD4 T","RPL35"
"SNHG29",7.11350098410343e-235,0.486846461181258,0.957,0.86,1.52705525625748e-230,"CD4 T","SNHG29"
"RPL13A",1.47941862195419e-234,0.355315800783675,0.999,0.982,3.17586795574905e-230,"CD4 T","RPL13A"
"RPL31",7.73514836749426e-231,0.392816008023718,0.995,0.959,1.66050430004999e-226,"CD4 T","RPL31"
"LIME1",9.58649974903745e-230,0.552220136460498,0.792,0.486,2.05793390112587e-225,"CD4 T","LIME1"
"TSHZ2",6.22382984736594e-228,0.6046910584793,0.25,0.047,1.33606955333405e-223,"CD4 T","TSHZ2"
"RPS19",2.22939931483413e-226,0.303840213251165,1,0.989,4.78585150915442e-222,"CD4 T","RPS19"
"SPOCK2",4.97093387224074e-225,0.564007560320847,0.722,0.42,1.06711037435392e-220,"CD4 T","SPOCK2"
"RPL36A",8.59105812316085e-225,0.355680784870446,0.998,0.976,1.84424244729894e-220,"CD4 T","RPL36A"
"OXNAD1",1.43534275070724e-216,0.630654443527329,0.517,0.252,3.08125028294323e-212,"CD4 T","OXNAD1"
"DGKA",3.99053169845723e-215,0.601633689041976,0.611,0.348,8.56647439707813e-211,"CD4 T","DGKA"
"CD247",2.44148278997766e-212,0.396472532622886,0.679,0.37,5.24113110524505e-208,"CD4 T","CD247"
"HINT1",1.18265918896475e-211,0.447173876315269,0.961,0.872,2.53881448095064e-207,"CD4 T","HINT1"
"ABLIM1",4.88441130907882e-211,0.625962406384857,0.542,0.278,1.04853657571995e-206,"CD4 T","ABLIM1"
"EPHX2",3.87662580520375e-210,0.577135214571615,0.344,0.115,8.32195261603089e-206,"CD4 T","EPHX2"
"CHRM3-AS2",3.62831101945449e-209,0.581823233592735,0.317,0.097,7.78889526546295e-205,"CD4 T","CHRM3-AS2"
"EEF1D",1.45544054540557e-202,0.346499225005885,0.998,0.975,3.12439421882213e-198,"CD4 T","EEF1D"
"RPL8",1.77743720979219e-201,0.267893685362107,1,0.988,3.81562445826088e-197,"CD4 T","RPL8"
"DNAJB1",1.44930625821493e-190,0.524909595291261,0.825,0.628,3.11122574450999e-186,"CD4 T","DNAJB1"
"RGCC",3.14118474110968e-189,0.535641529538812,0.565,0.299,6.74318128374015e-185,"CD4 T","RGCC"
"ITM2A",8.18426303319443e-189,0.556975017564629,0.58,0.316,1.75691574533585e-184,"CD4 T","ITM2A"
"RPL37A",1.05900193440084e-185,0.296309123519889,0.999,0.977,2.27335945257828e-181,"CD4 T","RPL37A"
"HSPA8",8.60583837986853e-185,0.42691057810246,0.964,0.868,1.84741532500638e-180,"CD4 T","HSPA8"
"TRAF3IP3",1.76590595131735e-184,0.469278070173692,0.879,0.707,3.79087030569295e-180,"CD4 T","TRAF3IP3"
"RPLP0",3.93492323108938e-183,0.323610367934254,0.999,0.98,8.44709970017957e-179,"CD4 T","RPLP0"
"TMEM123",6.53771052596721e-183,0.525548480437429,0.752,0.556,1.40345031860938e-178,"CD4 T","TMEM123"
"ITK",1.22293750497822e-182,0.564659519501705,0.514,0.261,2.62527994193674e-178,"CD4 T","ITK"
"IL32",2.3306076687594e-182,0.403322015190247,0.945,0.521,5.0031154825258e-178,"CD4 T","IL32"
"RPL27",1.0060123493206e-181,0.311942527612603,0.995,0.97,2.15960671028654e-177,"CD4 T","RPL27"
"GYPC",1.72475319677724e-176,0.516743765580822,0.745,0.522,3.70252768752169e-172,"CD4 T","GYPC"
"FYB1",1.32720775361298e-175,0.457798064677386,0.927,0.761,2.84911688468098e-171,"CD4 T","FYB1"
"SELL",4.16626368951501e-174,0.602061536251218,0.743,0.54,8.94371826228187e-170,"CD4 T","SELL"
"SH3YL1",3.93040460660712e-171,0.552536733069357,0.443,0.218,8.4373995690035e-167,"CD4 T","SH3YL1"
"KLF2",1.2980734070168e-167,0.43185115669774,0.973,0.902,2.78657418284297e-163,"CD4 T","KLF2"
"CD2",1.09433722270647e-166,0.435182612798773,0.646,0.368,2.34921371598398e-162,"CD4 T","CD2"
"TC2N",8.27179137632045e-165,0.481904690362554,0.552,0.298,1.77570545475471e-160,"CD4 T","TC2N"
"EEF2",1.65547991130913e-164,0.300466035362336,0.995,0.968,3.5538187256073e-160,"CD4 T","EEF2"
"AC243960.1",4.27229948098292e-162,0.538514603602104,0.485,0.26,9.17134529582602e-158,"CD4 T","AC243960.1"
"ITGA6",5.7021043123423e-162,0.508245440202389,0.377,0.164,1.22407073273052e-157,"CD4 T","ITGA6"
"PIM2",1.80002685639624e-161,0.558947226773687,0.591,0.371,3.86411765262581e-157,"CD4 T","PIM2"
"BTG1",4.96868479721133e-161,0.359485480865714,0.994,0.967,1.06662756541736e-156,"CD4 T","BTG1"
"LBH",7.64637962444626e-161,0.495260094757087,0.731,0.474,1.64144831397988e-156,"CD4 T","LBH"
"TRBC2",8.01045421075935e-161,0.494909015180714,0.773,0.525,1.71960420542371e-156,"CD4 T","TRBC2"
"PIM1",1.34713005856128e-159,0.563991645948997,0.566,0.33,2.89188409671351e-155,"CD4 T","PIM1"
"RPS20",2.03882521315315e-159,0.388464875054468,0.956,0.895,4.37674608507588e-155,"CD4 T","RPS20"
"PRDX2",4.62432764112158e-155,0.472673640743734,0.615,0.396,9.9270441471957e-151,"CD4 T","PRDX2"
"HSPB1",2.77594090308279e-153,0.502273508639869,0.606,0.389,5.95911233664783e-149,"CD4 T","HSPB1"
"ZAP70",1.58364527046877e-151,0.37635513342754,0.686,0.406,3.39961130211531e-147,"CD4 T","ZAP70"
"RPL36AL",1.14133014680769e-150,0.332272335729621,0.98,0.934,2.45009342615206e-146,"CD4 T","RPL36AL"
"HNRNPA1",1.49415868978355e-149,0.341398795625956,0.978,0.919,3.20751045935834e-145,"CD4 T","HNRNPA1"
"BEX3",8.91362003009093e-147,0.368492380603772,0.302,0.114,1.91348681185962e-142,"CD4 T","BEX3"
"EIF3E",2.04163196120909e-141,0.420680272329542,0.888,0.775,4.38277133112754e-137,"CD4 T","EIF3E"
"SEPTIN1",1.00580652141214e-140,0.440225284232075,0.723,0.512,2.15916485951544e-136,"CD4 T","SEPTIN1"
"SKAP1",1.62816126356037e-135,0.41422683135494,0.569,0.335,3.49517378448505e-131,"CD4 T","SKAP1"
"CD28",2.11645099369877e-135,0.418543839197719,0.34,0.148,4.54338534817314e-131,"CD4 T","CD28"
"MGAT4A",9.81212058175224e-134,0.445155826149624,0.546,0.329,2.10636792528475e-129,"CD4 T","MGAT4A"
"TNFRSF25",3.3169825367061e-132,0.450148237091944,0.391,0.191,7.12056641154699e-128,"CD4 T","TNFRSF25"
"FXYD5",8.23161972987087e-132,0.331365797613963,0.971,0.949,1.76708180741138e-127,"CD4 T","FXYD5"
"THEM4",7.88492484941085e-131,0.462580589770581,0.436,0.238,1.69265681742303e-126,"CD4 T","THEM4"
"STMN3",1.68392728233127e-129,0.443805664112853,0.416,0.215,3.61488669698054e-125,"CD4 T","STMN3"
"SIRPG",4.62175388289691e-129,0.396924780304837,0.342,0.153,9.92151906041479e-125,"CD4 T","SIRPG"
"PLSCR3",7.78999265191333e-129,0.477984583975934,0.566,0.378,1.67227772258624e-124,"CD4 T","PLSCR3"
"PABPC1",6.2460613321827e-126,0.277660254962877,0.992,0.976,1.34084198617966e-121,"CD4 T","PABPC1"
"TRBC1",6.25226117249585e-126,0.462238464032781,0.539,0.315,1.34217290589968e-121,"CD4 T","TRBC1"
"ACAP1",2.00514661844637e-124,0.382521198735343,0.77,0.572,4.30444824581883e-120,"CD4 T","ACAP1"
"ADD3",5.53716529428589e-124,0.439616317008389,0.705,0.535,1.18866327372435e-119,"CD4 T","ADD3"
"NDFIP1",1.29781132797904e-123,0.444286038478611,0.67,0.508,2.78601157777261e-119,"CD4 T","NDFIP1"
"RHOH",8.20707331381137e-122,0.412220957487872,0.597,0.381,1.76181242827589e-117,"CD4 T","RHOH"
"FCMR",1.31626110374715e-120,0.347601671454217,0.744,0.497,2.825617711414e-116,"CD4 T","FCMR"
"SATB1",1.47405286732206e-120,0.475516828705155,0.444,0.255,3.16434929028027e-116,"CD4 T","SATB1"
"SOD1",2.17359700150987e-120,0.367499661774515,0.804,0.659,4.66606068314125e-116,"CD4 T","SOD1"
"IL6ST",1.38645029802787e-119,0.4794559552566,0.375,0.199,2.97629285477642e-115,"CD4 T","IL6ST"
"LINC01550",2.14716350565413e-119,0.400743107505274,0.278,0.114,4.60931589758771e-115,"CD4 T","LINC01550"
"PBXIP1",2.36679600198947e-118,0.423828091900716,0.576,0.377,5.0808009774708e-114,"CD4 T","PBXIP1"
"IL2RG",5.2178251940083e-118,0.340372221925073,0.861,0.646,1.12011053439776e-113,"CD4 T","IL2RG"
"MALAT1",5.4823347406358e-117,0.32192799747363,1,0.993,1.17689279877229e-112,"CD4 T","MALAT1"
"DENND2D",7.2587173164791e-117,0.400152994674209,0.59,0.383,1.55822884632857e-112,"CD4 T","DENND2D"
"SNHG8",1.2947203792466e-116,0.426030178317317,0.774,0.633,2.77937623812867e-112,"CD4 T","SNHG8"
"TRAC",8.66439326619101e-113,0.42294005253514,0.52,0.31,1.85998530245322e-108,"CD4 T","TRAC"
"SUSD3",9.47359687559579e-113,0.41105569815147,0.386,0.212,2.03369704128415e-108,"CD4 T","SUSD3"
"TBC1D10C",3.03440257969659e-112,0.372458754595042,0.799,0.63,6.51395201783466e-108,"CD4 T","TBC1D10C"
"FAM102A",3.42894070742912e-112,0.42515696196467,0.396,0.217,7.36090701663809e-108,"CD4 T","FAM102A"
"TMEM204",5.63581607458761e-112,0.379174099441275,0.306,0.14,1.20984063673172e-107,"CD4 T","TMEM204"
"PRKCA",1.0385228126842e-110,0.393543839735503,0.337,0.169,2.22939692198917e-106,"CD4 T","PRKCA"
"GIMAP1",1.18224144320605e-107,0.420665940034725,0.661,0.48,2.53791770613042e-103,"CD4 T","GIMAP1"
"SNHG6",1.71192130948898e-107,0.354874001504639,0.869,0.757,3.67498147507998e-103,"CD4 T","SNHG6"
"CD69",6.58774105089941e-107,0.374384566287478,0.724,0.503,1.41419037139658e-102,"CD4 T","CD69"
"GSTK1",2.35585215606387e-106,0.369539645722248,0.877,0.798,5.05730782342231e-102,"CD4 T","GSTK1"
"RGS10",2.44662863174352e-104,0.266174694426655,0.696,0.535,5.25217768376381e-100,"CD4 T","RGS10"
"PPP1R2",2.06450189988954e-102,0.39403544100429,0.698,0.549,4.43186622849287e-98,"CD4 T","PPP1R2"
"APBB1",1.29902030433076e-101,0.391629213126834,0.285,0.133,2.78860688730684e-97,"CD4 T","APBB1"
"RASGRP1",3.04812698886487e-100,0.402986798603226,0.423,0.245,6.54341420699621e-96,"CD4 T","RASGRP1"
"CRIP2",1.58924361219505e-99,0.411006664326557,0.254,0.108,3.4116292622991e-95,"CD4 T","CRIP2"
"SERINC5",3.40002789192817e-99,0.382882613499819,0.352,0.189,7.29883987560219e-95,"CD4 T","SERINC5"
"OCIAD2",1.02982456276778e-97,0.388915795136482,0.496,0.321,2.21072438889358e-93,"CD4 T","OCIAD2"
"PDE7A",1.68786231248583e-97,0.418853367747573,0.558,0.392,3.62333402621332e-93,"CD4 T","PDE7A"
"PSIP1",4.03985359878323e-97,0.390115057182649,0.617,0.46,8.67235372050795e-93,"CD4 T","PSIP1"
"BIN1",1.62173152414813e-95,0.351670710361764,0.627,0.442,3.4813710628888e-91,"CD4 T","BIN1"
"CISH",7.96546421875081e-95,0.533457772252174,0.336,0.18,1.70994620383924e-90,"CD4 T","CISH"
"S1PR1",9.62647086995577e-95,0.371716956541056,0.467,0.289,2.0665145016534e-90,"CD4 T","S1PR1"
"ST13",3.50668870170539e-93,0.385977413986553,0.732,0.612,7.52780863595096e-89,"CD4 T","ST13"
"MAML2",3.60672342577184e-93,0.412252021923975,0.425,0.261,7.7425531781044e-89,"CD4 T","MAML2"
"CDC25B",1.92719685227234e-91,0.385571489679494,0.498,0.329,4.13711348277304e-87,"CD4 T","CDC25B"
"CDKN1B",6.93331309189119e-91,0.365961205870314,0.672,0.527,1.48837432143628e-86,"CD4 T","CDKN1B"
"EIF4A2",9.71982607319116e-91,0.327848047699442,0.828,0.724,2.08655506313195e-86,"CD4 T","EIF4A2"
"PASK",4.90882330998042e-90,0.411075038675802,0.3,0.15,1.0537770999535e-85,"CD4 T","PASK"
"PLAAT4",4.8020295003357e-89,0.263965573570287,0.756,0.585,1.03085167283707e-84,"CD4 T","PLAAT4"
"CYLD",1.57784484893206e-88,0.411520502139184,0.537,0.389,3.38715953720245e-84,"CD4 T","CYLD"
"MZT2B",1.33648255255511e-87,0.308797450919383,0.859,0.769,2.86902709557005e-83,"CD4 T","MZT2B"
"FOXO1",1.21957755256653e-86,0.366844902892692,0.415,0.259,2.61806713209458e-82,"CD4 T","FOXO1"
"PCED1B",5.48535512216242e-86,0.388474099208901,0.331,0.183,1.17754118407461e-81,"CD4 T","PCED1B"
"SLFN5",9.32392833405743e-86,0.354615504430602,0.511,0.332,2.00156769547211e-81,"CD4 T","SLFN5"
"FOXP1",9.81097395151716e-86,0.382349212830113,0.699,0.557,2.10612177817219e-81,"CD4 T","FOXP1"
"COX7C",4.38508491129875e-85,0.263581626292847,0.955,0.91,9.41346177908503e-81,"CD4 T","COX7C"
"TMC8",4.54493783880803e-85,0.37361279058841,0.588,0.435,9.75661805856921e-81,"CD4 T","TMC8"
"ARHGAP15",3.28710764738138e-84,0.353786447955238,0.631,0.484,7.05643398663361e-80,"CD4 T","ARHGAP15"
"TECR",3.46972313862555e-84,0.322453575650313,0.64,0.492,7.44845466168747e-80,"CD4 T","TECR"
"TXK",9.79676985799523e-83,0.318823089003032,0.289,0.147,2.10307258541584e-78,"CD4 T","TXK"
"HIST1H4C",1.00984831089254e-82,0.335413752395452,0.708,0.565,2.16784136899302e-78,"CD4 T","HIST1H4C"
"RGL4",1.68074619096747e-82,0.318086312069497,0.271,0.133,3.60805784814987e-78,"CD4 T","RGL4"
"TSTD1",2.61756941321427e-81,0.331741871395833,0.608,0.446,5.61913625934706e-77,"CD4 T","TSTD1"
"SUN2",7.29449831579299e-81,0.298921964673688,0.757,0.62,1.56590995345128e-76,"CD4 T","SUN2"
"CXCR4",2.3439183959729e-80,0.297329113992636,0.741,0.568,5.03168962063502e-76,"CD4 T","CXCR4"
"COMMD6",3.54467244693268e-79,0.272699039644923,0.935,0.883,7.60934834183039e-75,"CD4 T","COMMD6"
"TNFAIP8",4.98369526894745e-79,0.341430547267752,0.598,0.456,1.06984986338495e-74,"CD4 T","TNFAIP8"
"JUNB",9.37455117810271e-78,0.406434480383156,0.97,0.952,2.01243490140331e-73,"CD4 T","JUNB"
"TMEM238",5.54181461387203e-77,0.349364126701933,0.411,0.263,1.18966134315991e-72,"CD4 T","TMEM238"
"SNRPD2",1.18813397675256e-76,0.27800665113683,0.915,0.84,2.55056720789471e-72,"CD4 T","SNRPD2"
"MYC",1.77252296369798e-76,0.370292834636266,0.374,0.226,3.80507504617046e-72,"CD4 T","MYC"
"SCML4",4.91028802200389e-76,0.32095354309413,0.347,0.199,1.05409152968357e-71,"CD4 T","SCML4"
"GATA3",1.8035330962266e-75,0.329513928394115,0.355,0.205,3.87164449766964e-71,"CD4 T","GATA3"
"NCK2",1.96289230959486e-75,0.295017125812705,0.473,0.32,4.21374092100728e-71,"CD4 T","NCK2"
"BEX2",2.89753597798531e-75,0.323013287534408,0.308,0.172,6.22014048394106e-71,"CD4 T","BEX2"
"HIST1H1D",1.31352202394998e-74,0.416020352557918,0.55,0.402,2.81973772881343e-70,"CD4 T","HIST1H1D"
"PEBP1",2.19387276275158e-74,0.296934262445461,0.71,0.57,4.70958665979882e-70,"CD4 T","PEBP1"
"UBASH3A",2.39569246875229e-74,0.299597045406655,0.257,0.129,5.14283302267053e-70,"CD4 T","UBASH3A"
"UBALD2",1.05883281126191e-73,0.330647481441794,0.712,0.6,2.27299639593594e-69,"CD4 T","UBALD2"
"PRKCH",1.97262261471843e-73,0.266657738822859,0.487,0.312,4.23462896701604e-69,"CD4 T","PRKCH"
"NSA2",3.07095578761192e-72,0.31833584827538,0.781,0.683,6.5924207892665e-68,"CD4 T","NSA2"
"EIF4B",2.38206352735045e-71,0.305202983036021,0.838,0.742,5.1135757741632e-67,"CD4 T","EIF4B"
"ATP6V0E2",4.34228520331342e-71,0.312044331850058,0.32,0.188,9.32158364595292e-67,"CD4 T","ATP6V0E2"
"CD96",4.71603209935015e-71,0.303015531802452,0.447,0.287,1.0123906107675e-66,"CD4 T","CD96"
"MCUB",5.53805433221602e-71,0.329126960127306,0.631,0.508,1.18885412349681e-66,"CD4 T","MCUB"
"ITPKB",9.36554489970451e-71,0.333874810509602,0.335,0.202,2.01050152361957e-66,"CD4 T","ITPKB"
"RBL2",1.75356721572893e-69,0.320466175887974,0.623,0.489,3.7643827420053e-65,"CD4 T","RBL2"
"GIMAP4",7.47658012817828e-68,0.291307803202807,0.741,0.599,1.60499745611603e-63,"CD4 T","GIMAP4"
"SFXN1",1.67813061492817e-67,0.307430444974468,0.312,0.182,3.60244299106631e-63,"CD4 T","SFXN1"
"AAK1",2.77480650322776e-67,0.325874521066879,0.454,0.308,5.95667712047904e-63,"CD4 T","AAK1"
"VAMP2",2.22675657639582e-66,0.265636350565569,0.839,0.747,4.78017834254891e-62,"CD4 T","VAMP2"
"THOC3",1.39253462233425e-65,0.349630174330156,0.358,0.236,2.98935407376494e-61,"CD4 T","THOC3"
"SLC2A4RG",1.53188897227842e-65,0.315347039169617,0.462,0.322,3.28850605679008e-61,"CD4 T","SLC2A4RG"
"SEPTIN9",3.14439276010462e-65,0.274136954118497,0.848,0.766,6.75006793811659e-61,"CD4 T","SEPTIN9"
"PDE3B",6.5627334841835e-65,0.320032937387341,0.411,0.269,1.40882199704967e-60,"CD4 T","PDE3B"
"KCNA3",1.6522937331874e-63,0.273982665148325,0.324,0.192,3.54697895703339e-59,"CD4 T","KCNA3"
"CITED2",4.73086039050952e-63,0.347484378472309,0.615,0.491,1.01557380003068e-58,"CD4 T","CITED2"
"PLCG1",6.75269906344981e-63,0.288983703213081,0.308,0.179,1.44960190795077e-58,"CD4 T","PLCG1"
"ANP32B",3.577608298114e-62,0.271236711882523,0.814,0.728,7.68005173356133e-58,"CD4 T","ANP32B"
"TTC39C",5.43641369113694e-62,0.33597492089678,0.447,0.315,1.16703492707637e-57,"CD4 T","TTC39C"
"ANXA2R",8.92819219124163e-61,0.310308794608645,0.392,0.258,1.91661501769384e-56,"CD4 T","ANXA2R"
