"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"452","NPC2",0,1.36953424530983,0.794,0.354,0,"CD14+ Mono","NPC2"
"457","THBS1",0,1.3427984767574,0.358,0.012,0,"CD14+ Mono","THBS1"
"473","PLXDC2",0,1.28247708030551,0.508,0.027,0,"CD14+ Mono","PLXDC2"
"477","OGFRL1",0,1.2754152142743,0.572,0.098,0,"CD14+ Mono","OGFRL1"
"487","ATP6V0C",0,1.2450319145045,0.912,0.662,0,"CD14+ Mono","ATP6V0C"
"488","LGALS9",0,1.24299566915871,0.629,0.156,0,"CD14+ Mono","LGALS9"
"497","GRINA",0,1.22229923673058,0.688,0.249,0,"CD14+ Mono","GRINA"
"505","SULF2",0,1.18542008162055,0.53,0.044,0,"CD14+ Mono","SULF2"
"532","ATP6V0D1",0,1.11693009790735,0.67,0.261,0,"CD14+ Mono","ATP6V0D1"
"538","H3F3A",0,1.1098082614238,0.981,0.962,0,"CD14+ Mono","H3F3A"
"539","FOS",0,1.1072573721664,0.999,0.871,0,"CD14+ Mono","FOS"
"544","SLC43A2",0,1.09170524837602,0.448,0.046,0,"CD14+ Mono","SLC43A2"
"545","CPPED1",0,1.0896511576551,0.503,0.058,0,"CD14+ Mono","CPPED1"
"548","PLEKHO1",0,1.08328858244572,0.697,0.284,0,"CD14+ Mono","PLEKHO1"
"549","IRAK3",0,1.08177745188966,0.448,0.025,0,"CD14+ Mono","IRAK3"
"563","NINJ1",0,1.04946916954206,0.582,0.162,0,"CD14+ Mono","NINJ1"
"569","PRKCD",0,1.03999565434515,0.526,0.112,0,"CD14+ Mono","PRKCD"
"571","EIF4EBP1",0,1.0363164913509,0.488,0.087,0,"CD14+ Mono","EIF4EBP1"
"575","HBEGF",0,1.03049859831219,0.337,0.014,0,"CD14+ Mono","HBEGF"
"593","CDKN1A",0,0.965111031225389,0.375,0.065,0,"CD14+ Mono","CDKN1A"
"594","BACH1",0,0.96056680170963,0.493,0.125,0,"CD14+ Mono","BACH1"
"607","KIAA0930",0,0.912416969452887,0.408,0.051,0,"CD14+ Mono","KIAA0930"
"613","CREG1",0,0.887324502900995,0.437,0.096,0,"CD14+ Mono","CREG1"
"617","SLC16A3",0,0.873993776268331,0.434,0.105,0,"CD14+ Mono","SLC16A3"
"625","IRF5",0,0.850929110531576,0.423,0.079,0,"CD14+ Mono","IRF5"
"638","JDP2",0,0.819838010848481,0.323,0.022,0,"CD14+ Mono","JDP2"
"682","IMPA2",0,0.658790777663224,0.308,0.043,0,"CD14+ Mono","IMPA2"
"732","CASP1",1.22534152925278e-270,0.919733810078549,0.568,0.214,2.63044066084694e-266,"CD14+ Mono","CASP1"
"743","SLC31A2",2.7887769029437e-263,0.565314572144392,0.257,0.036,5.98666737754924e-259,"CD14+ Mono","SLC31A2"
"744","HIF1A",3.0848658924463e-263,1.10050648091008,0.651,0.307,6.62228161131448e-259,"CD14+ Mono","HIF1A"
"752","KDM6B",3.06439091647645e-254,0.989821324306218,0.483,0.161,6.57832798039999e-250,"CD14+ Mono","KDM6B"
"753","SOX4",1.78373040142976e-253,0.764806766222231,0.311,0.059,3.82913405274926e-249,"CD14+ Mono","SOX4"
"763","UBE2D1",6.07901174475209e-247,0.859851598136822,0.501,0.179,1.30498145124593e-242,"CD14+ Mono","UBE2D1"
"775","TBC1D9",2.06928816200271e-238,0.590176934495986,0.255,0.041,4.44214089737122e-234,"CD14+ Mono","TBC1D9"
