info_transp1,info_transp2,info_transp3
MAR05070,MAM02125c  <=> MAM02125s ,MAM02125
MAR05071,MAM02426s  -> MAM02426c ,MAM02426
MAR05073,MAM02471c  -> MAM02471s ,MAM02471
MAR05074,MAM03101c  <=> MAM03101s ,MAM03101
MAR05076,MAM01986s  -> MAM01986c ,MAM01986
MAR05077,MAM01307s  -> MAM01307c ,MAM01307
MAR05078,MAM01975c  <=> MAM01975s ,MAM01975
MAR05079,MAM02896s  -> MAM02896c ,MAM02896
MAR05080,MAM03089c  <=> MAM03089s ,MAM03089
MAR05082,MAM02724c  <=> MAM02724s ,MAM02724
MAR05084,MAM01628s  -> MAM01628c ,MAM01628
MAR05085,MAM02360c  <=> MAM02360s ,MAM02360
MAR05087,MAM02770c  -> MAM02770s ,MAM02770
MAR05088,MAM01369s  -> MAM01369c ,MAM01369
MAR05089,MAM03135c  <=> MAM03135s ,MAM03135
MAR05091,MAM02993s  -> MAM02993c ,MAM02993
MAR05092,MAM02184c  <=> MAM02184s ,MAM02184
MAR05094,MAM02658s  -> MAM02658c ,MAM02658
MAR05296,MAM02470c  <=> MAM02470s ,MAM02470
MAR05303,MAM01371c  <=> MAM01371s ,MAM01371
MAR05441,MAM02136c  <=> MAM02136s ,MAM02136
MAR06055,MAM02998c  <=> MAM02998s ,MAM02998
MAR06241,MAM02617c  <=> MAM02617s ,MAM02617
MAR06243,MAM02897c  <=> MAM02897s ,MAM02897
MAR06245,MAM01260c  <=> MAM01260s ,MAM01260
MAR06246,MAM02786s  -> MAM02786c ,MAM02786
MAR06247,MAM02789s  -> MAM02789c ,MAM02789
MAR06249,MAM01659s  -> MAM01659c ,MAM01659
MAR06250,MAM01397c  <=> MAM01397s ,MAM01397
MAR06257,MAM02839c  <=> MAM02839s ,MAM02839
MAR06268,MAM02785s  -> MAM02785c ,MAM02785
MAR06366,MAM01669c  <=> MAM01669s ,MAM01669
MAR06367,MAM01666c  <=> MAM01666s ,MAM01666
MAR06368,MAM01668c  <=> MAM01668s ,MAM01668
MAR06369,MAM01671c  -> MAM01671s ,MAM01671
MAR06370,MAM03157c  -> MAM03157s ,MAM03157
MAR06424,MAM01330c  <=> MAM01330s ,MAM01330
MAR06439,MAM01938s  -> MAM01938c ,MAM01938
MAR06462,MAM01935c  <=> MAM01935s ,MAM01935
MAR06474,MAM01327c  <=> MAM01327s ,MAM01327
MAR06505,MAM02842c  <=> MAM02842s ,MAM02842
MAR06512,MAM01802c  <=> MAM01802s ,MAM01802
MAR06516,MAM02145c  <=> MAM02145s ,MAM02145
MAR06732,MAM01736c  <=> MAM01736s ,MAM01736
MAR07109,MAM01374s  -> MAM01374c ,MAM01374
MAR07111,MAM02556s  -> MAM02556c ,MAM02556
MAR07113,MAM01296s  -> MAM01296c ,MAM01296
MAR07115,MAM03044s  -> MAM03044c ,MAM03044
MAR07117,MAM01403s  -> MAM01403c ,MAM01403
MAR07119,MAM01174s  -> MAM01174c ,MAM01174
MAR07121,MAM00932s  -> MAM00932c ,MAM00932
MAR07123,MAM00545s  -> MAM00545c ,MAM00545
MAR07125,MAM00228s  -> MAM00228c ,MAM00228
MAR07127,MAM00242s  -> MAM00242c ,MAM00242
MAR07690,MAM02754c  <=> MAM02754s ,MAM02754
MAR07898,MAM02193c  <=> MAM02193s ,MAM02193
MAR07900,MAM01714c  <=> MAM01714s ,MAM01714
MAR07905,MAM01288c  <=> MAM01288s ,MAM01288
MAR07994,MAM03141c  <=> MAM03141s ,MAM03141
MAR08023,MAM00204c  <=> MAM00204s ,MAM00204
MAR08214,MAM01695c  <=> MAM01695s ,MAM01695
MAR08340,MAM02337c  <=> MAM02337s ,MAM02337
MAR08374,MAM01438c  <=> MAM01438s ,MAM01438
MAR08567,MAM02445c  <=> MAM02445s ,MAM02445
MAR08586,MAM02450c  <=> MAM02450s ,MAM02450
MAR08636,MAM01632c  <=> MAM01632s ,MAM01632
MAR08676,MAM02348c  <=> MAM02348s ,MAM02348
MAR08846,MAM01655c  <=> MAM01655s ,MAM01655
MAR08865,MAM00403c  <=> MAM00403s ,MAM00403
MAR08867,MAM01758c  <=> MAM01758s ,MAM01758
MAR08901,MAM02023c  <=> MAM02023s ,MAM02023
MAR09173,MAM03154c  <=> MAM03154s ,MAM03154
MAR09183,MAM01286c  <=> MAM01286s ,MAM01286
MAR09184,MAM01287c  <=> MAM01287s ,MAM01287
