Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
P20109_110_R1	0.0261760517386197	0.012815355015613	0	0.229326448566528	0	0	0.0174124857073118	0.0121969178156921	0.00270087114815716	0.0339394563238372	0.171771162162877	0	0.474473590437408	0	0	0.00710080782500529	0	0	0.0120868532589505	0	0	0	9999	0.724545249957812	0.705493690206549
P20109_111_R1	0.0194186304813336	0.00737257715122511	0	0.222416848109582	0.00216073102125524	0	0.0277960885061274	0.00794568043103198	0	0.102112127932365	0.104968995625548	0.0587741738168353	0.439540655851236	0	0	0.000714763516523726	0	0.000888729947164239	0	0.00588999760977332	0	0	9999	0.743616410976458	0.68459167135052
P20109_112_R1	0.071777501616819	0	0	0.351786186368312	0	0	0.0388844179472894	0.0115638856701064	0	0.0366564605829469	0.120267779244522	0	0.363970711303374	0	0	0.00282664953943351	0	0.000474545155793576	0	0.00179186257140321	0	0	9999	0.719382774696122	0.71407007655036
P20109_113_R1	0.0290168934935353	0.0109893971652758	0	0.225880023523747	0.0591687426224342	0.00815629108259313	0.0186646099130894	0.000261572729931646	0	0.100076977005203	0.0793300315355451	0	0.450549551230788	0	0	0.00622890867693104	0	0.000457036387840388	0.011219964633087	0	0	0	9999	0.709095837498778	0.721199100899107
P20109_114_R1	0.0774442356945708	0.000784101385105388	0	0.169068641906707	0.0554454236573797	0.0438595128271749	0.0236939295672746	0	0.00700691245340678	0	0.116790202702067	0	0.495471796168051	0	0	0.00807164468379266	0	0	0.00236359895446957	0	0	0	9999	0.785336441692717	0.66664244655946
P20109_115_R1	0.0075102631387715	0.0377932653242665	0	0.259419719009142	0.00193612951058312	0	0.0599076057216518	0.00530017250574392	0	0.000985339845240987	0.155709790525476	0	0.464638040721694	0	0	0.00190946355274351	0	0	0.00489021014468659	0	0	0	9999	0.745604914707987	0.693303062937536
P20109_116_R1	0.00788682814312169	0.0361231443687241	0	0.209297212075731	0.073114917435749	0	0.0111453799516463	0.00118385028455868	0.0347948978960622	0	0.157771846117894	0	0.457974714620465	0	0	0.00349658065494586	0	0	0.00721062845110204	0	0	0	9999	0.733496791215699	0.705114463194561
P20109_117_R1	0.0307746885638353	0.0169554398218112	0	0.179965121501999	0	0.0394701528363388	0.0217520378676386	0.00474596096569453	0.00177779875751226	0.0139602871115521	0.0588896506173879	0	0.628902408016136	0	0	0.00199530195960214	0	0.00012565959015861	0.000685492390332948	0	0	0	9999	0.830598216255155	0.603349036309895
P20109_118_R1	0.0546294559349694	0.0331138006961103	0	0.284787394246183	0	0.00719807398250482	0.0540734994082105	0.00349163434031811	0	0.0189183694309562	0.117791193760635	0	0.420070438886658	0	0	0.00553864621512443	0	0.000387493098330217	0	0	0	0	9999	0.729076972051697	0.71119086795172
P20109_119_R1	0.00132710299461989	0.0259532587789939	0	0.170439844380767	0	0.027034338415428	0.0110250743802925	0	0.000936483549704577	0.0189536939260028	0.0746662910052154	0	0.662495611202136	0.000324396522752459	0	0	0	0.00119582652979592	0.00564807831429106	0	0	0	9999	0.845032075341664	0.579380422202151
P20109_120_R1	0.0992115982750865	0	0	0.192559861557074	0.109039230687669	0.0381991680423126	0.0154047857573647	0	0	0.000671678258463755	0.0857285881369836	0	0.444960538920649	0	0	0.00869323127745662	0	0	0.00553131908694098	0	0	0	9999	0.712157580635289	0.728255536997873
P20109_121_R1	0.0307748019558131	0.0164254199172078	0	0.0857108952133949	0.090120817570495	0.092481681887581	0.0143981966627801	0.0024441264799843	0.00497125080269128	0.047518832658352	0.0581059368575231	0	0.546968781964745	0	0	0.005703641094744	0	0	0.00437561693468804	0	0	0	9999	0.792527051012507	0.654025813882534
P20109_122_R1	0.0702675150727301	0.0132993979002225	0	0.329851319978266	0.0480336074786758	0	0.0125730529047569	0.00675068403022211	0.007442772526592	0.00891747337833605	0.0999637490163158	0	0.384138877264277	0	0	0.0154232519737134	0	0	0.00333829847589153	0	0	0	9999	0.762066338031157	0.687017682215009
P20109_123_R1	0.0339917455282185	0.00483060639296826	0	0.267818867910404	0.000927918571383714	0	0.0124784224417458	0.00675713072317702	0.00813415093755228	0.0678101494927304	0.0731762367170496	0	0.516262693455221	0	0	0.00781207782955012	0	0	0	0	0	0	9999	0.795692661218796	0.644008738602745
P20109_124_R1	0.101070969330282	0	0	0.16459041334491	0.0188987699235349	0.0111464362680656	0.00614580427903582	0.00223751420900822	0.00250290544368556	0	0.0715968488164913	0.0141880398036906	0.602818651501267	0	0	0.00382897761894628	0	0.000974669461081289	0	0	0	0	9999	0.791905607198124	0.644921036994275
P20109_125_R1	0.0176392419770512	0.0284951992690595	0	0.184011881059855	0	0.0986652531312066	0.0226684516223395	0	0	0	0.118745988126906	0	0.523098741880398	0	0	0.00208009619466859	0	8.16999100706274e-05	0.00451344682844496	0	0	0	9999	0.750140101431159	0.688963313200863
P20109_126_R1	0.0074480340302019	0.0369646121824333	0	0.364464957221654	0	0	0.0349026909580735	0.00257341882043679	0	0.084807885145246	0.0939015102329204	0	0.368446851156336	0	0	0.00649004025269829	0	0	0	0	0	0	9999	0.772626200636464	0.666111637556317
P20109_127_R1	0.0259676120136271	0.010453953326238	0	0.166281124945205	0	0	0.0125350917367073	0.00602322632953001	0.01341092511428	0	0.0812711590713232	0	0.679149163587478	0	0	0.00206385204493975	0	0	0.00284389183067082	0	0	0	9999	0.816113778194994	0.607792707715007
P20109_128_R1	0.038376088934145	0.00642852705340997	0	0.0850229378648732	0.109555744459472	0.032537455778216	0.00999063818138306	0	0.0048496970386784	0.0351765369887491	0.0669984451669177	0	0.592254380008714	0	0	0.00793886952459051	0	0	0.0108706790008518	0	0	0	9999	0.840438756743612	0.603236859880902
P20109_129_R1	0.00905214479952682	0.0175714242349492	0	0.356763439616016	0	0	0.0405540491802049	0.0022518554915388	0.00320269900215327	0.0942038644577379	0.0929043154142368	0	0.379236935063916	0	0	0.00142604118229213	0	0	0.00283323155742858	0	0	0	9999	0.778655504693538	0.65902214031769
P20109_130_R1	0.0654620377209728	0.0168924281546287	0	0.181792186029808	0.103019447929111	0	0.022078444272996	0.00228437281404077	0.00473235195327114	0.075917708014333	0.0580412494202637	0	0.46013449358519	0	0	0.0054311310285362	0	0.00421414907684866	0	0	0	0	9999	0.760756235136608	0.687361557824758
P20109_131_R1	0.0926129296730615	0.0131959047040196	0	0.346700292745583	0	0.0526506702605184	0.00536987174395514	0.00524402890201398	0.0203963460582177	0	0.0694921900864	0	0.385935398958135	0	0	0.0084023668680952	0	0	0	0	0	0	9999	0.744117928728182	0.701832400864258
P20109_132_R1	0.0419946444610628	0	0	0.205094463830001	0.0335442136728109	0	0.0552019016105732	0.000478628393839435	0.0108283904543602	0.00398783765367431	0.262936338416564	0	0.37955513160717	0	0	0.00250994378236121	0	0	0.00386850611758232	0	0	0	9999	0.680297531051113	0.739936563536855
P20109_133_R1	0.0521426710859767	0	0	0.0774411491423825	0.0597402731799176	0.0203972753030216	0.00326796676985895	0.00216253215211981	0.00243582863662152	0.0324327169140534	0.0426510568385223	0	0.700375906930541	0	0	0.00118171394706733	0	0.000794748920626852	0.00497616017929016	0	0	0	9999	0.851859810889988	0.56591408328155
P20109_134_R1	0.0530924782573378	0.0142334136717012	0	0.192394837258276	0.0133333555609335	0	0.0321384350613859	0.017050581463305	0	0	0.0501482716726029	0	0.594970659229189	0	0	0.00250590040310726	0	0.00125946850037631	0	0.028872598921785	0	0	9999	0.598699783209508	0.800935354427624
P20109_135_R1	0.110043986521823	0	0	0.0912214226321969	0.0824926361287784	0.00278095382807869	0	0.0226697747128272	0	0.00284977924598384	0.0122818645611852	0.0229257022668325	0.57205438050884	0	0	0.0263371660434301	0	0.00832191751862065	0	0.0460204160314031	0	0	9999	0.627896446413155	0.781261234206781
P20109_136_R1	0.0177195600243264	0.0352729594657773	0	0.0740917522212194	0.0276889161771521	0	0.0413057378600748	0.0122601301868227	0	0.028377260710378	0.0357109312651305	0.0115340205766478	0.642383692506587	0	0.000143393822019116	0.0240879839139362	0	0.0020030155005717	0	0.0474206457693567	0	0	9999	0.663808223728952	0.750380693907322
P20109_137_R1	0.158680688054239	0	0	0.0275550552867271	0.1916517040558	0.0796630707268212	0	0.0360504487768745	0	0.0292287082537048	0.061564337760209	0.0153469822607112	0.327361945415387	0	0	0.0145662339522793	0	0.00182743742494185	0	0.0557507730470387	0.000752614985266651	0	9999	0.543532826421787	0.842217674516089
P20109_138_R1	0.0382245732588318	0.0379038819716323	0	0.290777525807761	0	0	0.0256168069540158	0.0194629527979865	0	0.0218341662710848	0.0620330099581744	0.00936920315180103	0.41739936456799	0	0	0.021668040500763	0	0.00280291325476146	0	0.052907561505198	0	0	9999	0.578837913290028	0.817241891837982
P20109_139_R1	0.0100947174927659	0.0258015720979521	0	0.231442392076134	0.0297676670083421	0	0.0208060740131723	0.00152935544197087	0	0	0.0551499230051012	0.035770132915773	0.556728759077998	0	0	0.00287784577912841	0	0.000704868922644193	0	0.028110651910585	0.00121604025843305	0	9999	0.655962416681934	0.75923964573869
P20109_141_R1	0.0833090398233288	0	0	0.263925888649489	0.00807074962115786	0	0.024447931563699	0.0358937015449886	0.00277582527764142	0	0.0164739101379431	0.0838105726299636	0.432632959689282	0	0	0.00984412063013916	0	0.000664561946911023	0	0.0381507384854563	0	0	9999	0.614582626832428	0.792960487412169
P20109_142_R1	0.0944838684564475	0.0419319039106501	0	0.0745910369189973	0.0963052680333161	0.116152087101576	0	0.0171395328827085	0	0.0201900941667821	0.0477117533373615	0	0.384154211215199	0	0	0.0222120987693226	0	0.0146514669761948	0	0.0704766782314441	0	0	9999	0.518604503302018	0.855811102746442
P20109_143_R1	0.0792440768917691	0.0045073241544813	0	0.253337626666187	0.103801200644633	0	0.00125540773405655	0.0200682129423131	0	0	0.00746360009633803	0.0272895305470091	0.44096820071578	0	0	0.00499896160400421	0	0.00283416922043863	0	0.0539054240850461	0.000326264697943682	0	9999	0.559087856644326	0.829713166165393
P20109_145_R1	0.230515505898266	0.0187080182141721	0	0.135686583477883	0.101276080234873	0.0639878468432461	0.0556556403791192	0.00429001843568283	0	0.0633532581309845	0.0837381917913574	0	0.210529859002235	0	0	0.0134101858340792	0	0.00501295430247065	0	0.0138358574556311	0	0	9999	0.607277741689286	0.804251830351275
P20109_146_R1	0.000634226337673815	0.0223983238196831	0	0.252137903204058	0	0	0.0158512283974936	0.0271901086971502	0	0.0232261597323328	0	0.0547415189614943	0.544638237553774	0	0	0	0	0.00146020782900452	0	0.0548166617310602	0.00290542373627573	0	9999	0.607316425384786	0.794801398725069
P20109_147_R1	0.195407208719102	0	0	0.177130763863055	0.00950164855412713	0.0401712876879118	0.0437313222286353	0.0169798668092049	0	0	0.0995667365591713	0	0.397870943138025	0	0	0.0129316997354463	0	0.000708421389120455	0	0.0060001013162014	0	0	9999	0.6018450584051	0.80510405209375
P20109_148_R1	0.087337089960263	0	0	0.270111671092437	0	0	0.0486889890062417	0.00463911387324578	0	0	0.0528559676304027	0.00975012139901196	0.487125508172139	0	0	0.00788695839779775	0	0	0	0.0316045804684617	0	0	9999	0.563492422340691	0.826153165645561
P20109_149_R1	0.049934551856147	0	0	0.234236734066068	0	0	0.0110729645307041	0.0218898125654897	0	0	0.060279837417626	0.0121004354741122	0.533100721423472	0	0	0.0164291450436593	0	0.0114091295979229	0	0.0495466680247986	0	0	9999	0.63293655746346	0.778190056633266
P20109_150_R1	0.0347476564641401	0.0212657600913605	0	0.425817523793319	0	0	0.000874195719204057	0.0425995553508415	0.00127579518279623	0	0.0528598994073586	0.0476069095188396	0.316780993117672	0	0	0.00251238455357234	0	0.000154832159444466	0	0.0526136488572485	0.00089084578420244	0	9999	0.60166138380794	0.799918875704147
P20109_152_R1	0.00883104709327401	1.04611501531165e-05	0.00298100370471302	0.25984209171039	0	0	0.0133988737787538	0.00894014492723778	0	0.0429210726786955	0.0145631642947327	0.110695133975951	0.489652225475772	0	0	0.00022591349588888	0	0.000731413183920713	0	0.0472074545305175	0	0	9999	0.65651667564768	0.75712038416487
P20109_153_R1	0.065541263373307	0	0	0.304023206641865	0.0750911570868791	0.00115516701271179	0.0143461191198102	0.0189666328435039	0	0.027407458813082	0	0.0271057138169478	0.431172686169967	0	0	0.00958747120436025	0	0	0	0.0235764276605503	0.00202669625701612	0	9999	0.638010078303165	0.777350102918881
P20109_156_R1	0.0641582758971503	0.020768024466904	0	0.441969589507357	0	0	0	0.0395116961471506	0	0.0269315479060961	0	0.0701986113386554	0.288549735603624	0	0	0.0033505802589651	0	0.0011524269637239	0	0.0433371334565723	7.23784538015942e-05	0	9999	0.586292052364935	0.810178662462836
P20109_157_R1	0.0886930559721408	0.0236379253045005	0	0.112565789770505	0.0588800376197156	0.0366159168514906	0.0176557423421921	0.0301613976427213	0	0.00660894972190504	0.0582311093541552	0	0.495101677006985	0	0	0.0211374932982919	0	0.0105328761438755	0	0.0276711624904077	0.0125068664811141	0	9999	0.592158964148061	0.809252471278022
P20109_158_R1	0.142202618517575	0	0	0.393531022561427	0.0228032322962218	0	0.0201008738603682	0.00867321714762939	0	0.0427080927263959	0.0276835924627387	0.0668837426824274	0.220896352308965	0	0	0.00374900595736842	0	0.00150353651861912	0	0.0492647129602643	0	0	9999	0.607805228079519	0.795973446408332
