"","log2FoldChange","pvalue"
"SETD1A",0.168650004348087,0.000154416851113228
"PIEZO1",0.192851279008327,0.000148573845511483
"HELZ2",0.225020104383764,0.000149707852494498
"AASDHPPT",-0.203158538523696,0.000139836185264353
"RBBP4",-0.115576856053479,0.000145205562033158
"UBLCP1",-0.165852569547907,0.000146749609609411
"CAMLG",-0.142577593570217,0.000152300949664602
"CKB",0.422429661478479,0.000148232271607957
"ANKRD11",0.125987117546924,0.000137337312878727
"KBTBD11",-0.231915236740648,0.000155121240267913
"TMEM201",0.195530009256429,0.000154286511297656
"DFFBP1",0.411738870914116,0.000147877395945114
"TRIM26",0.109494661568784,0.000149458510259874
"ZNF271P",-0.129330584281048,0.000149811690657544
"DOT1L",0.180163007290178,0.00015658446865353
"ZFX",0.198487034867282,0.000159017355473055
"TXNDC15",-0.182172323383891,0.000159070843762737
"CCDC88C",0.146330689614094,0.000163291365072453
"SPEN",0.174115856397848,0.000173674294618703
"CRIPT",-0.191353284192636,0.000179467845482811
"RCBTB2",-0.21585105957744,0.000176689936066865
"SREK1IP1",-0.193029917128212,0.000179607386065729
"SLC33A1",-0.168410166135611,0.000178236270241836
"MAP3K13",-0.161122120279303,0.000187161530314406
"HDHD2",-0.147579503137449,0.000184174977923162
"TCAIM",-0.13681800427066,0.000185513882933546
"PCNX3",0.172633925719586,0.000187464840736206
"MYO18A",0.13817811091285,0.000192669026510855
"TM9SF3",-0.181539442865682,0.000193977486087829
"PPARG",-0.543762754386023,0.000201324824080504
"ATXN7L1",0.129606116878227,0.000196324924813321
"C2CD3",0.135812313232262,0.000203577997694862
"CYP4F22",0.498463706420664,0.000198889395729802
"LRRN3",-0.689701720686764,0.000200316225158259
"CARMIL3",0.376631943438511,0.000200947961818675
"UBXN2B",-0.159589269744294,0.000203840571778547
"STXBP3",-0.168144785661817,0.000205576987420234
"SLC25A22",0.20515571546557,0.000207846474465625
"HSPA1L",-0.197528539232292,0.000209363952716827
"THORLNC",1.30373107197865,0.000210314503141899
"LDAF1",-0.15937417169396,0.000220341840320853
"SBF1",0.203856117620766,0.000227449857816259
"ARID1A",0.108451415721117,0.000213813967877905
"SSBP4",0.22931588820584,0.000225067479674435
"KDELR2",-0.16223575097469,0.0002268406731845
"ASNSD1",-0.1239882505573,0.000226799780649516
"OLA1",-0.112564607429289,0.000228001224738973
"MINK1",0.157494331201962,0.000222412494186552
"CNOT8",-0.11271418772463,0.000225545185118499
"MIS18A",-0.177779133257616,0.000229284612994247
"SIK3",0.111414169300406,0.000226268353372777
