"","log2FoldChange","pvalue"
"ALAS2",3.86877934960882,9.79380946358631e-16
"HBB",2.5649942233758,1.36084243990486e-11
"HBA2",2.23182160670827,2.08870808458688e-10
"HBA1",2.1288701640303,9.49663258790783e-10
"SLC4A1",2.23473469658915,6.54658069164987e-08
"CCN2",-1.41969615779196,1.29420095750698e-07
"KLRC4",0.618803837017156,1.27468610371135e-07
"HBG1",3.66211157025333,1.13720621515839e-07
"RAB38",0.635943577463372,8.4534815550636e-07
"TPST2",0.213310122685247,8.1450874333395e-07
"SAMD3",0.319173763369967,1.01919545371619e-06
"C1orf21",0.421181449432301,1.21530127876393e-06
"GFI1",0.41170092747606,1.32082800179814e-06
"PYHIN1",0.332743863929983,1.49497233250475e-06
"KIAA1671",0.497842535848435,1.50122925985908e-06
"IGLL5",-0.889138215056301,1.28008872418972e-06
"CA1",1.86856011247285,1.71963854629817e-06
"HBD",1.77346430643227,1.7558810628932e-06
"XPNPEP2",0.441241916167729,2.11672103768798e-06
"PDGFD",0.430801397740738,2.25174682141827e-06
"EPB42",2.1361079804081,2.40019779534826e-06
"AHSP",2.18189613861663,2.61727946794725e-06
"PTPN22",0.248909807250027,2.95593270009608e-06
"ZNF683",0.798024961076118,2.96433460006188e-06
"GZMH",0.522190504940724,4.61022238338548e-06
"ATP2B4",0.236528208317617,6.24355807658591e-06
"ITM2C",-0.431783793856549,7.39961436689213e-06
"LANCL3",0.450283037589819,7.61849914656344e-06
"CD8A",0.455734834909617,6.90597532556295e-06
"F2R",0.43012946649938,7.4597484353214e-06
"PPP2R2B",0.362744095694272,9.00904863738005e-06
"BPGM",0.237976986158876,8.76120953692896e-06
"GNG2",0.249101436598833,9.74140039702818e-06
"SLC7A8",-0.976682535882575,1.06620409332376e-05
"TOX",0.34251424949392,1.04760737046132e-05
"IFIT1B",2.50165123733659,1.01832182652753e-05
"MZB1",-0.645636287359942,1.0989210446093e-05
"CCL5",0.386798266204079,1.14200263982317e-05
"KLRD1",0.379360799910884,1.25660812554794e-05
"ITCH",0.164279012514809,1.46047311636261e-05
"SLC25A20",0.27431641343568,1.43409688927006e-05
"DERL3",-0.479815898994778,1.61203988964267e-05
"GZMA",0.353161080484875,1.70393913934612e-05
"TBC1D31",0.190800985850712,1.86620071707352e-05
"FCRL6",0.416082733857202,1.84350067187043e-05
"TGFBR3",0.359460288185496,2.27209869832502e-05
"TBX21",0.342873508710958,2.18696984312486e-05
"ABHD17C",0.332017236005643,2.25170754091045e-05
"GAB3",0.224960762524131,2.41493179346486e-05
"PPP2R5C",0.166845077960741,2.46757544915586e-05
"WNK1",0.131347468600658,2.52348862984514e-05
"BFSP1",0.468935862425219,2.79957991823944e-05
"SLC4A4",0.397360666692773,2.88688802795332e-05
"CST7",0.357937540249296,3.16059867712992e-05
"KIF21A",0.280814962858075,3.32579734526583e-05
"PDK4",0.632859734104656,3.7649908368613e-05
"SLC2A5",-0.44982885476707,3.6547905270459e-05
"FUT11",0.230537625266308,3.75098324949043e-05
"VANGL1",0.265441479349423,3.9678916445139e-05
"NCALD",0.243688325729056,4.34013714921816e-05
"PRR5L",0.297634086952423,4.27334569894499e-05
"TNFRSF13B",-0.496243921535346,4.38150581979078e-05
"RABGAP1L",0.129767401853666,4.5561645285415e-05
"MBP",0.17914773611373,4.54368941135128e-05
"NFATC2",0.197749949903357,4.68869435985785e-05
"FRMPD3",0.412678876265569,4.78091634190775e-05
"JAKMIP1",0.360293190206065,5.2132864637287e-05
"PARD6G",0.737193070994036,5.35929170162614e-05
"STK39",0.18566814804123,5.45135393603173e-05
"KLRG1",0.400293864870336,5.61761344513931e-05
"MAPK1",0.133903341428786,5.76876352659846e-05
"ARAP2",0.212104191717412,6.13553298644885e-05
"ARMH1",-0.298788407131512,6.20042897964815e-05
"GRAP",-0.259653041367373,6.32117281843749e-05
"CCR6",-0.356536154089001,7.0403521149421e-05
"RAB37",0.180376298743716,7.38021107113065e-05
"PDCD1",0.48771382095619,8.4600063270949e-05
"GPT2",-0.292292321014849,8.58646321604977e-05
"NKG7",0.358146049148607,9.20262114856587e-05
"GCDH",-0.173639701789374,9.14145969204144e-05
"IRS1",-0.309794601538257,9.39431008191958e-05
"LITAF",0.185382295298984,9.26345382923426e-05
"HBG2",1.41953222592008,9.37326524978239e-05
"USP28",0.21882559169429,9.67029850041878e-05
"PRSS23",0.445836071625596,0.000101102575450831
"LPCAT1",0.206121500038575,0.000104792496249688
"SELENBP1",1.32007222497785,0.000107829521409658
"CRIM1",0.292638537021968,0.000109156656617005
"GPR137B",0.227419176609658,0.00011494510773881
"UBXN10",0.363338798404138,0.000125904101325444
"ENPP4",0.291216263006883,0.000128626282170329
"ZBTB38",0.2356850747938,0.000135564866770561
"B4GALT5",0.215478246193635,0.000139552923870784
"PRKCH",0.201353242939664,0.000144221069678284
"INPP4A",0.108384868862941,0.000143118288519891
"FCGR2B",-0.329432743356183,0.000142894238471865
"E2F3",0.150210267113484,0.000150640712428636
"SYNE1",0.225053978699181,0.000151640047843952
"RMND5B",-0.125022134282458,0.000149558021808205
"NEK8",-0.192535345161982,0.000149028885638469
"RORB",0.913530192314666,0.000155323935050428
"HENMT1",0.150718022716202,0.0001569657385938
"HDAC7",-0.158519351130934,0.000167219700424932
"ADAM23",-0.621505996095617,0.000166263192954923
"PYCR1",-0.525041938393318,0.000165876125734816
"PTPN4",0.197353643614323,0.0001697313968438
"CPT1A",0.244839072348345,0.000171430342488602
"ATXN1",0.17887256967356,0.00018066872728425
"SLCO4C1",0.323699329742415,0.000187568897146697
"IMPDH2",-0.12037414827,0.0001874323033413
"ENPP5",0.353284074494211,0.000197188082001657
"TLR3",0.355945725612094,0.000206688499108144
"PRPF40B",-0.232722121522203,0.000216122543177136
"AFF2",-0.377406031401239,0.000215824833883325
"TARP",0.36543061063038,0.000221601424874405
"GALNT3",0.207980926893247,0.000230814918857313
"SRPK2",0.100886872495164,0.000238839482840544
"EXTL2",0.204489536351302,0.000239166767105707
"ACAA2",0.162090446440516,0.000241611808145012
"HPS3",0.133449476036208,0.000246102506353455
"RNVU1-18",11.4512385321413,0.000253495177454319
"CD8B",0.358856219403977,0.000259812590491627
"KLRK1",0.253961108670112,0.000259058012911377
"TRIM58",0.501820937510824,0.000282757206868745
"LAMC1",-0.41579697215278,0.000300348329720609
"NPC1",0.170269395670259,0.000306503585554818
"AGAP1",0.379806536737175,0.000311097589211981
"STARD5",-0.228018653059176,0.000312853072393769
"STXBP1",-0.363675972957947,0.000322938984938973
"ERICH3",0.623692857814832,0.000323827640953779
"HID1",-0.344273497888999,0.000343532466941955
"OLFML2A",-0.415536747186917,0.00035454337990837
"DERL1",0.102763930773557,0.000357455948987075
"WIPF1",0.123620659411937,0.000371066464862934
"ADCY3",-0.154470236784399,0.000370641730379442
"ST8SIA6",0.363934993877034,0.000368877302481116
"ADGRG1",0.366140576120692,0.000366929015617541
"ORAI2",-0.180125240491381,0.000385611135287242
"NPTX1",0.703752310013999,0.000384708703033299
"A1BG-AS1",-0.204764570007561,0.000399099774961206
"ADAM19",-0.226897554324128,0.0004122563448569
"GNG7",-0.3037552721884,0.000414328916498554
"SHMT2",-0.120568371773458,0.000407298440611552
"DMRTC1",-2.1376867300071,0.000409169588120574
"CEP78",0.251367429936584,0.00042077889286837
"STOM",0.225170631918039,0.000421252111187084
"SMC3",0.0783488751525077,0.000434844991339861
"FYN",0.130987712536339,0.00044125966870937
"TXNDC5",-0.507987947138,0.000441939005298685
"LINC00987",0.345728551984441,0.000447774044487126
"PLAAT2",-0.8277211419051,0.000458908197193798
"DAPK2",0.353621644096899,0.000480260710534672
"TMEM232",-0.680516255507838,0.000476177236048904
"FAM30A",-0.399007503963708,0.000482294251005594
"RAB27A",0.200422785343824,0.000496612411896517
"MAPRE2",0.0932072801620781,0.000494591631435951
"S1PR5",0.356635749705572,0.000496992677293741
"DCLRE1A",0.191973906458464,0.000494428157340896
"TBK1",0.132853951587235,0.0005156485085944
"PI16",-0.448924841112883,0.000523834933617346
