"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","X1A","X1B","X2A","X2B","X3A","X3B","X4A","X4B","X5A","X5B","X6A","X6B","macrophage","D1","D2","D3","D4","D5","D6"
"407","P13501",16.4771890015992,1.11413359859714e-14,2.33073611678585e-14,"CB","CCL5",16.5736430162222,16.4462048623547,16.9821445209531,16.9844236181955,16.8861243512091,17.2673461331584,17.7024414810855,17.657207684317,17.3938105565066,17.415393721387,16.8533262108163,17.0137333696515,"M1",0.127438153867548,-0.00227909724240405,-0.381221781949261,0.0452337967684961,-0.0215831648803793,-0.160407158835255
"816","P61769",19.4505194899943,3.43608727995208e-15,9.41189124508613e-15,"CB","B2M",19.5181048390749,19.2643059420561,19.4279231138759,19.5440120325395,19.402104939326,19.3376700783915,19.0705167769509,18.6648708691855,18.6814025583348,18.6320491113338,18.7764774006305,18.7218524015408,"M1",0.253798897018779,-0.116088918663618,0.0644348609345613,0.405645907765408,0.0493534470010637,0.054624999089711
"961","Q13568",13.5107819097199,1.87325325346642e-11,1.9862264510808e-11,"CB","IRF5",13.5584755400651,13.4723516942413,13.6316623527555,13.2642098760314,13.7417077996048,13.6904094439898,13.2690560987827,12.9546455390432,13.2779436762263,13.2418655368636,12.7860483511204,13.6969922175845,"M1",0.0861238458238045,0.36745247672415,0.0512983556150264,0.314410559739496,0.0360781393626723,-0.910943866464109
