"","X","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"470","ARL2BP","ARL2BP",0.448504443631096,1.03397923288113e-07,6.43047084619477e-07,"group2-group1"
"471","EIF2S2","EIF2S2",0.350056853941728,1.05310287716314e-07,6.53549832260694e-07,"group2-group1"
"472","BAX","BAX",0.820167134770583,1.09705699809229e-07,6.79385085894868e-07,"group2-group1"
"473","CEP43","CEP43",0.569294767363412,1.16266894760944e-07,7.18494996588244e-07,"group2-group1"
"475","AK2","AK2",0.90112786413693,1.17349265420475e-07,7.22130321734838e-07,"group2-group1"
"478","CCS","CCS",0.554421528190376,1.33773360867818e-07,8.18032497524334e-07,"group2-group1"
"480","ALDH1A1","ALDH1A1",0.690106408584705,1.4325090091667e-07,8.7233829870714e-07,"group2-group1"
"481","BIN2","BIN2",0.56939599473035,1.45661273515906e-07,8.85172354442812e-07,"group2-group1"
"484","CYB5R2","CYB5R2",0.512432863281302,1.7171221720133e-07,1.03701407206506e-06,"group2-group1"
"485","LRCH4","LRCH4",0.615087701296028,1.9118095339909e-07,1.1522101583207e-06,"group2-group1"
"490","ACRBP","ACRBP",0.249153176829923,2.2219351027075e-07,1.32545230718654e-06,"group2-group1"
"494","DDT","DDT",0.478841470171791,2.44203697666703e-07,1.44495426777282e-06,"group2-group1"
"495","APLP1","APLP1",-0.468459168600391,2.92560465867956e-07,1.72758432673139e-06,"group2-group1"
"496","DDAH1","DDAH1",0.491253563109162,2.93453219744109e-07,1.72936242200006e-06,"group2-group1"
"498","LRRC59","LRRC59",0.309383634286916,3.08885472375894e-07,1.81299645733883e-06,"group2-group1"
"499","ECHS1","ECHS1",1.06601034199901,3.18445257055408e-07,1.86536169613819e-06,"group2-group1"
"501","AARSD1","AARSD1",0.645154271974424,3.40142769504435e-07,1.98450561928436e-06,"group2-group1"
"502","FGF2","FGF2",0.260415729086277,3.42038900810319e-07,1.99159304196925e-06,"group2-group1"
"503","LONP1","LONP1",0.623779873951973,3.69416665549635e-07,2.14672945010255e-06,"group2-group1"
"504","ARHGAP45","ARHGAP45",0.363775760938047,3.77459272615581e-07,2.18870790545931e-06,"group2-group1"
"505","FNTA","FNTA",0.313740488383782,3.7813804045739e-07,2.18870790545931e-06,"group2-group1"
"506","ARFIP1","ARFIP1",0.468440629731097,3.90949339327454e-07,2.25838916769594e-06,"group2-group1"
"507","IL1B","IL1B",0.623532842678998,3.96357596084933e-07,2.28511489813858e-06,"group2-group1"
"508","MRI1","MRI1",0.545619758102999,4.04174369976407e-07,2.32559386504141e-06,"group2-group1"
"510","ITGB1BP1","ITGB1BP1",0.617542694280498,4.16304953731612e-07,2.38599878383824e-06,"group2-group1"
"512","ATG16L1","ATG16L1",0.509996203989772,4.45577477324236e-07,2.54379485589598e-06,"group2-group1"
"515","BLOC1S3","BLOC1S3",0.238002586222479,5.4822069784768e-07,3.11155165011411e-06,"group2-group1"
"517","GBP2","GBP2",0.83362001723742,5.63438881006278e-07,3.18555483400648e-06,"group2-group1"
"518","COCH","COCH",0.351604424511746,6.32183031187985e-07,3.5673185331322e-06,"group2-group1"
"520","FOXO1","FOXO1",0.528713054727677,6.98196203179925e-07,3.92466827287485e-06,"group2-group1"
"521","CASP7","CASP7",0.530672747330281,7.30606917505605e-07,4.09897124734911e-06,"group2-group1"
"522","INPP1","INPP1",0.409526539862505,7.83404987199112e-07,4.38676777314752e-06,"group2-group1"
"525","BAIAP2","BAIAP2",0.683068724630486,9.94154319590911e-07,5.53507252602711e-06,"group2-group1"
"528","MRPL24","MRPL24",0.277534465377855,1.06944320867253e-06,5.92042139952613e-06,"group2-group1"
"531","GOT1","GOT1",0.583020965077361,1.10263334858609e-06,6.06967472300777e-06,"group2-group1"
"533","ACY1","ACY1",0.647977235518265,1.14853868954066e-06,6.29864650943216e-06,"group2-group1"
"534","CAT","CAT",0.498314390211593,1.1687270511529e-06,6.39735799722834e-06,"group2-group1"
"535","IL18","IL18",0.436730943593887,1.2492084689779e-06,6.82511468191102e-06,"group2-group1"
"536","GLB1","GLB1",0.428469466517718,1.26084579285999e-06,6.87584375471969e-06,"group2-group1"
"537","BLMH","BLMH",0.312293864451735,1.29705818318388e-06,7.06015096731186e-06,"group2-group1"
"538","CD2AP","CD2AP",0.54784298496146,1.37772334722411e-06,7.48528874337562e-06,"group2-group1"
"541","CTSD","CTSD",0.38587368557847,1.47860398189707e-06,7.98883445302242e-06,"group2-group1"
"542","AHSA1","AHSA1",0.563520630154117,1.54577659894388e-06,8.33635608618627e-06,"group2-group1"
"544","DBN1","DBN1",0.309949653628217,1.7133008319475e-06,9.20584252165908e-06,"group2-group1"
"545","CES1","CES1",0.642907627339999,1.73297124523866e-06,9.29444944923412e-06,"group2-group1"
"549","MCFD2","MCFD2",0.315539661748896,2.05608327637891e-06,1.09470517611212e-05,"group2-group1"
"550","ATG4A","ATG4A",0.571945704165012,2.07293032935082e-06,1.10166824594408e-05,"group2-group1"
"551","CD164","CD164",0.224072956895802,2.16035581231137e-06,1.14604719408097e-05,"group2-group1"
"553","ADD1","ADD1",0.683127966838438,2.32939267592275e-06,1.23125041441631e-05,"group2-group1"
"554","COL2A1","COL2A1",0.399508542345785,2.44293223808683e-06,1.2889333812144e-05,"group2-group1"
"556","EIF4EBP1","EIF4EBP1",0.653953510512109,2.64110470036949e-06,1.38848004301799e-05,"group2-group1"
"557","MCTS1","MCTS1",0.239805336701292,2.65507108174512e-06,1.39331647611149e-05,"group2-group1"
"559","LGMN","LGMN",0.296932050583038,2.74209429058398e-06,1.4338357086542e-05,"group2-group1"
"560","GRPEL1","GRPEL1",0.620053713286378,2.76205437102641e-06,1.44169373687682e-05,"group2-group1"
"563","CALCOCO1","CALCOCO1",0.491713968668712,2.99725169655006e-06,1.5561219731822e-05,"group2-group1"
"565","CSNK1D","CSNK1D",0.612417504064217,3.20653303631792e-06,1.65888425931987e-05,"group2-group1"
"566","DGKA","DGKA",0.282545554938165,3.27260500377007e-06,1.69007498692931e-05,"group2-group1"
"568","BOLA1","BOLA1",0.44983630161462,3.67060710048135e-06,1.8889409427301e-05,"group2-group1"
"571","CASC3","CASC3",0.359446355516145,3.99165857825251e-06,2.04336567849949e-05,"group2-group1"
"572","HAGH","HAGH",0.66984679228577,4.01534202008913e-06,2.0518959308952e-05,"group2-group1"
"573","MCEMP1","MCEMP1",0.593906131606566,4.39959614419985e-06,2.24433150602027e-05,"group2-group1"
"574","ASRGL1","ASRGL1",0.652372434599746,4.78030428741438e-06,2.4342908418314e-05,"group2-group1"
"575","EDIL3","EDIL3",-0.373234415238534,5.09447763005507e-06,2.58976662828713e-05,"group2-group1"
"577","CARHSP1","CARHSP1",0.494463224021441,5.73318670963171e-06,2.90435091026924e-05,"group2-group1"
"582","DCXR","DCXR",0.537338829712031,6.27903978429107e-06,3.15354523874275e-05,"group2-group1"
"583","CSTB","CSTB",0.334488705929949,6.49480249138097e-06,3.25631349610747e-05,"group2-group1"
"585","GNE","GNE",0.388607987340179,7.30339366713862e-06,3.6491999468455e-05,"group2-group1"
"589","FABP1","FABP1",0.892124377355451,8.8539554265211e-06,4.39390691200699e-05,"group2-group1"
"590","CRELD2","CRELD2",0.360169325835814,9.4845804209288e-06,4.69888619836862e-05,"group2-group1"
"594","CPPED1","CPPED1",0.48565693819474,9.78725933109163e-06,4.81618838801024e-05,"group2-group1"
"596","ATXN10","ATXN10",0.605483067210319,1.05696624412919e-05,5.18374552280136e-05,"group2-group1"
"597","CERT","CERT",0.634930511737964,1.07309513737602e-05,5.25403197077068e-05,"group2-group1"
"598","MME","MME",0.670600500972234,1.13805841594388e-05,5.56278386254845e-05,"group2-group1"
"600","LPL","LPL",-0.541261785871469,1.3086194281704e-05,6.37515764757014e-05,"group2-group1"
"603","EVI5","EVI5",0.482440973254915,1.4844137679463e-05,7.19559111725875e-05,"group2-group1"
"604","GFER","GFER",0.505430028411402,1.58559975156255e-05,7.67335773810815e-05,"group2-group1"
"605","CENPF","CENPF",0.513999463779541,1.74531571907865e-05,8.43232701961471e-05,"group2-group1"
"607","IKBKG","IKBKG",0.32547299619264,1.76230140488906e-05,8.48633773721699e-05,"group2-group1"
"608","IL1RN","IL1RN",0.49109923353502,1.81892049156076e-05,8.74457992900018e-05,"group2-group1"
"609","GPD1","GPD1",0.538146972404912,1.84526551246251e-05,8.85666846129376e-05,"group2-group1"
"615","KCTD5","KCTD5",0.416436345286788,2.02777773056379e-05,9.63771431941131e-05,"group2-group1"
"616","CALCOCO2","CALCOCO2",0.395744517712692,2.08949829077342e-05,9.91494075313428e-05,"group2-group1"
"618","EIF5","EIF5",0.492067273391037,2.12728061736924e-05,0.00010047080802928,"group2-group1"
"619","ERP44","ERP44",0.251272730967563,2.12765754943977e-05,0.00010047080802928,"group2-group1"
"620","GLRX","GLRX",0.544752189434502,2.22146158764395e-05,0.00010473116484973,"group2-group1"
"628","GTPBP2","GTPBP2",0.367099174688073,2.53586444081734e-05,0.00011803076051766,"group2-group1"
"629","GRSF1","GRSF1",0.404228846684052,2.55524612859743e-05,0.000118743790681881,"group2-group1"
"631","MDK","MDK",0.264789202411589,2.63558476867305e-05,0.000122088974307945,"group2-group1"
"632","AP1G2","AP1G2",0.526995622528999,2.65738523890222e-05,0.000122904067299228,"group2-group1"
"634","CD36","CD36",0.211434497721514,2.71024997358679e-05,0.000124953638372148,"group2-group1"
"635","FUOM","FUOM",0.605003654209245,2.77658699115332e-05,0.000127810453151829,"group2-group1"
"638","IFI30","IFI30",0.417138863480666,2.94269958618287e-05,0.000134819919912422,"group2-group1"
"641","AAMDC","AAMDC",0.323200194656459,3.12774420848093e-05,0.000142627087697188,"group2-group1"
"642","GUSB","GUSB",0.504034475609952,3.14287116645828e-05,0.000143093651394977,"group2-group1"
"643","EDF1","EDF1",0.59422014493373,3.18184957612423e-05,0.000144643021944185,"group2-group1"
"644","FMR1","FMR1",0.318413686404176,3.58456473401e-05,0.000162696936607317,"group2-group1"
"646","GBP1","GBP1",0.616595225226958,3.91941549168655e-05,0.000177344450188851,"group2-group1"
"647","EIF4G3","EIF4G3",0.504990353429759,3.9564399665171e-05,0.000178743029708338,"group2-group1"
"649","CDHR2","CDHR2",0.561650963821943,4.00916404891544e-05,0.000180566818412632,"group2-group1"
"650","CTF1","CTF1",0.850344748733887,4.15570417830166e-05,0.000186878820202704,"group2-group1"
"651","GPRC5C","GPRC5C",0.513156794669797,4.21245686181716e-05,0.000189139960170377,"group2-group1"
"652","CCL13","CCL13",0.410726711683942,4.23881904263725e-05,0.000190031718736636,"group2-group1"
"653","DLG4","DLG4",0.391549101791596,4.38232736273501e-05,0.00019616451579287,"group2-group1"
"654","DDX58","DDX58",0.378649177299357,4.46213439374587e-05,0.000199431480625675,"group2-group1"
"655","ITGA5","ITGA5",0.213441494034867,4.77106578925773e-05,0.000212913363389318,"group2-group1"
"657","GET3","GET3",0.386511944485215,5.40416858106233e-05,0.00024043203595807,"group2-group1"
"658","LGALS3BP","LGALS3BP",0.375061915289398,5.42873877267217e-05,0.000241158106877215,"group2-group1"
"659","IGSF9","IGSF9",0.775177775935925,5.48957381978622e-05,0.000243490504935282,"group2-group1"
"661","MAD1L1","MAD1L1",0.439070565762985,5.5238208881217e-05,0.00024426820659576,"group2-group1"
"662","CA1","CA1",0.462665110682334,5.53327895636618e-05,0.000244316833677618,"group2-group1"
"664","BRDT","BRDT",0.318261838787303,5.75395742504364e-05,0.000253295445081364,"group2-group1"
"665","INPP5D","INPP5D",0.458969834902802,5.83933865754989e-05,0.000256667472120576,"group2-group1"
"670","ARL13B","ARL13B",0.503383357690485,7.03208768495029e-05,0.000306787944822533,"group2-group1"
"671","CXCL10","CXCL10",0.449275211616217,7.5278512705053e-05,0.000327927112722608,"group2-group1"
"674","IL18R1","IL18R1",0.272410220398285,8.04486127046011e-05,0.000348889161625444,"group2-group1"
"675","DNMBP","DNMBP",0.315431973701764,8.21465426328075e-05,0.000355724954245476,"group2-group1"
"677","GZMA","GZMA",0.305062529168978,8.39804402906517e-05,0.000362592063470568,"group2-group1"
"678","EGLN1","EGLN1",0.363505122399765,8.41998938856569e-05,0.000363003377327102,"group2-group1"
"679","CTSS","CTSS",0.159032881311532,8.70565054058852e-05,0.000374217842196811,"group2-group1"
"680","EDAR","EDAR",0.312672534664398,8.70571784789024e-05,0.000374217842196811,"group2-group1"
"681","KIF22","KIF22",0.650435543562332,8.85552807073643e-05,0.0003800985102902,"group2-group1"
"682","MICALL2","MICALL2",0.42022360232854,9.02820849727844e-05,0.000386942132515321,"group2-group1"
"684","EZR","EZR",0.202853696599603,9.47609083380174e-05,0.000404950489871382,"group2-group1"
"685","ECI2","ECI2",0.489118920800718,9.57666152662888e-05,0.000408650826895419,"group2-group1"
"686","C19orf12","C19orf12",0.751793537956128,9.62685324205072e-05,0.00041019376131945,"group2-group1"
"688","HDDC2","HDDC2",0.314077671358132,9.75499075022357e-05,0.000414445319228248,"group2-group1"
"693","IGSF3","IGSF3",0.263104828109935,0.000104317737823718,0.000440001078872625,"group2-group1"
"694","BTC","BTC",0.370248943609752,0.000104916741670747,0.000441889965278952,"group2-group1"
"695","ANXA2","ANXA2",0.502016702690773,0.000105515604827163,0.000443772824330645,"group2-group1"
"696","MMP1","MMP1",0.726366095736406,0.000105790751075539,0.000444290754876149,"group2-group1"
"697","IMMT","IMMT",0.42705663633976,0.000106779652597649,0.000447800465628303,"group2-group1"
"698","ADA","ADA",0.265234007172053,0.000115970696595662,0.000485648060385557,"group2-group1"
"699","DNAJA4","DNAJA4",0.500829991097392,0.000117741279566508,0.000492357310690846,"group2-group1"
"703","ESAM","ESAM",0.211000582544705,0.000121278076671899,0.000504261476688424,"group2-group1"
"704","CEP85","CEP85",0.364611211716897,0.000123836246267296,0.000514166687271744,"group2-group1"
"705","MOCS2","MOCS2",0.332447763660026,0.000124080932409846,0.000514451865863801,"group2-group1"
"706","KRT18","KRT18",0.660519978977639,0.000129568529542741,0.000536443076279648,"group2-group1"
"707","ADGRG1","ADGRG1",0.600941702357419,0.000132003695129404,0.000545752193583095,"group2-group1"
"708","GIGYF2","GIGYF2",0.483141075030931,0.000133959669063481,0.000553056656317167,"group2-group1"
"709","LARP1","LARP1",0.447108468567444,0.000139806358370497,0.000576380797626182,"group2-group1"
"710","BLVRB","BLVRB",0.428944200158495,0.000141208456094792,0.000581341291781801,"group2-group1"
"712","HGF","HGF",0.266411069265629,0.000161580517330275,0.0006633424889837,"group2-group1"
"713","GCHFR","GCHFR",0.444421756646843,0.000167141504515178,0.0006852098424935,"group2-group1"
"714","DNPEP","DNPEP",0.435844693719872,0.000168851223359126,0.000691249476020625,"group2-group1"
"715","APBB1IP","APBB1IP",0.347540127053146,0.000173257067621099,0.00070829427784122,"group2-group1"
"716","ILKAP","ILKAP",0.422859247149449,0.000177081586413241,0.000722918264086456,"group2-group1"
"717","DYNLT1","DYNLT1",0.292549357777464,0.000188676666311328,0.000769179770750367,"group2-group1"
"720","ICA1","ICA1",0.346454600023307,0.000196951305540778,0.000799567591799576,"group2-group1"
"728","AP3S2","AP3S2",0.231331599241761,0.000221484818047289,0.000889285883450859,"group2-group1"
"730","GIPC2","GIPC2",0.233506592089715,0.000225333956365975,0.000901339647450962,"group2-group1"
"731","ELOA","ELOA",0.526171872494723,0.000225412002150754,0.000901339647450962,"group2-group1"
"732","COX6B1","COX6B1",0.238724844119729,0.00022730730467949,0.000907676573194193,"group2-group1"
"734","ENSA","ENSA",0.383249236125755,0.000244551185469297,0.000973873453851166,"group2-group1"
"737","ANGPTL2","ANGPTL2",0.271357915131869,0.000250817394305582,0.000994761524498259,"group2-group1"
"740","CBS","CBS",0.552075697717162,0.000263907000600637,0.00104201297392906,"group2-group1"
"741","ADAMTSL2","ADAMTSL2",0.229847392502227,0.000264157240397344,0.00104201297392906,"group2-group1"
"742","GCNT1","GCNT1",0.227308389474769,0.000269735395127989,0.00106258296490446,"group2-group1"
"743","BST2","BST2",0.505687561265583,0.000280317042690774,0.00110278158248335,"group2-group1"
"744","LGALS9","LGALS9",0.215086563360601,0.000283708953370681,0.00111462536384745,"group2-group1"
"745","LGALS1","LGALS1",0.253095149030506,0.000290355794847122,0.00113920803803777,"group2-group1"
"746","DNAJC21","DNAJC21",0.176739056526504,0.000298561419604664,0.00116983247922846,"group2-group1"
"750","C9orf40","C9orf40",0.542666496200103,0.000326228457529919,0.00127142104181327,"group2-group1"
"752","LSM1","LSM1",0.441621363492795,0.000342417126274101,0.00133096444162127,"group2-group1"
"755","MAP3K5","MAP3K5",0.3918855406738,0.000368386523826266,0.00142621696575388,"group2-group1"
"756","CD74","CD74",0.262375114458319,0.000381328200077211,0.00147436815982234,"group2-group1"
"757","DUSP3","DUSP3",0.899512896785319,0.000382826849604045,0.00147820724094138,"group2-group1"
"758","CD84","CD84",0.188891572614996,0.000383479433932153,0.00147877359549299,"group2-group1"
"759","AIF1","AIF1",0.355992650113588,0.000386123006574628,0.0014870059923816,"group2-group1"
"760","DTNB","DTNB",0.305640304326582,0.000392203334565509,0.00150843466701971,"group2-group1"
"762","IGSF8","IGSF8",0.168153136608054,0.000418776874104406,0.00160641050263409,"group2-group1"
"763","EP300","EP300",0.280047792467603,0.000428462131528053,0.00164140866376998,"group2-group1"
"764","FEN1","FEN1",0.545333220666691,0.000429488623819845,0.00164318749663012,"group2-group1"
"765","DCTN6","DCTN6",0.508210212746598,0.000431224087532027,0.00164767059850472,"group2-group1"
"766","LGALS4","LGALS4",0.398659670142947,0.000459863340715238,0.00175480488891728,"group2-group1"
"769","CLNS1A","CLNS1A",0.252981517930187,0.000480772069539055,0.00182743401724663,"group2-group1"
"770","GNPDA2","GNPDA2",0.234278828400023,0.000499357638139828,0.00189561347569184,"group2-group1"
"771","HAO1","HAO1",0.847349062968173,0.000507757872655656,0.00192500163654018,"group2-group1"
"772","CCL8","CCL8",0.323427955330116,0.000515728046235822,0.00195137629765828,"group2-group1"
"773","IFT20","IFT20",0.218852781501107,0.000516049906975658,0.00195137629765828,"group2-group1"
"774","CIT","CIT",0.318370865916793,0.000528519094217212,0.00199594484805802,"group2-group1"
"775","ACP1","ACP1",0.273620614368253,0.000532507814135584,0.00200841334286234,"group2-group1"
"776","CCDC134","CCDC134",0.323658578101506,0.000537310115755106,0.00202391426334043,"group2-group1"
"779","BACH1","BACH1",0.171985845335113,0.000580135248687011,0.0021768104389116,"group2-group1"
"780","AHSP","AHSP",0.539327692240733,0.000594919164981751,0.0022294214349252,"group2-group1"
"781","ECHDC3","ECHDC3",0.600595328054693,0.000596540341658623,0.00223263433888368,"group2-group1"
"785","CA5A","CA5A",0.679685567266473,0.000638323974617801,0.00237684200994628,"group2-group1"
"786","HMGCL","HMGCL",0.336805036325307,0.000662354582209023,0.00246318377073406,"group2-group1"
"787","CEACAM1","CEACAM1",0.168214263229884,0.000668088030283717,0.00248134855466239,"group2-group1"
"788","ACE2","ACE2",0.433099083988671,0.000691960318523946,0.00256675128305266,"group2-group1"
"789","DLK1","DLK1",0.366899381988006,0.00072129146628129,0.00267216090740204,"group2-group1"
"791","DDHD2","DDHD2",0.276416190146623,0.000736775666966811,0.00272262360877875,"group2-group1"
"792","CEBPA","CEBPA",0.213115256469012,0.000751085505769228,0.00277199865323668,"group2-group1"
"794","JMJD1C","JMJD1C",0.286751970993167,0.000796188867474217,0.00293105800960596,"group2-group1"
"795","LXN","LXN",0.478353949239425,0.000805926980948021,0.0029631755538504,"group2-group1"
"796","FTCD","FTCD",0.584200109149735,0.00080904602346937,0.00297090644045348,"group2-group1"
"797","ANG","ANG",0.198474213041217,0.000810096196861824,0.0029710303430704,"group2-group1"
"799","LETM1","LETM1",0.357722454959646,0.00083663806373022,0.00306069219059253,"group2-group1"
"800","IGFBPL1","IGFBPL1",0.235025940433799,0.000853612139948504,0.0031166115163127,"group2-group1"
"802","FN1","FN1",0.165491414393254,0.000856843795978434,0.00312288580504359,"group2-group1"
"804","GDF15","GDF15",0.324352027530107,0.00087363354621941,0.00317615778059619,"group2-group1"
"805","CDCP1","CDCP1",0.371854594407308,0.000876915188421901,0.00318412806926362,"group2-group1"
"806","DDI2","DDI2",0.505543048339285,0.000911128326811699,0.00330090250617915,"group2-group1"
"807","HIP1R","HIP1R",0.361275401691238,0.000911333671736768,0.00330090250617915,"group2-group1"
"809","AGXT","AGXT",0.472375209914249,0.000954670376845003,0.00344932201670945,"group2-group1"
"810","AFAP1","AFAP1",0.372078570164744,0.00102863988286129,0.00371199305876982,"group2-group1"
"811","C3","C3",0.252881774297741,0.00104964292932595,0.00378311502147934,"group2-group1"
"812","HMBS","HMBS",0.296805031244985,0.0010720145240648,0.00385898824364704,"group2-group1"
"813","CXCL8","CXCL8",1.41796822639167,0.0010768280667824,0.00387154789570107,"group2-group1"
"816","ADH4","ADH4",0.448833919640133,0.00111276867071818,0.00398605738297702,"group2-group1"
"818","CASP2","CASP2",0.23090556515323,0.00116510358118531,0.00416332245452891,"group2-group1"
"819","GAS2","GAS2",0.368474040584475,0.00117986087985797,0.00421090763348578,"group2-group1"
"821","CHCHD6","CHCHD6",0.214491799782564,0.00123073340697919,0.0043817707047505,"group2-group1"
"822","GGT1","GGT1",0.388322159982576,0.00125821321360545,0.00447415720604469,"group2-group1"
"823","ERBB2","ERBB2",0.162379903922403,0.00127513731280187,0.00452882911946521,"group2-group1"
"829","FBP1","FBP1",0.596882807685616,0.00141517407484951,0.00498981160528964,"group2-group1"
"830","AP2B1","AP2B1",0.193165857220102,0.00142690643327417,0.0050251174752535,"group2-group1"
"831","BATF","BATF",0.614225946516063,0.00143285632638535,0.0050399988472014,"group2-group1"
"832","CEMIP2","CEMIP2",0.202840305899588,0.00146374263973504,0.00514245160570376,"group2-group1"
"833","AMPD3","AMPD3",0.394434177578422,0.0014691749899795,0.00515534033098448,"group2-group1"
"834","MSR1","MSR1",0.314446367918463,0.00151598359766277,0.00531250609107169,"group2-group1"
"838","MAP2","MAP2",0.259759669619622,0.0016284777672467,0.00568023927644643,"group2-group1"
"840","CHI3L1","CHI3L1",0.487885404085471,0.00165181852112368,0.00574793516338634,"group2-group1"
"841","ENTR1","ENTR1",0.470584240146176,0.00165483383795878,0.00575158062824438,"group2-group1"
"844","LIF","LIF",0.451087090763617,0.00169827419845719,0.00588158232475162,"group2-group1"
"845","ASS1","ASS1",0.5077691908628,0.00176005490474445,0.00608833193676691,"group2-group1"
"847","HMOX2","HMOX2",0.287779159009796,0.00180124535353047,0.00621610409488731,"group2-group1"
"849","CPM","CPM",0.268272112847555,0.00182151902418248,0.00627126043308057,"group2-group1"
"851","AKT3","AKT3",0.218352438351437,0.00194386282762978,0.00667674623403273,"group2-group1"
"852","CD226","CD226",0.269431234181779,0.00196547846813562,0.00674306756145589,"group2-group1"
"853","LDLR","LDLR",0.318581593682607,0.00197154282198118,0.00675594333956739,"group2-group1"
"855","ASGR1","ASGR1",0.172087439360448,0.00201816646323708,0.00689953283279763,"group2-group1"
"856","CTSL","CTSL",0.190477398472862,0.00202663002383167,0.00692037331735976,"group2-group1"
"857","ERMAP","ERMAP",0.247489924585632,0.00206830291668126,0.00705443340193619,"group2-group1"
"861","FUS","FUS",0.20372753109948,0.00215554415333818,0.00731783456470095,"group2-group1"
"862","HEG1","HEG1",0.149131966426991,0.00216093341444452,0.0073276199192823,"group2-group1"
"863","BCL2L15","BCL2L15",0.335541526787744,0.00217570954499368,0.00736917612979898,"group2-group1"
"864","CMIP","CMIP",0.185725232263746,0.00218055231403326,0.00737703057166576,"group2-group1"
"865","ANKRD54","ANKRD54",0.299721152210382,0.00224809690692664,0.00759674827623882,"group2-group1"
"866","HSPG2","HSPG2",0.136118761513203,0.00232712431017601,0.007854716349474,"group2-group1"
"867","CA3","CA3",0.344439722542454,0.00234452549848153,0.00790432298969034,"group2-group1"
"868","CCL19","CCL19",0.326043791646624,0.00236712038965809,0.00797130518314585,"group2-group1"
"871","LAMTOR5","LAMTOR5",0.218500536891134,0.00245320750835097,0.0082327503408839,"group2-group1"
"873","ARSA","ARSA",0.255015461848247,0.00257600422545724,0.00862504049371307,"group2-group1"
"875","FUT8","FUT8",0.228281234579449,0.00261112248653199,0.00872264117500916,"group2-group1"
"878","BPIFA2","BPIFA2",-0.607071599367478,0.00277494295477717,0.00923822124921832,"group2-group1"
"879","ARG1","ARG1",0.295372446157617,0.00282860085990961,0.00939647085710239,"group2-group1"
"880","GALNT10","GALNT10",0.168629162090693,0.00282890672399935,0.00939647085710239,"group2-group1"
"881","HJV","HJV",0.257861843036464,0.00283993280674288,0.00941710163720948,"group2-group1"
"883","LRPAP1","LRPAP1",0.242429767609502,0.00284635831870549,0.00942231638230594,"group2-group1"
"885","ENPP7","ENPP7",0.493361410176352,0.00295413564674819,0.00975699265022029,"group2-group1"
"888","HNMT","HNMT",0.361741820764957,0.00307810282190551,0.010132088455439,"group2-group1"
"889","B3GNT7","B3GNT7",0.205778693954529,0.00308942832031174,0.0101579291116662,"group2-group1"
"891","ELOB","ELOB",0.196321674631619,0.00312832706411043,0.0102627385054936,"group2-group1"
"893","AMFR","AMFR",0.282460398514182,0.00318655687110465,0.010422311956164,"group2-group1"
"895","CANT1","CANT1",0.147529111477366,0.00320820395308154,0.0104777431897848,"group2-group1"
"898","CLEC4A","CLEC4A",-0.225848032771361,0.0033686464831579,0.010964981815446,"group2-group1"
"900","CDHR5","CDHR5",0.226314957559657,0.00351911189959668,0.0114292934250234,"group2-group1"
"901","GNPDA1","GNPDA1",0.155770764936802,0.00355337054917935,0.0115277492955064,"group2-group1"
"902","FABP2","FABP2",0.496113007991807,0.00365963977036115,0.011859342626126,"group2-group1"
"903","FOXJ3","FOXJ3",0.191291757524323,0.0036841159957491,0.0119254385997504,"group2-group1"
"904","MTHFD2","MTHFD2",0.214232920650578,0.00372880935282407,0.0120567585600716,"group2-group1"
"905","GRK5","GRK5",0.278632212690241,0.00378330934848206,0.0122194621277492,"group2-group1"
"907","CDC27","CDC27",0.322347221598903,0.00382112487910906,0.0123143859113956,"group2-group1"
"909","ITGA11","ITGA11",-0.188765346108029,0.00393262616895242,0.0126458375047832,"group2-group1"
"911","COL6A3","COL6A3",0.193212905269014,0.0040176838882623,0.0128909879312741,"group2-group1"
"913","GSTP1","GSTP1",0.375033208775461,0.00403701592505622,0.0129246413460453,"group2-group1"
"914","CD163","CD163",0.254963258432686,0.00404799695434105,0.0129456182686421,"group2-group1"
"915","ICAM1","ICAM1",0.169100761924537,0.00406543528312641,0.0129871774126541,"group2-group1"
"916","GLYR1","GLYR1",0.297530184325984,0.00408834013893285,0.0130460897664855,"group2-group1"
"920","ITGAL","ITGAL",0.249906139294367,0.00415922259620655,0.0132145735312084,"group2-group1"
"922","CDH2","CDH2",0.249250801709988,0.00425426428346135,0.0134743656395074,"group2-group1"
"925","BAP18","BAP18",0.384533725619161,0.00426547615529693,0.0134789046507383,"group2-group1"
"926","CDK5RAP3","CDK5RAP3",0.247529269931106,0.00430086738187945,0.0135760641006843,"group2-group1"
"929","FAS","FAS",0.155604596149418,0.00438460178007597,0.0137849994251314,"group2-group1"
"930","CST3","CST3",0.142446336830364,0.00438985383600825,0.0137849994251314,"group2-group1"
"933","IFNL1","IFNL1",0.503957530392989,0.00445138206944963,0.0139426824185054,"group2-group1"
"934","EPO","EPO",0.333622201600224,0.00445517118675471,0.0139426824185054,"group2-group1"
"937","INPP5J","INPP5J",0.201114322571188,0.0046284671875968,0.0144386441721936,"group2-group1"
"938","CES2","CES2",0.238092043396976,0.00463515239300806,0.0144440836298108,"group2-group1"
"943","BNIP3L","BNIP3L",0.238149503410341,0.00473492854163188,0.0146767721391198,"group2-group1"
"944","CREG1","CREG1",0.264316469141825,0.00474647852050056,0.0146906236750578,"group2-group1"
