"","Measure","pvalue_G1_G2","FDR_G1G2"
"1","Observed",0.767413628351727,0.979664536690256
"2","Chao1",0.979664536690256,0.979664536690256
"3","se.chao1",0.130558384602945,0.598293031480931
"4","ACE",0.93940549636484,0.979664536690256
"5","se.ACE",0.851253243317831,0.979664536690256
"6","Shannon",0.261545396122037,0.598293031480931
"7","Simpson",0.265908013991525,0.598293031480931
"8","InvSimpson",0.265908013991525,0.598293031480931
"9","Fisher",0.767413628351727,0.979664536690256
