"","X","Actinobacteria","Bacteroidetes","Cyanobacteria","Elusimicrobia","Epsilonbacteraeota","Firmicutes","Fusobacteria","Kiritimatiellaeota","Lentisphaerae","Proteobacteria","Spirochaetes","Synergistetes","Tenericutes","Verrucomicrobia"
"1",1006,0.02913398431247,0.142948615335361,0,0,0,0.793180726748839,0,0,0.00048023051064511,0.00528253561709621,0,0,0.00112053785817192,0.0278533696174164
"2",1008,0.0292940611493517,0.305586681607171,0.00784376500720346,0,0,0.603329598207139,0,0,0,0.0501040499439731,0,0,0,0.00384184408516088
"3",1011,0.0131263006242997,0.238034256443093,0.000160076836881703,0.000160076836881703,0,0.633744197214663,0,0.00208099887946214,0.0097646870497839,0.0477028973907476,0,0.000800384184408516,0.000160076836881703,0.0542660477028974
"4",1028,0.0557067392348327,0.35056827277093,0,0,0,0.497999039538979,0,0,0.00112053785817192,0.0946054105970866,0,0,0,0
"5",1029,0.00240115255322555,0.0592284296462302,0,0.000160076836881703,0,0.424043540899632,0.00912437970225708,0,0,0.505042420361774,0,0,0,0
"6",1046,0.0268929085961261,0.0896430286537538,0,0,0,0.59964783095886,0,0,0.000160076836881703,0.283496078117496,0,0,0.000160076836881703,0
"7",1050,0.00384184408516088,0.345605890827597,0.00128061469505363,0,0,0.622058588122299,0,0,0.00592284296462302,0.0180886825676325,0,0,0,0.00320153673763406
"8",1056,0.00640307347526813,0.273091083720186,0,0,0,0.304306066912118,0.389306867296302,0,0,0.0227309108372019,0,0,0.00368176724827917,0.00048023051064511
"9",1067,0.0196894509364495,0.0541059708660157,0.00944453337602049,0,0.000640307347526813,0.561549543781015,0.00640307347526813,0.00368176724827917,0.00352169041139747,0.306547142628462,0.0328157515607492,0,0.00160076836881703,0
"10",1076,0.0678725788378422,0.195293740995678,0.00048023051064511,0,0,0.666880102449176,0.000960461021290219,0,0.000640307347526813,0.0438610533055867,0,0,0.00320153673763406,0.0208099887946214
"11",1088,0.0193692972626861,0.493516888106291,0,0,0,0.46902513206339,0,0,0,0.0180886825676325,0,0,0,0
"12",1094,0.00320153673763406,0.242356331038899,0.0128061469505363,0.0465823595325756,0,0.619657435569073,0,0,0.00256122939010725,0.0454618216744037,0,0,0.0273731391067712,0
"13",1106,0.0126460701136546,0.324155594685449,0,0,0,0.613254362093805,0,0,0.00048023051064511,0.0478629742276293,0,0,0.000800384184408516,0.000800384184408516
"14",1114,0.0100848407235473,0.270049623819433,0.0589082759724668,0,0,0.617736513526493,0,0,0,0.0387385945253722,0,0,0.00448215143268769,0
"15",1115,0.0441812069793501,0.228109492556427,0.00048023051064511,0,0,0.670882023371218,0.000320153673763406,0,0.000160076836881703,0.0505842804546182,0,0,0.00464222826956939,0.000640307347526813
"16",1123,0.0148871458299984,0.313590523451257,0,0,0,0.565391387866176,0,0,0,0.106130942852569,0,0,0,0
"17",1124,0.0147270689931167,0.285577076996959,0,0,0,0.630542660477029,0,0,0.00048023051064511,0.0677125020009605,0.000960461021290219,0,0,0
"18",1129,0.0259324475748359,0.408035857211462,0.00160076836881703,0,0,0.538018248759405,0,0,0,0.024811909716664,0,0,0,0.00160076836881703
"19",1135,0.0097646870497839,0.196734432527613,0.0233712181847287,0,0,0.518648951496718,0,0.00256122939010725,0.00112053785817192,0.240755562670082,0.00656315031214983,0,0.00048023051064511,0
"20",1149,0.0529854330078438,0.106451096526333,0.000160076836881703,0.0110453017448375,0.000320153673763406,0.798303185529054,0,0,0.00112053785817192,0.0187289899151593,0,0,0,0.0108852249079558
"21",1155,0.0136065311349448,0.0944453337602049,0,0,0,0.749639827117016,0,0,0.00128061469505363,0.0870817992636466,0,0.0252921402273091,0.0193692972626861,0.00928445653913879
"22",1157,0.0216103729790299,0.267488394429326,0.0416199775892428,0.0110453017448375,0,0.645749959980791,0,0,0,0.0123259164398911,0,0,0.000160076836881703,0
"23",1164,0.0390587481991356,0.313270369777493,0.0116856090923643,0.00112053785817192,0.000320153673763406,0.445013606531135,0,0.00128061469505363,0.00368176724827917,0.161997758924284,0.0225708340003202,0,0,0
"24",1165,0.0169681447094605,0.351368656955339,0.0171282215463422,0,0,0.555146470305747,0,0,0.00752361133344005,0.0509044341283816,0,0,0.000960461021290219,0
"25",1182,0,0.197694893548903,0.00112053785817192,0,0,0.745637906194974,0,0,0,0.0364975188090283,0,0,0,0.0190491435889227
"26",1185,0.100688330398591,0.142788538498479,0.000320153673763406,0.00048023051064511,0,0.671362253881863,0,0.00640307347526813,0.00912437970225708,0.00592284296462302,0.0552265087241876,0,0.00768368817032175,0
