"","Symbol","CSGene","SASP","CellAge"
"51","CD44","yes","no","no"
"52","MAD2L1BP","yes","no","no"
"53","MAP4K4","yes","no","no"
"54","AIM2","yes","no","no"
"55","RECQL4","yes","no","no"
"56","ARHGAP18","yes","no","no"
"57","KL","yes","no","no"
"58","MAPKAPK2","yes","no","no"
"59","AURKB","yes","no","yes"
"60","SLC16A7","yes","no","no"
"61","CCNE2","yes","no","yes"
"62","HIST1H2BJ","yes","no","no"
"63","HIST1H3F","yes","no","no"
"64","CCNA2","yes","yes","yes"
"65","MCM3AP","yes","no","no"
"66","CDC16","yes","yes","no"
"67","TSC22D1","yes","no","yes"
"68","CBS","yes","no","yes"
"69","TNFSF13","yes","no","no"
"70","CTNNAL1","yes","no","yes"
"71","EED","yes","no","no"
"72","PNPT1","yes","no","no"
"73","CDC23","yes","yes","no"
"74","RNASET2","yes","no","no"
"75","TP63","yes","no","no"
"76","CAV1","yes","no","no"
"77","MKNK1","yes","no","no"
"78","TSLP","yes","no","no"
"79","HIST1H2BK","yes","no","yes"
"80","PPM1D","yes","no","no"
"81","HAVCR2","yes","no","no"
"82","CBX2","yes","no","no"
"83","KDM2B","yes","no","no"
"84","DPY30","yes","no","no"
"85","C2orf40","yes","no","no"
"86","YPEL3","yes","no","no"
"87","HIST2H4A","yes","no","no"
"88","HIST1H4L","yes","no","no"
"89","HIST1H4E","yes","no","no"
"90","HIST1H4B","yes","no","no"
"91","HIST1H4H","yes","no","yes"
"92","HIST1H4C","yes","no","yes"
"93","HIST1H4J","yes","no","no"
"94","HIST1H4K","yes","no","no"
"95","HIST1H4F","yes","no","no"
"96","HIST1H4D","yes","no","no"
"97","HIST1H4A","yes","no","no"
"98","HIST1H3B","yes","no","no"
"99","HIST1H3H","yes","no","no"
"100","HIST1H3J","yes","no","yes"
"101","HIST1H3G","yes","no","no"
"102","HIST1H3I","yes","no","yes"
"103","HIST1H3E","yes","no","no"
"104","HIST1H3C","yes","no","no"
"105","HIST1H3D","yes","no","no"
"106","HIST1H3A","yes","no","no"
"107","HIST2H2BE","yes","no","yes"
"108","HIST1H2BO","yes","no","no"
"109","HIST1H2BC","yes","no","yes"
"110","HIST1H2BI","yes","no","no"
"111","HIST1H2BH","yes","no","no"
"112","HIST1H2BE","yes","no","yes"
"113","HIST1H2BF","yes","no","no"
"114","HIST1H2BM","yes","no","no"
"115","HIST1H2BN","yes","no","no"
"116","HIST1H2BL","yes","no","no"
"117","HIST1H2BG","yes","no","no"
"118","HIST2H2AC","yes","no","no"
"119","HIST2H2AA3","yes","no","no"
"120","HIST1H2AB","yes","no","no"
"121","HIST1H2AC","yes","no","yes"
"122","HIST1H2AJ","yes","no","yes"
"123","HIST1H4I","yes","no","no"
"124","HIST3H3","yes","no","no"
"125","CALR","yes","no","no"
"126","HMGA2","yes","no","yes"
"127","PHC3","yes","no","no"
"128","KAT6A","yes","no","no"
"129","EHMT1","yes","yes","no"
"130","SMC6","yes","no","no"
"131","AIMP2","yes","no","no"
"132","CALCA","yes","no","no"
"133","DEK","yes","no","yes"
"134","MAPKAPK3","yes","no","no"
"135","ZNF148","yes","no","no"
"136","YY1","yes","no","no"
"137","WRN","yes","no","no"
"138","WNT5A","yes","no","yes"
"139","NR1H2","yes","no","no"
"140","UBE3A","yes","no","no"
"141","UBE2E1","yes","yes","no"
"142","UBE2D1","yes","yes","no"
"143","UBC","yes","yes","no"
"144","UBB","yes","yes","no"
"145","UBA52","yes","yes","no"
"146","CDC26P1","yes","no","no"
"147","TYMS","yes","no","yes"
"148","TWIST1","yes","no","yes"
"149","HIRA","yes","no","no"
"150","RPS27AP11","yes","no","no"
"151","HIST2H2AA4","yes","no","no"
"152","TP73","yes","no","no"
"153","TOP1","yes","no","no"
"154","TNF","yes","no","no"
"155","TGFB2","yes","no","yes"
"156","TGFB1","yes","no","no"
"157","TFDP1","yes","no","no"
"158","TERT","yes","no","no"
"159","TERF1","yes","no","no"
"160","BUB1B","yes","no","yes"
"161","BUB1","yes","no","yes"
"162","TCF3","yes","no","yes"
"163","TBX3","yes","no","no"
"164","TAGLN","yes","no","no"
"165","STAT6","yes","no","no"
"166","STAT1","yes","no","yes"
"167","BRAF","yes","no","no"
"168","SREBF1","yes","no","no"
"169","BRCA1","yes","no","yes"
"170","SP1","yes","no","no"
"171","SOX5","yes","no","no"
"172","SOD2","yes","no","no"
"173","SNAI1","yes","no","no"
"174","SMARCB1","yes","no","no"
"175","SMARCA2","yes","no","no"
"176","HIST2H3D","yes","no","no"
"177","PHC1P1","yes","no","no"
"178","ACD","yes","no","no"
"179","SKIL","yes","no","no"
"180","LOC649620","yes","no","no"
"181","SLC13A3","yes","no","no"
"182","LOC647654","yes","no","no"
"183","SMURF2","yes","no","yes"
"184","ANAPC1","yes","yes","no"
"185","SHC1","yes","no","no"
"186","CPEB1","yes","no","no"
"187","H3F3AP6","yes","no","no"
"188","ZMAT3","yes","no","yes"
"189","RBBP4P1","yes","no","no"
"190","SRSF3","yes","no","yes"
"191","SRSF1","yes","no","no"
"192","SATB1","yes","no","no"
"193","S100A6","yes","no","no"
"194","RXRB","yes","no","no"
"195","RRM2","yes","no","yes"
"196","RRM1","yes","no","yes"
"197","RPS27A","yes","yes","no"
"198","RPS6KA3","yes","yes","no"
"199","RPS6KA2","yes","yes","no"
"200","RPS6KA1","yes","yes","no"
"201","RPL5","yes","no","yes"
"202","RNF2","yes","no","no"
"203","RIT1","yes","no","no"
"204","RING1","yes","no","no"
"205","BCL2L1","yes","no","no"
"206","RELA","yes","yes","no"
"207","BCL2","yes","no","no"
"208","CCND1","yes","no","yes"
"209","RBP2","yes","no","no"
"210","RBL2","yes","no","no"
"211","RBL1","yes","no","yes"
"212","RBBP7","yes","no","yes"
"213","RBBP4","yes","no","no"
"214","NTN4","yes","no","yes"
"215","RB1","yes","no","no"
"216","IL21","yes","no","no"
"217","RAN","yes","no","no"
"218","RAF1","yes","no","no"
"219","RAC1","yes","no","no"
"220","TNRC6C","yes","no","no"
"221","KIAA1524","yes","no","no"
"222","EP400","yes","no","no"
"223","CNOT6","yes","no","yes"
"224","CBX8","yes","no","no"
"225","PTEN","yes","no","no"
"226","SEPN1","yes","no","no"
"227","BACH1","yes","no","no"
"228","PSMB5","yes","no","no"
"229","PROX1","yes","no","no"
"230","PRL","yes","no","no"
"231","MAP2K7","yes","no","no"
"232","MAP2K1","yes","no","no"
"233","MAPK10","yes","no","no"
"234","MAPK9","yes","no","no"
"235","MAPK11","yes","no","no"
"236","MAPK7","yes","yes","no"
"237","PRKDC","yes","no","no"
"238","RNF114","yes","no","no"
"239","PRKCI","yes","no","no"
"240","ATF7IP","yes","no","no"
"241","MFN1","yes","no","no"
"242","PRKAA2","yes","no","no"
"243","CDKN2AIP","yes","no","no"
"244","RBM38","yes","no","no"
"245","PRG2","yes","no","no"
"246","HIST2H4B","yes","no","no"
"247","HJURP","yes","no","yes"
"248","TMEM140","yes","no","no"
"249","PBRM1","yes","no","no"
"250","MARCH5","yes","no","no"
"251","PPARG","yes","no","no"
"252","PPARD","yes","no","no"
"253","POU2F1","yes","no","no"
"254","TERF2IP","yes","no","no"
"255","ERRFI1","yes","no","no"
"256","H2BFS","yes","no","no"
"257","PLK1","yes","no","yes"
"258","PLAUR","yes","no","no"
"259","PIN1","yes","no","no"
"260","PIM1","yes","no","yes"
"261","PIK3CA","yes","no","no"
"262","PHB","yes","no","no"
"263","PGR","yes","no","no"
"264","PGD","yes","no","no"
"265","PIAS4","yes","no","no"
"266","PDGFB","yes","no","no"
"267","SIRT6","yes","no","no"
"268","ANAPC11","yes","yes","no"
"269","ANAPC7","yes","yes","no"
"270","ANAPC5","yes","yes","no"
"271","WNT16","yes","no","no"
"272","FZR1","yes","yes","no"
"273","ZBTB7A","yes","no","no"
"274","ERGIC2","yes","no","no"
"275","PCNA","yes","no","yes"
"276","FIS1","yes","no","no"
"277","PAX3","yes","no","no"
"278","NOX4","yes","no","no"
"279","MINK1","yes","no","no"
"280","PEBP1","yes","no","no"
"281","YBX1","yes","no","no"
"282","NINJ1","yes","no","no"
"283","NFKB1","yes","yes","no"
"284","H2AFB1","yes","no","no"
"285","NDN","yes","no","no"
"286","NCAM1","yes","no","no"
"287","NBN","yes","no","no"
"288","MYC","yes","no","no"
"289","MYBL2","yes","no","yes"
"290","MSN","yes","no","no"
"291","ASS1","yes","no","no"
"292","LOC441488","yes","no","no"
"293","MRE11A","yes","no","no"
"294","MOV10","yes","no","no"
"295","MMP7","yes","no","no"
"296","MIF","yes","no","no"
"297","MAP3K5","yes","no","no"
"298","MAP3K1","yes","no","no"
"299","MECP2","yes","no","no"
"300","MCL1","yes","no","no"
"301","MAGEA2","yes","no","no"
"302","SMAD9","yes","no","no"
"303","SMAD7","yes","no","no"
"304","SMAD6","yes","no","no"
"305","SMAD5","yes","no","no"
"306","SMAD4","yes","no","no"
"307","SMAD3","yes","no","no"
"308","SMAD2","yes","no","no"
"309","SMAD1","yes","no","no"
"310","MAD2L1","yes","no","yes"
"311","MXD1","yes","no","no"
"312","MIR34A","yes","no","no"
"313","MIR30A","yes","no","no"
"314","MIR299","yes","no","no"
"315","MIR29A","yes","no","no"
"316","MIR22","yes","no","no"
"317","MIR217","yes","no","no"
"318","MIR21","yes","no","no"
"319","MIR205","yes","no","no"
"320","MIR203A","yes","no","no"
"321","MIR191","yes","no","no"
"322","MIR146A","yes","no","no"
"323","MIR141","yes","no","no"
"324","MIR10B","yes","no","no"
"325","ARNTL","yes","no","no"
"326","LMNB1","yes","no","yes"
"327","LMNA","yes","no","no"
"328","LGALS9","yes","no","no"
"329","RHOA","yes","no","no"
"330","KRT5","yes","no","no"
"331","KRAS","yes","no","no"
"332","KIT","yes","no","no"
"333","KIR2DL4","yes","no","no"
"334","KCNJ12","yes","no","no"
"335","JUN","yes","yes","no"
"336","JAK2","yes","no","no"
"337","ITGB4","yes","no","no"
"338","IRS1","yes","no","no"
"339","IRF7","yes","no","no"
"340","IRF5","yes","no","no"
"341","IRF3","yes","no","no"
"342","ING1","yes","no","no"
"343","IDO1","yes","no","no"
"344","ILF3","yes","no","yes"
"345","IL15","yes","no","no"
"346","IL12B","yes","no","no"
"347","CXCR2","yes","no","no"
"348","IL4","yes","no","no"
"349","IGFBP5","yes","no","yes"
"350","IGFBP3","yes","no","yes"
"351","IGFBP1","yes","no","no"
"352","IGF1R","yes","no","no"
"353","IGF1","yes","no","no"
"354","H3F3AP5","yes","no","no"
"355","IFNG","yes","no","no"
"356","IFI16","yes","no","no"
"357","IDH1","yes","no","no"
"358","ID2","yes","no","no"
"359","HIST2H3A","yes","no","no"
"360","BIRC5","yes","no","yes"
"361","HSPB1","yes","no","no"
"362","HSPA9","yes","no","no"
"363","HSPA5","yes","no","no"
"364","HSPA1A","yes","no","no"
"365","APEX1","yes","no","yes"
"366","HNRNPA1","yes","no","yes"
"367","FOXA3","yes","no","no"
"368","FOXA2","yes","no","no"
"369","FOXA1","yes","no","no"
"370","HMGA1","yes","no","yes"
"371","HIF1A","yes","no","no"
"372","ANXA5","yes","no","no"
"373","HELLS","yes","no","yes"
"374","HDAC1","yes","no","no"
"375","H3F3B","yes","no","no"
"376","H3F3A","yes","no","no"
"377","HIST1H2BB","yes","no","no"
"378","HIST1H2BD","yes","no","yes"
"379","H2AFZ","yes","no","yes"
"380","HIST1H2AD","yes","no","no"
"381","HIST1H2AE","yes","no","no"
"382","ANAPC4","yes","yes","no"
"383","ANAPC2","yes","yes","no"
"384","UBN1","yes","no","no"
"385","SENP1","yes","no","no"
"386","GUCY2C","yes","no","no"
"387","GSK3B","yes","no","no"
"388","UHRF1","yes","no","yes"
"389","BRD7","yes","no","no"
"390","NSMCE2","yes","no","no"
"391","PTRF","yes","no","no"
"392","GPI","yes","no","no"
"393","GNAO1","yes","no","no"
"394","RPS6KA6","yes","no","no"
"395","TNRC6A","yes","no","no"
"396","AGO2","yes","no","no"
"397","B3GAT1","yes","no","no"
"398","DNAJC2","yes","no","no"
"399","GJA1","yes","no","no"
"400","AGO1","yes","no","no"
"401","EHF","yes","no","no"
"402","TINF2","yes","no","no"
"403","LDLRAP1","yes","no","no"
"404","ULK3","yes","no","no"
"405","GAPDH","yes","no","no"
"406","ABI3BP","yes","no","no"
"407","ASF1A","yes","no","no"
"408","HIST1H2BA","yes","no","no"
"409","G6PD","yes","no","no"
"410","ACKR1","yes","no","no"
"411","MTOR","yes","no","no"
"412","CDC26","yes","yes","no"
"413","CNOT6L","yes","no","no"
"414","FOS","yes","yes","no"
"415","CABIN1","yes","no","no"
"416","MORC3","yes","no","no"
"417","SUZ12","yes","no","no"
"418","NPTXR","yes","no","no"
"419","CBX6","yes","no","no"
"420","SIRT3","yes","no","no"
"421","CRTC1","yes","no","no"
"422","PPP1R13B","yes","no","no"
"423","SUN1","yes","no","no"
"424","SMC5","yes","no","no"
"425","TNRC6B","yes","no","no"
"426","FOXO1","yes","no","no"
"427","FOXM1","yes","no","yes"
"428","TNIK","yes","no","no"
"429","SCMH1","yes","no","no"
"430","DKK1","yes","no","no"
"431","FGFR2","yes","no","no"
"432","FGF2","yes","no","yes"
"433","HEPACAM","yes","no","no"
"434","FANCD2","yes","no","yes"
"435","EWSR1","yes","no","yes"
"436","ETS2","yes","no","no"
"437","ETS1","yes","no","yes"
"438","ESR2","yes","no","no"
"439","ERF","yes","no","no"
"440","AKT1","yes","no","no"
"441","EREG","yes","no","no"
"442","ERBB2","yes","no","no"
"443","ENG","yes","no","no"
"444","ELN","yes","no","no"
"445","CRTC2","yes","no","no"
"446","EIF5A","yes","no","no"
"447","EGR1","yes","no","yes"
"448","EGFR","yes","no","no"
"449","EEF1B2","yes","no","no"
"450","AGO4","yes","no","no"
"451","AGO3","yes","no","no"
"452","EEF1A1","yes","no","no"
"453","PHC2","yes","no","no"
"454","PHC1","yes","no","yes"
"455","ABCA1","yes","no","no"
"456","E2F2","yes","no","yes"
"457","DUSP6","yes","no","yes"
"458","DUSP4","yes","no","no"
"459","HBEGF","yes","no","no"
"460","AGT","yes","no","no"
"461","DNMT3A","yes","no","no"
"462","AGER","yes","no","no"
"463","DKC1","yes","no","yes"
"464","DAXX","yes","no","no"
"465","CYP3A4","yes","no","no"
"466","CTSZ","yes","no","yes"
"467","CTSD","yes","no","yes"
"468","CSNK2A1","yes","no","no"
"469","E2F7","yes","no","no"
"470","PARP1","yes","no","yes"
"471","HIST3H2BB","yes","no","no"
"472","HIST2H3C","yes","no","no"
"473","JDP2","yes","no","no"
"474","HIST4H4","yes","no","no"
"475","CLU","yes","no","no"
"476","CKB","yes","no","no"
"477","RASSF1","yes","no","no"
"478","CHEK1","yes","no","yes"
"479","TOPBP1","yes","no","yes"
"480","UBE2C","yes","yes","yes"
"481","KIF2C","yes","no","yes"
"482","BTG3","yes","no","no"
"483","EHMT2","yes","yes","no"
"484","GADD45G","yes","no","no"
"485","NEK6","yes","no","no"
"486","ZMYND11","yes","no","no"
"487","SPINT2","yes","no","no"
"488","CENPA","yes","no","yes"
"489","AGR2","yes","no","no"
"490","CEBPG","yes","no","no"
"491","HYOU1","yes","no","no"
"492","TADA3","yes","no","no"
"493","MCRS1","yes","no","no"
"494","NDRG1","yes","no","yes"
"495","ANAPC10","yes","yes","no"
"496","CDKN2C","yes","yes","yes"
"497","ZMPSTE24","yes","no","no"
"498","PSMD14","yes","no","no"
"499","NAMPT","yes","no","no"
"500","RAD50","yes","no","no"
"501","TRIM10","yes","no","no"
"502","DNM1L","yes","no","no"
"503","BCL2L11","yes","no","no"
"504","CDKN2B","yes","yes","yes"
"505","CEBPB","yes","yes","no"
"506","CCNA2","yes","yes","yes"
"507","CCNA1","yes","yes","no"
"508","CDK2","yes","yes","yes"
"509","FZR1","yes","yes","no"
"510","ANAPC4","yes","yes","no"
"511","CDC16","yes","yes","no"
"512","CDC26","yes","yes","no"
"513","ANAPC1","yes","yes","no"
"514","ANAPC5","yes","yes","no"
"515","UBE2E1","yes","yes","no"
"516","UBE2C","yes","yes","yes"
"517","ANAPC11","yes","yes","no"
"518","UBE2S","no","yes","yes"
"519","CDC23","yes","yes","no"
"520","ANAPC16","no","yes","no"
"521","UBE2D1","yes","yes","no"
"522","ANAPC15","no","yes","no"
"523","CDC27","yes","yes","no"
"524","ANAPC10","yes","yes","no"
"525","ANAPC7","yes","yes","no"
"526","ANAPC2","yes","yes","no"
"527","CDKN1B","yes","yes","no"
"528","CDKN1A","yes","yes","yes"
"529","MAPK1","yes","yes","no"
"530","MAPK7","yes","yes","no"
"531","MAPK3","yes","yes","no"
"532","RPS6KA2","yes","yes","no"
"533","RPS6KA1","yes","yes","no"
"534","RPS6KA3","yes","yes","no"
"535","JUN","yes","yes","no"
"536","FOS","yes","yes","no"
"537","EHMT2","yes","yes","no"
"538","EHMT1","yes","yes","no"
"539","H2BC14","no","yes","no"
"540","H2BC1","no","yes","no"
"541","H2BC5","no","yes","no"
"542","H2BC9","no","yes","no"
"543","H2BC21","no","yes","no"
"544","H2BC17","no","yes","no"
"545","H2BC12L","no","yes","no"
"546","H2BC15","no","yes","no"
"547","H2BC4","no","yes","no"
"548","H2BC11","no","yes","no"
"549","H2BC3","no","yes","no"
"550","H2BC12","no","yes","no"
"551","H2BC13","no","yes","no"
"552","H2BU1","no","yes","no"
"553","H3-3A","no","yes","no"
"554","H3C1","no","yes","no"
"555","H3C15","no","yes","no"
"556","H2AB1","no","yes","no"
"557","H2AZ2","no","yes","no"
"558","H2AZ1","no","yes","no"
"559","H2AC7","no","yes","no"
"560","H2AX","no","yes","no"
"561","H2AJ","no","yes","no"
"562","H2AC20","no","yes","no"
"563","H2AC6","no","yes","no"
"564","H2AC4","no","yes","no"
"565","H2AC18","no","yes","no"
"566","H2AC14","no","yes","no"
"567","H4C1","no","yes","no"
"568","UBC","yes","yes","no"
"569","UBB","yes","yes","no"
"570","UBA52","yes","yes","no"
"571","RPS27A","yes","yes","no"
"572","IGFBP7","yes","yes","yes"
"573","IL6","yes","yes","no"
"574","NFKB1","yes","yes","no"
"575","RELA","yes","yes","no"
"576","VENTX","no","yes","no"
"577","STAT3","yes","yes","no"
"578","IL1A","no","yes","no"
"579","CDK6","yes","yes","no"
"580","CDK4","yes","yes","yes"
"581","CDKN2A","yes","yes","yes"
"582","CDKN2D","yes","yes","no"
"583","CDKN2C","yes","yes","yes"
"584","CXCL8","yes","yes","no"
"585","ABCA3","no","no","yes"
"586","ACTL6A","no","no","yes"
"587","ACYP2","no","no","yes"
"588","PARP1","yes","no","yes"
"589","ADSL","no","no","yes"
"590","AEBP1","no","no","yes"
"591","CRYBG1","no","no","yes"
"592","AKR1B1","no","no","yes"
"593","AMPD3","no","no","yes"
"594","AMPH","no","no","yes"
"595","ANGPT1","no","no","yes"
"596","SLC25A4","no","no","yes"
"597","SLC25A5","no","no","yes"
"598","ANXA4","no","no","yes"
"599","AOX1","no","no","yes"
"600","APEX1","yes","no","yes"
"601","BIRC5","yes","no","yes"
"602","APLP1","no","no","yes"
"603","APOC1","no","no","yes"
"604","APP","no","no","yes"
"605","FAS","no","no","yes"
"606","ARF4","no","no","yes"
"607","RND3","no","no","yes"
"608","STS","no","no","yes"
"609","ASAH1","no","no","yes"
"610","ASNS","no","no","yes"
"611","ATP2B4","no","no","yes"
"612","ATP5F1C","no","no","yes"
"613","ATP6V1A","no","no","yes"
"614","ATP6V0C","no","no","yes"
"615","ATP6AP1","no","no","yes"
"616","BARD1","no","no","yes"
"617","CCND1","yes","no","yes"
"618","BCS1L","no","no","yes"
"619","BGN","no","no","yes"
"620","BLM","no","no","yes"
"621","BPGM","no","no","yes"
"622","BRCA1","yes","no","yes"
"623","BTC","no","no","yes"
"624","BUB1","yes","no","yes"
"625","BUB1B","yes","no","yes"
"626","C1QBP","no","no","yes"
"627","C3","no","no","yes"
"628","SLC25A20","no","no","yes"
"629","CALD1","no","no","yes"
"630","CASP1","no","no","yes"
"631","CAV2","no","no","yes"
"632","RUNX1T1","no","no","yes"
"633","CBR3","no","no","yes"
"634","CBS","yes","no","yes"
"635","CCNA2","yes","yes","yes"
"636","CCNB1","no","no","yes"
"637","CCND2","no","no","yes"
"638","CCNF","no","no","yes"
"639","CCNG1","no","no","yes"
"640","CD36","no","no","yes"
"641","CD81","no","no","yes"
"642","CDK1","yes","no","yes"
"643","CDC6","no","no","yes"
"644","CDC20","no","no","yes"
"645","CDC25B","no","no","yes"
"646","CDC25C","no","no","yes"
"647","CDH10","no","no","yes"
"648","CDH11","no","no","yes"
"649","CDK2","yes","yes","yes"
"650","CDK4","yes","yes","yes"
"651","CDKN1A","yes","yes","yes"
"652","CDKN2A","yes","yes","yes"
"653","CDKN2B","yes","yes","yes"
"654","CDKN2C","yes","yes","yes"
"655","CDKN3","no","no","yes"
"656","CENPA","yes","no","yes"
"657","CENPE","no","no","yes"
"658","CENPF","no","no","yes"
"659","CTSC","no","no","yes"
"660","CHD1","no","no","yes"
"661","CHEK1","yes","no","yes"
"662","CKS1B","no","no","yes"
"663","CKS2","no","no","yes"
"664","CNN1","no","no","yes"
"665","COL6A3","no","no","yes"
"666","COL8A1","no","no","yes"
"667","COL15A1","no","no","yes"
"668","SLC31A2","no","no","yes"
"669","COX7A1","no","no","yes"
"670","CRYAB","no","no","yes"
"671","CSE1L","no","no","yes"
"672","CTGF","no","no","yes"
"673","CTSB","no","no","yes"
"674","CTSD","yes","no","yes"
"675","CTSZ","yes","no","yes"
"676","DAB2","no","no","yes"
"677","DGKA","no","no","yes"
"678","DARS","no","no","yes"
"679","DBI","no","no","yes"
"680","DDB2","no","no","yes"
"681","GADD45A","no","no","yes"
"682","DDX11","no","no","yes"
"683","DHX15","no","no","yes"
"684","DFFB","no","no","yes"
"685","DHFR","no","no","yes"
"686","DIO2","no","no","yes"
"687","DKC1","yes","no","yes"
"688","DNA2","no","no","yes"
"689","DNASE1L1","no","no","yes"
"690","DNMT1","no","no","yes"
"691","DPP4","no","no","yes"
"692","DPYSL3","no","no","yes"
"693","DTYMK","no","no","yes"
"694","DUSP3","no","no","yes"
"695","DUSP6","yes","no","yes"
"696","DUT","no","no","yes"
"697","E2F2","yes","no","yes"
"698","ECT2","no","no","yes"
"699","EDN1","no","no","yes"
"700","PHC1","yes","no","yes"
"701","EGR1","yes","no","yes"
"702","EIF4EBP1","no","no","yes"
"703","EMP2","no","no","yes"
"704","ENO1","no","no","yes"
"705","EPAS1","no","no","yes"
"706","EPB41L2","no","no","yes"
"707","EPHA4","no","no","yes"
"708","CLN8","no","no","yes"
"709","ERH","no","no","yes"
"710","FBL","no","no","yes"
"711","ETS1","yes","no","yes"
"712","ETV4","no","no","yes"
"713","EWSR1","yes","no","yes"
"714","EZH2","yes","no","yes"
"715","F3","no","no","yes"
"716","FABP5","no","no","yes"
"717","FANCA","no","no","yes"
"718","FANCD2","yes","no","yes"
"719","FANCE","no","no","yes"
"720","FANCG","no","no","yes"
"721","FAT1","no","no","yes"
"722","EFEMP1","no","no","yes"
"723","FEN1","no","no","yes"
"724","FGF2","yes","no","yes"
"725","FH","no","no","yes"
"726","FHL1","no","no","yes"
"727","FKBP5","no","no","yes"
"728","FOXM1","yes","no","yes"
"729","FLNC","no","no","yes"
"730","FN1","no","no","yes"
"731","FOLR3","no","no","yes"
"732","CENPI","no","no","yes"
"733","FTH1","no","no","yes"
"734","FUCA1","no","no","yes"
"735","FUS","no","no","yes"
"736","FUT4","no","no","yes"
"737","IFI6","no","no","yes"
"738","GART","no","no","yes"
"739","GAS6","no","no","yes"
"740","GBA","no","no","yes"
"741","GEM","no","no","yes"
"742","GFPT1","no","no","yes"
"743","GLB1","no","no","yes"
"744","GLS","no","no","yes"
"745","GLRX","no","no","yes"
"746","GLUL","no","no","yes"
"747","GM2A","no","no","yes"
"748","GOLGB1","no","no","yes"
"749","GPC1","no","no","yes"
"750","GPER1","no","no","yes"
"751","GRN","no","no","yes"
"752","GRINA","no","no","yes"
"753","MSH6","no","no","yes"
"754","GUCY1B1","no","no","yes"
"755","GUSB","no","no","yes"
"756","H1F0","no","no","yes"
"757","HIST1H1C","no","no","yes"
"758","HIST1H1B","no","no","yes"
"759","H2AFX","yes","no","yes"
"760","H2AFZ","yes","no","yes"
"761","HIST1H2BD","yes","no","yes"
"762","HIST1H1A","no","no","yes"
"763","HAGH","no","no","yes"
"764","HAS2","no","no","yes"
"765","HELLS","yes","no","yes"
"766","HEXB","no","no","yes"
"767","HLA-B","no","no","yes"
"768","HMGB1","no","no","yes"
"769","HMGB2","no","no","yes"
"770","HMGB3","no","no","yes"
"771","HMGN2","no","no","yes"
"772","HMGA1","yes","no","yes"
"773","HMMR","no","no","yes"
"774","HNRNPA1","yes","no","yes"
"775","HNRNPA2B1","no","no","yes"
"776","HNRNPAB","no","no","yes"
"777","HNRNPC","no","no","yes"
"778","HNRNPD","no","no","yes"
"779","HNRNPF","no","no","yes"
"780","HNRNPH1","no","no","yes"
"781","HNRNPH3","no","no","yes"
"782","HNRNPU","no","no","yes"
"783","HOXA5","no","no","yes"
"784","HPRT1","no","no","yes"
"785","HSPA2","no","no","yes"
"786","ICAM1","no","no","yes"
"787","ID4","no","no","yes"
"788","IDS","no","no","yes"
"789","IFI27","no","no","yes"
"790","SP110","no","no","yes"
"791","IFIT2","no","no","yes"
"792","IFIT1","no","no","yes"
"793","IFIT3","no","no","yes"
"794","IGF2R","no","no","yes"
"795","IGFBP3","yes","no","yes"
"796","IGFBP5","yes","no","yes"
"797","IGFBP7","yes","yes","yes"
"798","IL11","no","no","yes"
"799","ILF2","no","no","yes"
"800","ILF3","yes","no","yes"
"801","IMPA2","no","no","yes"
"802","IMPDH2","no","no","yes"
"803","CXCL10","no","no","yes"
"804","INPP5D","no","no","yes"
"805","INSIG1","no","no","yes"
"806","ITGA2","no","no","yes"
"807","ITGAV","no","no","yes"
"808","ITGB5","no","no","yes"
"809","KCNJ2","no","no","yes"
"810","KCNN2","no","no","yes"
"811","KIF3C","no","no","yes"
"812","KIF11","no","no","yes"
"813","KIFC1","no","no","yes"
"814","KIF22","no","no","yes"
"815","KPNA2","no","no","yes"
"816","L1CAM","no","no","yes"
"817","LAMB2","no","no","yes"
"818","LAMC1","no","no","yes"
"819","STMN1","no","no","yes"
"820","LBR","no","no","yes"
"821","LIPA","no","no","yes"
"822","LMNB1","yes","no","yes"
"823","LOX","no","no","yes"
"824","LOXL2","no","no","yes"
"825","LRP1","no","no","yes"
"826","LRPAP1","no","no","yes"
"827","LSAMP","no","no","yes"
"828","LUM","no","no","yes"
"829","MAD2L1","yes","no","yes"
"830","MANBA","no","no","yes"
"831","MAT2A","no","no","yes"
"832","MATN2","no","no","yes"
"833","MCM2","no","no","yes"
"834","MCM3","no","no","yes"
"835","MCM4","no","no","yes"
"836","MCM5","no","no","yes"
"837","MCM6","no","no","yes"
"838","MCM7","no","no","yes"
"839","DNAJB9","no","no","yes"
"840","MDK","no","no","yes"
"841","MDM2","yes","no","yes"
"842","MEST","no","no","yes"
"843","MFGE8","no","no","yes"
"844","KITLG","no","no","yes"
"845","MGMT","no","no","yes"
"846","MKI67","no","no","yes"
"847","MMP3","no","no","yes"
"848","MMP12","no","no","yes"
"849","MRE11","no","no","yes"
"850","MSH2","no","no","yes"
"851","MT1E","no","no","yes"
"852","NUDT1","no","no","yes"
"853","MTHFD1","no","no","yes"
"854","MTIF2","no","no","yes"
"855","MX1","no","no","yes"
"856","MXI1","no","no","yes"
"857","MYBL2","yes","no","yes"
"858","MYLK","no","no","yes"
"859","HNRNPM","no","no","yes"
"860","NAP1L3","no","no","yes"
"861","NASP","no","no","yes"
"862","NEK2","no","no","yes"
"863","NPM1","no","no","yes"
"864","NRAS","no","no","yes"
"865","ODC1","no","no","yes"
"866","ORC1","no","no","yes"
