"","Symbol","CSGene","SASP","CellAge"
"1376","NUSAP1","no","no","yes"
"1377","Mar-02","no","no","yes"
"1378","FKBP11","no","no","yes"
"1379","FAM198B","no","no","yes"
"1380","RSRC1","no","no","yes"
"1381","PRR16","no","no","yes"
"1382","UCHL5","no","no","yes"
"1383","NIP7","no","no","yes"
"1384","TRPV2","no","no","yes"
"1385","SCARA3","no","no","yes"
"1386","RNF138","no","no","yes"
"1387","PCYOX1","no","no","yes"
"1388","CTDSPL2","no","no","yes"
"1389","GTSE1","no","no","yes"
"1390","ETV7","no","no","yes"
"1391","DTL","no","no","yes"
"1392","RAB6B","no","no","yes"
"1393","ARMCX3","no","no","yes"
"1394","GDE1","no","no","yes"
"1395","NOP58","no","no","yes"
"1396","DPH5","no","no","yes"
"1397","DHRS7","no","no","yes"
"1398","MRPL48","no","no","yes"
"1399","YPEL5","no","no","yes"
"1400","GINS2","no","no","yes"
"1401","HSPB11","no","no","yes"
"1402","SARAF","no","no","yes"
"1403","CYB5R1","no","no","yes"
"1404","STK26","no","no","yes"
"1405","TM7SF3","no","no","yes"
"1406","MYOZ2","no","no","yes"
"1407","COQ3","no","no","yes"
"1408","ZFYVE1","no","no","yes"
"1409","NUP54","no","no","yes"
"1410","MIS18A","no","no","yes"
"1411","GNG2","no","no","yes"
"1412","CYTL1","no","no","yes"
"1413","GAR1","no","no","yes"
"1414","ANLN","no","no","yes"
"1415","RIN2","no","no","yes"
"1416","MIOS","no","no","yes"
"1417","PIMREG","no","no","yes"
"1418","CHPF2","no","no","yes"
"1419","NEURL1B","no","no","yes"
"1420","USP53","no","no","yes"
"1421","CCNJ","no","no","yes"
"1422","ARL15","no","no","yes"
"1423","TMEM106B","no","no","yes"
"1424","LRRN3","no","no","yes"
"1425","MANSC1","no","no","yes"
"1426","SLC35F2","no","no","yes"
"1427","LY6K","no","no","yes"
"1428","NSMCE4A","no","no","yes"
"1429","KLHL24","no","no","yes"
"1430","HAUS6","no","no","yes"
"1431","CNNM2","no","no","yes"
"1432","SAMD9","no","no","yes"
"1433","ERCC6L","no","no","yes"
"1434","FAM46C","no","no","yes"
"1435","RETSAT","no","no","yes"
"1436","NCAPG2","no","no","yes"
"1437","ELOVL2","no","no","yes"
"1438","HAUS4","no","no","yes"
"1439","LPCAT2","no","no","yes"
"1440","TIPIN","no","no","yes"
"1441","THG1L","no","no","yes"
"1442","HERC6","no","no","yes"
"1443","PARPBP","no","no","yes"
"1444","MCUB","no","no","yes"
"1445","CDCA4","no","no","yes"
"1446","ZWILCH","no","no","yes"
"1447","TMEM45A","no","no","yes"
"1448","WDYHV1","no","no","yes"
"1449","SLFN12","no","no","yes"
"1450","BSDC1","no","no","yes"
"1451","ANO10","no","no","yes"
"1452","CDCA8","no","no","yes"
"1453","UBR7","no","no","yes"
"1454","DARS2","no","no","yes"
