"","Gene_name","LFC_1_Ctrl","FDR_1_Ctrl","LFC_2_Ctrl","FDR_2_Ctrl","LFC_2_1","FDR_2_1"
"ABCG5","ABCG5",NA,NA,NA,NA,NA,NA
"ABCG8","ABCG8",NA,NA,NA,NA,NA,NA
"ABHD1","ABHD1",NA,NA,NA,NA,NA,NA
"ABHD10","ABHD10",NA,NA,NA,NA,NA,NA
"ABHD11","ABHD11",NA,NA,NA,NA,NA,NA
"ABHD12","ABHD12",NA,NA,NA,NA,NA,NA
"ABHD12B","ABHD12B",NA,NA,NA,NA,NA,NA
"ABHD13","ABHD13",NA,NA,NA,NA,NA,NA
"ABHD14A","ABHD14A",NA,NA,NA,NA,NA,NA
"ABHD14A-ACY1","ABHD14A-ACY1",NA,NA,NA,NA,NA,NA
"ABHD14B","ABHD14B",NA,NA,NA,NA,NA,NA
"ABHD15","ABHD15",0.210095154717082,0.00237208656332281,0.243304180348681,0.000185048379379854,NA,NA
"ABHD16A","ABHD16A",NA,NA,NA,NA,NA,NA
"ABHD16B","ABHD16B",NA,NA,NA,NA,NA,NA
"ABHD17A","ABHD17A",NA,NA,NA,NA,NA,NA
"ABHD17B","ABHD17B",NA,NA,0.302090017958009,0.0196363858274644,NA,NA
"ABHD17C","ABHD17C",NA,NA,0.522354065197625,0.000201881117990615,0.281933403131067,0.00738463377628343
"ABHD18","ABHD18",NA,NA,NA,NA,NA,NA
"ABHD2","ABHD2",NA,NA,0.220790996263272,0.0303184714387589,NA,NA
"ABHD3","ABHD3",NA,NA,NA,NA,NA,NA
"ABHD4","ABHD4",0.173869397563853,0.0577737636677061,0.186965690449556,0.0311458291635361,NA,NA
"ABHD5","ABHD5",NA,NA,NA,NA,NA,NA
"ABHD6","ABHD6",NA,NA,NA,NA,NA,NA
"ABHD8","ABHD8",NA,NA,NA,NA,NA,NA
"ABI1","ABI1",NA,NA,NA,NA,NA,NA
"ABI2","ABI2",NA,NA,NA,NA,NA,NA
"ABI3","ABI3",0.285664123102983,0.0911726532183146,0.377659213091415,0.0132766875829091,NA,NA
"ABI3BP","ABI3BP",NA,NA,NA,NA,NA,NA
"ABITRAM","ABITRAM",NA,NA,NA,NA,NA,NA
"ABL1","ABL1",NA,NA,NA,NA,NA,NA
"ABL2","ABL2",NA,NA,NA,NA,NA,NA
"ABLIM1","ABLIM1",NA,NA,-0.305782467998795,0.0282093641816256,NA,NA
"ABLIM2","ABLIM2",NA,NA,NA,NA,NA,NA
"ABLIM3","ABLIM3",-1.24004452510344,0.000165968787149003,-1.15478732183397,0.000308235963102756,NA,NA
"ABO","ABO",NA,NA,NA,NA,NA,NA
"ABR","ABR",NA,NA,0.165288724886859,0.0913805413954978,NA,NA
"ABRA","ABRA",NA,NA,NA,NA,NA,NA
"ABRACL","ABRACL",NA,NA,NA,NA,NA,NA
"ABRAXAS1","ABRAXAS1",NA,NA,NA,NA,NA,NA
"ABRAXAS2","ABRAXAS2",NA,NA,NA,NA,NA,NA
"ABT1","ABT1",NA,NA,NA,NA,NA,NA
"ABTB1","ABTB1",NA,NA,NA,NA,NA,NA
"ABTB2","ABTB2",NA,NA,NA,NA,NA,NA
"ACAA1","ACAA1",NA,NA,NA,NA,NA,NA
"ACAA2","ACAA2",NA,NA,0.242099868246675,0.00548731755494509,0.182459233420118,0.00292410145885137
"ACACA","ACACA",NA,NA,NA,NA,NA,NA
"ACACB","ACACB",NA,NA,-0.255088305626685,0.0158247471955404,-0.184508898345596,0.0168159823276781
"ACAD10","ACAD10",-0.120574475016541,0.0527290449947516,-0.147235737164687,0.0106151396214712,NA,NA
"ACAD11","ACAD11",-0.22261998032435,0.08622517169156,NA,NA,NA,NA
"ACAD8","ACAD8",NA,NA,NA,NA,NA,NA
"ACAD9","ACAD9",NA,NA,NA,NA,NA,NA
"ACADL","ACADL",NA,NA,NA,NA,NA,NA
"ACADM","ACADM",NA,NA,0.199991031487536,0.0290550920562092,NA,NA
"ACADS","ACADS",NA,NA,NA,NA,NA,NA
"ACADSB","ACADSB",NA,NA,NA,NA,NA,NA
"ACADVL","ACADVL",NA,NA,NA,NA,NA,NA
"ACAN","ACAN",NA,NA,NA,NA,NA,NA
"ACAP1","ACAP1",NA,NA,NA,NA,NA,NA
"ACAP2","ACAP2",NA,NA,NA,NA,NA,NA
"ACAP3","ACAP3",NA,NA,NA,NA,NA,NA
"ACAT1","ACAT1",NA,NA,NA,NA,NA,NA
"ACAT2","ACAT2",NA,NA,-0.179427423123677,0.0285814074948269,NA,NA
"ACBD3","ACBD3",NA,NA,NA,NA,NA,NA
"ACBD3-AS1","ACBD3-AS1",NA,NA,NA,NA,NA,NA
"ACBD4","ACBD4",-0.202406476598549,0.0822662775921168,-0.340400428196,0.000761413544642066,NA,NA
"ACBD5","ACBD5",NA,NA,0.269647518847852,0.0010727820892591,0.165100329925342,0.00656835378004125
"ACBD6","ACBD6",-0.12913322994154,0.0733903921556117,-0.161668658639584,0.0145264790641851,NA,NA
"ACBD7","ACBD7",NA,NA,NA,NA,NA,NA
"ACCS","ACCS",NA,NA,NA,NA,NA,NA
"ACCSL","ACCSL",NA,NA,NA,NA,NA,NA
"ACD","ACD",NA,NA,NA,NA,NA,NA
"ACE","ACE",NA,NA,NA,NA,NA,NA
"ACE2","ACE2",NA,NA,NA,NA,NA,NA
"ACER1","ACER1",NA,NA,-0.550360382244007,0.0489946250783464,NA,NA
"ACER2","ACER2",NA,NA,NA,NA,NA,NA
"ACER3","ACER3",NA,NA,NA,NA,NA,NA
"ACHE","ACHE",NA,NA,NA,NA,NA,NA
"ACIN1","ACIN1",NA,NA,NA,NA,NA,NA
"ACKR1","ACKR1",NA,NA,NA,NA,NA,NA
"ACKR2","ACKR2",NA,NA,-0.845054128194551,0.0661305946792067,NA,NA
"ACKR3","ACKR3",-0.396871096934949,0.00908310520554718,-0.456718935245692,0.00146297582861612,NA,NA
"ACKR4","ACKR4",NA,NA,NA,NA,NA,NA
"ACLY","ACLY",0.23642074837042,0.000285328784618764,0.271739448767412,9.52253150262189e-06,NA,NA
"ACMSD","ACMSD",NA,NA,NA,NA,NA,NA
"ACO1","ACO1",NA,NA,NA,NA,NA,NA
"ACO2","ACO2",NA,NA,NA,NA,NA,NA
"ACOD1","ACOD1",NA,NA,NA,NA,NA,NA
"ACOT1","ACOT1",NA,NA,NA,NA,NA,NA
"ACOT11","ACOT11",NA,NA,NA,NA,NA,NA
"ACOT12","ACOT12",NA,NA,-1.23772537413908,0.0675998992699395,NA,NA
"ACOT13","ACOT13",NA,NA,NA,NA,NA,NA
"ACOT2","ACOT2",NA,NA,NA,NA,NA,NA
"ACOT4","ACOT4",NA,NA,NA,NA,NA,NA
"ACOT6","ACOT6",NA,NA,NA,NA,NA,NA
"ACOT7","ACOT7",0.400022948725568,0.00919359756517729,0.423506096097497,0.00383594350740959,NA,NA
"ACOT8","ACOT8",NA,NA,NA,NA,NA,NA
"ACOT9","ACOT9",NA,NA,0.138827792815435,0.0750100748495314,NA,NA
"ACOX1","ACOX1",NA,NA,NA,NA,NA,NA
"ACOX2","ACOX2",NA,NA,NA,NA,NA,NA
"ACOX3","ACOX3",0.18742318110102,0.0432253981041573,NA,NA,NA,NA
"ACOXL","ACOXL",NA,NA,NA,NA,NA,NA
"ACOXL-AS1","ACOXL-AS1",NA,NA,NA,NA,NA,NA
"ACP1","ACP1",NA,NA,NA,NA,NA,NA
"ACP2","ACP2",NA,NA,NA,NA,NA,NA
"ACP4","ACP4",NA,NA,NA,NA,NA,NA
"ACP5","ACP5",NA,NA,NA,NA,NA,NA
"ACP6","ACP6",-0.314572679569738,0.0230085087725189,-0.40939718766412,0.00129998412853674,NA,NA
"ACP7","ACP7",NA,NA,NA,NA,NA,NA
"ACPP","ACPP",NA,NA,NA,NA,NA,NA
"ACR","ACR",NA,NA,NA,NA,NA,NA
"ACRBP","ACRBP",-0.409100214941872,0.00156244034433077,-0.478895044872531,8.6427058504896e-05,NA,NA
"ACRV1","ACRV1",NA,NA,NA,NA,NA,NA
"ACSBG1","ACSBG1",-1.17975242567548,0.00155050300365907,-0.924121432472984,0.0133733170345213,NA,NA
"ACSBG2","ACSBG2",NA,NA,NA,NA,NA,NA
"ACSF2","ACSF2",NA,NA,NA,NA,NA,NA
"ACSF3","ACSF3",NA,NA,NA,NA,NA,NA
"ACSL1","ACSL1",NA,NA,NA,NA,NA,NA
"ACSL3","ACSL3",NA,NA,NA,NA,NA,NA
"ACSL4","ACSL4",NA,NA,0.221736734275507,0.0536296632127288,NA,NA
"ACSL5","ACSL5",0.139970508277039,0.054746636769498,0.23783416240582,0.000191397468495527,0.0978636541287815,0.0630257901134593
"ACSL6","ACSL6",NA,NA,NA,NA,NA,NA
"ACSM1","ACSM1",NA,NA,NA,NA,NA,NA
"ACSM2A","ACSM2A",NA,NA,NA,NA,NA,NA
"ACSM2B","ACSM2B",NA,NA,NA,NA,NA,NA
"ACSM3","ACSM3",-0.226384713303174,0.021529515123194,-0.265522856540263,0.00397529893841924,NA,NA
"ACSM4","ACSM4",NA,NA,NA,NA,NA,NA
"ACSM5","ACSM5",NA,NA,NA,NA,NA,NA
"ACSM6","ACSM6",NA,NA,NA,NA,NA,NA
"ACSS1","ACSS1",NA,NA,NA,NA,NA,NA
"ACSS2","ACSS2",NA,NA,NA,NA,NA,NA
"ACSS3","ACSS3",NA,NA,NA,NA,NA,NA
"ACTA1","ACTA1",NA,NA,NA,NA,NA,NA
"ACTA2","ACTA2",0.470319743389051,0.061139650209551,0.487450169237253,0.0412808270291599,NA,NA
"ACTA2-AS1","ACTA2-AS1",NA,NA,NA,NA,NA,NA
"ACTB","ACTB",NA,NA,NA,NA,NA,NA
"ACTBL2","ACTBL2",NA,NA,NA,NA,NA,NA
"ACTC1","ACTC1",NA,NA,NA,NA,NA,NA
"ACTG1","ACTG1",NA,NA,NA,NA,NA,NA
"ACTG1P17","ACTG1P17",NA,NA,-0.534003598398736,0.016226019147092,NA,NA
"ACTG2","ACTG2",NA,NA,NA,NA,NA,NA
"ACTL10","ACTL10",NA,NA,NA,NA,NA,NA
"ACTL6A","ACTL6A",NA,NA,NA,NA,NA,NA
"ACTL6B","ACTL6B",NA,NA,NA,NA,NA,NA
"ACTL7A","ACTL7A",NA,NA,NA,NA,NA,NA
"ACTL7B","ACTL7B",NA,NA,NA,NA,NA,NA
"ACTL8","ACTL8",NA,NA,NA,NA,NA,NA
"ACTL9","ACTL9",NA,NA,NA,NA,NA,NA
"ACTN1","ACTN1",-0.208029669151154,0.0907156423597845,-0.400615505342892,0.000124609299112224,-0.192585836191738,0.0177125631654476
"ACTN1-AS1","ACTN1-AS1",NA,NA,NA,NA,NA,NA
"ACTN2","ACTN2",NA,NA,NA,NA,NA,NA
"ACTN3","ACTN3",0.868263931856219,0.0465670361991535,1.15355002551009,0.00351793890785787,NA,NA
"ACTN4","ACTN4",0.370200559784956,0.000862569449590977,0.459557522589187,8.7116249870902e-06,NA,NA
"ACTR10","ACTR10",NA,NA,NA,NA,NA,NA
"ACTR1A","ACTR1A",0.156485186155786,0.0746942518902857,0.161792960163532,0.0524435868235742,NA,NA
"ACTR1B","ACTR1B",NA,NA,NA,NA,NA,NA
"ACTR2","ACTR2",0.244479623815916,0.0559142789378678,0.352869761819463,0.00209616816406928,NA,NA
"ACTR3","ACTR3",NA,NA,0.177935181562815,0.0745462276287785,NA,NA
"ACTR3B","ACTR3B",-0.163120257117005,0.0667366977823586,-0.209372289438563,0.0100380939831078,NA,NA
"ACTR3C","ACTR3C",NA,NA,NA,NA,NA,NA
"ACTR5","ACTR5",NA,NA,NA,NA,NA,NA
"ACTR6","ACTR6",NA,NA,NA,NA,NA,NA
"ACTR8","ACTR8",NA,NA,NA,NA,NA,NA
"ACTRT1","ACTRT1",NA,NA,NA,NA,NA,NA
"ACTRT2","ACTRT2",NA,NA,NA,NA,NA,NA
"ACTRT3","ACTRT3",NA,NA,NA,NA,NA,NA
"ACVR1","ACVR1",NA,NA,NA,NA,NA,NA
"ACVR1B","ACVR1B",NA,NA,NA,NA,NA,NA
"ACVR1C","ACVR1C",-0.512766000651185,0.0382383770626404,-0.662537610817643,0.00351782810955581,NA,NA
"ACVR2A","ACVR2A",-0.244561510999814,0.0786879869278294,-0.276210515752172,0.0332077608292145,NA,NA
"ACVR2B","ACVR2B",-0.307165666095878,0.0636404289630311,-0.37524494530691,0.0141267290005884,NA,NA
"ACVR2B-AS1","ACVR2B-AS1",NA,NA,-0.730518694349512,0.0930773353201876,NA,NA
"ACVRL1","ACVRL1",NA,NA,NA,NA,NA,NA
"ACY1","ACY1",NA,NA,NA,NA,NA,NA
"ACY3","ACY3",NA,NA,NA,NA,NA,NA
"ACYP1","ACYP1",NA,NA,NA,NA,NA,NA
"ACYP2","ACYP2",NA,NA,NA,NA,NA,NA
"ADA","ADA",NA,NA,0.246131346773951,0.0215789756499217,NA,NA
"ADA2","ADA2",NA,NA,NA,NA,NA,NA
"ADAD1","ADAD1",NA,NA,NA,NA,NA,NA
"ADAD2","ADAD2",NA,NA,NA,NA,NA,NA
"ADAL","ADAL",NA,NA,NA,NA,NA,NA
"ADAM10","ADAM10",NA,NA,NA,NA,NA,NA
"ADAM11","ADAM11",NA,NA,-0.459540822218752,0.0728842502552187,NA,NA
"ADAM12","ADAM12",NA,NA,-0.758471256972069,0.024048879020362,NA,NA
"ADAM15","ADAM15",NA,NA,NA,NA,NA,NA
"ADAM17","ADAM17",NA,NA,NA,NA,NA,NA
"ADAM18","ADAM18",NA,NA,NA,NA,NA,NA
"ADAM19","ADAM19",NA,NA,-0.322839026971533,0.012697027311378,-0.212117509465449,0.0283429360138366
"ADAM2","ADAM2",NA,NA,NA,NA,NA,NA
"ADAM20","ADAM20",NA,NA,NA,NA,NA,NA
