"","X","Bifidobacteriaceae","Atopobiaceae","Coriobacteriaceae","Coriobacteriales.Incertae.Sedis","Eggerthellaceae","Bacteroidaceae","Bacteroidales.RF16.group","Barnesiellaceae","Dysgonomonadaceae","Marinifilaceae","Muribaculaceae","Prevotellaceae","Rikenellaceae","Tannerellaceae","Flavobacteriaceae","Clostridium.sp..K4410.MGS.306","Elusimicrobiaceae","Campylobacteraceae","Staphylococcaceae","Enterococcaceae","Lactobacillaceae","Streptococcaceae","Christensenellaceae","Clostridiaceae.1","Clostridiales.vadinBB60.group","Defluviitaleaceae","Family.XI","Family.XIII","Lachnospiraceae","Peptococcaceae","Peptostreptococcaceae","Ruminococcaceae","Erysipelotrichaceae","Acidaminococcaceae","Veillonellaceae","Fusobacteriaceae","Victivallaceae","vadinBE97","Oligosphaeraceae","Desulfovibrionaceae","Succinivibrionaceae","Shewanellaceae","Burkholderiaceae","Enterobacteriaceae","Halomonadaceae","Pasteurellaceae","Pseudomonadaceae","Spirochaetaceae","Synergistaceae","Anaeroplasmataceae","Puniceicoccaceae","Akkermansiaceae"
"39",1281,0.0842004161997759,0,0.0481831279013927,0,0.00304145990075236,0.074435729149992,0,0.0168080678725788,0,0.0126460701136546,0,0.207299503761806,0.0169681447094605,0.00800384184408516,0,0,0,0,0,0,0,0.00048023051064511,0.00896430286537538,0.000640307347526813,0.00176084520569874,0,0,0.00208099887946214,0.0842004161997759,0,0.000960461021290219,0.258684168400832,0.00192092204258044,0.000320153673763406,0.153513686569553,0,0.000960461021290219,0,0,0.000800384184408516,0,0,0.00896430286537538,0.00048023051064511,0,0,0,0,0,0,0,0.00368176724827917
"40",1284,0.00688330398591324,0.00128061469505363,0.0116856090923643,0,0.00224107571634384,0.0241716023691372,0,0.00448215143268769,0,0.00448215143268769,0,0.438450456218985,0.00192092204258044,0.00256122939010725,0,0,0,0,0,0,0,0.00048023051064511,0,0.0216103729790299,0.00304145990075236,0.000160076836881703,0,0.00160076836881703,0.193372818953097,0.000320153673763406,0.0364975188090283,0.148871458299984,0.00320153673763406,0,0.0622698895469826,0,0,0,0,0,0,0,0.0289739074755883,0,0,0.00144069153193533,0,0,0,0,0,0
"41",1299,0,0,0.00291639662994167,0,0.000972132209980557,0.23201555411536,0,0.000972132209980557,0,0.00858716785482826,0,0,0.0139338950097213,0.00988334413480233,0,0,0,0,0,0,0,0.000324044069993519,0.0434219053791316,0,0.00275437459494491,0.000324044069993519,0,0.0016202203499676,0.274951393389501,0,0,0.317239144523655,0.0016202203499676,0.0356448476992871,0,0,0.000486066104990279,0.000972132209980557,0,0.0106934543097861,0,0,0.0136098509397278,0.0234931950745301,0,0,0,0,0.00307841866493843,0,0,0.000486066104990279
"42",1313,0,0.00225588140509185,0.00531743474057364,0,0.00193361263293587,0.000966806316467934,0,0,0,0,0.000322268772155978,0.345794392523364,0.00322268772155978,0.000966806316467934,0,0,0,0,0,0,0,0.00547856912665163,0.014663229133097,0.000966806316467934,0.0352884305510796,0.000483403158233967,0,0.00386722526587174,0.144054141153722,0.000161134386077989,0.00112794070254592,0.326780534966162,0.0088623912342894,0.0241701579116984,0.014179825974863,0,0.000483403158233967,0.0120850789558492,0,0.0201417982597486,0.0109571382533033,0,0.00628424105704157,0.000161134386077989,0,0,0,0,0,0.00902352562036739,0,0
"43",1316,0,0.000165755014089176,0.00364661030996188,0,0.00165755014089176,0.0069617105917454,0,0.00314934526769435,0,0.00182330515498094,0,0.492623901873032,0.0034808552958727,0.00298359025360517,0,0,0,0,0,0,0,0,0.00232057019724847,0,0.0170727664511851,0,0,0.00232057019724847,0.209845847836897,0,0.00132604011271341,0.131609481186806,0.00132604011271341,0.0896734626222443,0.0114370959721532,0,0,0,0,0.000994530084535057,0,0,0.0155809713243826,0,0,0,0,0,0,0,0,0
"44",1317,0.00407166123778502,0.00276872964169381,0.00716612377850163,0,0.00325732899022801,0.00570032573289902,0,0,0,0.000325732899022801,0.0193811074918567,0.297557003257329,0.00456026058631922,0.000651465798045603,0,0,0,0.00716612377850163,0,0,0.00325732899022801,0.00228013029315961,0.0213355048859935,0.00276872964169381,0.00749185667752443,0,0,0.00260586319218241,0.140390879478827,0,0.000488599348534202,0.261400651465798,0.0361563517915309,0.000977198697068404,0.148371335504886,0,0.000325732899022801,0.00814332247557003,0,0.00423452768729642,0.0011400651465798,0,0.00586319218241042,0.000162866449511401,0,0,0,0,0,0,0,0
"45",1331,0,0.00514634930845931,0.00578964297201673,0,0.00176905757478289,0.00112576391122547,0,0,0,0.000160823415889353,0.00160823415889353,0.237857832100354,0.0024123512383403,0.00112576391122547,0,0,0,0,0,0,0,0.000964940495336121,0.00402058539723384,0,0.00192988099067224,0,0,0.00225152782245095,0.0926342875522676,0.000321646831778707,0.000643293663557414,0.123029913155355,0.0184946928272757,0.0435831457060148,0.201190093277581,0,0,0,0,0.0020907044065616,0.249919588292055,0,0.00192988099067224,0,0,0,0,0,0,0,0,0
"46",1346,0.00720922781159885,0.0068888176866389,0.0648830503043896,0,0.00208266581223967,0.000160205062479974,0,0,0,0,0.00448574174943928,0.208907401473887,0.00336430631207946,0,0,0,0,0,0,0,0,0.000160205062479974,0.00128164049983979,0,0.000320410124959949,0,0,0.000801025312399872,0.0817045818647869,0,0,0.106856776674143,0.0176225568727972,0.0157000961230375,0.266581223966677,0,0,0.00240307593719962,0.000160205062479974,0.00176225568727972,0.198333867350208,0,0.00817045818647869,0,0,0,0,0,0,0.000160205062479974,0,0
"47",1347,0,0.0103342483449055,0.0167931535604715,0,0.00161472630389149,0.0177619893428064,0,0,0,0,0.00242208945583724,0.0834813499111901,0.0179234619731955,0.00339092523817213,0,0,0,0.00193767156466979,0,0,0,0,0.0238979492975941,0,0.0082351041498466,0,0,0.00209914419505894,0.0870337477797513,0,0,0.276118197965445,0.0363313418375585,0.0458582270305183,0.0870337477797513,0.000161472630389149,0.000161472630389149,0.00500565154206362,0,0.00758921362829001,0.261101243339254,0,0.00339092523817213,0.000322945260778298,0,0,0,0,0,0,0,0
"48",1370,0.00368353619474696,0,0.00144138372837924,0,0.000160153747597694,0.00176169122357463,0,0,0,0.000960922485586163,0.00480461242793081,0.195547725816784,0.00368353619474696,0.000960922485586163,0,0,0.0187379884689302,0,0,0,0.00288276745675849,0.000160153747597694,0.0025624599615631,0.000480461242793081,0,0,0,0.000320307495195388,0.105221012171685,0.000480461242793081,0,0.0498078155028828,0.00368353619474696,0.00192184497117233,0.0526905829596413,0,0,0,0,0.00448430493273543,0.535874439461883,0,0.00752722613709161,0,0,0,0,0,0,0,0.000160153747597694,0
