"","x"
"1","ob6"
"2","ob10"
"3","H2_53a"
"4","VAT"
"5","ob8"
"6","ob13"
"7","ob19"
"8","H2_52c"
"9","WHR"
"10","creatini"
"11","CDA_CD8"
