"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","CSGene","CellAge","SASAP","Synaptic_proteins"
"FAS","FAS",0.155604596149418,0.00438460178007597,0.0137849994251314,"group2-group1",NA,"yes",NA,"yes"
"FEN1","FEN1",0.545333220666691,0.000429488623819845,0.00164318749663012,"group2-group1",NA,"yes",NA,NA
"FGF2","FGF2",0.260415729086277,3.42038900810319e-07,1.99159304196925e-06,"group2-group1","yes","yes",NA,"yes"
"FGFR2","FGFR2",0.111051688007275,0.0106669506576427,0.029779844099608,"group2-group1","yes",NA,NA,NA
"FIS1","FIS1",1.00191158708675,4.84946170840352e-13,5.21138844619981e-12,"group2-group1","yes",NA,NA,"yes"
"FKBP5","FKBP5",1.55446124477975,2.23919249077806e-22,4.67511403610305e-20,"group2-group1",NA,"yes",NA,NA
"FN1","FN1",0.165491414393254,0.000856843795978434,0.00312288580504359,"group2-group1",NA,"yes",NA,NA
"FOXO1","FOXO1",0.528713054727677,6.98196203179925e-07,3.92466827287485e-06,"group2-group1","yes",NA,NA,NA
"FUS","FUS",0.20372753109948,0.00215554415333818,0.00731783456470095,"group2-group1",NA,"yes",NA,"yes"
"GAPDH","GAPDH",0.917236678508809,1.44153467265458e-10,1.21080627820958e-09,"group2-group1","yes",NA,NA,"yes"
"GDF15","GDF15",0.324352027530107,0.00087363354621941,0.00317615778059619,"group2-group1",NA,"yes",NA,NA
"GGCT","GGCT",0.756529984784495,1.76224334281754e-14,2.40702677152134e-13,"group2-group1",NA,"yes",NA,"yes"
"GLB1","GLB1",0.428469466517718,1.26084579285999e-06,6.87584375471969e-06,"group2-group1",NA,"yes",NA,NA
"GLRX","GLRX",0.544752189434502,2.22146158764395e-05,0.00010473116484973,"group2-group1",NA,"yes",NA,"yes"
"GPI","GPI",0.793757694224386,6.21144590749262e-14,7.6932442320343e-13,"group2-group1","yes",NA,NA,"yes"
"GUSB","GUSB",0.504034475609952,3.14287116645828e-05,0.000143093651394977,"group2-group1",NA,"yes",NA,NA
"HAGH","HAGH",0.66984679228577,4.01534202008913e-06,2.0518959308952e-05,"group2-group1",NA,"yes",NA,"yes"
"HBEGF","HBEGF",0.689516098779068,6.13303597391984e-14,7.62845283053945e-13,"group2-group1","yes",NA,NA,NA
"HEG1","HEG1",0.149131966426991,0.00216093341444452,0.0073276199192823,"group2-group1",NA,"yes",NA,NA
"HSPA1A","HSPA1A",0.812666167475487,1.37556741257524e-18,4.41844345819496e-17,"group2-group1","yes",NA,NA,"yes"
"HSPB1","HSPB1",1.43912198472968,2.05369372269188e-16,4.05604510231647e-15,"group2-group1","yes",NA,NA,"yes"
"ICAM1","ICAM1",0.169100761924537,0.00406543528312641,0.0129871774126541,"group2-group1",NA,"yes",NA,"yes"
"IGFBP7","IGFBP7",0.10551771565205,0.0166621963457383,0.043996025220048,"group2-group1","yes","yes","yes",NA
"INPP5D","INPP5D",0.458969834902802,5.83933865754989e-05,0.000256667472120576,"group2-group1",NA,"yes",NA,NA
"JPT2","JPT2",1.31322137728132,1.29289742578972e-20,1.07975405016667e-18,"group2-group1",NA,"yes",NA,NA
"KIF22","KIF22",0.650435543562332,8.85552807073643e-05,0.0003800985102902,"group2-group1",NA,"yes",NA,NA
"LBR","LBR",0.811417657932131,1.03956835401159e-11,9.55552924143356e-11,"group2-group1",NA,"yes",NA,NA
"LDLRAP1","LDLRAP1",0.839015149679963,4.29080653923877e-09,3.05158820296713e-08,"group2-group1","yes",NA,NA,NA
"LGALS9","LGALS9",0.215086563360601,0.000283708953370681,0.00111462536384745,"group2-group1","yes",NA,NA,NA
"LRPAP1","LRPAP1",0.242429767609502,0.00284635831870549,0.00942231638230594,"group2-group1",NA,"yes",NA,"yes"
"LXN","LXN",0.478353949239425,0.000805926980948021,0.0029631755538504,"group2-group1",NA,"yes",NA,NA
"LYAR","LYAR",0.33155778046224,0.0119415688311809,0.0328056444488175,"group2-group1",NA,"yes",NA,NA
"MAP2K1","MAP2K1",0.698417900266476,3.09575804783098e-11,2.70925172868562e-10,"group2-group1","yes",NA,NA,"yes"
"MAP2K6","MAP2K6",0.866670334688249,4.14001253203861e-13,4.53230585436286e-12,"group2-group1","yes",NA,NA,"yes"
"MAP3K5","MAP3K5",0.3918855406738,0.000368386523826266,0.00142621696575388,"group2-group1","yes",NA,NA,NA
"MAPK9","MAPK9",0.372601541095259,1.44102665880667e-08,9.85282320568413e-08,"group2-group1","yes",NA,NA,NA
"MAPKAPK2","MAPKAPK2",0.690308936696112,7.07699040757714e-09,4.94881410558564e-08,"group2-group1","yes",NA,NA,NA
