"","marker","slice"
"1",NA,NA
"2","MGLL",1
"3","LATS1",1
"4","MAVS",1
"5","IPCEF1",1
"6","EHBP1",1
"7","EBAG9",1
"8","HHEX",1
"9","STAMBP",1
"10","HDGFL2",1
"11","UBXN1",1
"12","FXN",1
"13","AXIN1",1
"14","BCL2L1",1
"15","MTDH",1
"16","MGMT",1
"17","ACADSB",1
"18","TMED8",1
"19","DAG1",1
"20","NIT2",1
"21","CLEC1B",1
"22","SNAP23",1
"23","SNAP29",1
"24","GMPR2",1
"25","L3HYPDH",1
"26","TBCA",1
"27","PPP1R9B",1
"28","DXO",1
"29","FKBP4",1
"30","GLRX5",1
"31","SERPINE2",1
"32","ALDH1A1",1
"33","METAP2",1
"34","EEF1D",1
"35","MESD",1
"36","RBPMS2",1
"37","PRDX5",1
"38","VAV3",1
"39","FAM13A",1
"40","PPME1",1
"41","MARS1",1
"42","EIF4E",1
"43","ITGB1BP2",1
"44","SYAP1",1
"45","FYB1",1
"46","TXLNA",1
"47","RILP",1
"48","TOMM20",1
"49","SCLY",1
"50","SHMT1",1
"51","APRT",1
"52","SRC",1
"53","CDKN2D",1
"54","PDCD5",1
"55","DCTN2",1
"56","MYDGF",1
"57","UBE2L6",1
"58","DOK2",1
"59","CLIP2",1
"60","NARS1",1
"61","SKAP2",1
"62","HCLS1",1
"63","IMPACT",1
"64","TWF2",1
"65","MSRA",1
"66","EIF4G1",1
"67","VASP",1
"68","HSPA1A",1
"69","CRKL",1
"70","HTRA2",1
"71","PTRHD1",1
"72","GGACT",1
"73","KIFBP",1
"74","RAB11FIP3",1
"75","NEXN",1
"76","DNAJB6",1
"77","CDC42BPB",1
"78","OTUD6B",1
"79","LZTFL1",1
"80","DTYMK",1
"81","Condition",1
"82","PEBP1",2
"83","IRAK4",2
"84","PTRHD1",2
"85","TXLNA",2
"86","ITGB1BP2",2
"87","GPI",2
"88","DXO",2
"89","CLEC1B",2
"90","STK4",2
"91","TWF2",2
"92","SNAP23",2
"93","VAV3",2
"94","MESD",2
"95","MAVS",2
"96","DNPH1",2
"97","CDKN1A",2
"98","DCTN1",2
"99","MTDH",2
"100","NIT2",2
"101","NT5C1A",2
"102","TTR",2
"103","TBCB",2
"104","CC2D1A",2
"105","YES1",2
"106","DNAJB6",2
"107","VASH1",2
"108","EHBP1",2
"109","RBKS",2
"110","NUDC",2
"111","ABHD14B",2
"112","IPCEF1",2
"113","HBEGF",2
"114","CDC26",2
"115","TJAP1",2
"116","DOK2",2
"117","PPME1",2
"118","CIRBP",2
"119","SUOX",2
"120","OTUD7B",2
"121","RHOC",2
"122","SCAMP3",2
"123","GZMH",2
"124","STAMBP",2
"125","USP8",2
"126","GCC1",2
"127","ENO1",2
"128","VTI1A",2
"129","GPD1",2
"130","MINK1",2
"131","CMC1",2
"132","FAM13A",2
"133","USO1",2
"134","CDC37",2
"135","MSRA",2
"136","EEF1D",2
"137","NARS1",2
"138","MTSS2",2
"139","SKAP2",2
"140","ERBIN",2
"141","GLRX5",2
"142","HNRNPK",2
"143","RILPL2",2
"144","HHEX",2
"145","CLIP2",2
"146","DECR1",2
"147","SLC9A3R1",2
"148","KIFBP",2
"149","MAP2K1",2
"150","GLOD4",2
"151","CETN3",2
"152","DAG1",2
"153","DAAM1",2
"154","DTYMK",2
"155","GMPR2",2
"156","ACADSB",2
"157","CRYBB1",2
"158","VPS53",2
"159","CDC42BPB",2
"160","CACYBP",2
"161","CDKN2D",2
"162","Condition",2
"163","PPME1",3
"164","BRAP",3
"165","NDUFB7",3
"166","HPSE",3
"167","MYDGF",3
"168","CDKN1A",3
"169","CD40",3
"170","CRYBB1",3
"171","TXLNA",3
"172","TMED8",3
"173","FXN",3
"174","CDC26",3
"175","DTD1",3
"176","CEP170",3
"177","KIFBP",3
"178","USP8",3
"179","LACTB2",3
"180","HARS1",3
"181","INPPL1",3
"182","CLIP2",3
"183","MAP4K5",3
"184","HSPA1A",3
"185","PDCD5",3
"186","TBCB",3
"187","METAP1D",3
"188","GMPR2",3
"189","MTDH",3
"190","ERP29",3
"191","NIT2",3
"192","SAMD9L",3
"193","STIP1",3
"194","CC2D1A",3
"195","SERPINE1",3
"196","PARK7",3
"197","NUDC",3
"198","ENO1",3
"199","QDPR",3
"200","IMPACT",3
"201","RILPL2",3
"202","TACC3",3
"203","DNPH1",3
"204","DIABLO",3
"205","CORO1A",3
"206","PCYT2",3
"207","APRT",3
"208","MPIG6B",3
"209","PPP1R12A",3
"210","ALDH1A1",3
"211","SLC9A3R1",3
"212","ACY1",3
"213","NSFL1C",3
"214","ITGB1BP2",3
"215","SRP14",3
"216","DCTN1",3
"217","PTRHD1",3
"218","DRG2",3
"219","TAB2",3
"220","PLPBP",3
"221","MGMT",3
"222","NUB1",3
"223","RAB11FIP3",3
"224","VPS53",3
"225","RGCC",3
"226","MSRA",3
"227","CLEC1B",3
"228","ACADSB",3
"229","FKBP4",3
"230","EIF2AK2",3
"231","PRKAR2A",3
"232","CDKN2D",3
"233","CACYBP",3
"234","NIT1",3
"235","METAP2",3
"236","EIF4G1",3
"237","PDLIM7",3
"238","KYAT1",3
"239","GZMH",3
"240","TJAP1",3
"241","EBAG9",3
"242","DAAM1",3
"243","GCC1",3
"244","SERPINE2",3
"245","RHOC",3
"246","Condition",3
"247","CLIP2",4
"248","NUDT16",4
"249","VTI1A",4
"250","SERPINE2",4
"251","MAPK9",4
"252","DOK2",4
"253","HHEX",4
"254","SAMD9L",4
"255","MAP2K1",4
"256","SYAP1",4
"257","NT5C",4
"258","NIT1",4
"259","RHOC",4
"260","CD69",4
"261","DNAJB6",4
"262","SNAP23",4
"263","STAMBP",4
"264","IST1",4
"265","TRIAP1",4
"266","RAB27B",4
"267","PARK7",4
"268","DECR1",4
"269","IPCEF1",4
"270","COMMD1",4
"271","EBAG9",4
"272","GZMH",4
"273","FAM13A",4
"274","VASP",4
"275","ACY1",4
"276","GPD1",4
"277","CDKN2D",4
"278","HNRNPK",4
"279","GGCT",4
"280","HPSE",4
"281","TBCA",4
"282","HSPA1A",4
"283","RGCC",4
"284","SPART",4
"285","MINK1",4
"286","MGMT",4
"287","ACADSB",4
"288","CIAPIN1",4
"289","GPI",4
"290","MGLL",4
"291","HSBP1",4
"292","SLC9A3R1",4
"293","EHBP1",4
"294","SNX9",4
"295","RILPL2",4
"296","MAP4K5",4
"297","NSFL1C",4
"298","SIRT2",4
"299","OTUD6B",4
"300","GGACT",4
"301","ABL1",4
"302","NARS1",4
"303","FKBP14",4
"304","SCAMP3",4
"305","PCYT2",4
"306","PDLIM5",4
"307","PEBP1",4
"308","MESD",4
"309","CIRBP",4
"310","ERBIN",4
"311","ATOX1",4
"312","L3HYPDH",4
"313","ITGB1BP2",4
"314","METAP2",4
"315","DCTN1",4
"316","DNAJA2",4
"317","TXN",4
"318","TMED8",4
"319","RAB11FIP3",4
"320","CDC42BPB",4
"321","CRKL",4
"322","Condition",4
"323","EEF1D",5
"324","SNAP29",5
"325","STAMBP",5
"326","STK4",5
"327","F11R",5
"328","AP3B1",5
"329","VASP",5
"330","BRAP",5
"331","OTUD7B",5
"332","DCTN2",5
"333","SERPINE1",5
"334","HPSE",5
"335","DOK2",5
"336","FABP5",5
"337","TWF2",5
"338","KYNU",5
"339","FKBP5",5
"340","PPP1R9B",5
"341","ERP29",5
"342","GCC1",5
"343","PRKAR2A",5
"344","MARS1",5
"345","PEBP1",5
"346","PRKG1",5
"347","SORD",5
"348","DXO",5
"349","HSPA1A",5
"350","VPS53",5
"351","LBR",5
"352","RAB11FIP3",5
"353","GZMH",5
"354","DNAJA2",5
"355","KYAT1",5
"356","CEP170",5
"357","TBCB",5
"358","NFU1",5
"359","GRAP2",5
"360","VTI1A",5
"361","CDC26",5
"362","PLPBP",5
"363","OTUD6B",5
"364","CETN3",5
"365","MYDGF",5
"366","IPCEF1",5
"367","RBPMS2",5
"368","DECR1",5
"369","VAV3",5
"370","ARHGEF12",5
"371","NUDC",5
"372","FYB1",5
"373","GGCT",5
"374","LATS1",5
"375","GPI",5
"376","HNRNPK",5
"377","MTDH",5
"378","NARS1",5
"379","CACYBP",5
"380","NUDT5",5
"381","DAAM1",5
"382","NAGK",5
"383","ERBIN",5
"384","SYAP1",5
"385","NIT2",5
"386","TRIAP1",5
"387","FKBP4",5
"388","YES1",5
"389","EHBP1",5
"390","GLOD4",5
"391","STX4",5
"392","DAB2",5
"393","MESD",5
"394","JPT2",5
"395","NT5C1A",5
"396","ARF6",5
"397","CDC42BPB",5
"398","TBC1D23",5
"399","VTA1",5
"400","CDKN2D",5
"401","CIAPIN1",5
"402","IL7",5
"403","ACADSB",5
"404","MSRA",5
"405","Condition",5
"406","HSBP1",6
"407","GCC1",6
"408","ATXN3",6
"409","NUDT5",6
"410","CMC1",6
"411","DCTN2",6
"412","VPS37A",6
"413","MGMT",6
"414","FXN",6
"415","RBPMS2",6
"416","LBR",6
"417","ATOX1",6
"418","L3HYPDH",6
"419","PSTPIP2",6
"420","FAM13A",6
"421","FADD",6
"422","CIAPIN1",6
"423","MESD",6
"424","ENO2",6
"425","SERPINE2",6
"426","NIT1",6
"427","NARS1",6
"428","HNRNPK",6
"429","TBCA",6
"430","DECR1",6
"431","MECR",6
"432","SERPINB1",6
"433","USO1",6
"434","PPP1R9B",6
"435","MED18",6
"436","DOK2",6
"437","DTYMK",6
"438","PTRHD1",6
"439","TTR",6
"440","AP3B1",6
"441","DAG1",6
"442","EEF1D",6
"443","ENO1",6
"444","DNAJB6",6
"445","HTRA2",6
"446","EIF4G1",6
"447","FKBP5",6
"448","COMMD1",6
"449","PPME1",6
"450","FYB1",6
"451","TOMM20",6
"452","NUDC",6
"453","GLOD4",6
"454","PARK7",6
"455","MTDH",6
"456","DIABLO",6
"457","ACADSB",6
"458","MGLL",6
"459","SNAP23",6
"460","VTA1",6
"461","RBKS",6
"462","CACYBP",6
"463","NIT2",6
"464","ARHGEF12",6
"465","NAGK",6
"466","F11R",6
"467","YES1",6
"468","METAP1D",6
"469","SAMD9L",6
"470","CORO1A",6
"471","VASH1",6
"472","TBCB",6
"473","ERP29",6
"474","NT5C3A",6
"475","DAB2",6
"476","CETN3",6
"477","TXLNA",6
"478","HSPA1A",6
"479","ERBIN",6
"480","CD69",6
"481","Condition",6
"482","NUDT5",7
"483","HBEGF",7
"484","EEF1D",7
"485","OTUD7B",7
"486","MAP2K1",7
"487","RBPMS2",7
"488","MAPK9",7
"489","HTRA2",7
"490","STX4",7
"491","ACADSB",7
"492","TOMM20",7
"493","GPD1",7
"494","PARK7",7
"495","RAB11FIP3",7
"496","ERP29",7
"497","SPART",7
"498","SCRN1",7
"499","SAMD9L",7
"500","IRAK4",7
"501","BRAP",7
"502","SHMT1",7
"503","DNAJA2",7
"504","GGCT",7
"505","USO1",7
"506","ENO2",7
"507","NAGK",7
"508","DAAM1",7
"509","LACTB2",7
"510","DNAJB6",7
"511","CLEC1B",7
"512","PTRHD1",7
"513","MAVS",7
"514","ABHD14B",7
"515","MGLL",7
"516","YARS1",7
"517","PRKAR2A",7
"518","METAP2",7
"519","L3HYPDH",7
"520","ENO1",7
"521","KYAT1",7
"522","PLPBP",7
"523","NT5C",7
"524","DCTN1",7
"525","MYDGF",7
"526","HSPA1A",7
"527","USP8",7
"528","NIT1",7
"529","METAP1D",7
"530","RWDD1",7
"531","NT5C1A",7
"532","DRG2",7
"533","SKAP2",7
"534","PDLIM5",7
"535","F11R",7
"536","CETN3",7
"537","CACYBP",7
"538","AXIN1",7
"539","TAB2",7
"540","SIRT2",7
"541","STAT5B",7
"542","NIT2",7
"543","HHEX",7
"544","RAB27B",7
"545","UBXN1",7
"546","SNAP23",7
"547","MARS1",7
"548","EIF4G1",7
"549","EBAG9",7
"550","CMC1",7
"551","DCTN2",7
"552","JPT2",7
"553","FKBP5",7
"554","MAP4K5",7
"555","MINK1",7
"556","CDC26",7
"557","SRC",7
"558","PPIB",7
"559","FABP5",7
"560","NEXN",7
"561","CASP3",7
"562","MGMT",7
"563","Condition",7
"564","PDLIM7",8
"565","CC2D1A",8
"566","UBXN1",8
"567","YES1",8
"568","ITGB1BP2",8
"569","MESD",8
"570","SCLY",8
"571","SERPINB1",8
"572","LZTFL1",8
"573","KYAT1",8
"574","MGLL",8
"575","NARS1",8
"576","ABL1",8
"577","ACY1",8
"578","SRC",8
"579","CLIP2",8
"580","CASP3",8
"581","ARF6",8
"582","HSPA1A",8
"583","STX4",8
"584","SIRT2",8
"585","LACTB2",8
"586","IL7",8
"587","PRKAR2A",8
"588","ERBIN",8
"589","DIABLO",8
"590","DBI",8
"591","CACYBP",8
"592","DNAJB6",8
"593","EEF1D",8
"594","TWF2",8
"595","OTUD6B",8
"596","RWDD1",8
"597","MTDH",8
"598","NUDT16",8
"599","AK1",8
"600","PPME1",8
"601","VTI1A",8
"602","BCL2L1",8
"603","NIT2",8
"604","MAP2K1",8
"605","DNAJA2",8
"606","IMPACT",8
"607","KIFBP",8
"608","PARK7",8
"609","ABHD14B",8
"610","STAT5B",8
"611","PPP1R9B",8
"612","USO1",8
"613","HTRA2",8
"614","NSFL1C",8
"615","NUDC",8
"616","HARS1",8
"617","HBEGF",8
"618","MAP4K5",8
"619","DOK2",8
"620","NT5C1A",8
"621","CETN3",8
"622","YARS1",8
"623","SYAP1",8
"624","FKBP4",8
"625","COMMD1",8
"626","GRHPR",8
"627","NUB1",8
"628","GGT1",8
"629","DRG2",8
"630","STIP1",8
"631","Condition",8
"632","PCYT2",9
"633","ARHGEF12",9
"634","TWF2",9
"635","FKBP4",9
"636","VASP",9
"637","ITGB1BP2",9
"638","NIT2",9
"639","MTSS2",9
"640","GPD1",9
"641","PDCD5",9
"642","RGCC",9
"643","TRIAP1",9
"644","YARS1",9
"645","ERP29",9
"646","KIFBP",9
"647","DBI",9
"648","KYAT1",9
"649","BCL2L1",9
"650","RBKS",9
"651","VTI1A",9
"652","MAP4K5",9
"653","PDLIM5",9
"654","VTA1",9
"655","DNPH1",9
"656","TOMM20",9
"657","NIT1",9
"658","ERBIN",9
"659","HARS1",9
"660","AP3B1",9
"661","PPME1",9
"662","PARK7",9
"663","AXIN1",9
"664","SIRT2",9
"665","SHMT1",9
"666","DTYMK",9
"667","FABP5",9
"668","PRDX5",9
"669","CC2D1A",9
"670","CASP3",9
"671","VASH1",9
"672","CIRBP",9
"673","SAMD9L",9
"674","GZMH",9
"675","OTUD7B",9
"676","PPP1R12A",9
"677","CMC1",9
"678","YES1",9
"679","SCLY",9
"680","USO1",9
"681","ABL1",9
"682","CDC26",9
"683","FKBP5",9
"684","CD69",9
"685","MGMT",9
"686","PDLIM7",9
"687","DOK2",9
"688","NARS1",9
"689","SCRN1",9
"690","DAAM1",9
"691","PPP1R9B",9
"692","LZTFL1",9
"693","SYAP1",9
"694","DIABLO",9
"695","RILPL2",9
"696","FXN",9
"697","COMMD1",9
"698","EBAG9",9
"699","DNAJB14",9
"700","MAP2K1",9
"701","NEXN",9
"702","MAPK9",9
"703","TBCB",9
"704","USP8",9
"705","GCC1",9
"706","Condition",9
"707","HBEGF",10
"708","CD40",10
"709","RBKS",10
"710","SNAP23",10
"711","GLOD4",10
"712","CDKN1A",10
"713","PRDX5",10
"714","TXLNA",10
"715","MINK1",10
"716","SERPINE2",10
"717","UBXN1",10
"718","BRAP",10
"719","METAP2",10
"720","CRYBB1",10
"721","VTA1",10
"722","RILPL2",10
"723","KIFBP",10
"724","STAT5B",10
"725","SH2D1A",10
"726","PDLIM7",10
"727","SCLY",10
"728","IRAK4",10
"729","GGACT",10
"730","MPI",10
"731","SERPINB1",10
"732","ITGB1BP2",10
"733","NSFL1C",10
"734","CIAPIN1",10
"735","BCL2L1",10
"736","NIT2",10
"737","OTUD6B",10
"738","PPME1",10
"739","CDC26",10
"740","PEBP1",10
"741","SLC9A3R1",10
"742","OTUD7B",10
"743","HTRA2",10
"744","ERP29",10
"745","DCTN2",10
"746","MGLL",10
"747","PCYT2",10
"748","NAGK",10
"749","PRKAR2A",10
"750","YARS1",10
"751","EEF1D",10
"752","MAP2K1",10
"753","DAG1",10
"754","MSRA",10
"755","CACYBP",10
"756","FADD",10
"757","RGCC",10
"758","AXIN1",10
"759","HCLS1",10
"760","PLPBP",10
"761","CMC1",10
"762","ALDH1A1",10
"763","LZTFL1",10
"764","SIRT2",10
"765","EIF4E",10
"766","IST1",10
"767","FAM13A",10
"768","SORD",10
"769","SKAP2",10
"770","KYAT1",10
"771","DNAJB6",10
"772","GGT1",10
"773","CD69",10
"774","TBCB",10
"775","CLIP2",10
"776","COMMD1",10
"777","GGCT",10
"778","Condition",10
"779","HTRA2",11
"780","EBAG9",11
"781","PPME1",11
"782","SIRT2",11
"783","DNAJB14",11
"784","VAV3",11
"785","EHBP1",11
"786","MARS1",11
"787","NAGK",11
"788","BCL2L1",11
"789","ARHGEF12",11
"790","MPIG6B",11
"791","HNRNPK",11
"792","SRC",11
"793","TOMM20",11
"794","IPCEF1",11
"795","DECR1",11
"796","MPI",11
"797","DBNL",11
"798","BRAP",11
"799","NUDT16",11
"800","TTR",11
"801","NCK2",11
"802","VTI1A",11
"803","CDKN1A",11
"804","RILPL2",11
"805","PLPBP",11
"806","SCAMP3",11
"807","HARS1",11
"808","GZMH",11
"809","CDC37",11
"810","MESD",11
"811","DTYMK",11
"812","MAPK9",11
"813","RGCC",11
"814","PTS",11
"815","ERP29",11
"816","RBPMS2",11
"817","IST1",11
"818","GMPR2",11
"819","MINK1",11
"820","FAM13A",11
"821","VASP",11
"822","STK4",11
"823","NT5C1A",11
"824","CACYBP",11
"825","EIF4G1",11
"826","CD69",11
"827","ERBIN",11
"828","SAMD9L",11
"829","SNAP29",11
"830","FABP5",11
"831","KYAT1",11
"832","TYMP",11
"833","VTA1",11
"834","DAAM1",11
"835","PDLIM5",11
"836","PRKAR2A",11
"837","DXO",11
"838","CETN3",11
"839","NUB1",11
"840","SKAP2",11
"841","LBR",11
"842","TWF2",11
"843","GPD1",11
"844","NUDT5",11
"845","GGACT",11
"846","DCTN2",11
"847","EIF4E",11
"848","MTDH",11
"849","SHMT1",11
"850","FADD",11
"851","GLOD4",11
"852","MSRA",11
"853","EEF1D",11
"854","PPIB",11
"855","MTSS1",11
"856","CORO1A",11
"857","DNAJA2",11
"858","AXIN1",11
"859","CDC26",11
"860","GGCT",11
"861","Condition",11
"862","FAM13A",12
"863","HTRA2",12
"864","PRKAR2A",12
"865","EIF4E",12
"866","DTD1",12
"867","PSTPIP2",12
"868","NEXN",12
"869","GOT1",12
"870","PRDX5",12
"871","PDGFA",12
"872","PPME1",12
"873","SNX15",12
"874","CDC37",12
"875","SCAMP3",12
"876","ARHGEF12",12
"877","SLC9A3R1",12
"878","DRG2",12
"879","UBE2L6",12
"880","GLOD4",12
"881","MTSS1",12
"882","PTS",12
"883","TBCB",12
"884","HSPA1A",12
"885","TXLNA",12
"886","STK4",12
"887","METAP1D",12
"888","CMC1",12
"889","CC2D1A",12
"890","FABP5",12
"891","HSBP1",12
"892","COMMD1",12
"893","RWDD1",12
"894","TACC3",12
"895","PEBP1",12
"896","MGLL",12
"897","CLEC1B",12
"898","QDPR",12
"899","ARF6",12
"900","VASH1",12
"901","OTUD6B",12
"902","TYMP",12
"903","NT5C",12
"904","OTUD7B",12
"905","DXO",12
"906","SPART",12
"907","SUOX",12
"908","STAMBP",12
"909","CRKL",12
"910","NDUFB7",12
"911","ABHD14B",12
"912","NSFL1C",12
"913","VPS37A",12
"914","HARS1",12
"915","NUDC",12
"916","ATOX1",12
"917","MDH1",12
"918","FKBP14",12
"919","RBKS",12
"920","ITGB1BP2",12
"921","GLA",12
"922","SERPINE1",12
"923","CAMSAP1",12
"924","DAB2",12
"925","TPR",12
"926","SKAP2",12
"927","MAP2K1",12
"928","EHBP1",12
"929","TWF2",12
"930","KYNU",12
"931","NCK2",12
"932","PDLIM5",12
"933","SRP14",12
"934","IL7",12
"935","SCRN1",12
"936","VASP",12
"937","TRIAP1",12
"938","DIABLO",12
"939","CRYBB1",12
"940","TJAP1",12
"941","RHOC",12
"942","MESD",12
"943","MTDH",12
"944","MAP4K5",12
"945","MAVS",12
"946","PTPN6",12
"947","CDC26",12
"948","CDKN2D",12
"949","STIP1",12
"950","SNAP23",12
"951","PPIB",12
"952","NUB1",12
"953","CD40",12
"954","AK1",12
"955","PDLIM7",12
"956","SRC",12
"957","Condition",12
"958","NUDC",13
"959","PLPBP",13
"960","BRAP",13
"961","GRHPR",13
"962","NT5C1A",13
"963","SHMT1",13
"964","HSPA1A",13
"965","CIRBP",13
"966","CDKN2D",13
"967","KIFBP",13
"968","HTRA2",13
"969","SERPINE1",13
"970","FXN",13
"971","HBEGF",13
"972","SNX9",13
"973","HHEX",13
"974","SKAP2",13
"975","OTUD6B",13
"976","CDC42BPB",13
"977","DNAJA2",13
"978","EHBP1",13
"979","SIRT2",13
"980","RILPL2",13
"981","TBCB",13
"982","L3HYPDH",13
"983","PPP1R12A",13
"984","ACY1",13
"985","MTDH",13
"986","TMED8",13
"987","NT5C",13
"988","CLEC1B",13
"989","STAT5B",13
"990","VASH1",13
"991","SNAP29",13
"992","RAB27B",13
"993","PPP1R9B",13
"994","TXLNA",13
"995","MAP2K1",13
"996","NSFL1C",13
"997","PCYT2",13
"998","CD69",13
"999","LATS1",13
"1000","DAG1",13
"1001","FKBP4",13
"1002","LBR",13
"1003","CLIP2",13
"1004","ARHGEF12",13
"1005","ENO2",13
"1006","MAPK9",13
"1007","SERPINE2",13
"1008","PEBP1",13
"1009","NAGK",13
"1010","IPCEF1",13
"1011","FADD",13
"1012","STIP1",13
"1013","ABL1",13
"1014","GPD1",13
"1015","EIF2AK2",13
"1016","DNAJB14",13
"1017","SRC",13
"1018","CRKL",13
"1019","GMPR2",13
"1020","CIAPIN1",13
"1021","EIF4G1",13
"1022","IST1",13
"1023","TWF2",13
"1024","NIT2",13
"1025","PARK7",13
"1026","SCAMP3",13
"1027","RHOC",13
"1028","CACYBP",13
"1029","GCC1",13
"1030","Condition",13
"1031","DRG2",14
"1032","EIF4G1",14
"1033","FAM13A",14
"1034","IFNL1",14
"1035","FKBP5",14
"1036","OTUD7B",14
"1037","MESD",14
"1038","PARK7",14
"1039","SKAP2",14
"1040","FABP5",14
"1041","STIP1",14
"1042","METAP1D",14
"1043","ATOX1",14
"1044","PTRHD1",14
"1045","LBR",14
"1046","USP8",14
"1047","GZMH",14
"1048","PRDX5",14
"1049","PRKAR2A",14
"1050","CDC26",14
"1051","SNX9",14
"1052","FXN",14
"1053","DNAJB14",14
"1054","NARS1",14
"1055","IRAK4",14
"1056","OTUD6B",14
"1057","TRIAP1",14
"1058","DAAM1",14
"1059","GPI",14
"1060","CD40",14
"1061","LZTFL1",14
"1062","DECR1",14
"1063","CIAPIN1",14
"1064","CDC37",14
"1065","CETN3",14
"1066","DCTN1",14
"1067","SAMD9L",14
"1068","NUDC",14
"1069","SCRN1",14
"1070","ACADSB",14
"1071","NAGK",14
"1072","VTI1A",14
"1073","VAV3",14
"1074","METAP2",14
"1075","ENO1",14
"1076","SERPINE2",14
"1077","DCTN2",14
"1078","JPT2",14
"1079","DAG1",14
"1080","NUDT5",14
"1081","KYAT1",14
"1082","SHMT1",14
"1083","SYAP1",14
"1084","NSFL1C",14
"1085","SPART",14
"1086","IST1",14
"1087","EIF4E",14
"1088","RAB27B",14
"1089","TOMM20",14
"1090","FKBP4",14
"1091","COMMD1",14
"1092","LACTB2",14
"1093","STX4",14
"1094","ABHD14B",14
"1095","DBNL",14
"1096","CRKL",14
"1097","MAP4K5",14
"1098","GGACT",14
"1099","LATS1",14
"1100","GCC1",14
"1101","DNAJA2",14
"1102","Condition",14
"1103","KYNU",15
"1104","TWF2",15
"1105","FAM13A",15
"1106","MAP4K5",15
"1107","RILP",15
"1108","ERP29",15
"1109","CDC42BPB",15
"1110","VASH1",15
"1111","ACY1",15
"1112","GLOD4",15
"1113","PRKAR2A",15
"1114","USP8",15
"1115","EBAG9",15
"1116","RAB11FIP3",15
"1117","KYAT1",15
"1118","HNRNPK",15
"1119","MESD",15
"1120","YES1",15
"1121","DNAJA2",15
"1122","SCRN1",15
"1123","EHBP1",15
"1124","NUDT5",15
"1125","CD40",15
"1126","SLC9A3R1",15
"1127","MAPK9",15
"1128","CDKN1A",15
"1129","GRHPR",15
"1130","HSPA1A",15
"1131","CACYBP",15
"1132","DNPH1",15
"1133","TAB2",15
"1134","LACTB2",15
"1135","HCLS1",15
"1136","EIF4G1",15
"1137","ABHD14B",15
"1138","TOMM20",15
"1139","CETN3",15
"1140","METAP2",15
"1141","STK4",15
"1142","LZTFL1",15
"1143","COMMD1",15
"1144","DTD1",15
"1145","CLEC1B",15
"1146","ATOX1",15
"1147","PEBP1",15
"1148","IRAK4",15
"1149","CDC26",15
"1150","FKBP5",15
"1151","SHMT1",15
"1152","SNX9",15
"1153","DOK2",15
"1154","UBXN1",15
"1155","BRAP",15
"1156","VAV3",15
"1157","SCAMP3",15
"1158","MGLL",15
"1159","GCC1",15
"1160","MSRA",15
"1161","SULT1A1",15
"1162","FXN",15
"1163","FYB1",15
"1164","RILPL2",15
"1165","MYDGF",15
"1166","JPT2",15
"1167","NEXN",15
"1168","Condition",15
"1169","GPI",16
"1170","LZTFL1",16
"1171","HCLS1",16
"1172","MTSS1",16
"1173","HNRNPK",16
"1174","SLC9A3R1",16
"1175","NFU1",16
"1176","DNPH1",16
"1177","DTD1",16
"1178","MAPK9",16
"1179","SNX9",16
"1180","NUDC",16
"1181","LARP1",16
"1182","RBPMS2",16
"1183","MARS1",16
"1184","VPS53",16
"1185","TXLNA",16
"1186","PPP1R9B",16
"1187","SYAP1",16
"1188","USP8",16
"1189","AK1",16
"1190","PARK7",16
"1191","INPPL1",16
"1192","F11R",16
"1193","ENO2",16
"1194","SUOX",16
"1195","TJAP1",16
"1196","CIRBP",16
"1197","DTYMK",16
"1198","STAMBP",16
"1199","GADD45GIP1",16
"1200","EIF2AK2",16
"1201","SERPINB1",16
"1202","SCAMP3",16
"1203","MPI",16
"1204","GOPC",16
"1205","GPD1",16
"1206","ENO1",16
"1207","MINK1",16
"1208","DCTN1",16
"1209","AXIN1",16
"1210","CDKN2D",16
"1211","NT5C",16
"1212","PPME1",16
"1213","MYDGF",16
"1214","DAAM1",16
"1215","BRAP",16
"1216","GRHPR",16
"1217","MANF",16
"1218","CASP3",16
"1219","SERPINE2",16
"1220","TACC3",16
"1221","KYNU",16
"1222","PPIB",16
"1223","GZMH",16
"1224","CLIP2",16
"1225","CRADD",16
"1226","OTUD7B",16
"1227","TYMP",16
"1228","SERPINE1",16
"1229","DIABLO",16
"1230","NUB1",16
"1231","PRKG1",16
"1232","UBXN1",16
"1233","FYB1",16
"1234","DAB2",16
"1235","SRP14",16
"1236","RILPL2",16
"1237","CDKN1A",16
"1238","HBEGF",16
"1239","GRAP2",16
"1240","PRKAR2A",16
"1241","MTIF3",16
"1242","NT5C1A",16
"1243","FXN",16
"1244","NUMB",16
"1245","HPSE",16
"1246","MTDH",16
"1247","DOK2",16
"1248","ACADSB",16
"1249","CMC1",16
"1250","MGLL",16
"1251","ARHGEF12",16
"1252","Condition",16
"1253","NUDT5",17
"1254","GGCT",17
"1255","CIRBP",17
"1256","JPT2",17
"1257","L3HYPDH",17
"1258","AP3B1",17
"1259","STK4",17
"1260","GPI",17
"1261","GGT1",17
"1262","GCC1",17
"1263","MAPK9",17
"1264","SNAP29",17
"1265","SNAP23",17
"1266","NARS1",17
"1267","MYDGF",17
"1268","NSFL1C",17
"1269","DTYMK",17
"1270","MAVS",17
"1271","ARF6",17
"1272","FKBP4",17
"1273","CRYBB1",17
"1274","CETN3",17
"1275","CDC37",17
"1276","CASP3",17
"1277","VAV3",17
