Cand_oes
Cand_other
Cervix_c
Cocci
Crypt
Cryptospo
CMV_ret
CMV_other
HSV
Encephal
Histopl
Isospo
Kapo
LID
Lymp_burk
Lymphom_immun
Lymphom_prim
MAC
MTB
Myco_other
PCP
PCP_rec
Toxo
Waste
Salm
Pneu_recur
Leuencp
