"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANG",0.232885443037975,0.214017613636364,2.6968017828723,0.00767661632655911,0.028730793242679,-3.59745716112063
"PPP1R12A",-0.817687130801688,0.663773295454545,-2.69557735202287,0.00770375055474294,0.0287954768177923,-3.60062657901534
"PBLD",-0.507861111111111,0.593140340909091,-2.69266040394984,0.00776874167998924,0.0290013179190403,-3.60817170878866
"TP53BP1",-0.43417623066104,-1.21088295454545,-2.6855520442057,0.00792919929534665,0.0295512189119527,-3.62652705313302
"ACVRL1",0.202595710267229,0.35858125,2.68524196227692,0.00793626645428768,0.0295512189119527,-3.62732673529664
"NCF2",-0.474117369901546,-2.59178920454545,-2.68137480071394,0.00802488308675734,0.0298431720898113,-3.6372927592042
"REG1A",0.489633263009845,0.738396022727273,2.67788068222789,0.00810571867628197,0.0301054837239799,-3.64628603482029
"CD99L2",-0.16056005625879,0.0709386363636364,-2.67529420049578,0.0081660289840349,0.0302909932999163,-3.65293624341357
"CXADR",0.376080872011252,0.6137125,2.67254661564486,0.00823053920198625,0.030444546619919,-3.65999418135645
"CDH1",0.227922855133615,0.154590340909091,2.67239551564977,0.0082341001658666,0.030444546619919,-3.66038212986279
"FKBP5",-0.765513994374121,0.963249431818182,-2.67220163577313,0.00823867135694696,0.030444546619919,-3.66087988588453
"VSIR",-0.334025457102673,0.318380681818182,-2.6714963422644,0.0082553196964916,0.0304675498394507,-3.66269033490146
"DGKZ",-0.311858931082982,0.291557954545455,-2.66844844117945,0.00832761451257822,0.0306956080961742,-3.67050905933082
"RABGAP1L",-0.46885253164557,0.929798295454546,-2.66769515595393,0.00834556989574986,0.0307230488731446,-3.67244017946047
"ATP5IF1",-0.917645147679325,1.78842159090909,-2.66525876517053,0.00840388336349875,0.0308988063792539,-3.67868266124455
"IL1R1",0.162139029535865,0.338673295454545,2.65863858993267,0.00856419365291448,0.0314435641385411,-3.6956181940042
"SNAP25",-0.282327285513362,0.136119318181818,-2.65825519548686,0.00857356162108015,0.0314435641385411,-3.69659779161759
"IL7",-0.50738670886076,0.0652051136363636,-2.65732515025584,0.0085963250087259,0.031449383277847,-3.6989735756248
"GCLM",-0.406565189873418,-0.0540346590909091,-2.65731120004497,0.00859666686246999,0.031449383277847,-3.69900920535012
"SHPK",-0.337188255977497,-0.0507142045454545,-2.65412698255583,0.00867501840661303,0.0316963485031624,-3.70713738230736
"ATP6V1G1",0.544237974683544,1.27932727272727,2.65277381206129,0.008708509255358,0.0317789919518245,-3.71058882256962
"FKBP14",-0.635332841068917,0.368422159090909,-2.64857817105909,0.00881309305110172,0.032108613221769,-3.72128002948986
"APOA2",0.369306891701829,-0.167290909090909,2.64827051947567,0.00882080616390028,0.032108613221769,-3.72206336319453
"MMP13",0.44137264416315,0.410926704545455,2.64708440314728,0.00885060016637692,0.0321403238192713,-3.72508263237969
"COL5A1",0.336685724331927,0.207613068181818,2.64704828033115,0.00885150895467444,0.0321403238192713,-3.72517456371662
"NAP1L4",-0.43474964838256,2.26140227272727,-2.6446197189225,0.00891280056386304,0.0323227246255232,-3.73135251252086
"LBR",-0.506650773558369,0.153710227272727,-2.64174417118542,0.00898586726482518,0.0325185616897646,-3.73866076504439
"MINK1",-0.92825541490858,0.423890909090909,-2.64161933057508,0.00898905160633931,0.0325185616897646,-3.73897788319643
"ROBO1",0.178339592123769,0.0680392045454545,2.63734609315349,0.00909866476010203,0.0328744092630139,-3.74982434564757
"BCL2L1",-0.758927707454291,1.34144545454545,-2.62447009197013,0.0094362612721556,0.03405208851668,-3.78240847600312
"VEGFD",0.332238396624473,0.147876136363636,2.62281165114992,0.0094805533955972,0.0341697380706913,-3.78659462383889
"EFCAB2",-0.248852953586498,0.41723125,-2.6190927208689,0.00958055567628443,0.0344876406918465,-3.7959728522127
"MB",0.465614064697609,0.41625,2.61763310959912,0.00962006320596813,0.0345872629164143,-3.79965026970697
"CHM",-0.425072644163151,0.05365625,-2.61686312165492,0.00964096355506479,0.0346198236750054,-3.80158945170385
"SPTBN2",-0.29973488045007,0.516942045454545,-2.61374067366825,0.00972613751846962,0.0348828220447689,-3.80944779449456
"MMUT",-0.392850843881857,0.15384375,-2.61198645265593,0.00977428523763441,0.0350125438107909,-3.81385887768014
"CSF1",0.222359493670886,-0.113131818181818,2.60804929186126,0.00988312838793202,0.0353590994833847,-3.82374910178363
"CXCL3",-1.1921370604782,0.320497159090909,-2.60575830133994,0.00994696306613996,0.0355439768243608,-3.82949775869786
"IL6ST",0.124040084388186,0.3319375,2.60103200296002,0.0100798251346405,0.0359747605232651,-3.84134242248942
"ADGRE2",0.22381511954993,0.355747159090909,2.59643955427654,0.0102104489678724,0.0363773235017571,-3.85283256813695
"SERPINA6",0.12668417721519,0.291827840909091,2.59619279919114,0.0102175102959092,0.0363773235017571,-3.85344940833089
"ACY3",0.514790506329114,0.467291477272727,2.59443206440242,0.0102680241819245,0.0365126942624883,-3.85784933001556
"MNDA",-0.545223699015471,-1.41272329545455,-2.58398921494486,0.010572254115165,0.0375488442024631,-3.88388824417717
"CAMLG",-0.534345921237694,-0.0237857954545455,-2.58054938396262,0.0106742222275763,0.0378649897708805,-3.89244404133054
"CFP",0.165273206751055,0.239736931818182,2.5791487979928,0.0107159923201294,0.0379670855172584,-3.89592465339534
"ABO",-1.08368122362869,-0.145683522727273,-2.57741801854473,0.0107678123020074,0.0380709051005144,-3.9002234126958
"RABEPK",-0.311721659634318,0.242453409090909,-2.5773003323159,0.0107713440020956,0.0380709051005144,-3.90051561434726
"AGR2",-0.590134458509142,1.13985909090909,-2.57537543014539,0.0108292568680712,0.0382088826068329,-3.90529317343516
"DEFB4A_DEFB4B",0.932991490857947,0.762860795454545,2.57498745149342,0.0108409633894296,0.0382088826068329,-3.90625572590899
"RAPGEF2",-0.383120042194093,0.439546022727273,-2.57429671416185,0.0108618331594545,0.0382088826068329,-3.90796907219154
"ERVV.1",-0.347105555555556,-0.208000568181818,-2.57426907516954,0.0108626689860685,0.0382088826068329,-3.90803762073448
"CASP10",-0.462373488045007,-0.116463068181818,-2.57367539082367,0.0108806364295958,0.0382260820717652,-3.90950987563828
"RGS10",-0.571695850914206,0.975661931818182,-2.57312600892255,0.0108972868157404,0.0382386186823638,-3.91087198604648
"EZR",0.191303094233474,0.267210227272727,2.56772233751846,0.0110622795339945,0.0387434885454618,-3.92425520753129
"EGLN1",-0.336849156118143,-1.12286534090909,-2.56754686529003,0.011067674627253,0.0387434885454618,-3.92468936037144
"B4GALT1",0.219485021097046,0.477221022727273,2.56672063737623,0.0110931096391776,0.0387860759274115,-3.92673324092026
"IFIT3",-0.220329254571027,-0.331451136363636,-2.56470920919657,0.0111552494972847,0.0389567434654278,-3.93170645778398
"RUVBL1",-0.641777074542897,0.107964772727273,-2.56131243809313,0.0112608954481942,0.0392787558413742,-3.94009669360574
"DAG1",-0.252743108298172,0.429177840909091,-2.55972516515304,0.0113105690790435,0.0394049981144747,-3.94401381831709
"NHLRC3",-0.212490506329114,0.673841477272727,-2.55899703416476,0.0113334214785346,0.0394376083116151,-3.94580996994092
"SORT1",-0.231818495077356,-0.0891653409090909,-2.55232991318633,0.0115445991135383,0.0401246887144738,-3.96223434603516
"XCL1",0.331839521800281,0.6399625,2.54840767382965,0.0116704728407284,0.0405140048853313,-3.971878148121
"CXCL14",-0.503022362869199,1.44998977272727,-2.54555647846762,0.0117627435347035,0.0407858829797608,-3.97887987477661
"HNMT",0.443343037974683,0.461301136363636,2.54493760830704,0.0117828574623099,0.0408072184387819,-3.98039868250767
"MRI1",-0.438663009845288,0.633311363636364,-2.54048726502683,0.0119284065728267,0.041256874343228,-3.99131044108578
"MME",0.550520182841069,0.512289204545455,2.539728137742,0.0119533938119835,0.041256874343228,-3.99316996701612
"MILR1",-0.416514345991562,0.616417045454545,-2.53967827248674,0.0119550368007917,0.041256874343228,-3.99329209674984
"IL17D",-0.335412658227848,0.714090909090909,-2.53857660116284,0.0119913868381795,0.0413335185471681,-3.99598973616459
"NUCB2",0.201844725738396,0.409118181818182,2.53635030162894,0.0120651461246421,0.041538777529245,-4.00143790863985
"TIMP3",-0.474381153305204,0.288779545454545,-2.53262905541792,0.0121893401348035,0.0419169896635656,-4.01053457533186
"CEACAM18",-0.420810618846695,-0.343617613636364,-2.53099947292807,0.0122440850789039,0.042055770488409,-4.01451421554621
"CEMIP2",0.228432067510548,0.398386363636364,2.52751515167539,0.0123618766188161,0.0424105227192481,-4.0230153644349
"PER3",-0.685792194092827,0.777628977272727,-2.52532937558211,0.0124362850065653,0.0426157808607156,-4.02834272577853
"YWHAQ",-0.439335021097047,1.20446363636364,-2.52337053173908,0.0125033077479967,0.0427952793295015,-4.03311334595118
"CSF3",0.349042123769339,0.312633522727273,2.51706792538866,0.0127211481893038,0.0434899604179357,-4.04843951316485
"CSNK1D",-0.508201125175809,0.361029545454545,-2.51617474294434,0.0127522922691248,0.0435455026900138,-4.05060859672389
"RETN",-0.274767229254571,0.351478409090909,-2.5145552827991,0.0128089342769196,0.0436878820203454,-4.05453961048454
"SLAMF8",0.381850843881857,0.33333125,2.51120987095644,0.0129266543824618,0.0440380078787131,-4.06265267239855
"L3HYPDH",-0.521432700421941,0.849678977272727,-2.5100992956419,0.0129659467530794,0.0441204451213632,-4.06534374025814
"CPM",0.321346202531646,0.49903125,2.50961818485018,0.012983001597919,0.0441271089194388,-4.06650919003131
"SERPINF2",0.109465893108298,0.131598295454545,2.50917087347005,0.01299887624059,0.0441297505821657,-4.06759257704997
"ECI2",-0.474679254571027,0.504711931818182,-2.50600424175171,0.0131117529209208,0.0444613152991318,-4.07525700920569
"CLEC4G",-0.222841279887483,0.30764375,-2.50248680873188,0.0132381581932862,0.0448379332548963,-4.08375994617495
"DNAJB1",-0.658893670886077,2.31279318181818,-2.50159380517424,0.0132704223238755,0.0448951903387594,-4.08591689585649
"BRDT",-0.290601547116737,0.278207954545455,-2.50003290154185,0.0133269860123153,0.0450344278774537,-4.08968536111726
"RRAS",-0.597893952180029,0.750743181818182,-2.49591049472017,0.013477407571393,0.0454901412600253,-4.09962748889834
"BMP6",-0.881623066104079,-0.250918181818182,-2.49120003702042,0.013651136953233,0.0459889293067277,-4.11096912235609
"CCL2",0.236679957805907,0.590657386363636,2.49105140892058,0.0136566509196851,0.0459889293067277,-4.1113266576698
"BAG3",-0.392419549929677,0.371842045454545,-2.48602148036952,0.0138444302204784,0.0465676289234272,-4.12341478163715
"PDAP1",-0.772102742616034,0.314578977272727,-2.48520507942271,0.0138751243468236,0.0466172281215694,-4.12537464056095
"COL4A4",0.45180576652602,0.185026136363636,2.47851710612959,0.0141288611661859,0.0474152252454205,-4.14140724770907
"ANXA4",-0.419202461322082,0.0861982954545455,-2.47548386289299,0.014245295209723,0.0477511443784637,-4.14866534782754
"NID2",-0.261610196905767,0.130117613636364,-2.47498019941286,0.0142647112607628,0.0477614559166206,-4.14986973712222
"CST5",0.394913080168776,0.108990909090909,2.47229279026101,0.0143687084356537,0.0480546164272492,-4.15629216151427
"TREH",0.645699507735584,0.363917613636364,2.46780466340825,0.0145438939187309,0.0485684142859387,-4.16700346325168
"SNX5",-0.163595780590717,0.156252272727273,-2.46729447629798,0.0145639278319348,0.0485684142859387,-4.16821991927118
"CNPY4",-0.40749964838256,0.689665340909091,-2.46708435700309,0.0145721858805228,0.0485684142859387,-4.16872084542821
"TMEM25",-0.343968073136428,-0.210978409090909,-2.46630829641101,0.0146027224891734,0.0486147583551865,-4.17057063531419
"MCFD2",-0.254233755274262,0.565584090909091,-2.46558456673387,0.0146312512223938,0.048654320048984,-4.17229520172356
"CXCL10",0.411324050632912,-0.106343181818182,2.46425071630891,0.0146839601728406,0.0487741086195604,-4.17547237970174
"COX6B1",-0.239864416315049,0.244622727272727,-2.46300999062055,0.014733140626709,0.0488819183335648,-4.17842629779594
"SLAMF1",0.260056891701828,0.438682386363636,2.45645895195429,0.0149952488031776,0.0496951386073561,-4.1939999775121
"MYOM2",0.426600492264416,-0.0985846590909091,2.4547281409784,0.0150651870577201,0.0498445583902498,-4.198108139329
"CST6",-0.319932841068918,0.627165340909091,-2.45449967415933,0.0150744405121385,0.0498445583902498,-4.19865021412971
"TNFRSF4",0.226881786216596,0.347633522727273,2.45306204195421,0.0151327839849767,0.0499809351277817,-4.20206015001027
