"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GMPR2",-0.656175738396626,1.79691647727273,-3.19827150865638,0.00163790990045866,0.00792650768053091,-2.18975101759738
"GP1BA",-0.261992967651196,0.142229545454545,-3.18244121955944,0.00172494155044025,0.00833389116022618,-2.23748020475844
"PDLIM7",-1.06054887482419,0.871660795454545,-3.18090296017985,0.00173362334554857,0.00835186995325251,-2.2421068928691
"ANKRD54",-0.470300281293953,1.2220875,-3.18076969731,0.00173437737311812,0.00835186995325251,-2.24250761942904
"FBP1",0.862804149085795,0.0582017045454545,3.17919059237432,0.00174333544325267,0.00838119983655848,-2.24725490929305
"OXCT1",-0.382175457102673,0.509505113636364,-3.1766581510406,0.00175779129366735,0.00843682093824249,-2.25486384301472
"SNAP29",-0.960320042194093,1.20067784090909,-3.17202962320383,0.00178449973343174,0.00855097167347699,-2.2687566748
"ITIH4",0.313601406469761,0.208884090909091,3.16655532725582,0.00181657400249559,0.00868241215747876,-2.28516481312895
"MYO9B",-0.592113502109705,-0.0140897727272727,-3.16633589113302,0.00181787076304379,0.00868241215747876,-2.28582200320126
"LPL",-0.574721097046414,0.524823863636364,-3.16480384641361,0.00182694833145973,0.00871153339780877,-2.29040919745183
"STIP1",-0.527164627285514,1.65537215909091,-3.16134275210751,0.00184761063082601,0.00879124097956899,-2.30076499040148
"GGH",0.306933052039381,0.143747727272727,3.16099817708624,0.00184967950818848,0.00879124097956899,-2.3017954251182
"SORCS2",-0.404183333333333,0.477686931818182,-3.15693719162017,0.00187422449249909,0.00889343862268643,-2.31393204901454
"CHCHD10",0.384658016877637,0.549084659090909,3.1473167105709,0.00193358059075273,0.00915653739856041,-2.34262812747305
"NDRG1",-0.621334458509142,0.04335,-3.14694065758859,0.00193593572094093,0.00915653739856041,-2.34374823366716
"ICAM1",0.269571518987342,0.231901704545455,3.14332597133912,0.00195870949811349,0.00924928572372492,-2.35450878816116
"ENSA",-0.504932208157525,0.604986363636364,-3.14005117132802,0.00197955576305863,0.00933264757325869,-2.36424799301136
"CCL16",0.502809845288326,0.086125,3.13654635197921,0.00200209363833032,0.00942370322840505,-2.3746612179795
"CTSZ",0.336830168776371,0.293148295454545,3.1299895903169,0.00204489610218408,0.00960969663454028,-2.39411419092971
"DAPP1",-1.55224156118143,1.43159375,-3.12665819223877,0.002066966347961,0.0096978212441252,-2.40398402080351
"SPP1",-0.681712869198312,0.0946244318181818,-3.12411983563174,0.00208393045328478,0.00976174473549904,-2.41149801835635
"VAMP8",-0.6108,0.623368181818182,-3.11951250019041,0.00211505120089068,0.00989167145632552,-2.42512261542144
"SLA2",-0.990660196905767,1.16517954545455,-3.1182001882665,0.00212399368002652,0.00991762544204075,-2.4290000292606
"TNFRSF13B",0.29286188466948,0.170204545454545,3.11232739558121,0.0021644425825951,0.0100903758675048,-2.44633413984149
"EDNRB",-0.497188959212377,0.0117710227272727,-3.11010837497392,0.00217991061205646,0.0101463036927405,-2.45287617330308
"GGCT",-0.491647116736991,1.01117386363636,-3.10952421633864,0.00218399953816384,0.0101491743244084,-2.45459767292559
"NCAN",-0.356723699015471,0.00194829545454546,-3.10812458284964,0.00219382539188281,0.0101786533658309,-2.45872117616476
"SDC1",0.345359493670886,0.571188636363636,3.10288445897949,0.00223097665308207,0.0103346192661789,-2.47414449329653
"ACOT13",-1.15057039381153,1.75529602272727,-3.10099228460317,0.00224453399338406,0.0103809697194013,-2.47970802021226
"PSMG3",-0.502136568213784,2.14927386363636,-3.10019731514262,0.00225025259018782,0.0103909768106145,-2.48204454735447
"FYB1",-1.05382855133615,0.236571590909091,-3.09383310591549,0.00229652100866234,0.0105879036408833,-2.50073049150468
"DNAJC9",-0.728404641350213,2.35645795454545,-3.0898767610537,0.00232572533569484,0.0107056616633638,-2.51232935027613
"HTRA2",-0.455202461322082,0.546980113636364,-3.08886791020619,0.00233322699880086,0.0107233058451178,-2.51528487877584
"LACTB2",-0.513885232067511,0.835854545454545,-3.08819212674468,0.00233826451385358,0.0107295874003046,-2.51726416909893
"FES",-0.442902250351618,0.604555681818182,-3.07595345417982,0.00243125137068581,0.0111387895870135,-2.55304253616452
"DDC",0.580568213783404,0.989336363636364,3.07107175659147,0.00246928458347379,0.0112940372728725,-2.5672780329751
"FKBP7",-0.354227004219409,-0.194515909090909,-3.07061580104923,0.00247286481513458,0.0112940372728725,-2.56860660589605
"BGLAP",0.938372995780591,-0.776263636363636,3.06819348019684,0.002491965691673,0.0113635190589082,-2.57566184408375
"DRG2",-0.39719964838256,0.496511931818182,-3.06743439073689,0.00249797934134431,0.0113731987768682,-2.57787173436994
"NOS1",0.545809774964838,0.443699431818182,3.06051779104657,0.00255339396784038,0.0116074192348327,-2.59798496560609
"DNM3",-0.416912728551336,0.322148295454545,-3.05640521496005,0.00258687847100652,0.0117413754204224,-2.60992484426259
"GRIN2B",-0.365762165963432,-0.0353102272727273,-3.05218334917553,0.00262167360349264,0.0118808557255953,-2.62216700105647
"EPHB4",0.208719127988748,0.234878409090909,3.04598816317031,0.00267351378903345,0.0120970291104408,-2.6401036419258
"PMVK",-1.49822067510548,1.77908977272727,-3.04338098076061,0.00269561135058287,0.012178163798692,-2.64764229445792
"GMPR",-0.520290787623066,2.60775965909091,-3.04187473070526,0.00270845438157506,0.0122173027119504,-2.65199495968462
"CACNB3",-0.747689873417722,0.456628409090909,-3.04135847288542,0.00271286920875428,0.0122183616289503,-2.65348636226619
"CNTN5",-0.313116244725739,0.300090340909091,-3.03722796630421,0.00274843110528573,0.0123594832626926,-2.66541065995521
"LAMP2",0.179664416315049,0.297384090909091,3.03661308502766,0.00275376154400935,0.0123644316330865,-2.66718450384276
"CDKL5",-0.502607946554149,0.23635625,-3.03577665204503,0.00276102791620429,0.0123780438635968,-2.66959697330491
"CSPG5",-0.581251406469761,0.340739204545455,-3.03438654366957,0.00277314333183223,0.0124133199983853,-2.67360504897
"ADAM12",-0.308376511954993,-0.151860227272727,-3.03199453359238,0.00279410545770072,0.0124880279095706,-2.68049802048267
"GNAS",-0.415095288326301,-0.09928125,-3.02810577066067,0.00282849592035035,0.0126224329392123,-2.69169368090897
"CDH23",-0.258794725738397,0.57655625,-3.02631361088737,0.00284447581430539,0.0126663666015762,-2.69684891059758
"CFD",0.174956680731364,0.245852272727273,3.02603053359614,0.00284700747767209,0.0126663666015762,-2.69766294390186
"C2CD2L",0.334267791842475,0.484859090909091,3.02141567158416,0.00288857355484628,0.0128317636790512,-2.71092402713671
"PDGFA",-0.789964345991561,-0.874989204545455,-3.01936488440645,0.00290722368384515,0.0128950149133223,-2.71681123245408
"HARS1",-0.522879887482419,0.602840909090909,-3.01873144113023,0.00291300666615635,0.0129010886139015,-2.71862893290236
"CCN1",0.388894022503516,0.717659659090909,3.01653792954624,0.00293311410897537,0.0129704879584493,-2.72492067848903
"STX7",-0.455496132208157,-1.70298352272727,-3.01331477872312,0.00296289185571714,0.0130823759732042,-2.7341583012637
"PAM",0.212741139240506,0.267733522727273,3.01050918620689,0.00298903809519262,0.0131779160667391,-2.74219194163848
"SERPINA11",-0.379094374120956,0.106648863636364,-3.00970968599337,0.00299652767205478,0.0131910397370725,-2.74448002509627
"CD82",-0.338964486638537,0.176780113636364,-3.0060165872637,0.00303134855933989,0.0133242584044368,-2.75504215969654
"CREBZF",-0.370654219409283,0.203536931818182,-3.00348819495145,0.00305540207357312,0.0133917004293414,-2.76226652602041
"BNIP2",-0.336525246132208,-0.0236301136363636,-3.00344076053357,0.00305585500731124,0.0133917004293414,-2.76240200778658
"HMGCL",-0.465031153305204,0.131323295454545,-3.00258574629537,0.00306402981826542,0.0134074238904039,-2.76484376079414
"FXYD5",-0.548625879043601,0.452611363636364,-3.00101286976366,0.00307912067841476,0.0134533180015043,-2.7693339488512
"IGHMBP2",-0.447616455696203,0.1560125,-2.99910118838938,0.00309755418982047,0.0135136580549929,-2.77478848481098
"HS1BP3",-0.594276300984529,0.151963068181818,-2.99685865677,0.0031193072562925,0.0135665921902908,-2.78118302514208
"FCAMR",0.686273769338959,0.341975568181818,2.9967549543875,0.00312031658257195,0.0135665921902908,-2.78147862623028
"POMC",-0.661736497890296,-0.0977755681818182,-2.99641663085101,0.00312361154432627,0.0135665921902908,-2.7824429449237
"IL11",0.637814345991561,0.8091,2.9954761651846,0.00313278763242958,0.0135824251493048,-2.7851230241781
"HLA.E",0.209107735583685,0.494527272727273,2.99509124221682,0.00313655045356851,0.0135824251493048,-2.78621973407776
"LILRA3",0.901376793248946,-0.311726136363636,2.99363472511205,0.00315082629947287,0.0136240610552651,-2.79036844290697
"MAP2K1",-0.504300914205345,0.206614204545455,-2.99235625786799,0.00316340621352852,0.0136582516427531,-2.79400849679428
"B2M",0.269530239099859,0.667809090909091,2.98706507213341,0.00321596311237637,0.0138646905272509,-2.80905863341488
"IGLC2",0.189856610407876,0.156900568181818,2.98291816855462,0.00325771354175362,0.0140083009991144,-2.82083717573042
"CLIC5",0.300133966244726,-0.0528948863636364,2.9828050904607,0.00325885893923975,0.0140083009991144,-2.82115814683985
"CDKN2D",-1.08364163150492,0.595140909090909,-2.9756179524882,0.00333242301972131,0.0143034838276731,-2.84153620347723
"CD8A",0.450167651195499,1.1262,2.9736095364533,0.00335325114970575,0.0143717787545307,-2.84722282123354
"TPMT",-0.612884036568214,0.877752840909091,-2.97217749923605,0.00336817492187908,0.0144146051195498,-2.85127536275477
"BRD1",-0.312917369901547,0.170574431818182,-2.97160499136638,0.00337415827817627,0.0144191003612708,-2.85289501652924
"CETN2",-0.750720534458508,-1.59460340909091,-2.96941002848341,0.00339718868234172,0.0144963248445034,-2.85910206256874
"B3GNT7",0.309458087201125,0.534203409090909,2.96578192817292,0.00343557277171505,0.0146387452065934,-2.86935272214864
"ATOX1",-0.611388396624473,0.868873295454546,-2.96295060808358,0.00346580332092801,0.0147460598356224,-2.87734431976874
"TFPI2",0.292260900140647,0.0625261363636364,2.95898915765826,0.00350851036634749,0.014906069477956,-2.88851419402571
"CDH17",0.527803375527426,0.138356818181818,2.95769707829866,0.00352254393415566,0.0149439708556415,-2.89215447037999
"CCL14",0.254186708860759,0.821290340909091,2.95455727970133,0.0035568609208388,0.0150676876400171,-2.9009944717176
"FGF5",-0.325333333333333,-0.760177272727273,-2.9525151796631,0.00357934474772989,0.0151409908793263,-2.90673937522677
"CABP2",-0.621569760900141,0.0331943181818182,-2.94933937930366,0.00361456993886371,0.0152679016348246,-2.91566649446811
"CAPG",0.473372081575247,-1.06516875,2.94669184098638,0.00364417849213366,0.0153707557467629,-2.92310202657541
"MIF",-0.62308382559775,1.30272954545455,-2.94352918651471,0.00367983928301091,0.0154988043576958,-2.9319763165907
"METAP2",-0.6111176511955,0.993110795454546,-2.94278693692005,0.00368825481185775,0.0155118975756262,-2.93405779001625
"HDGF",-0.892668987341772,1.41497670454545,-2.93494332115745,0.00377826942796446,0.015867645887845,-2.95602437949061
"VGF",-0.270599507735584,0.507919886363636,-2.927212740191,0.00386895277463821,0.0162251778483034,-2.97762238775487
"CXCL6",0.499665963431786,1.37321931818182,2.9233569856669,0.00391492396637894,0.0163944452059106,-2.98837543556812
"PPP2R5A",-0.974837130801688,0.318545454545455,-2.92281869356496,0.00392138153796109,0.0163979946143924,-2.98987561826697
"VASP",-0.599153094233474,0.678651704545455,-2.92164876012871,0.00393545019371269,0.0164333155946031,-2.99313527695467
"KAZALD1",-0.340656891701829,0.354610795454545,-2.92078511484584,0.00394586532160345,0.0164533014765291,-2.99554079834987
"CELA3A",-0.413473699015471,0.412652272727273,-2.91791414592413,0.0039806694581907,0.0165747818038339,-3.00353270260237
"AMPD3",-0.536419549929676,2.51341931818182,-2.91223941399241,0.00405029124604767,0.0168406846546193,-3.01930844040193
"TNFRSF6B",0.470390857946554,0.0673715909090909,2.91024567441351,0.00407501531995042,0.0169194173014419,-3.02484441068334
"ATF4",-0.287528481012658,0.378027840909091,-2.90968339834824,0.00408201295350143,0.0169244310114676,-3.02640504710736
"COL6A3",0.284833755274262,0.194236363636364,2.90829404607646,0.00409935089764565,0.0169722417476179,-3.03026011672219
"DAPK2",-0.492266174402249,-1.67150965909091,-2.90598997486973,0.00412825238302057,0.0170677251988248,-3.03664959267505
"RBP5",0.46533199718706,0.828180113636364,2.90229822113366,0.00417494942860835,0.0172209336191468,-3.04687769334876
"PFDN2",-0.415787271448664,0.545214204545455,-2.90212968842977,0.00417709269106228,0.0172209336191468,-3.04734433566582
"SIL1",0.337448734177215,-0.877963068181818,2.90159542608117,0.00418389366227965,0.0172246777110471,-3.04882346692539
"BOLA1",-0.417998523206751,0.262284659090909,-2.90021594720086,0.00420150081534979,0.0172728366853269,-3.05264147679407
"TST",-0.45573312236287,0.481692613636364,-2.89824255822858,0.00422680627050147,0.0173524645065671,-3.05810039431308
"ADD1",-0.633133192686358,2.24645795454545,-2.89637666976327,0.0042508613601886,0.0174267429955558,-3.06325883058307
"TNFRSF9",0.316660126582279,0.344274431818182,2.89174153317095,0.00431116050419056,0.0176273504238861,-3.07606006174685
"MFAP3L",-0.565802742616034,-0.252869886363636,-2.89168840561962,0.00431185615911002,0.0176273504238861,-3.07620668033957
"PRKG1",-1.20342348804501,0.733226136363636,-2.89085747249445,0.00432274980563247,0.0176472034662901,-3.07849952666956
"ANXA11",-1.01392376933896,-1.01426590909091,-2.89005570273503,0.00433328496587264,0.0176655396865352,-3.08071133263639
"RPGR",-0.34977482419128,0.262142045454545,-2.8840645573719,0.00441275402357408,0.0179644568397034,-3.0972211699715
"PKN3",-0.576770675105485,-0.497849431818182,-2.88247732822891,0.00443402973717571,0.018025965120674,-3.10158988505936
"PRG3",-0.427012025316456,0.402159659090909,-2.87024023056977,0.00460123345285592,0.0186797296981915,-3.1351979762506
"RNASE6",0.215363220815752,0.508759659090909,2.86656042715489,0.00465262776365634,0.0188621788532143,-3.14527876642279
"APBB1IP",0.383123066104079,-0.780148863636364,2.85881372425897,0.00476254010023047,0.0192810314584123,-3.16646228664466
"CIAPIN1",-0.530875597749649,1.21350738636364,-2.85789817223726,0.00477568561148173,0.0193075090489088,-3.16896243133743
"PSME2",-0.3649935302391,1.23314090909091,-2.85122041630745,0.0048725709868744,0.0196719958489418,-3.18717564314966
"NMT1",-0.515877074542898,0.698838636363636,-2.84769777511857,0.00492439919139807,0.0198352668242008,-3.19676780259214
"TRDMT1",-0.679189381153305,0.201317613636364,-2.84750687123386,0.00492722224973093,0.0198352668242008,-3.19728732539446
"PFDN6",-0.509576441631505,-1.00270511363636,-2.84709152173496,0.00493336947697366,0.0198352668242008,-3.19841754120246
"HEG1",0.206698382559775,0.378669886363636,2.8450695633268,0.00496339476060453,0.0199285753918229,-3.20391738491119
"SCARA5",0.245520182841069,0.414832386363636,2.84245462120686,0.00500247274424287,0.0200579256946802,-3.21102489361932
"PDIA3",0.222689170182841,0.382736363636364,2.8389950203139,0.00505460452189902,0.0202391904349464,-3.22041905360569
"CSTB",-0.318886919831224,0.222243181818182,-2.83625445909411,0.00509625234500026,0.020378037762566,-3.22785333145604
"RPL14",0.328901898734177,0.0635642045454545,2.82721936945186,0.00523578218540236,0.0209073652020917,-3.25231625783077
"GPRC5C",0.517351054852321,0.371306818181818,2.82182545840787,0.00532073121058483,0.0212175952640374,-3.26688654732132
"CLEC4C",-0.351156469760901,0.435001704545455,-2.82117706502299,0.00533102687471498,0.0212296887667464,-3.26863630729658
"EIF5A",-0.304827074542898,0.329603977272727,-2.81671765893193,0.00540232951819021,0.0214843662335646,-3.28066054732035
"ATXN3",-0.533403656821379,1.71450454545455,-2.81622077267391,0.00541032790024154,0.0214869408320734,-3.28199926384011
"ARAF",-0.477036286919831,0.332818181818182,-2.81564135758986,0.00541966836551825,0.0214948312515738,-3.28356005788706
"LGALS4",0.476805485232067,0.521707954545454,2.8142450472187,0.00544223794929914,0.0215550969184301,-3.28732015027546
"ESM1",-0.316834036568214,0.474725,-2.81178248756392,0.00548225072106806,0.0216841933121542,-3.29394736693893
"HSD17B3",-0.305447046413502,-0.0567414772727273,-2.81051141848256,0.0055030082331843,0.021736882521078,-3.29736598079361
"FLRT2",0.226192264416315,0.256653409090909,2.80568114254039,0.00558254434907243,0.0220212916765705,-3.31034439850967
"IL6R",-0.2299435302391,0.0370289772727273,-2.80471415208351,0.00559859208906981,0.0220378568367016,-3.31294014277618
"NEDD4L",-0.364321167369902,0.868127840909091,-2.80451979232911,0.0056018226581147,0.0220378568367016,-3.31346177431582
"ENOX2",-0.216844163150492,0.227088636363636,-2.80180760152215,0.00564708091433187,0.0221860450438065,-3.32073742577748
"CD226",-0.365924261603376,-0.125883522727273,-2.8004719881154,0.00566949027611638,0.0222441880229372,-3.32431794106756
"S100P",0.470714697609002,-0.449571022727273,2.79278130286166,0.00580010845711599,0.0227261622254022,-3.34490475560623
"SERPINC1",0.119409634317862,0.232102840909091,2.79198086872992,0.00581385901555126,0.0227495447154703,-3.34704442167408
"NPTXR",-0.269494303797468,0.129567613636364,-2.78278229843144,0.00597402122504288,0.0233443228393283,-3.37159311243956
"RBP7",0.335194303797468,-1.78238693181818,2.78233940316533,0.00598183298209267,0.0233443228393283,-3.37277321780627
"PPP1R9B",-0.848109563994374,-0.238698863636364,-2.77802739539787,0.00605837439975545,0.0236115044939803,-3.38425367813892
"UBE2L6",-0.45437123769339,0.493809659090909,-2.77319318282975,0.00614524241934206,0.0239181672326722,-3.39710508295492
"ELAVL4",0.506072714486639,-0.2087625,2.77248207581581,0.00615811560754531,0.0239363988309241,-3.39899377935199
"MYOM3",0.715845007032349,0.0686613636363636,2.77142610028077,0.00617727714788335,0.023978992169008,-3.40179762576672
"CXCL17",-0.604767158931083,0.92230625,-2.76324933338959,0.00632749375434995,0.0245295281750198,-3.42347559169753
"RTBDN",-0.233726230661041,0.516516477272727,-2.76257716900739,0.006339988473847,0.0245454123298739,-3.42525499908019
"CAMKK1",-0.463965049226442,0.0726914772727273,-2.76210568018435,0.00634876623668273,0.0245468832140524,-3.42650292519372
"ADA2",0.360116736990155,0.473147727272727,2.7603568128511,0.00638142151929517,0.0246405483499337,-3.43113008244326
"VWA1",0.331850984528833,0.0916505681818182,2.75802051095356,0.00642528333856778,0.0247771810008359,-3.4373072820743
"FGA",-0.358294725738397,-0.0128176136363636,-2.74934684532008,0.0065905262525878,0.0253548876673469,-3.46019854444918
"AGR3",0.822815963431786,0.263769886363636,2.7492473305737,0.00659244427888595,0.0253548876673469,-3.46046079672873
"ENPP7",0.659642053445851,0.849439772727273,2.74537084812744,0.00666755384374394,0.0256100655522517,-3.47066975305673
"CA11",-0.281228199718706,0.0565948863636364,-2.74152827207856,0.0067427713133158,0.0258649875968794,-3.4807763649845
"SELE",0.383955625879044,-0.281190340909091,2.74102205071492,0.00675273759986072,0.0258692686820352,-3.48210684227254
"PCDH1",-0.146499367088608,0.169683522727273,-2.73938263760152,0.0067851054241755,0.0259592449671008,-3.48641408470388
"PVALB",-0.838566877637131,0.803978977272727,-2.73883559051352,0.00679593731988557,0.0259666990667,-3.48785081912849
"IL34",-0.431560407876231,0.374615340909091,-2.72743576110692,0.00702525689999574,0.026807866734579,-3.51773072896412
"AK2",-0.724683684950774,0.105626136363636,-2.72492167393139,0.00707676418351267,0.0269692069210007,-3.52430495092592
"IL6",2.59313396624473,1.17554375,2.72000903818017,0.0071783996891765,0.027320914442009,-3.5371351832881
"FGF21",0.865199015471168,-0.918776136363636,2.71717714396208,0.00723758618095076,0.0274783039487845,-3.5445215135798
"GC",0.196461181434599,0.133685227272727,2.7171290502948,0.0072385951398599,0.0274783039487845,-3.54464689351195
"JAM3",-0.289185091420535,0.505779545454546,-2.71668318826612,0.00724795495877963,0.0274783039487845,-3.54580915627536
"CLU",0.136293670886076,0.201154545454545,2.71559930879897,0.00727075413900659,0.0275290341299433,-3.54863385662684
"CTSS",0.16131223628692,0.133047727272727,2.71348263480805,0.00731546515489685,0.0276624898418674,-3.55414713594418
"PPBP",-1.01698931082982,-1.21920681818182,-2.70967846160335,0.00739644740746882,0.0279214078149206,-3.5640458880516
"NEK7",-0.537905133614627,-0.123169886363636,-2.70937035090207,0.00740304175729165,0.0279214078149206,-3.56484705663874
"LIFR",0.159107805907173,0.39971875,2.70875862943807,0.00741614991037237,0.0279348017886835,-3.56643744441122
"ANGPTL7",0.291783614627285,0.464219886363636,2.70606401142558,0.00747414128291342,0.0281170076833409,-3.5734391302192
"FAM3C",0.24444135021097,0.611875,2.70525301621574,0.00749167497697887,0.0281467428762329,-3.57554516198802
"PGLYRP1",-0.373659423347398,0.0908835227272727,-2.6985107398105,0.00763888908648759,0.0286629946082198,-3.59303134053395
"RBPMS",-0.353059423347398,0.262876704545455,-2.69696862159887,0.00767292576062857,0.028730793242679,-3.59702519940486
