sample	group
Abundance..F16..127C..Sample..5A.	5A
Abundance..F16..127N..Sample..5B.	5B
Abundance..F16..128C..Sample..2B.	2B
Abundance..F16..129C..Sample..2A.	2A
Abundance..F16..130C..Sample..1A.	1A
Abundance..F16..130N..Sample..4B.	4B
Abundance..F16..131N..Sample..1B.	1B
Abundance..F16..132C..Sample..4A.	4A
Abundance..F16..132N..Sample..6A.	6A
Abundance..F16..133C..Sample..3A.	3A
Abundance..F16..133N..Sample..6B.	6B
Abundance..F16..134N..Sample..3B.	3B
