Abundance..F17..127C....5A	Abundance..F17..127N....5B	Abundance..F17..128C....2B	Abundance..F17..129C....2A	Abundance..F17..130C....1A	Abundance..F17..130N....4B	Abundance..F17..131N....1B	Abundance..F17..132C....4A	Abundance..F17..132N....6A	Abundance..F17..133C....3A	Abundance..F17..133N....6B	Abundance..F17..134N....3B
25.6479220162661	25.6473931083153	25.6471281275393	25.6481859448361	25.8026236663665	25.6476577376581	25.6473931083153	25.6471281275393	25.6481859448361	25.6476577376581	25.6476577376581	25.6479220162661
25.8026236663665	25.8026236663665	25.8026236663665	25.8026236663665	25.6473931083153	25.8026236663665	25.8026236663665	25.8026236663665	25.8026236663665	25.8026236663665	25.8026236663665	25.8026236663665
25.2483977849679	25.2463452453341	25.2453169311547	25.2494220158384	25.2463452453341	25.2473721957013	25.2463452453341	25.2453169311547	25.2494220158384	24.4748420548206	25.2473721957013	25.2483977849679
24.4759542209442	24.4737284126966	24.4726132916324	24.4770649140004	24.4737284126966	24.4748420548206	24.4737284126966	24.4726132916324	24.4770649140004	23.7188513238915	24.4748420548206	24.4759542209442
20.5360999813229	20.270649596696	20.1670606920243	20.622565429772	20.7881789523827	20.4836049377885	20.2935809357154	20.7347370042595	20.6067051828307	20.5772556819126	20.4065813483991	20.4404955005053
23.4455789851628	23.4446454461146	23.4441777467707	23.2050833989599	23.2020910872807	23.2030898473682	23.2020910872807	23.3265615834297	23.2050833989599	22.849539102631	23.2030898473682	23.0170473112098
23.7197645932383	23.9177601318586	23.9172320998534	23.4460448273302	23.3271364456258	23.4451125251675	23.4446454461146	23.4441777467707	23.328856463773	23.2030898473682	23.3277105454053	23.3282838842837
23.3282838842837	23.3271364456258	23.0151465265134	23.0176792277116	23.4446454461146	23.7188513238915	23.3271364456258	23.7170211466747	23.4460448273302	23.4451125251675	23.4451125251675	23.2040872837179
23.2040872837179	23.0157809622813	23.3265615834297	23.7206766529568	23.7179368425085	23.3277105454053	23.7179368425085	23.0151465265134	23.9193400315935	25.2473721957013	23.7188513238915	23.9188140963383
22.8498327234943	22.8492450920917	22.8489506911002	22.9120184301359	22.6024982281176	22.849539102631	22.8070293673434	22.7077119231568	22.8094234221241	22.5380266525782	22.8078284439833	22.5385519153462
19.8245204396386	19.8711217644585	19.9456512700371	19.7551300452882	19.5610918339321	19.7796606144729	19.6364491720691	19.5030752585279	19.8032816161829	19.3862938422609	19.7533869612103	19.5166682308247
22.6038039897618	22.4880001078848	22.3417945064643	22.6044555734697	22.6536106329258	22.5380266525782	22.4376522547125	22.8062292295127	22.539076482402	22.4885411217454	22.4388154503627	22.4399771043355
19.5438227737287	19.6151586786279	19.6145225800129	19.3344906383911	19.2437160180977	19.5516048589143	19.2728442753322	19.1377805419547	19.4952763688568	18.8711265968471	19.3862938422609	19.1166877902308
22.8086264615421	22.9107831674655	22.9103703196053	22.8501259554558	22.8070293673434	22.7086561726938	23.0157809622813	22.6018440467361	22.9120184301359	22.6031515418845	22.9111954677821	22.8086264615421
21.9262679625778	21.8785359701384	21.9631298729492	21.9660072299084	21.572673510549	21.9253703518867	21.36028507481	21.8778061363545	21.5752501925604	21.7515104138479	21.5361605754516	21.6341645331237
22.2919298071962	22.2636705942719	22.1564943631018	22.0414004171241	22.0393767825861	22.0944293396149	22.0393767825861	21.9235715543664	21.7065315557538	21.8421107099044	21.7515104138479	21.9262679625778
22.227212334438	22.1902805401175	22.2908573988153	22.2652391056028	22.3424581274445	22.3431208682908	22.2912153426876	22.3417945064643	22.344443716576	22.3431208682908	22.2915728118333	22.3437827307529
22.095343951534	21.9638506441848	21.9997494538372	22.2277393173891	22.0935135138778	22.1585529895864	22.0935135138778	22.1898133077479	22.0962573520466	21.7967286536969	22.0944293396149	21.9652893207665
22.6545478634552	22.6536106329258	22.5369740343617	22.539076482402	22.5375006927129	23.0164145566225	22.5375006927129	22.9103703196053	22.8501259554558	23.0164145566225	22.6031515418845	22.6038039897618
22.0017032043284	22.0393767825861	22.0387004461203	22.0962573520466	22.1902805401175	22.0010528178917	22.3424581274445	21.9997494538372	22.1916785241214	22.2915728118333	22.1907471528155	22.2647169614509
23.0170473112098	22.8070293673434	22.7077119231568	22.7095979209075	23.0157809622813	22.8078284439833	22.9107831674655	22.8489506911002	23.0176792277116	22.8078284439833	23.0164145566225	22.9116072216437
22.191213147074	22.3424581274445	22.4874583755463	22.344443716576	22.4880001078848	22.4885411217454	22.8492450920917	22.1564943631018	22.4411372196938	22.9111954677821	22.4885411217454	22.8498327234943
22.4890814185565	22.5375006927129	22.6018440467361	22.6550155476962	22.8492450920917	22.6540795589433	22.6536106329258	22.6531410841646	22.7095979209075	22.6540795589433	22.6540795589433	22.6545478634552
22.5385519153462	22.4376522547125	22.4364875143136	22.4896209997427	22.9107831674655	22.4388154503627	22.7081843612132	22.4874583755463	22.6550155476962	22.7086561726938	22.5380266525782	22.7091273588445
21.8430433671624	21.9244715499406	21.8402416796224	21.9271643843805	21.8411768148797	21.879264835973	21.8411768148797	21.9631298729492	21.8439747891128	21.6327496181202	21.9253703518867	21.7049274979074
22.2647169614509	22.2261562703953	22.1898133077479	22.1606061627558	22.2912153426876	22.2266846525705	22.1575243593655	22.2256271865173	22.2922863297176	22.1907471528155	22.2266846525705	22.227212334438
21.4266830818842	21.4232924422043	21.4786107699396	21.4842216228571	21.4800162755643	21.4249888862616	21.4232924422043	21.4215937452332	21.5388395318114	21.1059755640008	21.3613766126917	21.2283005349176
14.2117143670867	13.8113905987413	13.7429281395276	14.535541058025	14.487208666246	14.3088768863117	14.2542918781709	14.6993491969514	14.3105729004421	13.9480048712415	14.3986884053908	14.2524171692507
21.8799927357827	21.7017129957864	21.7494718177873	21.7986413286881	21.7504917921932	21.7967286536969	21.7504917921932	21.7001025430306	21.9271643843805	21.879264835973	21.8421107099044	21.7525276854407
