Abundance..F17..127C....5A	Abundance..F17..127N....5B	Abundance..F17..128C....2B	Abundance..F17..129C....2A	Abundance..F17..130C....1A	Abundance..F17..130N....4B	Abundance..F17..131N....1B	Abundance..F17..132C....4A	Abundance..F17..132N....6A	Abundance..F17..133C....3A	Abundance..F17..133N....6B	Abundance..F17..134N....3B
25.6829296956885	25.6073051876661	25.6366877123171	25.7260919812054	25.6838764112563	25.5872041146638	25.6062876947977	25.7648517956768	25.5731166200106	25.5438860574591	25.6599350927998	25.5568956006702
25.850697367674	25.8678504396194	25.9614106781135	25.9223928489361	25.6294043576397	25.9084235511592	25.6477491717388	25.9014254643019	25.6476288805432	25.6110079900336	25.7357332615055	25.6754970493371
25.2625773876204	25.2558950657488	25.2376692845818	25.2342077033273	25.2163995284505	25.2652897806731	25.1335432728936	25.3816232434841	25.2252594438822	25.0181858062424	25.2893645713525	25.1213376236547
24.4905288427965	24.4967258911373	24.5689753726593	24.3814703537857	24.3251973282181	24.4514069718629	24.2502207146685	24.4871318445893	24.3965988527528	24.1946040286099	24.3414692834021	24.301468837677
20.5390801941049	20.2057548833841	20.1735426514269	20.6781153858152	20.6890978290633	20.4900739707914	20.2729566637313	20.8112447442721	20.6074991745105	20.5194778623418	20.4535896721331	20.4311775439064
23.3781978620055	23.3359475059783	23.3913956151971	23.3092515880843	23.0676868999178	23.3703149099252	23.0252791780753	23.3724531303929	23.1803350232369	22.8450084902744	23.1468847186855	22.9324069725958
23.4644289805325	23.5602356760704	23.5587995102429	23.3954485756939	23.1931834571779	23.5750605655015	23.1929180553384	23.524685449658	23.240182885251	23.1838748684791	23.3055277363297	23.3451457047445
23.2446395483146	23.2075563070846	23.0901897654382	23.2920777376893	23.3447163060258	23.7561940548297	23.1840030461247	23.8123897330137	23.2905679626297	23.7793435015742	23.3157823189858	23.3052162810043
22.9308612888929	23.1866552767577	23.3106425055498	23.4609609390638	23.7502993495318	23.4477931071677	23.5584095424909	23.2082344275637	23.9878302319437	25.164914745778	23.95852037497	23.8863646195969
22.848012953159	22.8390743766683	22.9977999764545	22.9736158399856	22.5246112526754	22.9381236913471	22.7138742732613	22.8131772653351	22.7144149633033	22.3179905726441	22.7297411892775	22.4761814113646
19.739706392455	19.8121922024464	19.9431054613294	19.7289135780277	19.5927709810726	19.77628898424	19.6556634893463	19.4440354540512	19.7944297877764	19.430628029391	19.7180393884875	19.58956632503
22.5571123964387	22.4705537920851	22.3950603755417	22.6182931054669	22.6090470332425	22.5571645446946	22.4324507245579	22.9122427658392	22.482602318847	22.315725694694	22.4684458966865	22.3555076617841
19.4615513522687	19.5925642828346	19.5756702343367	19.3013423943718	19.2393756675556	19.4922917722778	19.271116029588	19.1558556893144	19.4802515142258	18.9059514909349	19.4145813371094	19.097873077379
22.8430801860891	22.8985904253588	23.0218607228408	22.9009148599691	22.7738093013122	22.7250722795256	22.7645029873192	22.7478957493098	22.7937182413237	22.5726664609495	22.8233873403484	22.7119772976582
21.9470045427599	21.8479004539027	21.9800788317402	22.0181425594391	21.5396138928101	21.9966822113552	21.4188282634249	21.8866338473644	21.5211581719286	21.6856656549138	21.4937677399703	21.6776171650346
22.2928252076376	22.2700794118509	22.2059496356515	22.0761602891897	21.9598794137249	22.1033252935758	22.0219924318597	22.0678302389545	21.625175741482	21.7654531935879	21.7222247907887	21.8933953462042
22.2142637785621	22.1887649484688	22.3531808902885	22.2916272345164	22.2349658850321	22.4067164020904	22.197855717623	22.3731418630214	22.4300650601029	22.2573803830934	22.3204194662467	22.2254661966022
22.0681516397824	21.9793400919656	22.0557923957709	22.2571146179171	22.0340119016407	22.1689741148457	22.0677989790344	22.2214813226259	22.0466271909272	21.7131310166521	22.0940595376299	21.8940010429881
22.6491476839966	22.6670943262803	22.5958393844998	22.5903488890252	22.4724088767478	23.2014240536104	22.4538790789096	22.9958083391371	22.7315862771341	22.9175534654118	22.617147632227	22.5132609110748
22.0131282624359	22.0886433931571	22.1790363954282	22.1912258046947	22.1399153153656	22.0586867794615	22.2177904170608	22.0773231820747	22.1748494523084	22.1966970014665	22.1643179296258	22.1809736406437
22.8951633537671	22.8299275805666	22.6765267935229	22.7275489099066	22.8560657331803	22.8761891857422	22.7344128249461	22.929744157037	22.8297566363901	22.8441303358527	22.8469072631979	22.8450596872614
22.183419023803	22.4311429529538	22.4794553821152	22.3452599107942	22.469890675595	22.5120081301294	22.7162449941231	22.214724771175	22.4586821121715	22.8455697658275	22.5022637474079	22.7655147275993
22.5256388264797	22.4901971670841	22.6377108804955	22.6953071565446	22.774849296107	22.6094038543914	22.5946983333879	22.7521527908392	22.6956186198744	22.672804740746	22.6291640659416	22.5705170608001
22.5532248508914	22.4659226538721	22.4690842250194	22.5406642764095	22.8171914996135	22.4950293426937	22.6908853500874	22.5973532179555	22.5833828836498	22.6838304950728	22.5860516026051	22.6547967118555
21.8509107611742	21.8665850742616	21.8719411782608	21.9616575302685	21.845155737368	21.972418678858	21.8365617720346	22.0702843367699	21.7253362646259	21.5955958330763	21.832078016502	21.6794750310972
22.2878319578883	22.255975327948	22.2583047898606	22.2334200379726	22.2105219856337	22.2859585691719	22.1132028293454	22.268054185039	22.2928609978726	22.1397210945565	22.2176799653913	22.1381080619368
21.5420254762328	21.4476482998605	21.4206890996215	21.5425611397536	21.4579158337287	21.3486329354148	21.4223356344522	21.5548417061503	21.454129412601	21.1734048889444	21.4596471272006	21.2237064393437
14.2270785433541	13.8738504379491	13.7711191305637	14.5332020489091	14.545866216277	14.3112062474392	14.2887472922815	14.6585351610428	14.3346875184504	13.8738774265504	14.3758096118255	14.2644711032144
