sample	group
Abundance..F16..127C..Sample..5A.	A
Abundance..F16..127N..Sample..5B.	B
Abundance..F16..128C..Sample..2B.	B
Abundance..F16..129C..Sample..2A.	A
Abundance..F16..130C..Sample..1A.	A
Abundance..F16..130N..Sample..4B.	B
Abundance..F16..131N..Sample..1B.	B
Abundance..F16..132C..Sample..4A.	A
Abundance..F16..132N..Sample..6A.	A
Abundance..F16..133C..Sample..3A.	A
Abundance..F16..133N..Sample..6B.	B
Abundance..F16..134N..Sample..3B.	B
