1	2	3	4	5	6	7	8	9	10	11	12
21693746.7896789	19866463.2045727	18818708.8579608	18928770.7847487	19803266.4800602	19687320.3944349	20637505.4431769	20129519.410377	16353772.8400645	19817629.9963839	19852204.2431956	20298520.6686835
3456960.23510328	2882370.9283875	2868996.91931835	2644170.54587228	3065615.95942852	3175257.39650625	2981302.72365606	3305222.88514687	2319912.42619177	3054815.02394062	3232939.58176407	3056261.94735469
2329752.29019844	2016768.99165621	1901448.2316408	1877228.60964375	1994312.55324049	1999375.76984062	2192721.53377062	2189113.56227433	1531651.62276328	1959638.97679286	2061379.50198023	2026459.74776953
31815320.1507068	31247279.5969443	26103880.0132351	25775256.4145651	28223468.1355338	26183141.0510373	34472986.3764124	27017691.0497198	22400278.5124248	29520571.0157002	28835721.137597	27459111.2837675
3261218.07560898	3156708.90639471	2830883.58984101	2969007.00172505	3106425.17314813	3225779.67781599	3037194.46697332	3054553.10208984	2466343.15509479	2975181.01434354	3066748.89998649	3105764.18919053
851197.318434375	853068.433750143	781250.182453125	751635.555	793791.025407932	741966.985443751	848812.855893751	779523.659578123	681169.72171875	766835.802665623	790018.493137501	825870.495037501
3812615.75871594	3435466.16173471	3234922.92484	3257231.89199856	3662807.52474231	4034951.16546919	3281563.46158976	3516653.07243567	2824647.17538529	3462257.37737273	3449069.74556598	3305810.70303216
9834675.93756995	8246543.7353563	7833667.11568557	8051553.58439861	8242377.66140381	8970041.32067682	8708258.59339548	8966429.41627072	7309158.41032108	8394787.01023764	8506656.75469548	8785158.83000041
14490132.0281766	12676021.2663184	12369043.5918463	12461142.7517047	12933261.6416953	12801776.072955	12493951.1754421	12171147.3030205	11572123.9014174	13083825.1540477	12016955.2453513	12296241.7730897
22403787.0593981	23236289.1084344	21600746.2690701	21346291.9642374	22330688.1364795	18621580.9779358	23037292.0251297	22362494.143411	17009839.1742423	20351403.6467214	20447801.4749908	20856081.9232803
15564318.9986732	15772816.5649801	14630586.5127181	14752005.8237102	15229969.2081044	14234540.3067034	15795184.4446653	13859422.4261267	12941246.0036793	15988963.9627137	13920342.5795735	14351918.6073409
1112699.86338769	1093403.05176637	999389.538013365	1052532.87858384	1125138.02827762	1082698.68980492	1021126.59690937	1059916.33019227	811326.815534425	1051503.34625911	1064200.49391562	1037624.22859219
10615126.1479026	10014120.776705	9484171.45584456	9706015.30082516	9805982.08732994	9488355.27020643	10047907.9275249	9955868.83670123	7747039.08094535	9502115.50622127	9505627.37973522	9709115.69510716
4475195.47160243	4305152.44926269	3923561.22570155	4077307.90221325	4150612.97392129	4242077.02519219	4013496.94426618	4177322.3479329	3379928.04976406	4301465.15770166	4227300.58227247	4111422.89793575
17095249.6800278	14811469.2685802	14212577.6604585	14595450.8343455	14725378.18529	15868543.2253212	14262281.8383357	14031741.957105	12675794.0891841	15101678.3894657	14358949.4473163	14215453.1402574
13857357.5459148	11607886.5099585	11265425.6068515	11328928.6750738	11847020.3450753	12636247.0824867	12388345.0065454	11980145.80794	10361936.5119377	11624146.0097947	12006894.0386155	12448844.6312809
7068050.29305941	6393249.6333071	6119421.85378636	6252853.65062346	6574213.69085977	6414353.05802741	6648091.74129906	6556068.70032841	4924644.72593814	6494097.34280846	6608635.91301404	6485166.61230475
11745076.5036587	11526169.0814451	10322791.0684643	10450632.8208735	11142734.3886548	11238594.7324951	11636472.5188778	10864309.7009285	8840531.64874302	10638319.8567937	10582906.0345962	10541247.9556483
13541156.8745292	10305170.2658218	10379573.2049087	10490973.8533581	10816217.5277396	11416747.9200304	11794359.2897004	11017550.1048813	8121168.75300958	11638044.9934195	11911243.9070261	9856634.26060527
8574242.65156687	8110024.97386641	7439150.28714798	7640069.42344554	8011174.64294016	8185465.04749899	7972114.74518304	8031944.63415712	6208261.66508153	7864407.41269767	7843923.65858944	7752613.61828032
5717248.6908595	5899672.67612474	5457263.99108704	5392585.17934344	5782139.80840546	5424679.82824357	5320956.86857565	5498591.20776961	4659127.09048623	5758115.06596318	5162090.64281522	5260450.74498254
3248218.49292832	3020907.95551871	3065769.29590998	2900269.67128636	3015554.39254394	2248076.75461875	3179832.55362621	2881809.96024908	1869600.25536797	2686332.15473905	2702721.52474628	3215211.54548086
10198638.597189	9103645.38370034	8791932.68799232	8856842.66504698	9501174.41038253	8839056.87645487	9790787.28303211	9603703.0840646	7258376.96588954	9373099.85931102	9396214.65160319	8912004.26010656
10108046.672092	8362592.86507862	7781980.88138612	8132945.74284275	8242717.22864419	9171690.21569502	8844940.48960677	8892084.365873	7345282.81776625	8587949.2872865	8971729.7221319	8518966.09419494
806775.250726095	819875.902828126	811561.579107731	806053.808767969	840291.930128491	777381.613928373	778183.289138827	739080.170142188	658356.878695313	764715.831773438	745506.897424142	818744.614075782
3879111.5042625	4610959.92315661	4188004.30496251	3846983.54617501	4525953.42210001	2234575.572075	5800132.79463751	4124596.73835002	3118952.057925	3996682.19362502	3607507.93218751	4167719.21898751
11529002.613595	9987117.26435209	9608054.79193002	9918790.07913116	9880094.17942738	10371802.2313436	10965856.9942455	9988199.13160746	8338108.87961047	10361281.8680219	10264482.932845	10220496.6589407
19444662.3561638	14555106.8322791	15363362.1958165	16207148.4075536	14211063.7381493	15930350.2609015	15725201.8802444	17091210.0708549	13603309.5538846	15393610.1174866	17344719.4444666	16443545.5033758
6558510.16214558	5778615.62525852	5649895.40557153	5793587.28678957	5827331.24340428	5764477.91248324	5832738.21010332	6006688.12016817	4555280.68421566	5700724.15670113	5875126.29961061	5811084.32280899
10355290.6260511	10456431.7915398	9439807.98330748	9824516.70710014	10113841.8167329	9095088.0347116	10013376.3136658	9572997.16984103	8201424.01982901	10047832.1783727	9265918.7143135	9989598.15706188
15561990.7290622	13594152.2276196	13217986.964897	13935556.5829608	14101671.7844837	13947366.6248903	13496369.7436877	14254605.6663334	10700224.2953087	13605824.4159247	14052215.6110397	13906515.671619
14722773.5827112	12391995.7125862	12207694.2612702	11639821.5858045	12815278.5420286	12297929.8663023	13406508.3174055	13394978.6086739	11047106.1660915	12768336.5120425	12974744.1708054	11769348.1852347
12547130.2348062	10389654.0103674	9664718.38324037	10504186.2406384	10340773.7051367	12051543.0510198	10556077.284154	10867276.3978979	9118261.22030522	10599684.5035787	11549494.6897626	10566085.5835262
10581700.274427	7425626.91440913	7628006.87498957	8043723.85640963	7946811.38976431	9514970.33448205	9117707.60503645	7966384.14050078	6057007.04035677	9027664.67252588	9890681.76129029	7730177.60953749
19416864.8440539	16641768.9945668	16715478.1363908	15905957.8111552	17191631.7098313	15768819.7315966	18765233.263772	17790264.8853152	13639367.4092962	17716046.7228746	17418059.834498	16755471.7453324
7039993.80224748	6057502.70637008	6064701.35071042	6052982.67979262	6397048.18484531	6421519.75104264	6366420.61669453	6347574.82553906	4994078.32907499	6240560.53721057	6090456.19709286	6006186.26157727
8588613.43947348	7591761.45832616	7101908.60101575	7071098.40767381	7249127.86525113	7941436.4207492	7954747.83898885	7975236.0762164	7130246.78151477	7433866.55539453	7230496.6159227	7682570.90052922
7113053.65907609	6323468.74617742	6010601.45945118	6175385.91343639	6456269.07716903	6420382.09639049	6484425.02389573	6336188.89097292	5545241.43653907	6562929.45500245	6224781.62819125	6233078.36222446
6149258.59890509	5144953.338304	4791385.33460869	4793620.96247225	5278443.35293257	4931704.39193437	5976840.68674099	5790101.41931661	4234711.63663882	5516505.79744688	5602999.13150028	5698675.58051778
10034178.8114877	9151648.43999999	8961414.89598118	8876712.7321792	9740539.80618611	8405677.19942226	9002522.06090861	9044019.4977169	7475696.12796577	9393513.39480469	8829313.5695814	8166578.49053436
11292928.0005029	9543945.72792959	9963175.73821081	9437322.30642534	10424278.9503441	8865906.06075217	9985109.73368055	10026341.7658725	8029171.55531999	9981091.53663744	9641298.27440012	9080560.88998609
5022863.02079776	4615696.21455737	4400566.51802381	4545451.72001944	4698134.77953649	4428708.4182698	4680452.25221318	4499945.88715436	3731176.99263506	4585310.55749766	4596072.45640026	4851397.37815172
4888004.86647273	4016942.30395466	3757726.83819514	3878491.39830836	3982366.35759126	4357840.50934744	4192959.05429253	4352072.95916566	3380308.34335518	4139259.41385393	4310110.21221628	4253266.31616286
2554407.1345579	2304042.58036607	2228740.04489534	2137480.68085651	2276412.53553456	2453754.35491377	2363610.0236012	2310229.27898327	1879037.00747526	2340653.06788887	2184144.96214922	2321947.48956328
7409712.76768261	6180615.24957415	5784430.21308135	5922721.22544221	6223494.67715404	6259355.31435027	6309849.59831993	6680545.82521771	4887727.94480811	6221054.10323562	6584481.47823684	6042506.02622013
1091192.42326875	593977.551426898	581383.2729375	777162.111206249	563013.945140625	687517.440647259	826338.074409374	763067.670234376	672297.959025	773016.008879662	954481.270359374	856150.062720283
1225002.72984375	745701.645149998	742011.07921875	859188.017312894	648725.60548125	698775.609056249	971161.148400708	908155.462706248	676073.272049998	851949.17850306	988564.853512497	910835.986070579
3836603.92410995	3262434.36103847	2825574.93010373	2807455.28235878	3016376.26291797	3767792.93846485	3835296.18206703	3280517.66264947	2756154.01158661	3111413.65865493	3501486.56071432	3655014.00985862
7354354.93412216	4465092.74397656	4943094.17844118	5309533.4733881	4506068.70650831	7110039.29259745	5518697.75261014	5723094.37436952	4940962.89201089	5264239.54695436	6015374.706825	5461659.46090746
3593724.06728842	15423305.8439921	8780804.03789903	11792416.3307261	12552336.1328735	3022293.44685055	2734986.38484557	3223265.73722458	11910139.984727	15060895.9343903	3034742.91968657	3042900.34023544
11924883.7959412	10232591.7140906	10260039.0685	9453022.15404933	10702640.2621643	8938893.74938246	11084742.9977779	10874819.6239725	8016148.74161133	10079190.2627177	9731574.02049688	9668680.03831125
7096356.37909524	6383572.20774773	5863765.62376971	5554331.11833686	6455919.06828682	6004317.1702401	6490845.151431	6135820.32497701	5254248.22251642	6506784.70163915	5849212.0795711	5738712.40057393
4726102.1589933	4505140.1081816	4431474.64881513	4338952.48492937	4757521.10679811	4011145.30123359	4245515.37343555	4421782.79296875	3619585.69540732	4433381.74369839	4330990.78236268	3972478.21584514
7070574.95823526	5965863.45488822	5675161.15801239	5665356.4218043	6058301.65857485	5900043.79586173	6476499.02476117	6105616.5508842	5146342.96558297	6047914.6515662	5938413.2619933	5844238.243753
4279831.07878162	3679142.39273267	3569846.45277555	3447575.77368337	3886949.40402657	3652286.11899189	3787288.87450445	3817798.80585013	2900962.00532962	3872049.42831	3715111.80828635	3534796.97388369
418151.007450001	155298.222646875	162348.70162068	170477.74816875	179489.347537499	207842.73406875	277902.082631249	270896.147774999	189803.879409376	239813.586478126	279541.681959375	264828.96185625
9711021.26899856	8273514.06024455	7976074.92664003	7915449.43153618	8692611.68602912	8449214.79720306	8801177.97007312	8608968.00393477	7268532.52133494	8620422.36147992	8398585.7800539	8155751.53064979
5662805.28970069	4232377.14646079	4191375.45153164	4697172.39834421	4568847.58295625	5232814.23608822	5115115.93709708	4445412.58532047	3190007.88034834	4985714.65396253	5617897.66053088	4445551.9000541
8038418.59860612	5634866.50068963	5567172.97105989	5405458.06269311	5509571.71323863	7199590.66748904	6822009.00512074	6413282.05982306	5337413.07657091	6232182.24385963	6390599.73171414	6529864.16031021
