Abundances..Normalized...F16..127C..Sample..5A	Abundances..Normalized...F16..127N..Sample..5B	Abundances..Normalized...F16..128C..Sample..2B	Abundances..Normalized...F16..129C..Sample..2A	Abundances..Normalized...F16..130C..Sample..1A	Abundances..Normalized...F16..130N..Sample..4B	Abundances..Normalized...F16..131N..Sample..1B	Abundances..Normalized...F16..132C..Sample..4A	Abundances..Normalized...F16..132N..Sample..6A	Abundances..Normalized...F16..133C..Sample..3A	Abundances..Normalized...F16..133N..Sample..6B	Abundances..Normalized...F16..134N..Sample..3B
5053060.21959869	4972612.46059971	4883979.73910936	4841310.88799427	4758185.04736018	4805409.11851605	4719192.9128043	4656189.69103146	5208730.62544375	4346615.17975328	4793334.36486215	4678247.74486627
6801198.8259754	6258308.67578288	5902617.45278011	6882915.47422303	6793276.39315659	5888465.40684295	6433396.32272303	6785119.1940677	6443517.44271447	5264264.81141437	6584418.27834228	5796616.89996475
2489610.26821253	2501676.20964314	2463016.29268791	2209041.07488088	2124210.52236465	2579863.33469956	2155276.12976718	2332838.52318636	2380714.15262818	1979425.63278683	2137447.64377061	2156144.14401361
6471757.38274366	5625339.14520748	5413362.53730855	6073673.38925549	6122093.03184562	5939518.2851801	5448512.46557195	6201521.82204083	6114301.77514961	5243518.71331113	5581582.52094674	5486180.84078709
4481730.99779971	4952510.87083469	4812416.21145003	4491616.94848665	4598957.82602426	4583949.68855717	4788916.76752864	4220542.58334548	4748062.43889661	4601397.81255916	5290890.24888822	5249386.18683568
2662798.2050469	2277802.54841981	2239180.71230989	2241967.21868989	2113216.98022196	2461551.00653427	2313475.44465866	2203331.42816317	2227711.78424785	1961289.89688181	2158121.73954612	1968795.61202138
9406859.26244035	8904536.44089375	8791482.55074573	8965687.16778708	8244930.00953577	9204320.39399387	8217819.41571934	8254641.73864998	8749552.40965115	7790925.11047685	8149254.32423615	8150979.05950822
611327.966761131	589647.462294815	424814.685580676	435706.075885104	389063.200297163	572018.725513275	372106.862061024	535467.043699751	407315.908429598	348230.511610293	434782.824485287	403958.168740933
3903561.03589703	3670046.83658076	3547504.29058315	4068706.41620605	4559154.1070311	4762509.1195794	4007923.71796982	4979539.08173696	3942947.16166997	5308937.87894348	3910817.05769754	4481182.12066619
6178754.32259337	6430318.62632994	6075502.1203018	6265994.43674594	6597699.65575652	6204066.32690486	6612874.71149673	5878882.6042721	6214751.41927782	6991425.12681443	6043572.06207523	6854229.50584787
2367791.39735075	2278095.38242309	2409919.53035558	2905073.78445502	3968967.07193462	2387218.45936161	3955979.0916914	2574163.56445507	2697937.5414846	3464594.42605454	2739649.85553349	3399689.90691472
2562494.08314498	2573498.23849164	2544218.97894229	2327646.82787666	2575068.40224256	2329497.69495504	2574153.49956211	2324558.86172152	2586165.63119961	2453207.99618282	2465277.4719761	2563610.59794335
2171832.68401963	2167087.65955424	2122918.45877274	2027235.87953148	2104222.22624676	2145043.45807258	1993580.58276089	2162179.07967825	2253090.1353286	1824458.83803365	2109616.59772912	2011531.49809247
4049703.47880386	4323255.89531956	4148242.54808468	3884795.74708765	3567340.99547376	4227355.22173195	3917333.28522185	4183901.93379108	4027595.02070433	3347068.99599812	4413217.56993033	4070134.64947726
5530861.16802622	5458796.62467008	5558680.92627265	5336260.24806815	5421969.56482741	5051813.44736435	5182824.31866948	5384596.16300631	4746465.08881982	5019193.99254244	4939869.13174705	5399591.38764349
5461355.58276687	5599995.24555019	5700963.15768892	5012023.17937303	3972969.34338328	5108557.94554245	4426521.21826995	4442129.05409279	5163049.33501572	3400309.10769944	4934840.3397355	4023549.94646529
2328290.17229827	2356044.84185176	2281820.81010296	2054623.30965472	2027041.38120062	2346775.32184589	2026650.69512546	1986370.51083243	2185656.40946746	1894547.79035409	2143661.91946713	2105334.71228501
6308490.67513722	5722444.81297933	5720219.85313073	6088405.08400138	5374503.08063185	6279769.23188317	5398311.47067722	5512366.91135069	5848247.95896193	5074982.73899596	5149579.56237459	5205137.55788153
1411782.0816057	1390856.36098605	1387905.5298666	1392278.88364324	1365641.45905282	1330897.75025939	1295780.94608771	1418619.72246362	1285973.01246738	1023878.29860944	1302888.78524786	1201482.50928281
4353504.70384505	4133215.99169837	4322513.43700157	4611300.25747029	5111367.26705265	4036428.06394406	4655521.11588958	4737276.26996354	4518406.33308272	4449267.93760831	4550342.26834867	4668514.79203912
559419.143248363	624904.178243096	606262.546694189	509317.287434637	599360.698924083	640193.319234309	579209.352340236	590057.974895184	548088.076033872	803575.558335342	613191.666191433	797021.289295135
4380260.27624032	5223057.39664618	5932200.42795418	5311712.99223107	5678343.45481651	4695270.23187147	6930362.9567511	4320744.85778639	5671104.94127429	5492048.10149425	5042909.30879905	6147868.86088065
7111982.58707364	7364035.32361829	7377731.65422476	7657013.94815645	7078609.61413929	7054291.60478749	7152767.94307743	7475901.51724964	6602322.22954796	5897441.49037125	7183342.33414425	6644384.96073181
2599289.69800418	2567839.35382347	2591711.15607957	2710359.64511314	3205626.99192983	2288499.9117153	2898928.4141907	2871136.2693394	2432895.96211477	2698302.55114201	2539283.55983447	2852661.95747223
7727057.52659231	7043336.88128579	7052139.48221789	7390048.26819514	6840989.54787933	7660338.93227065	6815835.78991303	6793803.3429711	7102097.07287638	6315993.10275584	6488820.70158383	6470441.71121455
2394626.01621313	2334512.84443232	2522363.50491478	2683948.26399262	2520281.31926474	2339960.18193682	2542689.72931666	2560725.08528926	2355575.09646989	2338626.25605944	2408283.94243736	2477594.22865485
5457990.72723418	5422791.81837979	5660841.45727305	8252213.10568087	11683492.6979561	5885907.54704424	9940116.57169015	7797853.11491221	8862897.55597467	20820291.2487668	9417490.35138556	9741193.31136026
3116919.95398528	3120561.24950247	2822377.05627827	2652894.12857273	2654449.6752468	2922207.37820856	2971251.77324359	2777409.51560198	2929203.78516964	2344688.75516695	3054774.1888892	2563416.91356886
7523853.79746636	8845036.70747336	8527805.65063566	6042398.16395275	5887359.18197215	7414474.28585729	5892537.96625932	5780390.93622161	7012968.25770988	6876875.80871487	8868537.19058782	7799135.66366233
206114.776523608	208893.252112721	208881.390598239	162526.375336537	165879.728829674	196223.104927008	176459.853566126	180668.419182016	216565.555659542	182517.244836294	209730.604364297	208201.697012325
3565131.23402783	3841385.92630523	3764043.86980111	3245258.6623107	3465562.55715624	3380049.98206504	3301750.19149987	3237423.17138859	3228974.29768079	3116708.56115129	3468591.06568358	3460478.74937422
5440682.87139441	5986193.66913822	6449202.28373439	6129432.81878184	7793659.04736867	4813142.05687763	8826191.69567265	5334168.50332816	5092822.63834599	7693376.78880087	6464662.85336556	8736986.26202966
5440682.87139441	5986193.66913822	6449202.28373439	6129432.81878184	7793659.04736867	4813142.05687763	8826191.69567265	5334168.50332816	5092822.63834599	7693376.78880087	6464662.85336556	8736986.26202966
998939.219608305	1091040.35806294	1052219.78956031	1118095.08447681	1306454.77815589	998270.00133906	1185815.0954986	1090089.04456897	1102182.17672033	2128674.82279071	1423308.64845453	1422936.93391034
2887779.28317853	2956823.58075235	2689254.52314534	2444105.97574942	2411802.82983771	2694612.63645065	2723246.97730901	2549813.25033553	2694389.34986069	2164764.11278521	2823139.96869771	2381477.59720106
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
864941.03815206	968419.805882993	963893.825768998	846034.085050083	625967.984099459	700851.694037583	759185.537689405	704893.324148547	771296.554744352	630736.019636119	875722.612311419	688710.261209029
1217567.08547304	1200771.40697868	1186385.64944799	1174959.43557173	1213280.37923408	1162067.97860545	1209647.55801393	1153573.44325358	1191391.77590849	1151945.06003563	1208468.10348357	1201399.71333537
4805960.23814366	5337174.56844143	5749443.0588186	5382308.18436863	6796250.47334004	4245362.96846467	7951859.82792147	4611964.50807439	4490903.27056	6780404.492102	5756855.55916405	7785435.38361737
734565.271570502	661052.701919617	712657.752697896	840751.986862899	1023724.29308751	712294.720024252	1217181.21849844	640082.970843952	955619.493726745	1119168.30626712	830988.832583518	1040128.63118134
1782561.77962025	2044690.41834949	2711194.52096828	2449140.7174036	2335762.04656894	2164025.67857886	2836351.14106049	1923672.0913696	2337363.31192423	2244618.49501332	2207456.19149993	2234706.58888927
363927.438941617	385666.03395203	394027.651644429	437716.128332471	512813.207744231	362421.418600083	512244.634638495	436438.851621548	437601.725686111	526776.475311201	479956.467155131	443018.706974199
2018887.78547283	1949411.02195578	1876996.45488804	2102184.61701276	2282997.26760146	1859832.72556026	2113280.57737747	2083836.93812255	1849490.56029979	2032799.67324683	2007540.765278	2082318.30508634
1919237.32786461	1946530.33891893	1778628.13267616	1728874.52778662	1698284.89781977	1817190.09388663	1683436.83816047	1691205.3719992	1924076.84159513	1544069.07311531	1778051.0344433	1664530.04433654
1234863.54273983	1201112.8016041	1230578.90531362	1231097.92183231	1302955.59025658	1128371.33718925	1272696.65905731	1304869.57993469	1201107.55171963	1185372.70349178	1193075.93163073	1212264.12466516
1092779.34349635	1094621.63964346	1102558.89465653	1203713.01617529	1288135.75790809	1014151.70983881	1216390.78275337	1210882.69723331	1074751.69416856	1170780.76654857	1126637.92357393	1163075.86206464
1946219.23278792	1918486.11905619	1925704.86484103	2030859.51195284	2518776.94127609	1692192.69284246	2192532.91710127	2199960.3038264	1825455.71165206	2146457.10480053	1920048.99828385	2234662.53252279
1732575.62936463	1985957.45218732	2653487.70011569	2388985.81274956	2236575.63618333	2109293.73037914	2749927.29232507	1858697.94125869	2287788.43386283	2173768.07746061	2147282.45345336	2162616.70488384
1732575.62936463	1985957.45218732	2653487.70011569	2388985.81274956	2236575.63618333	2109293.73037914	2749927.29232507	1858697.94125869	2287788.43386283	2173768.07746061	2147282.45345336	2162616.70488384
903614.700156715	922395.054537675	920924.735360051	825462.16335865	918030.208098593	814342.953521137	837924.455079453	913077.943317512	801972.076593826	819625.444022623	815673.091880374	843768.391177518
100613.589810933	113096.351438648	117828.096102528	105612.043447864	90277.4620381451	96435.9427373528	123177.5614944	95460.3248484985	138287.372846766	115349.368185844	136776.37508157	102575.931094527
2308389.64391858	2116117.38034054	2204537.37001617	2370706.43579989	2184063.8170576	2333677.60476222	2597685.93158197	2172836.8072911	2650837.07704168	2067501.67692879	2476032.30417147	2177280.57793604
655510.690104091	680377.286146745	629151.281673614	590022.187195833	577759.966954474	618858.938533577	676683.557952387	562565.758608307	708350.871462218	648113.499709108	707459.530932497	698988.701033562
2439693.82056199	1917162.04008779	2027468.13165069	2803989.72072937	2414721.90849448	2174586.9098278	2134730.82635298	3007482.81804372	2209386.14380524	2119243.76726709	2410239.0500432	2159661.22067915
598350.986178531	612125.046685116	600690.10068788	617471.469065891	708524.646739524	561487.877481982	667922.614395886	658280.524157267	594288.302010046	618567.70695934	600179.464977643	636866.194535318
329503.161680877	339806.061774459	333405.797731653	304105.109050774	270408.090740525	315419.689916279	284563.301290213	290659.719652347	284627.063281545	240767.336080269	270929.771835906	267862.330438698
1972305.68721922	1863233.02353184	1768942.25799779	1683710.75143801	1797408.31885985	1914330.27895311	1730240.24147987	1735850.72827703	1933073.17047936	1794438.8926409	1782889.51127741	1912251.07797296
