sample	group
Abundance..F17..127C....5A	A
Abundance..F17..127N....5B	B
Abundance..F17..128C....2B	B
Abundance..F17..129C....2A	A
Abundance..F17..130C....1A	A
Abundance..F17..130N....4B	B
Abundance..F17..131N....1B	B
Abundance..F17..132C....4A	A
Abundance..F17..132N....6A	A
Abundance..F17..133C....3A	A
Abundance..F17..133N....6B	B
Abundance..F17..134N....3B	B
