Gene_name,logFC,P.Value
MASTL,0.544138140518199,4.87374617718212e-05
RPL6,-0.514872475727836,4.89759625718411e-05
SSB,-0.541288009759842,4.97567171044733e-05
MATR3,-0.512516817796715,4.99149730011583e-05
AHSA1,-0.393189894887743,5.01142502412068e-05
FBL,-0.656613299939866,5.05824325799658e-05
RAB3D,-0.44584682385988,5.07479924491442e-05
HNRNPUL2,-0.517562586932566,5.1785107468656e-05
STOM,0.440877535608457,5.20964798459647e-05
RAN,-0.436754199682608,5.403689231297e-05
SERPINE1,0.568143589716853,5.463970242911e-05
HNRNPA3,-0.531041655502052,5.73626276386249e-05
RPL13,-0.557008840094023,5.8019395586104e-05
GSN,0.457324712312087,5.96393897510444e-05
F5,0.493467065333154,6.04829919032706e-05
RTN2,0.350932040019885,6.05874320314017e-05
HNRNPA2B1,-0.591903278287966,6.07702385748956e-05
RPS3A,-0.513348446888761,6.16981446382508e-05
THEMIS2,-0.465516213449954,6.18641179764625e-05
GCA,-0.436760255977634,6.35716273399058e-05
FGA,0.603575843256468,6.6437428621093e-05
FMNL1,-0.453560813694009,6.69031169092616e-05
XRCC5,-0.42938549866867,6.83000894948636e-05
SRSF1,-0.583555582041199,6.93234611418757e-05
S100A11,-0.870317913100415,6.94923597047308e-05
LY6G6F,0.542416966070573,6.98512926400265e-05
DEK,-0.463042935211734,7.06872444719262e-05
RPL5,-0.61425649226291,7.39300438143694e-05
NCL,-0.614774466486822,7.4644165676808e-05
CAPN2,-0.458419039347464,7.87938762421298e-05
RPL35A,-0.647987639903861,7.90576806954449e-05
S100A10,-0.799496589759555,8.7196036769817e-05
RPS14,-0.427447139254772,8.87220785818545e-05
PPP4R3A,-0.944316443149344,9.35704324313475e-05
FGB,0.575044495308746,9.58479308014095e-05
ALAD,0.447767367098745,9.63473331684289e-05
RPL17,-0.538110606942038,9.72709744411181e-05
HLA-DRB1,-0.669603013670163,0.00010533197836776
RPL3,-0.595896835366846,0.000106844244773818
ITGA2,0.442880077930351,0.000108787085792157
PCNA,-0.38948604933225,0.000110982902856239
GCLM,0.460905065981271,0.000114012822771467
HSP90AB1,-0.37055563779362,0.000115644937234915
CAPG,-0.756790451402092,0.000115648029489437
COLGALT1,-0.38784130009111,0.000119157472541188
NID1,0.449790860499569,0.000119632160463558
RNH1,-0.406832474765089,0.000121099763541908
REXO2,0.530891223122623,0.000122394854667407
OS9,-0.506479323548256,0.000123727483159144
PTPRE,-0.51582493307523,0.000124878392355579
CCL5,0.425787779761859,0.000125032893415752
STAT1,-0.475550698373757,0.000125805628061691
NOP56,-0.454582955793064,0.000128069152503859
H2AC20,-0.569169053092838,0.000132546027053913
XRCC6,-0.396921311117489,0.00013473395209231
APOL1,-0.566289528223246,0.000135413229564603
PPP1R12C,-0.491705412125227,0.000136352261815366
GLIPR2,-0.405864643574419,0.000143641463463718
RPL10,-0.58763869575491,0.000145337882209343
HNRNPH3,-0.516560628718453,0.000147430891277844
ANP32B,-0.594379047223879,0.000148158084957633
HNRNPH2,-0.379245419797887,0.000149505691813103
RRBP1,-0.434980956117793,0.000149645657773648
SH3BP1,-0.365554688573488,0.00015267915244122
IL16,-0.456590307054583,0.000157394884330668
HLA-B,-0.342751696566,0.000158164291628576
PSMC1,-0.340990840626916,0.000160028893469298
SERPINE2,0.44792012982123,0.000160263774770959
RPS11,-0.453551032681525,0.000165845106964854
FEN1,-0.528036937732486,0.000166245316711131
PRNP,0.389783046005714,0.00017151551812476
ANXA2,-0.687950950703571,0.000172892015874414
PCBP1,-0.331612991511075,0.000175691068322357
HSPB1,0.370778806413837,0.000180355873373502
NAGK,-0.506686049417813,0.000188344829386261
CAVIN2,0.498680576503891,0.000190114178024711
HK3,-0.455723965497293,0.000195883838235238
PROS1,0.547444764974727,0.000204842868873512
PTGES3,-0.654416885582853,0.000214987896059948
SF3B3,-0.486716032316147,0.000215139922602629
APEX1,-0.815638210338176,0.000223925256202256
S100A4,-0.463900655868317,0.000227139642663846
MACROH2A1,-0.437992731011691,0.00023221279823808
CPPED1,-0.4100019677422,0.000244670022152519
RPL7A,-0.459505638792081,0.000251490755617302
RPL23A,-0.582433803969181,0.000261925746022801
DDX3X,-0.337567712714665,0.00026355346193479
HNRNPR,-0.402911316983855,0.000267637292128745
RPA1,-0.48667318544299,0.000268824094051436
ITGAM,-0.328856677419388,0.000272970401282062
PAK4,-0.357046100750278,0.000274961932712226
