"","x"
"335","EZR"
"336","GUCY1A1"
"337","TPM1"
"338","RTN4"
"339","RPS8"
"340","PARVB"
"341","CRELD1"
"342","TALDO1"
"343","GRB2"
"344","MYCT1"
"345","EML3"
"346","IQGAP1"
"347","UQCRQ"
"348","SGTB"
"349","HK1"
"350","AP1S1"
"351","SHOC1"
"352","TUBA4A"
"353","PPM1A"
"354","TPP2"
"355","ACOX1"
"356","NACA"
"357","SFPQ"
"358","KIF2A"
"359","NDUFAB1"
"360","SRC"
"361","EMILIN1"
"362","ATP5ME"
"363","PRDX1"
"364","TKFC"
"365","GSTP1"
"366","HINT2"
"367","GTPBP2"
"368","DBN1"
"369","NDUFV1"
"370","ITGB5"
"371","RHOF"
"372","CLIC4"
"373","CORO1C"
"374","ANKS1B"
"375","MYLK"
"376","ADAM10"
"377","OSBPL8"
"378","SF3B3"
"379","M6PR"
"380","RARRES2"
"381","HLA-C"
"382","GCLC"
"383","DNM1L"
"384","RBM3"
"385","SUSD1"
"386","RBM39"
"387","PIP4K2A"
"388","NDUFS1"
"389","PMPCA"
"390","SLC25A11"
"391","ROCK2"
"392","PRPF19"
"393","ATP5F1D"
"394","TUBB6"
"395","VPS26B"
"396","CNN2"
"397","YWHAZ"
"398","NEXN"
"399","GNS"
"400","PRKACB"
"401","ATP6V1C1"
"402","MBD5"
"403","ARSB"
"404","RTN1"
"405","CYP27A1"
"406","CNDP2"
"407","TGFB1I1"
"408","ATL1"
"409","STXBP2"
"410","UNC13D"
"411","THBS3"
"412","PTTG1IP"
"413","NDE1"
"414","RANBP1"
"415","IGF2R"
"416","ATP6V1F"
"417","GBA"
"418","LRBA"
"419","MTERF2"
"420","ATP5PO"
"421","LHFPL2"
"422","NBEAL2"
"423","USP7"
"424","WDR1"
"425","FHOD1"
"426","RAP1GAP2"
"427","DMTN"
"428","HNRNPUL2"
"429","GRAP2"
"430","HNRNPA3"
"431","NCK2"
"432","ARRB1"
"433","EIF3L"
"434","EHD3"
"435","GP5"
"436","PDS5B"
"437","AK1"
"438","FLOT1"
"439","EPB41"
"440","RAB1B"
"441","CYTH2"
"442","CORO7"
"443","LYZ"
"444","PDIA5"
"445","GSR"
"446","C5AR1"
"447","ATP5MPL"
"448","SPTBN1"
"449","CTSH"
"450","EIF3J"
"451","TXNDC17"
"452","EPB41L3"
"453","PRNP"
"454","APEH"
"455","RPN1"
"456","RPS26"
"457","CHMP6"
"458","MTOR"
"459","TIMP1"
"460","ARHGDIA"
"461","GOLT1B"
"462","ALAD"
"463","GLRX"
"464","HNRNPH2"
