"","x"
"331","TOLLIP"
"332","TPM4"
"333","CUTA"
"334","ALDH16A1"
"335","GNB1"
"336","DNM1L"
"337","MYO18A"
"338","STK4"
"339","OCIAD1"
"340","AP1B1"
"341","GLOD4"
"342","FASN"
"343","ANXA3"
"344","CRKL"
"345","DDX17"
"346","RAN"
"347","RPSA"
"348","ATP5F1C"
"349","AHCY"
"350","KRAS"
"351","CNST"
"352","CLINT1"
"353","TYMP"
"354","SACM1L"
"355","NCKAP1L"
"356","GARS1"
"357","GPD2"
"358","RAB1B"
"359","CRLF3"
"360","UQCRQ"
"361","MRVI1"
"362","DUT"
"363","AHSA1"
"364","LAMTOR1"
"365","SUMO4"
"366","AMPD2"
"367","CORO1C"
"368","CTSC"
"369","STX11"
"370","APPL1"
"371","RNASET2"
"372","PSMC1"
"373","TUBB4B"
"374","TPP1"
"375","SUCLA2"
"376","XRCC5"
"377","TUBA1A"
"378","LCP2"
"379","CLIC1"
"380","M6PR"
"381","PDE5A"
"382","EEF1D"
"383","EIF2S1"
"384","HPRT1"
"385","PRKDC"
"386","RTCB"
"387","PRDX2"
"388","MTPN"
"389","RAB6A"
"390","CSNK2B"
"391","ELANE"
"392","ABI1"
"393","SNX3"
"394","FN1"
"395","ACOX1"
"396","DDX5"
"397","GCA"
"398","PIP4K2A"
"399","ACTN1"
"400","ESYT2"
"401","ARL8B"
"402","FLNA"
"403","BST1"
"404","H1-5"
"405","GP6"
"406","PSMA2"
"407","FCN1"
"408","AP2A1"
"409","FHOD1"
"410","TKFC"
"411","PRSS3"
"412","SCAMP2"
"413","NBEAL2"
"414","TBC1D13"
"415","TPI1"
"416","TMED9"
"417","GLIPR2"
"418","UBA3"
"419","SHMT2"
"420","DMTN"
"421","NAPRT"
"422","ARHGAP18"
"423","RNPEP"
"424","CNDP2"
"425","TUBB"
"426","RPS20"
"427","ETFA"
"428","HYOU1"
"429","CA2"
"430","F5"
"431","STXBP2"
"432","KIF5B"
"433","YWHAQ"
"434","PTGS1"
"435","H4C9"
"436","FLII"
"437","HPSE"
"438","ATP2A2"
"439","WIPF1"
"440","DLAT"
"441","OPA1"
"442","ARHGAP1"
"443","CTTN"
"444","PTPRJ"
"445","PPIF"
"446","SCCPDH"
"447","MGLL"
"448","TMEM43"
"449","RPS17"
"450","TUFM"
"451","NID1"
"452","ATP5F1D"
"453","NARS1"
"454","DARS1"
"455","ITGA2"
"456","EHD3"
"457","PPIB"
"458","ATP2A3"
"459","FCER1G"
"460","AIP"
"461","PF4"
"462","SEC24C"
"463","STRAP"
"464","HNRNPC"
"465","NAPG"
"466","NDUFS1"
"467","MCU"
"468","KIF2A"
"469","EEF1A1"
"470","CHCHD3"
"471","ARAP1"
"472","DCTN1"
"473","LGALS1"
"474","RAB8A"
"475","ARHGAP4"
"476","GRHPR"
"477","SFXN1"
"478","PGD"
"479","HUWE1"
"480","ATAD3A"
"481","PA2G4"
"482","ELOC"
"483","PPP3CA"
"484","LRPPRC"
"485","ALOX12"
"486","VDAC1"
"487","SH3BGRL3"
"488","PRKAR2A"
"489","PRDX5"
"490","COLGALT1"
"491","CSE1L"
"492","ATP5ME"
"493","COX5A"
"494","OLA1"
"495","HECTD3"
"496","CPT1A"
"497","SELP"
"498","HSD17B10"
"499","PNKD"
"500","PRKACA"
"501","LDHB"
"502","SH3BP1"
"503","CCL5"
"504","TUBB1"
"505","ATP5PB"
"506","RPN2"
"507","GP1BA"
"508","IQGAP1"
"509","PPM1A"
"510","MYH10"
"511","RPS4X"
"512","TPM3"
"513","AK2"
"514","ATP6V1E1"
"515","CD226"
"516","SCFD1"
"517","H2AX"
"518","S100A4"
"519","PSMC5"
"520","PPP6C"
"521","SEPTIN2"
"522","LRRC47"
"523","NCF4"
"524","ALAD"
"525","NCF2"
"526","EIF3F"
"527","MACROH2A1"
"528","TGFB1"
"529","NDUFB4"
"530","GYG1"
"531","PSMC2"
"532","SYK"
"533","EIF4G1"
"534","ARRB1"
"535","HNRNPL"
"536","DUSP3"
"537","RPS3"
"538","RSU1"
"539","SFPQ"
"540","PTPN11"
"541","VPS4B"
"542","HNRNPR"
"543","TMPO"
"544","SNCA"
"545","DOK3"
"546","COX5B"
"547","ACO1"
"548","ATP6V0A1"
"549","COPB2"
"550","ACSL5"
"551","NAP1L1"
"552","RAB1A"
"553","RPL11"
"554","PCBP2"
"555","TSG101"
"556","ERAP1"
"557","USP5"
"558","PTPN12"
"559","TLN1"
"560","RPL6"
"561","EIF3I"
"562","HP1BP3"
"563","GDI1"
"564","TRIM25"
"565","ACOT9"
"566","TPT1"
"567","PSMD5"
"568","CKAP5"
"569","IPO9"
"570","PRDX1"
"571","THBS1"
"572","DSTN"
"573","ALDH9A1"
"574","PPCS"
"575","HARS1"
"576","ARHGEF2"
"577","ATG3"
"578","ITGB3"
"579","F13A1"
"580","SNX6"
"581","HNRNPUL1"
"582","PSTPIP2"
"583","EHD1"
"584","ITGAV"
"585","GMFG"
"586","RPL4"
"587","C11orf54"
"588","PPBP"
"589","UBE2O"
"590","ARHGDIA"
"591","TMEM30A"
"592","SPARC"
"593","GNAQ"
"594","NPM1"
"595","HSD17B12"
"596","ACSL1"
"597","PDLIM7"
"598","RAC1"
"599","FLNB"
"600","SPTAN1"
"601","AK3"
"602","PTBP1"
"603","LRBA"
"604","NSF"
"605","PSMD11"
"606","TUBA1C"
"607","AKR1A1"
"608","TBCA"
"609","HNRNPM"
"610","VAMP8"
"611","CTSA"
"612","PTK2"
"613","HSPA1A"
"614","NDUFA5"
"615","COPG1"
"616","SERPINB1"
"617","ATL1"
"618","CDC42"
"619","RPS7"
"620","XPO1"
"621","CMTM6"
"622","INF2"
"623","PSMA6"
"624","GRAP2"
"625","NDUFS8"
"626","WDR1"
"627","RPS25"
"628","FH"
"629","ENO2"
"630","HINT2"
"631","SNAP23"
"632","FGA"
