"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"MANF","MANF",3.32982329192547,9.59566660535951e-07,4.43424067279543e-05,"group2-group1"
"SUGT1","SUGT1",1.57359860248447,9.84457922254389e-07,4.43424067279543e-05,"group2-group1"
"NEXN","NEXN",2.00929223602484,1.00293194327762e-06,4.43424067279543e-05,"group2-group1"
"YTHDF3","YTHDF3",2.68277888198758,1.00634537594853e-06,4.43424067279543e-05,"group2-group1"
"CIRBP","CIRBP",2.87707608695652,1.02000561489495e-06,4.43424067279543e-05,"group2-group1"
"HCLS1","HCLS1",1.87942686335404,1.03157155576493e-06,4.43424067279543e-05,"group2-group1"
"PPP1R9B","PPP1R9B",2.07048059006211,1.05060426052739e-06,4.45060326597328e-05,"group2-group1"
"TPD52L2","TPD52L2",3.33706847826087,1.13904636819827e-06,4.7563321917765e-05,"group2-group1"
"DOK2","DOK2",2.56827173913044,1.22372077665583e-06,5.03793778896477e-05,"group2-group1"
"NUMB","NUMB",1.57230885093168,1.26935431831899e-06,5.15322593395335e-05,"group2-group1"
"AKT2","AKT2",2.99140341614907,1.32079735609129e-06,5.28861735870525e-05,"group2-group1"
"CDC26","CDC26",1.7174350931677,1.34660241364997e-06,5.3190795339174e-05,"group2-group1"
"MESD","MESD",2.20471614906832,1.38781478718777e-06,5.40877683059979e-05,"group2-group1"
"RHOC","RHOC",2.67164813664596,1.4375349821475e-06,5.5288352010752e-05,"group2-group1"
"TBCA","TBCA",1.86957872670807,1.49434182959208e-06,5.64057619724401e-05,"group2-group1"
"STAT5B","STAT5B",2.14669937888199,1.51166498886922e-06,5.64057619724401e-05,"group2-group1"
"CCL5","CCL5",3.15591242236025,1.52448005330919e-06,5.64057619724401e-05,"group2-group1"
"SIRT2","SIRT2",1.86668540372671,1.5642050869092e-06,5.68150405021225e-05,"group2-group1"
"MITD1","MITD1",1.9312200310559,1.57441610696953e-06,5.68150405021225e-05,"group2-group1"
"PMVK","PMVK",4.03646133540373,1.62313225375176e-06,5.72806377864562e-05,"group2-group1"
"PDLIM7","PDLIM7",2.28456754658385,1.62651143902698e-06,5.72806377864562e-05,"group2-group1"
"CRADD","CRADD",1.81439192546584,1.6604650500923e-06,5.77802302549976e-05,"group2-group1"
"CETN3","CETN3",1.64096164596273,1.771939266097e-06,6.09338644094297e-05,"group2-group1"
"HARS1","HARS1",1.20535683229814,1.83642061806755e-06,6.24169472861795e-05,"group2-group1"
"DNAJB6","DNAJB6",1.72866801242236,1.89420698025863e-06,6.36410000378849e-05,"group2-group1"
"LACTB2","LACTB2",1.16532795031056,1.93757587521155e-06,6.37142462178346e-05,"group2-group1"
"NARS1","NARS1",1.03603742236025,1.94136599211056e-06,6.37142462178346e-05,"group2-group1"
"PLA2G4A","PLA2G4A",1.64985279503106,1.98986042114827e-06,6.37142462178346e-05,"group2-group1"
"MPIG6B","MPIG6B",2.41504161490683,1.99738167391537e-06,6.37142462178346e-05,"group2-group1"
