"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"3-hydroxylaurate" "3-hydroxylaurate" 0.669882508569754 0.0010667999648581 0.0207831861781531 "group2-group1"
"10-heptadecenoate (17:1n7)" "10-heptadecenoate (17:1n7)" 0.674578984513613 0.00107524259739411 0.0207831861781531 "group2-group1"
"myristate (14:0)" "myristate (14:0)" 0.565632034187369 0.00109011010740598 0.0207831861781531 "group2-group1"
"eicosenoate (20:1n9 or 1n11)" "eicosenoate (20:1n9 or 1n11)" 0.626198751874349 0.00113556338073121 0.0211891294659844 "group2-group1"
"10-nonadecenoate (19:1n9)" "10-nonadecenoate (19:1n9)" 0.577401086366489 0.00117302380235838 0.0212680328526768 "group2-group1"
"3-hydroxydecanoate" "3-hydroxydecanoate" 0.47648362257003 0.00120547141118537 0.0212680328526768 "group2-group1"
"octanoylcarnitine (C8)" "octanoylcarnitine (C8)" 0.468749229531591 0.00121254463242171 0.0212680328526768 "group2-group1"
"1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*" "1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*" 0.757957319906559 0.00126750533235032 0.021796121107279 "group2-group1"
"linolenoylcarnitine (C18:3)*" "linolenoylcarnitine (C18:3)*" 0.326354251234248 0.00131317551928601 0.0221472102002659 "group2-group1"
"5-dodecenoylcarnitine (C12:1)" "5-dodecenoylcarnitine (C12:1)" 0.621723058041131 0.00137566489523711 0.0224746295914086 "group2-group1"
"N-formylanthranilic acid" "N-formylanthranilic acid" 0.452212393469137 0.00138384264302858 0.0224746295914086 "group2-group1"
"margaroylcarnitine (C17)*" "margaroylcarnitine (C17)*" 0.332362524823667 0.00150553234905229 0.0237389037948431 "group2-group1"
"3-hydroxybutyrate (BHBA)" "3-hydroxybutyrate (BHBA)" 0.746421150279424 0.00151582509978474 0.0237389037948431 "group2-group1"
"cis-4-decenoate (10:1n6)*" "cis-4-decenoate (10:1n6)*" 0.615316393212528 0.0015597632176391 0.0239385810830241 "group2-group1"
"hypotaurine" "hypotaurine" 0.328525334772071 0.00158316727801072 0.0239385810830241 "group2-group1"
"N-acetylkynurenine (2)" "N-acetylkynurenine (2)" 0.674099885593818 0.00172047906306538 0.0255739006492939 "group2-group1"
"palmitate (16:0)" "palmitate (16:0)" 0.422959119799473 0.00178369138701543 0.0260716224402088 "group2-group1"
"glycerophosphoethanolamine" "glycerophosphoethanolamine" 0.182933060840384 0.00206335713097356 0.029664986948587 "group2-group1"
"(14 or 15)-methylpalmitate (a17:0 or i17:0)" "(14 or 15)-methylpalmitate (a17:0 or i17:0)" 0.487481626168762 0.00211113622417054 0.029862362396735 "group2-group1"
"hexanoylcarnitine (C6)" "hexanoylcarnitine (C6)" 0.35999466085012 0.00225069749650849 0.031311189014293 "group2-group1"
"lactobacillic acid" "lactobacillic acid" 0.616804322563063 0.00228496704323233 0.031311189014293 "group2-group1"
"(R)-3-hydroxybutyrylcarnitine" "(R)-3-hydroxybutyrylcarnitine" 0.616025037758745 0.00256095380904298 0.0345531767773953 "group2-group1"
"gamma-glutamylvaline" "gamma-glutamylvaline" 0.27717941200206 0.0026715836752801 0.0354021177493259 "group2-group1"
"N-palmitoylglycine" "N-palmitoylglycine" 0.327178715896791 0.00270460876762239 0.0354021177493259 "group2-group1"
"decanoylcarnitine (C10)" "decanoylcarnitine (C10)" 0.467688122603127 0.00274592800283705 0.0354143949777661 "group2-group1"
"taurocholate" "taurocholate" 0.990834321605565 0.00289494728133768 0.0367951995033789 "group2-group1"
"5-dodecenoate (12:1n7)" "5-dodecenoate (12:1n7)" 0.522653981804064 0.00298529127637926 0.0374014349912088 "group2-group1"
"myristoylcarnitine (C14)" "myristoylcarnitine (C14)" 0.343120157482045 0.00305949759697023 0.0377912590498999 "group2-group1"
