"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"DNAJA2" "DNAJA2" 1.5426174025974 3.97747863543416e-28 1.16261700513741e-24 "group2-group1"
"EIF4G1" "EIF4G1" 1.65356685064935 3.8581765293281e-27 5.63872499761302e-24 "group2-group1"
"YARS1" "YARS1" 3.06060772727273 1.46815921381012e-26 1.43047646065566e-23 "group2-group1"
"GCC1" "GCC1" 1.65541827922078 3.15403416983537e-26 1.69007172416376e-23 "group2-group1"
"CRKL" "CRKL" 1.39352866883117 3.2309477852103e-26 1.69007172416376e-23 "group2-group1"
"HCLS1" "HCLS1" 1.33425162337662 3.46918588606998e-26 1.69007172416376e-23 "group2-group1"
"CASP3" "CASP3" 1.55571711038961 5.97651818581501e-26 2.4956232367339e-23 "group2-group1"
"FYB1" "FYB1" 1.88481285714286 8.10725619637407e-26 2.96218873275018e-23 "group2-group1"
"RWDD1" "RWDD1" 1.15817659090909 9.67123194773385e-26 3.03043597321931e-23 "group2-group1"
"CIAPIN1" "CIAPIN1" 1.03450422077922 1.03675537913763e-25 3.03043597321931e-23 "group2-group1"
"SNAP23" "SNAP23" 1.68996792207792 1.54510251402808e-25 4.10575877136734e-23 "group2-group1"
"STAT5B" "STAT5B" 1.67776837662338 1.99510980581707e-25 4.76555671881052e-23 "group2-group1"
"SNAP29" "SNAP29" 1.67879795454546 2.11947442163999e-25 4.76555671881052e-23 "group2-group1"
"EBAG9" "EBAG9" 1.2460062012987 2.88781985169085e-25 6.0293553046374e-23 "group2-group1"
"FKBP5" "FKBP5" 1.56409288961039 5.15522487960342e-25 1.00458148820539e-22 "group2-group1"
"DOK2" "DOK2" 1.87609659090909 1.59125083014197e-24 2.90701636031561e-22 "group2-group1"
"SKAP2" "SKAP2" 1.93826003246753 2.42516044928035e-24 4.16984940779203e-22 "group2-group1"
"CDC26" "CDC26" 1.21495590909091 3.07973469767159e-24 5.00114695627448e-22 "group2-group1"
"MPIG6B" "MPIG6B" 1.78834655844156 3.49589311119318e-24 5.35363351627931e-22 "group2-group1"
"DNAJB6" "DNAJB6" 1.29310672077922 3.66310880347541e-24 5.35363351627931e-22 "group2-group1"
"CD69" "CD69" 1.21683535714286 5.07337884962539e-24 7.00037493920448e-22 "group2-group1"
"IST1" "IST1" 1.9079413961039 5.2688418974512e-24 7.00037493920448e-22 "group2-group1"
"MGLL" "MGLL" 1.68609461038961 7.25068443655633e-24 8.90957712723011e-22 "group2-group1"
"RILPL2" "RILPL2" 1.5171686038961 7.31542425773256e-24 8.90957712723011e-22 "group2-group1"
"EIF4E" "EIF4E" 1.66039097402598 9.12043815408051e-24 1.06636162897509e-21 "group2-group1"
"SIRT2" "SIRT2" 1.35887795454546 9.79614234321551e-24 1.10131246420073e-21 "group2-group1"
"CACYBP" "CACYBP" 1.6849512012987 1.24808004205903e-23 1.35116220849575e-21 "group2-group1"
"JPT2" "JPT2" 1.34198980519481 1.42092560516253e-23 1.4833448371036e-21 "group2-group1"
"PPIB" "PPIB" 1.39180844155844 1.53247921222551e-23 1.54463335770178e-21 "group2-group1"
"IRAK4" "IRAK4" 1.37146574675325 2.12164008243336e-23 2.00938375025003e-21 "group2-group1"
"RAB27B" "RAB27B" 1.99399077922078 2.13106042619743e-23 2.00938375025003e-21 "group2-group1"
"MANF" "MANF" 2.32265301948052 2.68668781125493e-23 2.45412139759317e-21 "group2-group1"
"KIFBP" "KIFBP" 1.94328642857143 2.96057549714511e-23 2.62235217519853e-21 "group2-group1"
"ATP5IF1" "ATP5IF1" 1.87801451298702 3.13568012087552e-23 2.63000006683059e-21 "group2-group1"
"PRDX5" "PRDX5" 1.35646685064935 3.14916190007084e-23 2.63000006683059e-21 "group2-group1"
"PPP1R9B" "PPP1R9B" 1.64837126623377 3.97232253539681e-23 3.22530521415691e-21 "group2-group1"
"TBCB" "TBCB" 1.5456251948052 4.68975519516357e-23 3.60807630369931e-21 "group2-group1"
"ITGB1BP2" "ITGB1BP2" 2.16329311688312 4.69062263224679e-23 3.60807630369931e-21 "group2-group1"
"DBNL" "DBNL" 1.54994967532468 6.49871439297764e-23 4.87070312068555e-21 "group2-group1"
"BCL2L1" "BCL2L1" 1.55352347402598 6.8475281887864e-23 5.00383122395566e-21 "group2-group1"
"PTPN6" "PTPN6" 1.92887636363636 7.69839353523391e-23 5.48839129353384e-21 "group2-group1"
"FXN" "FXN" 1.28239646103896 7.93045914915428e-23 5.51922192689952e-21 "group2-group1"
"PPP1R12A" "PPP1R12A" 1.63646873376623 8.48452108725557e-23 5.76750119489489e-21 "group2-group1"
"CIRBP" "CIRBP" 1.8698462012987 9.83618209105527e-23 6.42672996228577e-21 "group2-group1"
"GLOD4" "GLOD4" 0.622657954545456 9.89404202199315e-23 6.42672996228577e-21 "group2-group1"
"MGMT" "MGMT" 1.99926292207792 1.11384222327197e-22 7.07774091005207e-21 "group2-group1"
"LAT" "LAT" 1.99353561688312 1.49072994103557e-22 9.27107152690846e-21 "group2-group1"
"CLIP2" "CLIP2" 1.99081993506494 1.90153519325262e-22 1.15795570205779e-20 "group2-group1"
"GRAP2" "GRAP2" 2.11021525974026 1.94682740290125e-22 1.16134214258783e-20 "group2-group1"
"TACC3" "TACC3" 1.53971821428572 2.07490470592849e-22 1.21298929108579e-20 "group2-group1"
"CDKN2D" "CDKN2D" 1.94833045454546 2.13247917893048e-22 1.2222032627478e-20 "group2-group1"
"VTA1" "VTA1" 1.28700347402598 2.32841738065495e-22 1.308839231472e-20 "group2-group1"
"APRT" "APRT" 1.08196603896104 2.59561299429928e-22 1.43150505327109e-20 "group2-group1"
"DAPP1" "DAPP1" 2.64068467532468 2.66891115101855e-22 1.44467172119023e-20 "group2-group1"
"SRC" "SRC" 1.74710470779221 3.10833736741215e-22 1.6519400227174e-20 "group2-group1"
"TMED8" "TMED8" 1.31808737012987 3.38854736377725e-22 1.76870070434302e-20 "group2-group1"
"PDLIM7" "PDLIM7" 1.73507623376624 3.54659318549742e-22 1.81871787389631e-20 "group2-group1"
"HPSE" "HPSE" 2.3683675 3.82441719646414e-22 1.91531514703997e-20 "group2-group1"
"DTD1" "DTD1" 2.01911461038961 3.86601415242417e-22 1.91531514703997e-20 "group2-group1"
"GIPC3" "GIPC3" 1.74648983766234 3.99222031399998e-22 1.94487666297032e-20 "group2-group1"
"RAB11FIP3" "RAB11FIP3" 1.42100935064935 4.34679691269065e-22 2.08289956980242e-20 "group2-group1"
"TBCA" "TBCA" 1.31775425324676 6.00547581641396e-22 2.83129125989968e-20 "group2-group1"
"NCK2" "NCK2" 1.46300678571429 6.12150309447291e-22 2.84018310240386e-20 "group2-group1"
"DAB2" "DAB2" 1.73651607142857 8.03361829280337e-22 3.65302328867089e-20 "group2-group1"
"TWF2" "TWF2" 1.25245006493507 8.12338398096503e-22 3.65302328867089e-20 "group2-group1"
"FKBP4" "FKBP4" 0.77587931818182 8.27106883237842e-22 3.66308093894578e-20 "group2-group1"
"ENO1" "ENO1" 1.08754165584416 9.02808255155256e-22 3.93866944749077e-20 "group2-group1"
"RGCC" "RGCC" 1.37377785714286 9.53952432550615e-22 4.1005925887433e-20 "group2-group1"
"NT5C3A" "NT5C3A" 1.52860516233766 1.11974978812111e-21 4.74351975460579e-20 "group2-group1"
"DIABLO" "DIABLO" 1.87899237012987 1.35332148124337e-21 5.65108384239194e-20 "group2-group1"
"RBPMS2" "RBPMS2" 1.62015834415585 1.45366135160099e-21 5.91385476430269e-20 "group2-group1"
"PRKG1" "PRKG1" 2.19494801948052 1.47210252131607e-21 5.91385476430269e-20 "group2-group1"
"ERP29" "ERP29" 1.57466035714286 1.4769462805135e-21 5.91385476430269e-20 "group2-group1"
"PMVK" "PMVK" 2.59023081168831 2.32065366971937e-21 9.16658199539152e-20 "group2-group1"
"FADD" "FADD" 1.24077045454546 2.60521319362132e-21 1.01533842199402e-19 "group2-group1"
"CDKN1A" "CDKN1A" 1.57334785714286 2.73382853524907e-21 1.04434162625589e-19 "group2-group1"
"NEXN" "NEXN" 1.37028944805195 2.75108810200833e-21 1.04434162625589e-19 "group2-group1"
"MTIF3" "MTIF3" 1.78010863636364 3.32692549440398e-21 1.24674400258241e-19 "group2-group1"
"LZTFL1" "LZTFL1" 1.14856626623377 3.39542056784394e-21 1.25630561010226e-19 "group2-group1"
"ANXA11" "ANXA11" 1.82644373376623 4.428099522535e-21 1.61791686304623e-19 "group2-group1"
"MESD" "MESD" 1.49246701298702 4.79961005870153e-21 1.73200743229439e-19 "group2-group1"
"LACTB2" "LACTB2" 0.861447110389611 4.96547303432536e-21 1.77000947308939e-19 "group2-group1"
"NARS1" "NARS1" 0.841507337662338 6.42238294911575e-21 2.26176209159823e-19 "group2-group1"
"MTDH" "MTDH" 2.00460558441559 6.69211849348646e-21 2.32869789957868e-19 "group2-group1"
