"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"Q15084" "Q15084" 21.2822352771818 4.34067918449074e-21 3.42360213286456e-20 "CB" "PDIA6"
"P02679" "P02679" 22.0934884894647 4.38872490369468e-21 3.42360213286456e-20 "CB" "FGG"
"P05164" "P05164" 22.1762036327348 4.43138480663054e-21 3.42360213286456e-20 "CB" "MPO"
"P14649" "P14649" 22.7440811299035 4.50833003997841e-21 3.4277620462693e-20 "CB" "MYL6B"
"P40926" "P40926" 20.2550170069767 4.65713658655727e-21 3.44878189931465e-20 "CB" "MDH2"
"P27105" "P27105" 21.7711808907824 4.67997543748335e-21 3.44878189931465e-20 "CB" "STOM"
"P04075" "P04075" 22.5169247732238 4.89515209622292e-21 3.47244605569532e-20 "CB" "ALDOA"
"P02671" "P02671" 23.8075097726041 4.92439833537043e-21 3.47244605569532e-20 "CB" "FGA"
"Q14315" "Q14315" 20.9550253864429 4.92956851330442e-21 3.47244605569532e-20 "CB" "FLNC"
"O75390" "O75390" 19.2932810206799 5.12969740775764e-21 3.49914232381167e-20 "CB" "CS"
"Q6PEY2" "Q6PEY2" 20.768563195095 5.1677377870539e-21 3.49914232381167e-20 "CB" "TUBA3E"
"Q12931" "Q12931" 18.1922527452308 5.18662014594215e-21 3.49914232381167e-20 "CB" "TRAP1"
"Q08043" "Q08043" 21.2846827340596 5.38477739229272e-21 3.54425641922106e-20 "CB" "ACTN3"
"P60953" "P60953" 19.9875375946622 5.49597480222794e-21 3.54425641922106e-20 "CB" "CDC42"
"P31946" "P31946" 19.2362062961218 5.72495695418115e-21 3.54425641922106e-20 "CB" "YWHAB"
"P61981" "P61981" 19.2362062961218 5.72495695418115e-21 3.54425641922106e-20 "CB" "YWHAG"
"P35232" "P35232" 19.4045142541954 5.75512769069528e-21 3.54425641922106e-20 "CB" "PHB"
"P08567" "P08567" 22.5876456514537 5.79621482058141e-21 3.54425641922106e-20 "CB" "PLEK"
"P60763" "P60763" 19.7278726892673 5.89357772337246e-21 3.54425641922106e-20 "CB" "RAC3"
"P63000" "P63000" 19.7278726892673 5.89357772337246e-21 3.54425641922106e-20 "CB" "RAC1"
"P47756" "P47756" 20.8298617287036 5.91942616988903e-21 3.54425641922106e-20 "CB" "CAPZB"
"Q7Z6G8" "Q7Z6G8" 19.2702916768091 6.13048205343576e-21 3.57475511396234e-20 "CB" "ANKS1B"
"P07237" "P07237" 20.8662055879547 6.16651734128873e-21 3.57475511396234e-20 "CB" "P4HB"
"P07900" "P07900" 19.9115746253573 6.26575528267547e-21 3.57475511396234e-20 "CB" "HSP90AA1"
"P05556" "P05556" 20.6770801469014 6.33342117947716e-21 3.57475511396234e-20 "CB" "ITGB1"
"O95810" "O95810" 22.65888817166 6.44726813201389e-21 3.57475511396234e-20 "CB" "CAVIN2"
"P13224" "P13224" 21.6423806151259 6.46381983508529e-21 3.57475511396234e-20 "CB" "GP1BB"
"Q9HBI1" "Q9HBI1" 20.150628672267 6.56739979183061e-21 3.57475511396234e-20 "CB" "PARVB"
"Q9NVD7" "Q9NVD7" 20.150628672267 6.56739979183061e-21 3.57475511396234e-20 "CB" "PARVA"
"P07384" "P07384" 19.5232161791116 6.85842535337091e-21 3.65662477800931e-20 "CB" "CAPN1"
"P04792" "P04792" 20.9642373762207 6.87048496911979e-21 3.65662477800931e-20 "CB" "HSPB1"
"P25705" "P25705" 22.2557618330336 7.23456341863938e-21 3.80808338189919e-20 "CB" "ATP5F1A"
"O00429" "O00429" 19.6161858728598 7.31431880138846e-21 3.80821598463595e-20 "CB" "DNM1L"
"Q8N257" "Q8N257" 21.9549643106958 8.15044794631691e-21 4.19623064776732e-20 "CB" "H2BU1"
"P49368" "P49368" 20.3181968861354 8.2347741313179e-21 4.19623064776732e-20 "CB" "CCT3"
"P06702" "P06702" 19.7422625907201 8.50719539557211e-21 4.28941746787267e-20 "CB" "S100A9"
