"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"DNAJA2","DNAJA2",1.5426174025974,4.13305371672123e-28,1.21098473899932e-24,"group2-group1"
"EIF4G1","EIF4G1",1.65356685064935,4.01601556045668e-27,5.88346279606903e-24,"group2-group1"
"YARS1","YARS1",3.06060772727273,1.54391611133887e-26,1.50789140207429e-23,"group2-group1"
"GCC1","GCC1",1.65541827922078,3.28045889159118e-26,1.74807212625215e-23,"group2-group1"
"CRKL","CRKL",1.39352866883117,3.34016339058887e-26,1.74807212625215e-23,"group2-group1"
"HCLS1","HCLS1",1.33425162337662,3.5796698831102e-26,1.74807212625215e-23,"group2-group1"
"CASP3","CASP3",1.55571711038961,6.20264201039334e-26,2.5962487272075e-23,"group2-group1"
"FYB1","FYB1",1.88481285714286,8.4563756648022e-26,3.08922052173431e-23,"group2-group1"
"RWDD1","RWDD1",1.15817659090909,9.90720933181557e-26,3.08922052173431e-23,"group2-group1"
"CIAPIN1","CIAPIN1",1.03450422077922,1.05434147499464e-25,3.08922052173431e-23,"group2-group1"
"SNAP23","SNAP23",1.68996792207792,1.60687730421301e-25,4.28013681940375e-23,"group2-group1"
"STAT5B","STAT5B",1.67776837662338,2.07424036780845e-25,4.96638356197198e-23,"group2-group1"
"SNAP29","SNAP29",1.67879795454545,2.20351489097733e-25,4.96638356197198e-23,"group2-group1"
"EBAG9","EBAG9",1.2460062012987,2.96983268527438e-25,6.2154355484671e-23,"group2-group1"
"FKBP5","FKBP5",1.56409288961039,5.34702308285769e-25,1.04445184218487e-22,"group2-group1"
"DOK2","DOK2",1.87609659090909,1.65690669580106e-24,3.03421038668569e-22,"group2-group1"
"SKAP2","SKAP2",1.93826003246753,2.52617588486849e-24,4.35393843686157e-22,"group2-group1"
"CDC26","CDC26",1.21495590909091,3.16317758125059e-24,5.14895017392458e-22,"group2-group1"
"MPIG6B","MPIG6B",1.78834655844156,3.63502385337428e-24,5.5265689856579e-22,"group2-group1"
"DNAJB6","DNAJB6",1.29310672077922,3.77240203799174e-24,5.5265689856579e-22,"group2-group1"
"CD69","CD69",1.21683535714286,5.21109134962997e-24,7.27071316876944e-22,"group2-group1"
"IST1","IST1",1.9079413961039,5.4842448545068e-24,7.30401701077497e-22,"group2-group1"
"MGLL","MGLL",1.68609461038961,7.52669800582146e-24,9.24579197431296e-22,"group2-group1"
"RILPL2","RILPL2",1.5171686038961,7.57334496189457e-24,9.24579197431296e-22,"group2-group1"
"EIF4E","EIF4E",1.66039097402597,9.46320832989453e-24,1.10908801626364e-21,"group2-group1"
"SIRT2","SIRT2",1.35887795454546,1.01053377748597e-23,1.13879383385919e-21,"group2-group1"
"CACYBP","CACYBP",1.6849512012987,1.29522992661883e-23,1.40556432777525e-21,"group2-group1"
"JPT2","JPT2",1.3419898051948,1.46500280215104e-23,1.53302078939377e-21,"group2-group1"
